Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000000001,Gnai3,4996,4694,5548,6505,5507,5169
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,4436,4038,5051,2820,2746,2593
ENSMUSG00000000031,H19,0,0,0,9,4,2
ENSMUSG00000000037,Scml2,988,1024,1162,1166,1134,1041
ENSMUSG00000000049,Apoh,0,0,1,7,13,0
ENSMUSG00000000056,Narf,6824,5283,7160,5047,4503,4165
ENSMUSG00000000058,Cav2,6807,6447,7877,8123,5950,6040
ENSMUSG00000000078,Klf6,4150,3783,4342,5142,4503,4346
ENSMUSG00000000085,Scmh1,1809,1694,1875,1541,1544,1544
ENSMUSG00000000088,Cox5a,4441.54,3568.96,5271.85,4604.93,4169.65,3866.89
ENSMUSG00000000093,Tbx2,6084,5890,6705,6052,6723,6684
ENSMUSG00000000094,Tbx4,557,570,566,516,493,558
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,18,2,14,28,18,45
ENSMUSG00000000125,Wnt3,0,0,0,0,3,0
ENSMUSG00000000126,Wnt9a,0,0,0,9,21,3
ENSMUSG00000000127,Fer,2585,2069,2488,1850,1857,1539
ENSMUSG00000000131,Xpo6,6298,5849,6857,6498,6257,6192
ENSMUSG00000000134,Tfe3,3303,2973,3584,3592,3513,3616
ENSMUSG00000000142,Axin2,0,0,0,0,2,3
ENSMUSG00000000148,Brat1,1073,1049,1287,1129,1193,1122
ENSMUSG00000000149,Gna12,4885.02,4671.71,5658.96,4743.22,4374.44,4538.3
ENSMUSG00000000154,Slc22a18,274,270,344,439,439,403
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,12,10,27,35,30,38
ENSMUSG00000000168,Dlat,4942,4499,5533,5206,4297,4330
ENSMUSG00000000171,Sdhd,5446,5189,6000,5878,5204,5125
ENSMUSG00000000182,Fgf23,0,0,0,3,0,5
ENSMUSG00000000183,Fgf6,0,0,0,0,0,1
ENSMUSG00000000184,Ccnd2,36356.32,31060.28,37697.98,47384.77,42520,39760.94
ENSMUSG00000000194,Gpr107,2136.68,2053.31,2515.16,2521,2226.03,2373.11
ENSMUSG00000000197,Nalcn,0,0,0,0,0,7
