Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000000001,Gnai3,14107,16631,14781,11933,15713,18196
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2875,2950,2814,2647,3381,3909
ENSMUSG00000000031,H19,123,90,103,41,51,53
ENSMUSG00000000037,Scml2,0,0,0,125,141,196
ENSMUSG00000000049,Apoh,1,2,7,31,34,46
ENSMUSG00000000056,Narf,1694,1337,1212,429,566,787
ENSMUSG00000000058,Cav2,3878,4832,4261,2403,3070,3392
ENSMUSG00000000078,Klf6,12356,9988,9074,15588,19713,26649
ENSMUSG00000000085,Scmh1,1903,2133,2030,1074,1386,1629
ENSMUSG00000000088,Cox5a,3403.99,3802.99,3594.98,2717.98,3523.96,4047.99
ENSMUSG00000000093,Tbx2,35,27,27,89,147,150
ENSMUSG00000000094,Tbx4,0,0,0,0,1,2
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,25,25,18,40,72,74
ENSMUSG00000000125,Wnt3,0,0,0,4,8,5
ENSMUSG00000000126,Wnt9a,105,53,58,107,152,243
ENSMUSG00000000127,Fer,1293,1529,1372,930,1298,1474
ENSMUSG00000000131,Xpo6,5472,5487,5748,3501,4434,6165
ENSMUSG00000000134,Tfe3,2494,2448,2484,2045,2575,3383
ENSMUSG00000000142,Axin2,0,1,1,9,18,16
ENSMUSG00000000148,Brat1,627,521,536,341,503,622
ENSMUSG00000000149,Gna12,3016.32,2953.23,2911.25,2395.88,2964.65,3436.94
ENSMUSG00000000154,Slc22a18,9,5,5,11,20,16
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,2,0,0,0
ENSMUSG00000000167,Pih1d2,59,71,67,65,103,130
ENSMUSG00000000168,Dlat,4379,4742,4562,3120,4199,4939
ENSMUSG00000000171,Sdhd,4440,5110,4650,2297,3138,3541
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,3,7,12
