"__mclCluster","EnrichmentMap::Colouring (Tumor_late_early)","EnrichmentMap::ES (Tumor_late_early)","EnrichmentMap::fdr_qvalue (Tumor_late_early)","EnrichmentMap::fwer_qvalue (Tumor_late_early)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Tumor_late_early)","EnrichmentMap::pvalue (Tumor_late_early)","name","selected","shared name"
"2","-0.99999998424769",,"5.77412545299743E-7",,"SUCLG1|TNF|IREB2|4933405O20RIK|SLC25A33|PANK2|MRPS36|GM10053|ADSL|CYCS|AK4|NDUFS3|ATPSCKMT|SIRT3|DLST|CDK1|SDHB|UCN|TEFM|CSL|CHCHD10|COX5A|ATP5PB|OXA1L|NUPR1|PDHA2|ATP5D|COX4I2|NDUFS2|COX6C|MT-ND4|DGUOK|ATP5E|CHCHD2|COX7C|NDUFA12|NDUFS7|AKT1|UQCR11|UQCRB|NDUFB9|CYC1|ATP5O|IDH1|PDE12|DLD|NDUFV3|NDUFV2|NDUFB8|COX8B|ATP5A1|UQCRC1|ATP5J|ATP5C1|NDUFS1|NDUFA10|NDUFA8|SDHA|NIPSNAP2|MYOG|STOML2|NDUFC2|OGDHL|COX6A2|BDNF|COX7B|SUCLA2|COQ9|COX4I1|ATP5H|COX8A|COX6B1|HIF1A|NDUFV1|AFG1L|1700066M21RIK|MTFR2|ATP5J2|PINK1|RHOA|COX6A1|PPIF|NDUFA7|MTCH2|COX8C|MTFR1|PROCA1|UQCRQ|SLC25A51|COX7B2|ATP5K|COA6|COX6B2|CYCT|COX10|ANTKMT|MTFR1L|SDHC|UQCR10|CAT|CCNB1|NDUFS8|DNAJC30|BNIP3|NDUFS6|COX5B|SUCLG2|UQCRH|MT-ND1|MLXIPL|DNAJC15|SDHAF2|MT-ND2|UQCC2|MT-CO1|DLAT|COX7A2L|MT-CO2|SHMT2|MT-ATP8|COQ7|COX7A2|MT-ATP6|SLC25A23|MT-CO3|CS|MT-ND3|COX7A1|MT-ND4L|NDUFB6|DHTKD1|UQCC3|FH1|CBFA2T3|COX5B-PS|BLOC1S1|MDH2|MDH1|FXN|OGDH|IDH3G|ATP5B|MT-ND5|MT-ND6|NOP53|TRPV4|PDHB|BID|MYC|ATP7A|TAZ|ARL2|ACO1|ACO2|IDH3B|MDH1B|SNCA|ABCD1|MUP4|IDH3A|MUP5|VCP|PARK7|MUP11|MUP19|MUP18|MUP16|MUP9|MUP12|IDH2|IDE|PDHA1|MSH2|ISCU|SDHD|ACTN3","aerobic respiration","176","ENR","GO:0009060","-1.0","1.57523100461916E-8","GO:0009060","false","GO:0009060"
"1","-0.9999999753519034",,"8.61142873627871E-7",,"NCKAP1L|IL6|SPN|IL1B|MALT1|LILR4B|NLRP3|IL4I1|LILRB4A|SLAMF1|CLEC4G|AGER|H2-M3|IL7R|STX7|FADD|VSIR|NECTIN2|XCL1|CD24A|TAP2|H2-EA|HFE|ARG1|TRAF2|CCR2|KLRD1|PVR|IL12A|FBXO38|SMAD7|B2M|H2-K1|ZBTB1|IL1R1|HMGB1|H2-T23|IL4|MAP3K7|FZD5|TBX21|H2-D1|IL23A|SLC22A13|TRAF6|IL20RB|NOD2|HSPD1|IL18|IL18R1|CD81|PPP3CB|CD55|PRKCZ|MR1|DUSP22|IFNB1|P2RX7|RSAD2|DENND1B|PTPRC|TNFSF4|GM49339|TNFRSF1B|WAS|ARID5A|GATA3|HSPA8|CYRIB|FOXP3|RIPK3|FUT7|ZP3|SASH3|TRPM4|CEACAM1|DPP4|IL12B","regulation of T cell mediated immunity","78","ENR","GO:0002709","-1.0","2.46480965617995E-8","GO:0002709","false","GO:0002709"
"12","-0.9999999999999976",,"3.42982659546995E-13",,"TNF|ACTG1|H2-AB1|CCL20|DAPK3|PTPN2|HPX|NOS2|IRF1|IRF8|XCL1|OTOP1|TLR2|DAPK1|NLRC5|TRP53|ARG1|ACTR2|CDC42EP4|FLNB|MYO1C|STXBP2|ADAMTS13|RPS6KB1|STX8|MRC1|RAB7B|PDE12|CDC42EP2|VIM|STAR|CASP1|RAB12|ACTR3|TLR3|WAS|FASL|CCL3|STXBP3|SOCS1|STXBP1|CCL26|CCL19|EPRS|GBP5|STX4A|GM13304|EDN1|RAB43|CCL24|KIF16B|VAMP3|CX3CL1|CCL22|IL12B|GBP3|CCL17|MIR511|DNAJA3|GBP2|GBP9|IFNG|CDC42|GBP8|H2-Q7|CCL8|GBP7|CCL21D|ZYX|CCL21A|CCL21B|GAPDH|GM10591|GM43302|GBP11|GBP6|GBP10|RPL13A|IRGM1|CDC37|PARP14|WNT5A|CCL6|CCL4|CCL9|RAB20|VPS26B|IGTP|SYNCRIP|STAT1|KIF5B|ASS1|MYC|CCL5|CCL11|CCL1|CCL7|CLDN1|AIF1|STXBP4|SIRPA|GSN|AQP4|VAMP4|TLR4|CCL25|TXK|CCL2|CD47|EVL|SLC26A6|NMI|RAB11FIP5|MYO18A|CIITA|CCL12|HSP90AB1|IL12RB1|PARP9|JAK2|MED1|GBP4","cellular response to interferon-gamma","122","ENR","GO:0071346","-1.0","2.45425874452233E-15","GO:0071346","false","GO:0071346"
"1","-0.9999998825008526",,"3.64900129922697E-6",,"IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|H2-M3|HPX|STX7|LTA|XCL1|CD24A|TAP2|GIMAP3|TRAF2|KLRD1|RASGRP1|PVR|FBXO38|RAET1E|B2M|H2-K1|ULBP1|H2-T23|IL4|MAP3K7|TBX21|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|CD40|TNFSFM13|TFRC|CD55|PRKCZ|MR1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|HMCES|PAGR1A|STAT5B|LAG3|KLRC1|RIF1|STAT5A|CYRIB|FOXP3|CLCF1|SHLD2|ZP3|SASH3|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|AP1G1|NSD2|BTK|KMT5C|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|NLRP3|SHLD3|SLAMF1|KLRC3|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|IL12A|CLNK|ZBTB1|IL1R1|FZD5|FCGR1|IL18R1|CD81|CRTAM|RSAD2|KLRE1|KLRK1|CD160|KLRC2|GIMAP5|ARID5A|GATA3|HSPA8|TREM2|FCER1G|DPP4|MSH2|C3","positive regulation of lymphocyte mediated immunity","118","ENR","GO:0002708","-1.0","1.1749914738119E-7","GO:0002708","false","GO:0002708"
"8","-0.9997927164050557",,"0.00345885162906976",,"POSTN|OAS1C|F2RL1|OAS1H|KLF4|TNF|OAS1A|DEFB25|OAS1F|CCL5|MYD88|MAP2K5|MCOLN2|MBP|LPL|CD74|OAS3|MIF|HMGB1|OAS1D|TLR4|FOXP1|OAS1G|OAS1E","regulation of chemokine (C-X-C motif) ligand 2 production","24","ENR","GO:2000341","-1.0","2.07283594944252E-4","GO:2000341","false","GO:2000341"
"1","-0.9956298607091679",,"0.0545901198564282",,"NCKAP1L|SPN|SH2D1B2|LILR4B|IL4I1|LILRB4A|SLAMF1|CLEC4G|IL7R|SERPINB9B|SERPINB9C|VSIR|TAP2|HFE|ARG1|CLEC2D|CLEC12B|KLRD1|TAP1|SERPINB9F|SERPINB9|SMAD7|SERPINB9D|SERPINB9G|SERPINB9E|LGALS9|HAVCR2|FOXJ1|TBX21|C4BP|SERPINB9H|BCL6|IL20RB|NOD2|SUSD4|KLRB1B|PPP3CB|CD55|PARP3|GFER|DUSP22|THOC1|IFNB1|NDFIP1|PTPRC|KLRE1|GM49339|CRK|CR1L|CD96|CD46|PTPN6|FOXP3|IGF2|CEACAM1|ARRB2","negative regulation of lymphocyte mediated immunity","56","ENR","GO:0002707","-1.0","0.00437013929083213","GO:0002707","false","GO:0002707"
"1","-0.9999999837353115",,"5.86578120689266E-7",,"NCKAP1L|IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|IL4I1|CLEC4G|H2-M3|HPX|STX7|PIK3R6|SERPINB9B|SERPINB9C|VSIR|LTA|XCL1|CD24A|TAP2|GIMAP3|ARG1|TRAF2|CLEC2D|CLEC12B|CCR2|KLRD1|TAP1|RASGRP1|SERPINB9F|PVR|FBXO38|SERPINB9|SMAD7|RAET1E|SERPINB9D|SERPINB9G|B2M|H2-K1|APLF|ULBP1|SERPINB9E|LGALS9|H2-T23|HAVCR2|IL4|MAP3K7|TBX21|SERPINB9H|SUPT6|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|IL27RA|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|CD40|TNFSFM13|KLRB1B|TFRC|CD55|PRKCZ|PARP3|MR1|THOC1|NDFIP1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|SLC15A4|GM49339|HMCES|TNFRSF1B|PAGR1A|STAT5B|WAS|CRK|LAG3|KLRC1|RIF1|STAT5A|CYRIB|PTPN6|FOXP3|RIPK3|CLCF1|SHLD2|LEP|ZP3|SASH3|CEACAM1|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|AP1G1|NSD2|ARRB2|BTK|KMT5C|MIR181B-1|MIR181B-2|SPN|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|LILR4B|NLRP3|LILRB4A|SHLD3|SLAMF1|AGER|KLRC3|IL7R|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|HFE|IL12A|CLNK|ZBTB1|IL1R1|HMGB1|FOXJ1|FZD5|C4BP|BCL6|IL20RB|FCGR1|IL18R1|SUSD4|CD81|PPP3CB|GFER|DUSP22|IFNB1|CRTAM|RSAD2|KLRE1|KLRK1|CD160|KLRC2|GIMAP5|ARID5A|GATA3|HSPA8|TREM2|CR1L|CD96|FCER1G|CD46|FUT7|TRPM4|IGF2|DPP4|MSH2|C3","regulation of lymphocyte mediated immunity","180","ENR","GO:0002706","-1.0","1.62646884985396E-8","GO:0002706","false","GO:0002706"
"1","-0.99999907590753",,"2.29585640321412E-5",,"IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|H2-M3|HPX|STX7|LTA|XCL1|CD24A|TAP2|GIMAP3|ARG1|CXCL1|TRAF2|KLRD1|RASGRP1|MAVS|PVR|FBXO38|RAET1E|DDX58|B2M|H2-K1|ULBP1|H2-T23|IL4|MAP3K7|TBX21|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|SCIMP|CD40|TNFSFM13|TFRC|CD55|PRKCZ|MR1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|HMCES|PTAFR|PAGR1A|STAT5B|TYROBP|LAG3|KLRC1|RIF1|STAT5A|CYRIB|FOXP3|DDX1|CLCF1|STX4A|SPI1|SHLD2|ITGB2L|ZP3|SASH3|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|CLEC7A|AP1G1|NSD2|BTK|KMT5C|KIT|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|NLRP3|SHLD3|SLAMF1|KLRC3|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|DHX36|PLCG2|IL12A|CLNK|ZBTB1|IL1R1|FZD5|LYPD10|FCGR1|IL18R1|F2RL1|CD81|TICAM1|CRTAM|RSAD2|KLRE1|KLRK1|CD177|CD160|KLRC2|DDX21|POMC|GIMAP5|ARID5A|GATA3|STAP1|CCL2|HSPA8|TREM2|FCER1G|LYPD11|DPP4|MSH2|C3","positive regulation of leukocyte mediated immunity","142","ENR","GO:0002705","-1.0","9.24092469987796E-7","GO:0002705","false","GO:0002705"
"5","-0.9969158558113493",,"0.0403283415545203",,"PGLYRP3|CCL8|PGLYRP4|CCL21D|KLRH1|CCL21A|CCL21B|GAPDH|GM10591|FCER2A|BCL2L11|CCL20|CXCL12|NTS|TAC1|9530003J23RIK|NOS2|SERPINB9B|SERPINB9C|LTF|CXCL14|KNG1|PPBP|BAD|ROMO1|CST11|SERPINB9F|BCL2L1|SERPINB9|DEFB20|HAMP|SERPINB9D|DEFB21|SERPINB9G|RPL30|CCL1|HAMP2|DEFA26|KNG2|DEFA35|SERPINB9E|DEFA34|RPS19|DEFA24|LYZ1|LYZ2|NPPB|SERPINB9H|GM13306|DEFA28|DEFA40|DEFA30|CCL28|SYK|DEFA41|DEFA27|CCL27B|CXCL13|PRF1|GM10282|CXCL9|POMC|CCL25|CXCL10|CCL12|GM13304|HMGN2|CCL22|CCL17|CCR5|IFNG|CLEC7A|PGLYRP1","killing of cells of another organism","73","ENR","GO:0031640","-1.0","0.0030841441886507","GO:0031640","false","GO:0031640"
"7","-1.0",,"5.16104767427123E-15",,"IFI35|POLR3F|CCR1|CACTIN|POLR3C|SLAMF6|LBP|H2-M3|HPX|N4BP1|IRF1|ZBP1|USP18|NLRX1|OAS3|IKBKE|TBK1|DCST1|XCL1|OTOP1|GIMAP3|POLR3B|NLRC5|CARD9|POLR3G|RASGRP1|MAVS|TRIM62|AIM2|MUL1|NLRC4|TLR8|SIN3A|LGALS9|SERPINB1A|FFAR2|TRIM6|OAS1A|OAS1F|IFI205|TOMM70A|IL21|YTHDF2|STING1|OAS1G|OAS1E|PYCARD|MNDAL|LAG3|SOCS1|KLRC1|STAT5A|RBM14|TRIM30A|ZCCHC3|GBP5|LRP8|SPI1|FGR|IRF3|STAT2|DNAJA3|AP1G1|TYRO3|TIRAP|DRD2|PLSCR1|KLRC3|CD226|VAV1|IRGM1|CDC37|FAM3A|IGTP|SERPING1|PLCG2|CLNK|HMGB1|VSIG4|LYAR|TLR9|SREBF1|GFER|TRAFD1|NLRC3|KLRE1|TTLL12|KLRC2|TLR4|DUSP10|YTHDF3|TXK|IFI204|IFI207|PSPC1|NONO|ZNFX1|IFI203|PARP9|IFI209|IFI208|IGF2|IFI214|IFI213|USP15|MED1|EREG|TASL|HSP90AA1|XRCC6|SMPDL3B|MMP12|TKFC|SH2D1A|SH2D1B2|PTPN2|PIK3R6|SERPINB9B|SERPINB9C|TAP2|ARG1|A2M|CLEC2D|CLEC12B|KLRD1|SAMHD1|TAP1|SERPINB9F|PVR|TREM3|SERPINB9|RAET1E|SERPINB9D|SERPINB9G|MATR3|ULBP1|SERPINB9E|HAVCR2|SERPINB9H|NOD2|CNOT7|TRIM12C|TRIM30D|KLRB1B|HMGB2|LAMP1|TRIM5|SLC15A4|AKIRIN2|STAT5B|TYROBP|NFE2L2|CGAS|CRK|TRIM12A|SFPQ|APOE|TREX1|LEP|CEACAM1|IL18RAP|IL12B|CADM1|TNFAIP3|CLEC7A|ARRB2|NCF1|FADD|PARP14|NECTIN2|WNT5A|OAS1D|LSM14A|HEXIM1|CASP8|IRAK3|IL12A|XRCC5|APPL2|RPS19|SYK|RNF135|POLR3D|SUSD4|OAS1C|OAS1H|PRKDC|METTL3|CRTAM|GRN|DHX58|KLRK1|CD160|COCH|GIMAP5|TREM2|ADAR|NMI|IFI206|CD96|HSP90AB1|CLEC4N|APPL1|RIOK3|ISG15|IRF7|PQBP1|CD74|UBE2K|DPP4|IFI202B|IFI211|FCNB|TRIM21|FCNA|ADAM8","regulation of innate immune response","216","ENR","GO:0045088","-1.0","2.30816085611414E-17","GO:0045088","false","GO:0045088"
