"__mclCluster","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"0","Tumor_late_early","LGALS9|CRK|HAVCR2|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|SERPINB9F|GFER|SERPINB9|IGF2|KLRE1|SERPINB9D|SERPINB9G|ARRB2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B","23","0.7169811320754718","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045953","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045953"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.5724043715846995","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002697","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002697"
"0","Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|HAVCR2|STAT5B|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|CD160|GIMAP3|PVR|GIMAP5|KLRE1|KLRC2|RAET1E|NECTIN2|SH2D1B2|ULBP1","33","0.4213207547169811","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045089","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045089"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.9732142857142857","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002715","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002715"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.7103174603174603","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001909","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001909"
"0","Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|HAVCR2|STAT5B|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|CD160|GIMAP3|PVR|GIMAP5|KLRE1|KLRC2|RAET1E|NECTIN2|SH2D1B2|ULBP1","33","0.39770818927195495","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002833","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002833"
"0","Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.5795795795795796","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002831","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002831"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.5364511691884457","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002252","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002252"
"0","Tumor_late_early","LGALS9|CRK|HAVCR2|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|SERPINB9F|GFER|SERPINB9|IGF2|KLRE1|SERPINB9D|SERPINB9G|ARRB2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B","23","0.6089901477832512","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001911","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001911"
,"Tumor_late_early","STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|STAT5B|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|CD160|GIMAP3|PVR|GIMAP5|KLRE1|KLRC2|RAET1E|NECTIN2|SH2D1B2|ULBP1","32","0.483704974271012","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031343","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031343"
