"","Cell type","Early Tumor","Late Tumor","pval","p.adj"
"1","CD4+ Naïve",0.566145659375769,0.106378744185364,5.52869379525314e-05,0.000608156317477845
"2","CD8+ CM",0.102016231986549,0.173256145118965,0.838527735847197,0.922380509431916
"3","CD8+ Naïve",0.129077008164389,0.0253740698549488,0.00134047854842691,0.00491508801089868
"4","NK",0.0464215080598629,0.150531125521129,0.188602922816526,0.296376021568827
"5","CD8+ Effector",0.0280698446358242,0.057949127074704,0.643441371226201,0.786428342609801
"6","CD8+ Progenitor Ex",0.0119506787860168,0.11822390910004,0.00347097944631844,0.00954519347737572
"7","CD8+ Ex",0.00816523453456713,0.134440400314219,0.000199537659403732,0.00109745712672053
"8","CD8+ TRM",0.0178013924065764,0.102079081496011,0.0376601146388328,0.0828522522054321
"9","CD8+ Proliferating",0.0283000281761324,0.0693347592590497,0.460995945483731,0.633869425040131
"10","CD4+ Treg",0.0361297249772201,0.0205899241938523,0.156738823252229,0.287354509295753
"11","CD8+ ISG",0.0259226888970933,0.0418427138817174,0.932821860633604,0.932821860633604
