"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Tmem176b",2.07966048363245e-155,-2.65961323999585,0.032,0.845,3.47511266814982e-151
"2","Tmem176a",4.05377585647363e-131,-2.1001995192297,0.029,0.784,6.77385945616744e-127
"3","Cd226",2.45459247203574e-118,-1.80830159511439,0.241,0.927,4.10162402077172e-114
"4","Prf1",1.24156339804195e-110,2.74104470774083,0.745,0.102,2.07465243812809e-106
"5","Tcrg-C4",7.99892080982437e-105,-1.76424215853545,0.057,0.733,1.33661966732165e-100
"6","Ly6e",2.48355347278591e-103,-1.27108457377016,0.819,0.998,4.15001785302526e-99
"7","St6galnac3",7.60445435707434e-98,-1.69753320556452,0.215,0.871,1.27070432306712e-93
"8","Gzma",1.64398731745974e-96,4.73841186902089,0.602,0.035,2.74710280747523e-92
"9","Eomes",1.89192932359772e-95,1.85517667935142,0.771,0.186,3.16141389973178e-91
"10","Klre1",4.2422698294505e-95,1.71310265019282,0.805,0.218,7.08883288501179e-91
"11","Klra4",4.21902193203589e-93,2.59564702092583,0.659,0.083,7.04998564843197e-89
"12","Itgae",3.47145716905512e-84,-1.71308861307056,0.158,0.785,5.8008049294911e-80
"13","Ccl5",3.13463504209571e-80,4.45896016888363,0.679,0.167,5.23797515534192e-76
"14","Cd200r1",1.08317417081118e-78,-1.23673595587539,0.017,0.561,1.80998403942548e-74
"15","Ugcg",4.54718740179646e-76,1.53526782983741,0.888,0.629,7.59835014840189e-72
"16","Cxcr6",2.62174946672537e-75,-1.30477745808747,0.086,0.67,4.3809433588981e-71
"17","Ly6g5b",1.04291387423641e-74,-1.37054007483897,0.106,0.678,1.74270908384905e-70
"18","Emb",1.97045745142675e-69,-1.24248599951234,0.562,0.959,3.2926344013341e-65
"19","Itga2",2.28455301628034e-69,1.47266175997342,0.521,0.05,3.81748809020444e-65
"20","Inpp4b",2.47972109432269e-67,-1.08223164195747,0.562,0.974,4.14361394861321e-63
"21","Sh2d1a",3.10427666189644e-65,1.1904723793591,0.622,0.109,5.18724630202895e-61
"22","Ahr",6.52443299960737e-64,-1.26272512384722,0.287,0.814,1.09023275423439e-59
"23","Adamts14",1.38793162550895e-63,1.35535501860189,0.484,0.038,2.31923374622545e-59
