"","HER2 NEG","HER2 POS","tot","cell_type_secondary"
"Alv 1",0.0655270655270655,0.934472934472934,1,"Alv 1"
"Alv-Basal",0.104337631887456,0.895662368112544,1,"Alv-Basal"
"Alv 2",0.144880174291939,0.855119825708061,1,"Alv 2"
"Alv-Proliferating",0.219211822660099,0.780788177339901,1,"Alv-Proliferating"
"Basal",0.223529411764706,0.776470588235294,1,"Basal"
"Alv 3",0.495412844036697,0.504587155963303,1,"Alv 3"
"Alv 4",0.532846715328467,0.467153284671533,1,"Alv 4"
"Undefined Alv",0.835630965005302,0.164369034994698,1,"Undefined Alv"
"Hormone Sensing",0.881051175656985,0.118948824343015,1,"Hormone Sensing"
"Fibroblast",0.98811013767209,0.0118898623279099,1,"Fibroblast"
"CD8+ Ex",0.993975903614458,0.00602409638554217,1,"CD8+ Ex"
"CD8+ Proliferating",0.994609164420485,0.00539083557951483,1,"CD8+ Proliferating"
"Macrophage",0.994974874371859,0.0050251256281407,1,"Macrophage"
"NK",0.997905759162304,0.00209424083769634,1,"NK"
"CD8+ Progenitor Ex",0.998158379373849,0.00184162062615101,1,"CD8+ Progenitor Ex"
"CD8+ Effector",0.998313659359191,0.00168634064080944,1,"CD8+ Effector"
"Neutrophil",0.99931129476584,0.00068870523415978,1,"Neutrophil"
"CD4+ Naïve",1,0,1,"CD4+ Naïve"
"CD8+ CM",1,0,1,"CD8+ CM"
"CD8+ Naïve",1,0,1,"CD8+ Naïve"
"CD8+ TRM",1,0,1,"CD8+ TRM"
"CD4+ Treg",1,0,1,"CD4+ Treg"
"CD8+ ISG",1,0,1,"CD8+ ISG"
"B cell",1,0,1,"B cell"
