"","X","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"4",4,"Tomm7",3.3779848034893e-126,-0.765439222483554,0.926,0.974,5.53449030203686e-122
"19",19,"Ndufa3",3.89970958249544e-92,-0.600683002483319,0.901,0.969,6.38928417996053e-88
"32",32,"Cox7a2",6.37945801876009e-79,-0.532562955360099,0.981,0.978,1.04521040179365e-74
"39",39,"Ndufc1",2.66178974478925e-73,-0.495408583997626,0.887,0.963,4.3610763178627e-69
"46",46,"Cox17",1.03097858031782e-68,-0.464286099569379,0.902,0.976,1.68915530599272e-64
"55",55,"Slirp",7.53483787327708e-63,-0.379810446309473,0.759,0.914,1.23450783715772e-58
"59",59,"Romo1",2.45446172288645e-61,-0.470477534091629,0.931,0.976,4.02139008677716e-57
"62",62,"Ndufa5",5.48830663849954e-61,-0.454938288893072,0.805,0.936,8.99204159651765e-57
"66",66,"Ndufa2",1.91689873526658e-59,-0.426498310957681,0.966,0.985,3.14064688786076e-55
"67",67,"Stat2",8.38272024432072e-59,-0.470370515677187,0.541,0.798,1.37342488482951e-54
"77",77,"Uqcc2",2.17792430011712e-53,-0.440775794443843,0.936,0.974,3.5683111733119e-49
"131",131,"Atpif1",1.09375719979337e-39,-0.385214619386506,0.987,0.996,1.79201179614145e-35
"135",135,"Pet100",8.75304273013238e-39,-0.273102552056428,0.536,0.833,1.43409852090489e-34
"138",138,"Ndufb2",6.62392259698764e-38,-0.33122627471812,0.923,0.967,1.08526347829046e-33
"162",162,"Ndufb4",3.94812930743858e-33,-0.31137244712525,0.917,0.963,6.46861505730736e-29
"173",173,"Ndufa1",1.41458022448349e-30,-0.302418882357531,0.888,0.949,2.31764823979375e-26
"178",178,"Cox20",5.53578880397627e-30,-0.282023858528055,0.695,0.87,9.06983637643472e-26
"254",254,"Ndufa6",4.94037496339032e-21,-0.282409506100783,0.984,0.976,8.0943103400187e-17
"351",351,"Jun",1.57517707395592e-06,-0.466537170696649,0.87,0.945,0.0258077011796938
