"","X","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell"
"38",38,"Klf2",8.0380658917191e-70,0.645463366332659,0.916,0.879,1.34316081050626e-65,"CD4+ Naïve"
"636",137,"Ccl5",1.74051685475487e-07,1.07649329850619,0.217,0.11,0.00290840366429538,"CD8+ Naïve"
"711",38,"Tigit",4.93602119972144e-28,0.699903833263594,0.528,0.256,8.24809142473452e-24,"CD8+ CM"
"744",71,"S1pr1",1.15184380834607e-21,-0.645425276182601,0.219,0.452,1.92473100374628e-17,"CD8+ CM"
"831",158,"Tcf7",1.1839826010469e-13,-0.492581044485717,0.705,0.841,1.97843492634936e-09,"CD8+ CM"
"879",206,"Klrd1",8.86874807662818e-12,0.389579546651599,0.79,0.661,1.48196780360457e-07,"CD8+ CM"
"1061",388,"Klf2",1.18796693133404e-07,-0.31350277761211,0.675,0.8,0.00198509274225917,"CD8+ CM"
"1104",431,"Cd160",1.64086479995013e-06,0.355882352456724,0.374,0.284,0.0274188508071666,"CD8+ CM"
"1367",22,"Fcer1g",6.73879644847758e-13,-0.752212044592165,0.703,0.909,1.1260528865406e-08,"CD8+ TRM"
"1448",103,"Ccl5",2.41183680673433e-07,-1.34276456943803,0.374,0.548,0.00403017930405306,"CD8+ TRM"
"1496",11,"Cxcr6",1.09618443958834e-08,-0.718314721254779,0.805,0.986,0.000183172419855212,"CD8+ Progenitor Ex"
"1502",17,"Ccl5",1.13042041251993e-07,-0.68801815802874,0.686,0.944,0.00188893250932081,"CD8+ Progenitor Ex"
"1517",32,"Ccl4",1.36553185421989e-06,-0.747643251370022,0.176,0.458,0.0228180372840143,"CD8+ Progenitor Ex"
"1575",45,"Klrd1",9.30608186039653e-07,0.489729893737148,0.83,0.521,0.0155504627887226,"CD8+ Proliferating"
"1596",12,"Ccl5",5.05488894370021e-26,-1.62741931495524,0.272,0.69,8.44671942492305e-22,"NK"
"1602",18,"Klf2",3.25736656969992e-23,-1.12886693825226,0.312,0.711,5.44305953796857e-19,"NK"
"1647",63,"Ccl4",3.25271823792078e-15,-0.871231386960995,0.069,0.289,5.43529217556563e-11,"NK"
"1700",116,"Tigit",2.22750338228519e-12,0.730311460419063,0.693,0.449,3.72215815179856e-08,"NK"
"1722",138,"Cd160",1.76113112054615e-11,0.725224787269572,0.663,0.471,2.94285010243262e-07,"NK"
