"","tot","cell_type_secondary","Status","value","stage"
"1","Itgae","CD8+ TRM","Not expressed",0.024,"Early"
"2","Itgae","CD8+ TRM","Expressed",0.976,"Early"
"3","Itgae","CD8+ TRM","Not expressed",0.0699,"Late"
"4","Itgae","CD8+ TRM","Expressed",0.93,"Late"
"5","Itgae","CD8+ TRM","Not expressed",0.0506,"Overall"
"6","Itgae","CD8+ TRM","Expressed",0.949,"Overall"
"7","Trdc","CD8+ TRM","Not expressed",0.279,"Early"
"8","Trdc","CD8+ TRM","Expressed",0.721,"Early"
"9","Trdc","CD8+ TRM","Not expressed",0.752,"Late"
"10","Trdc","CD8+ TRM","Expressed",0.248,"Late"
"11","Trdc","CD8+ TRM","Not expressed",0.553,"Overall"
"12","Trdc","CD8+ TRM","Expressed",0.447,"Overall"
"13","Trgv2","CD8+ TRM","Not expressed",0.149,"Early"
"14","Trgv2","CD8+ TRM","Expressed",0.851,"Early"
"15","Trgv2","CD8+ TRM","Not expressed",0.276,"Late"
"16","Trgv2","CD8+ TRM","Expressed",0.724,"Late"
"17","Trgv2","CD8+ TRM","Not expressed",0.223,"Overall"
"18","Trgv2","CD8+ TRM","Expressed",0.777,"Overall"
"19","Fcer1g","CD8+ TRM","Not expressed",0.0913,"Early"
"20","Fcer1g","CD8+ TRM","Expressed",0.909,"Early"
"21","Fcer1g","CD8+ TRM","Not expressed",0.297,"Late"
"22","Fcer1g","CD8+ TRM","Expressed",0.703,"Late"
"23","Fcer1g","CD8+ TRM","Not expressed",0.211,"Overall"
"24","Fcer1g","CD8+ TRM","Expressed",0.789,"Overall"
"25","Trac","CD8+ TRM","Not expressed",0.476,"Early"
"26","Trac","CD8+ TRM","Expressed",0.524,"Early"
"27","Trac","CD8+ TRM","Not expressed",0.353,"Late"
"28","Trac","CD8+ TRM","Expressed",0.647,"Late"
"29","Trac","CD8+ TRM","Not expressed",0.405,"Overall"
"30","Trac","CD8+ TRM","Expressed",0.595,"Overall"
"31","Cd3d","CD8+ TRM","Not expressed",0.0144,"Early"
"32","Cd3d","CD8+ TRM","Expressed",0.986,"Early"
"33","Cd3d","CD8+ TRM","Not expressed",0.0594,"Late"
"34","Cd3d","CD8+ TRM","Expressed",0.941,"Late"
"35","Cd3d","CD8+ TRM","Not expressed",0.0405,"Overall"
"36","Cd3d","CD8+ TRM","Expressed",0.96,"Overall"
"37","Cd8a","CD8+ TRM","Not expressed",0.697,"Early"
"38","Cd8a","CD8+ TRM","Expressed",0.303,"Early"
"39","Cd8a","CD8+ TRM","Not expressed",0.36,"Late"
"40","Cd8a","CD8+ TRM","Expressed",0.64,"Late"
"41","Cd8a","CD8+ TRM","Not expressed",0.502,"Overall"
"42","Cd8a","CD8+ TRM","Expressed",0.498,"Overall"
"43","Cd8b1","CD8+ TRM","Not expressed",0.87,"Early"
"44","Cd8b1","CD8+ TRM","Expressed",0.13,"Early"
"45","Cd8b1","CD8+ TRM","Not expressed",0.538,"Late"
"46","Cd8b1","CD8+ TRM","Expressed",0.462,"Late"
"47","Cd8b1","CD8+ TRM","Not expressed",0.678,"Overall"
"48","Cd8b1","CD8+ TRM","Expressed",0.322,"Overall"
