"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cd7",6.60923099409184e-128,1.56666151551696,0.996,0.921,1.10440249911275e-123
"Gzmb",1.45011218055921e-97,3.09261308164972,0.845,0.28,2.42313745371444e-93
"Tyrobp",2.22450204933482e-81,1.81693303203189,0.845,0.315,3.71714292443848e-77
"Gzma",5.81488752390251e-80,3.12423130685387,0.691,0.151,9.7166770524411e-76
"Frmd5",4.67767731512628e-79,1.59340930831462,0.677,0.127,7.81639879357602e-75
"Serpinb6b",3.53309551188515e-68,1.10232065232849,0.873,0.385,5.90380260036008e-64
"Tnfrsf9",4.9037175379362e-60,1.03412369296727,0.998,0.873,8.19411200589139e-56
"Cd200r4",4.57218704001656e-57,0.890860336611312,0.775,0.291,7.64012454386767e-53
"Ccl5",1.55031352574412e-54,1.20922594476681,0.98,0.72,2.59057390151843e-50
"Gzmc",8.92377649321587e-53,2.74119988606037,0.51,0.09,1.49116305201637e-48
"Itgae",1.3339528733119e-52,1.08967197982735,0.884,0.503,2.22903525130418e-48
"Slc26a10",6.55502706116227e-52,0.870505245599742,0.781,0.335,1.09534502192021e-47
"Sult2b1",1.14727239105789e-51,0.728066005315777,0.952,0.604,1.91709216545774e-47
"Cd200r2",1.23666204964241e-50,1.16507183715161,0.665,0.217,2.06646228495246e-46
"Il2rb",3.29749070997449e-50,0.631496288129793,1,0.965,5.51010697636738e-46
"Cd244a",1.45339212885454e-49,0.788431286567461,0.948,0.635,2.42861824731594e-45
"C1qtnf6",3.15274928416764e-48,0.985828663512274,0.743,0.328,5.26824405384413e-44
"Ostf1",2.18431279896321e-46,0.628121971041005,0.996,0.913,3.64998668706753e-42
"Spp1",3.81847243067324e-46,1.4722755574963,0.918,0.641,6.38066743165498e-42
"Ncoa3",2.16877790231201e-44,0.860255844415185,0.882,0.538,3.62402787476337e-40
"Serpinb9",7.94166392980195e-44,0.905596558225644,0.809,0.409,1.32705204266991e-39
"Fgl2",4.06627534117491e-43,0.908825885655048,0.92,0.654,6.79474609510328e-39
"Rgs1",3.70921566208716e-41,0.941353372808672,0.986,0.877,6.19809937134765e-37
"Sulf2",8.13385335105516e-40,0.823116994769118,0.685,0.297,1.35916689496132e-35
"Dtx1",1.30578446333598e-37,0.6429255217676,0.466,0.112,2.18196583823442e-33
