"","x"
"1","Xkr4"
"2","Mrpl15"
"3","Lypla1"
"4","Tcea1"
"5","Rgs20"
"6","Gm16041"
"7","Atp6v1h"
"8","Rb1cc1"
"9","4732440D04Rik"
"10","St18"
"11","Pcmtd1"
"12","Gm26901"
"13","Sntg1"
"14","Rrs1"
"15","Adhfe1"
"16","2610203C22Rik"
"17","Vxn"
"18","Mybl1"
"19","Vcpip1"
"20","1700034P13Rik"
"21","Sgk3"
"22","Mcmdc2"
"23","Snhg6"
"24","Tcf24"
"25","Ppp1r42"
"26","Cops5"
"27","Cspp1"
"28","Arfgef1"
"29","Prex2"
"30","A830018L16Rik"
"31","Sulf1"
"32","Ncoa2"
"33","Tram1"
"34","Lactb2"
"35","Eya1"
"36","Msc"
"37","Kcnb2"
"38","Terf1"
"39","Sbspon"
"40","4930444P10Rik"
"41","Rdh10"
"42","Gm28095"
"43","Stau2"
"44","Gm7568"
"45","Ube2w"
"46","Eloc"
"47","D030040B21Rik"
"48","Tmem70"
"49","Ly96"
"50","Gm28376"
"51","Jph1"
"52","Gdap1"
"53","Pi15"
"54","Gm28153"
"55","Tfap2b"
"56","Pkhd1"
"57","Il17a"
"58","Mcm3"
"59","Paqr8"
"60","Efhc1"
"61","Tram2"
"62","Tmem14a"
"63","Gsta3"
"64","Kcnq5"
"65","Rims1"
"66","Gm27028"
"67","Gm29107"
"68","Ogfrl1"
"69","B3gat2"
"70","Smap1"
"71","Sdhaf4"
"72","Fam135a"
"73","Col9a1"
"74","Col19a1"
"75","Lmbrd1"
"76","Adgrb3"
"77","Phf3"
"78","Ptp4a1"
"79","Ptp4a1.1"
"80","4931428L18Rik"
"81","Gm28644"
"82","Khdrbs2"
"83","Prim2"
"84","Rab23"
"85","Bag2"
"86","Zfp451"
"87","Bend6"
"88","Dst"
"89","Gm26788"
"90","Gm37233"
"91","Ccdc115"
"92","Gm28306"
"93","Imp4"
"94","Ptpn18"
"95","Gm28417"
"96","4930568A12Rik"
"97","Arhgef4"
"98","Gm38336"
"99","Fam168b"
"100","Plekhb2"
"101","Hs6st1"
"102","Uggt1"
"103","Neurl3"
"104","Arid5a"
"105","4930403P22Rik"
"106","Kansl3"
"107","Fer1l5"
"108","Lman2l"
"109","Cnnm4"
"110","Cnnm3"
"111","Ankrd23"
"112","Ankrd39"
"113","Sema4c"
"114","D430040D24Rik"
"115","Fam178b"
"116","Cox5b"
"117","Actr1b"
"118","4933424G06Rik"
"119","Zap70"
"120","Tmem131"
"121","Gm38115"
"122","Inpp4a"
"123","Coa5"
"124","Unc50"
"125","Mgat4a"
"126","2010300C02Rik"
"127","Tsga10"
"128","Gm26805"
"129","Lipt1"
"130","Mitd1"
"131","Mrpl30"
"132","Txndc9"
"133","Eif5b"
"134","Rev1"
"135","Aff3"
"136","Chst10"
"137","Pdcl3"
"138","Npas2"
"139","Tbc1d8"
"140","Cnot11"
"141","Gm15832"
"142","Rnf149"
"143","Rfx8"
"144","Map4k4"
"145","Il1r2"
"146","Il1r1"
"147","Il1rl2"
"148","Il1rl1"
"149","Il18r1"
"150","Il18rap"
"151","Slc9a4"
"152","Slc9a2"
"153","Gm37915"
"154","Mfsd9"
"155","Mrps9"
"156","Tgfbrap1"
"157","8430432A02Rik"
"158","AI597479"
"159","Fhl2"
"160","Gm29040"
"161","Nck2"
"162","Ecrg4"
"163","Gm29155"
"164","Gm29157"
"165","Uxs1"
"166","Tpp2"
"167","Mettl21c"
"168","Gm8251"
"169","Tex30"
"170","Poglut2"
"171","Bivm"
"172","Ercc5"
"173","Gulp1"
"174","Col3a1"
"175","Col5a2"
"176","Wdr75"
"177","Slc40a1"
"178","Dnah7b"
"179","Dnah7c"
"180","Slc39a10"
"181","Gm28151"
"182","Tmeff2"
"183","9330175M20Rik"
"184","Cavin2"
