"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",0,-1.44893814094564,0.711,0.934,0
"2","Uba52",0,-1.24579871041517,0.742,0.906,0
"3","Csn2",2.44544104774156e-284,1.35988147147232,0.486,0.056,4.08633199077614e-280
"4","Csn3",1.08814331017727e-252,1.17100435742622,0.447,0.053,1.81828747130621e-248
"5","Spp1",2.64488581214605e-243,1.73751626659811,0.506,0.093,4.41960419209604e-239
"6","Nkg7",1.6301710557908e-216,0.912235000131508,0.945,0.854,2.72401583422643e-212
"7","Bcl2",1.13080341350423e-195,0.895760531486155,0.951,0.77,1.88957250396557e-191
"8","Srgn",4.88220007330201e-192,0.795580906563462,0.962,0.895,8.15815632248766e-188
"9","AW112010",2.0718236114761e-189,0.859054935254467,0.943,0.781,3.46201725477656e-185
"10","Lef1",1.65799200807344e-180,-1.20138173645348,0.461,0.753,2.77050464549072e-176
"11","Trf",7.86047798022971e-174,0.895772695121909,0.436,0.104,1.31348587049638e-169
"12","Gm19951",1.04126580601598e-173,-0.771678945208668,0.744,0.921,1.73995516185271e-169
"13","Ripor2",4.50347477801712e-173,-0.997050823659287,0.638,0.86,7.5253063540666e-169
"14","Gm8909",2.11119877563097e-170,0.898660146489247,0.732,0.466,3.52781315407935e-166
"15","Lcn2",6.52777576824601e-164,0.849922718556319,0.319,0.037,1.09079133087391e-159
"16","Hspa1b",5.50139519837406e-162,-1.01278874652553,0.071,0.357,9.19283137648305e-158
"17","Dgka",9.20412031853939e-162,-0.897477991147013,0.601,0.831,1.53800850522793e-157
"18","Snrpg",1.38776400424946e-161,-0.588099628413114,0.813,0.921,2.31895365110085e-157
"19","Csn1s1",8.22075491227062e-161,0.859648473944177,0.314,0.038,1.37368814584042e-156
"20","Ostf1",3.75319801078763e-157,0.737232224359564,0.9,0.796,6.27159387602612e-153
"21","Slc15a2",1.64925077517521e-155,-0.848576171639084,0.368,0.676,2.75589804531777e-151
"22","Tigit",2.12435238263829e-155,0.958941836449154,0.573,0.228,3.54979283138859e-151
"23","Ctla2a",3.54848411567039e-148,1.03160878306193,0.741,0.422,5.92951695728522e-144
"24","Wfdc18",3.43201480838052e-144,0.768325968528906,0.307,0.043,5.73489674480385e-140
"25","S1pr1",6.61459916663075e-143,-0.821998625501249,0.198,0.518,1.105299520744e-138
"26","H2-Q2",3.04438646366872e-141,0.757769863658991,0.736,0.491,5.08716978079043e-137
"27","Ifngr1",6.19578017708085e-137,0.625205992830121,0.942,0.766,1.03531486759021e-132
"28","Atp5d",8.64607007286379e-133,0.531535287970168,0.903,0.856,1.44475830917554e-128
"29","Ltf",1.45323768970376e-131,0.681336438482328,0.254,0.027,2.42836017949498e-127
"30","Il2rb",1.11170435797812e-130,0.8953732471911,0.861,0.63,1.85765798218144e-126
"31","Hspa1a",2.95716041518146e-126,-0.788473725522191,0.07,0.315,4.94141505376822e-122
"32","Hexb",2.29039015736131e-124,-0.675968637927328,0.937,0.966,3.82724195295075e-120
"33","Sh2d2a",1.62043414793601e-123,0.783430391676284,0.779,0.593,2.70774546120107e-119
"34","Ly6e",3.84433325258323e-122,0.554370914219646,0.971,0.907,6.42388086506657e-118
"35","Pde1c",2.03901564382121e-121,-0.630168084086241,0.093,0.336,3.40719514082524e-117
"36","Tmsb10",1.14697029408263e-120,-0.55671343901313,0.992,0.99,1.91658736141207e-116
"37","Clic1",5.24876542040402e-119,0.482480078214526,0.927,0.91,8.77068701749512e-115
"38","Cox4i1",7.5944011727226e-119,0.442860454446736,0.955,0.932,1.26902443596195e-114
"39","Arhgef1",1.5471563449958e-118,-0.543907859791835,0.856,0.956,2.58529825248799e-114
"40","Gm47283",2.88505923839305e-118,-0.670109534506904,0.647,0.839,4.82093398735479e-114
"41","Ctsw",1.2606225720168e-117,0.512566059412435,0.942,0.826,2.10650031784008e-113
"42","Dennd4a",1.45050866090499e-117,0.721952670459014,0.795,0.524,2.42379997237223e-113
"43","Tomm7",2.21007456055156e-117,-0.557525505271265,0.633,0.823,3.69303459068165e-113
"44","Ccr9",8.98370573649062e-115,-0.667005630977641,0.04,0.238,1.50117722856758e-110
"45","St6galnac3",1.95637046306721e-114,0.881621195538409,0.701,0.412,3.26909504378531e-110
"46","Setbp1",5.44153807650622e-114,0.871194598186718,0.516,0.226,9.09281012584189e-110
"47","Csn1s2a",1.01856152014915e-112,0.760512210579071,0.238,0.03,1.70201630016923e-108
"48","Cst7",3.53336598791829e-112,0.797437268852565,0.737,0.589,5.90425456581146e-108
"49","Cemip2",8.74326249043554e-111,0.779117511578887,0.579,0.283,1.46099916215178e-106
"50","S100a6",9.56416069441003e-111,0.782740259703645,0.579,0.274,1.59817125203592e-106
"51","Prdx6",1.27800081309539e-110,0.575007782564398,0.89,0.8,2.1355393586824e-106
"52","Dapk2",1.69859595127252e-109,0.694808135372723,0.586,0.292,2.83835383457637e-105
"53","Lgals3",9.80800594878012e-108,1.09979781536077,0.499,0.215,1.63891779404116e-103
"54","Malat1",1.9317730587658e-106,-0.56371041623146,0.997,0.997,3.22799278119766e-102
"55","Cmah",5.76118768078298e-106,-0.771388660054999,0.251,0.524,9.62694461458835e-102
"56","Tek",1.93033735529257e-105,-0.43297641356916,0.038,0.211,3.22559372069388e-101
"57","AU020206",2.38981091926958e-104,0.536335428856021,0.815,0.55,3.99337404609947e-100
"58","Pmepa1",2.49880751940552e-104,0.60278026908515,0.784,0.522,4.17550736492662e-100
"59","Emp3",4.65277881456317e-104,-0.662674216542904,0.442,0.713,7.77479339913506e-100
"60","Tcf7",2.41235391854799e-101,-0.719236776357509,0.561,0.789,4.03104339789368e-97
"61","Reep5",3.37432425910649e-99,0.591933345819799,0.771,0.617,5.63849583696694e-95
"62","Coro2a",1.69516201382902e-98,0.587929876591625,0.712,0.429,2.83261572510829e-94
"63","Arhgap15",3.09055245416854e-98,-0.643555423541821,0.862,0.963,5.16431315091562e-94
"64","Jaml",4.37841034257722e-97,0.715665869100887,0.665,0.424,7.31632368244654e-93
"65","Cox7c",4.66268498911022e-97,-0.489344398053889,0.722,0.865,7.79134661680317e-93
"66","Tuba1b",1.62143304426691e-96,-0.630438367156791,0.401,0.675,2.70941461697e-92
"67","Gm10260",2.59940275692514e-96,-0.409610995840833,0.967,0.962,4.34360200682191e-92
"68","Car2",2.78472460324631e-96,0.802107085575425,0.529,0.272,4.65327481202459e-92
"69","Dnajb1",7.9786435995888e-96,-0.564211341211637,0.542,0.772,1.33323134549129e-91
"70","Ccr7",2.28065227762259e-95,-0.68837584940146,0.329,0.608,3.81096995590734e-91
"71","Dapl1",2.2875293266353e-95,-0.876736288968552,0.1,0.314,3.82246150480758e-91
"72","Ndufa3",2.44990428675601e-95,-0.492292543825365,0.5,0.737,4.09379006316929e-91
"73","Klf2",5.66715290074758e-94,-0.675535235790885,0.481,0.744,9.46981249714921e-90
"74","Arf5",5.9827903723934e-94,0.47029651022897,0.871,0.81,9.99724271226937e-90
"75","Aff3",1.22558558058122e-93,-0.795461272204501,0.396,0.644,2.04795350515122e-89
"76","Litaf",2.87081043395556e-93,0.667639920598958,0.553,0.279,4.79712423513975e-89
"77","Rgs1",6.02251769670878e-92,0.843881319984995,0.74,0.485,1.00636270712004e-87
"78","Igfbp5",3.34794859962857e-91,0.47120332414453,0.213,0.032,5.59442210997933e-87
"79","Cish",4.18201920021038e-91,0.63229769530504,0.579,0.309,6.98815408355155e-87
"80","Sell",9.34525659082007e-91,-0.710149867312361,0.337,0.6,1.56159237632603e-86
"81","Cd52",2.75756509187386e-90,-0.464972826892962,0.952,0.97,4.60789126852122e-86
"82","Rgcc",5.99060675243167e-90,-0.582032167227392,0.093,0.303,1.00103038833133e-85
"83","Atp5k",3.46341071381402e-89,-0.474756574152194,0.336,0.58,5.78735930278323e-85
"84","Ybx3",6.5794092213052e-89,0.671551477776205,0.528,0.291,1.0994192808801e-84
"85","Mndal",6.6990691566094e-89,-0.483265011748433,0.2,0.438,1.11941445606943e-84
"86","Socs1",8.19223399724046e-89,0.696888853939256,0.758,0.542,1.36892230093888e-84
"87","Acot7",4.32303716395048e-88,0.601157431014756,0.493,0.256,7.22379510096125e-84
"88","Lrrk1",4.4744374276665e-88,0.57194818152401,0.403,0.16,7.47678494163071e-84
"89","Isg20",4.71872636429381e-88,0.699021294295245,0.555,0.294,7.88499175473496e-84
"90","Foxp1",5.25486775654912e-88,-0.696938245489302,0.837,0.918,8.78088402119358e-84
"91","Fasl",1.66031884307228e-86,0.537566406120116,0.597,0.325,2.77439278677377e-82
"92","Tagap",5.16935286234419e-86,-0.527579741268897,0.198,0.445,8.63798863297714e-82
"93","Bcl2l11",4.37962160650041e-85,0.698463010995573,0.623,0.398,7.31834770446218e-81
"94","Igflr1",4.51637960835717e-85,0.670579840710877,0.596,0.381,7.54687032556483e-81
"95","Tnfrsf9",4.55582826550621e-85,1.3729239775699,0.393,0.194,7.61278903166088e-81
"96","Il6st",6.53092966178338e-85,-0.623130870582484,0.256,0.485,1.091318346484e-80
"97","Il6ra",1.51908573197743e-84,-0.493632476472384,0.128,0.35,2.53839225813429e-80
"98","Gm21887",6.43096196068575e-84,-0.486064746642292,0.263,0.501,1.07461374363059e-79
"99","Tspan32",8.28462642310525e-84,-0.502781965828807,0.105,0.315,1.38436107530089e-79
"100","Klrc1",8.42619468848742e-84,0.65318476127432,0.362,0.13,1.40801713244625e-79
"101","Atp5mpl",8.83789740250174e-84,-0.470599330084194,0.586,0.775,1.47681265595804e-79
"102","St6gal1",1.99262096994864e-82,-0.575079732811419,0.186,0.412,3.32966964078418e-78
"103","Capg",3.84838619295729e-82,0.651617145179463,0.561,0.303,6.43065332843163e-78
"104","Ndufb1-ps",4.36548172700417e-82,-0.48075684068127,0.409,0.629,7.29471996582397e-78
"105","Pdcd1",2.35808442883025e-81,1.17409968166573,0.335,0.126,3.94035908057535e-77
