"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Csn2",2.10026243005475e-16,1.13185060350206,0.576,0.104,3.50953852062149e-12
"2","Gm8909",5.74061273376034e-16,1.27283963095411,0.791,0.504,9.59256387811353e-12
"3","Gm11808",4.13373378318266e-15,-1.27051307384283,0.388,0.808,6.90746915169822e-11
"4","Csn3",1.61246209993191e-14,1.35348232654688,0.496,0.08,2.69442416898622e-10
"5","H2-Q2",1.79681184725423e-13,1.15382496427198,0.784,0.568,3.00247259676182e-09
"6","Spp1",1.65611556753486e-11,1.19546040678041,0.439,0.088,2.76736911335075e-07
"7","Tomm7",1.29355155301423e-09,-0.863149979279714,0.381,0.728,2.16152464508678e-05
"8","Lcn2",3.07853530114931e-09,1.00248642826315,0.324,0.04,5.14423248822049e-05
"9","Gm19951",1.15649827889719e-08,-0.766145566887222,0.698,0.92,0.000193250862403721
"10","Bola2",5.33202005412997e-08,-0.391497594004267,0.151,0.448,0.000890980551045117
"11","Son",5.49046866732208e-08,-0.587343458306214,0.64,0.912,0.000917457314309519
"12","Trf",6.20243260251326e-08,1.06868003282012,0.525,0.208,0.00103642648787997
"13","Dad1",6.84333606514082e-08,0.349452224259036,0.662,0.752,0.00114352145648503
"14","Tspan13",1.13095120711066e-07,0.724924689269091,0.705,0.664,0.00188981946708192
"15","Pde1c",1.30973521345992e-07,-0.66779534352901,0.036,0.272,0.00218856754169152
"16","Pdpk1",1.32612928753535e-07,-0.277129770868931,0.151,0.424,0.00221596203947156
"17","Csn1s1",1.38580403984842e-07,0.837431835010051,0.331,0.064,0.0023156785505867
"18","Chd3",1.62309440190748e-07,-0.670532909810005,0.561,0.856,0.00271219074558741
"19","Afm",3.22093262222363e-07,-0.37005273479216,0.108,0.376,0.00538217841173569
"20","Sec61g",4.58490819659e-07,-0.632341799977864,0.403,0.728,0.00766138159650188
"21","Ywhaq",6.16200475346117e-07,-0.542752506504465,0.252,0.568,0.0102967099430336
"22","Cox7c",7.90637963694057e-07,-0.656847440286191,0.504,0.784,0.0132115603733277
"23","Epc2",8.71400210705453e-07,-0.324064280052937,0.137,0.4,0.0145610975208881
"24","Fryl",1.37706110434306e-06,-0.651555040462589,0.561,0.848,0.0230106910535725
"25","Gng2",1.42937606489825e-06,-0.704406369024317,0.374,0.688,0.0238848740444498
"26","Zcchc7",1.52035583798016e-06,-0.437500884940669,0.388,0.696,0.0254051460526484
"27","Ndufa3",1.59251007215238e-06,-0.46916654858652,0.281,0.592,0.0266108433056663
"28","Atp5k",1.74945376079768e-06,-0.536072570627426,0.18,0.472,0.0292333723429292
"29","Gm21887",1.92419549149398e-06,-0.556652709617236,0.086,0.336,0.0321533066628644
"30","Glcci1",1.97379318211914e-06,-0.518608755687055,0.41,0.72,0.0329820840732109
"31","Nfatc1",1.99648171020252e-06,-0.420115638796776,0.353,0.664,0.0333612093774841
"32","Eif3j1",2.01876626459686e-06,-0.379455524592969,0.129,0.392,0.0337335842814135
"33","Ltf",2.16455678453196e-06,0.841898170030915,0.245,0.048,0.0361697438695291
"34","Ddx11",2.37293989807666e-06,-0.339127420940855,0,0.12,0.039651825696861
"35","Il16",2.57092748199531e-06,-0.276661653667114,0.381,0.664,0.0429601982241416
"36","Gm26740",2.69058644640945e-06,-0.591413189080087,0.432,0.736,0.0449596995195019
