"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",1.22445341751862e-149,-1.39746135420875,0.693,0.91,2.04606166067362e-145
"2","Uba52",1.33910593458215e-89,-1.21883797903255,0.723,0.885,2.23764601668678e-85
"3","Pde1c",6.07442435217857e-69,-0.957867086883665,0.066,0.419,1.01503630924904e-64
"4","Csn2",1.38308949474489e-68,1.15713770166607,0.483,0.064,2.31114254571871e-64
"5","Csn3",1.14048092360956e-58,1.05548783919591,0.459,0.079,1.90574362335157e-54
"6","Nkg7",1.04067916364841e-51,0.713111161947203,0.97,0.872,1.73897488245649e-47
"7","Tek",1.44048840179545e-51,-0.630186687860276,0.024,0.273,2.40705611940019e-47
"8","Snrpg",3.70010109839922e-49,-0.631061400798236,0.801,0.916,6.1828689354251e-45
"9","Gm8909",3.7266374446272e-49,0.878960981880388,0.718,0.447,6.22721116997206e-45
"10","Bcl2",4.98919040000725e-42,0.703456444692585,0.962,0.8,8.33693715841211e-38
"11","AW112010",1.43105943628522e-41,0.659855347821591,0.962,0.819,2.39130031803261e-37
"12","Cox7c",1.59590910632388e-40,-0.609436407148676,0.686,0.844,2.6667641166672e-36
"13","Trf",3.86966129080007e-40,0.843926863674295,0.379,0.088,6.46620401692691e-36
"14","Srgn",5.90549880367449e-40,0.60095345977608,0.967,0.89,9.86808850094008e-36
"15","Hspa1b",1.37394005365541e-39,-0.793615772499809,0.062,0.322,2.2958538296582e-35
"16","Tomm7",3.47174448562501e-39,-0.610444872439777,0.593,0.815,5.80128503547939e-35
"17","Tuba1b",3.77128721272937e-38,-0.911775961681417,0.328,0.61,6.30182093247078e-34
"18","Cox4i1",1.07968029284664e-37,0.461942897847436,0.956,0.932,1.80414576934673e-33
"19","Ly6e",1.72915388771329e-37,0.520652750383936,0.982,0.925,2.88941614636891e-33
"20","Spp1",3.01592685153356e-37,0.750784570768221,0.377,0.088,5.03961376891258e-33
"21","Gm19951",9.1701526764516e-37,-0.794751059612971,0.688,0.877,1.53233251223506e-32
"22","Hexb",6.60420404597118e-36,-0.726052271350236,0.929,0.956,1.10356249608178e-31
"23","Csn1s1",1.78205529513787e-35,0.706253093830196,0.31,0.053,2.97781439817537e-31
"24","Wfdc18",3.20376346296346e-35,0.672003321786671,0.303,0.046,5.35348874661194e-31
"25","Gm47283",1.16287621068471e-34,-0.767567975612046,0.649,0.837,1.94316614805414e-30
"26","Lcn2",4.05285325421032e-33,0.716050840390934,0.306,0.057,6.77231778778544e-29
"27","Tmsb10",4.60714200580824e-33,-0.506280808890421,0.994,0.987,7.69853429170558e-29
"28","H2-Q2",5.63185144997339e-33,0.723844203405139,0.707,0.5,9.41082377290553e-29
"29","Ltf",7.84510435621388e-33,0.604061187281119,0.261,0.033,1.31091693792334e-28
"30","Rnaset2a",1.52562320176224e-32,-0.606001918792224,0.351,0.639,2.5493163701447e-28
"31","Ctsw",4.43385253331799e-32,0.457886056022378,0.965,0.833,7.40896758317436e-28
"32","Fah",9.21346738015525e-32,-0.391284799761133,0.111,0.372,1.53957039922394e-27
"33","Lef1",1.2165049589031e-30,-0.940908409490975,0.604,0.819,2.03277978632709e-26
"34","Arhgef1",1.70131782269504e-30,-0.536204032514147,0.834,0.947,2.84290208172341e-26
"35","Isg20",4.32642607622572e-29,0.719050046846439,0.617,0.355,7.22945797337318e-25
"36","Atp5d",5.93755580527915e-29,0.499503219950972,0.917,0.866,9.92165575062147e-25
"37","Gm48099",2.06135374515245e-28,-0.585988297206776,0.169,0.432,3.44452210814974e-24
"38","Tigit",4.93602119972144e-28,0.699903833263594,0.528,0.256,8.24809142473452e-24
"39","Ndufb1-ps",7.37647808150627e-28,-0.545947953326072,0.357,0.619,1.2326094874197e-23
"40","Prdx6",1.90200134590971e-27,0.544236965315514,0.908,0.824,3.17824424901512e-23
"41","Slc15a2",2.69964822513664e-27,-0.670482510333022,0.322,0.595,4.51111218420333e-23
"42","Atp5mpl",4.14718050599922e-27,-0.535175108320146,0.574,0.78,6.9299386255247e-23
"43","Ripor2",1.33676784138286e-26,-0.771062560800479,0.692,0.857,2.23373906295076e-22
"44","Ostf1",1.6260719367792e-26,0.510846942604196,0.906,0.819,2.71716620635805e-22
"45","Pmepa1",1.75290793533415e-26,0.634197020157409,0.809,0.615,2.92910915994337e-22
"46","Ndufa3",2.09482429097639e-26,-0.509846464377453,0.448,0.705,3.50045139022155e-22
"47","Ifngr1",5.17267088445018e-26,0.481738560721516,0.959,0.828,8.64353304791625e-22
"48","Arf5",7.3821074828078e-26,0.506818693218683,0.88,0.789,1.23355016037718e-21
"49","Setbp1",2.23721850286627e-25,0.72022231518314,0.54,0.275,3.73839211828954e-21
"50","Bola2",4.53173093373126e-25,-0.513370712733618,0.385,0.637,7.57252239026493e-21
"51","Dgka",7.73934438009696e-25,-0.63423052926699,0.644,0.848,1.2932444459142e-20
"52","Gm21887",9.75815891643802e-25,-0.508703951091452,0.226,0.482,1.63058835493679e-20
"53","Atp5k",1.01930991003828e-24,-0.451544291717872,0.288,0.557,1.70326685967397e-20
"54","Dnajb1",3.14935035061107e-24,-0.484921149868447,0.565,0.815,5.2625644358711e-20
"55","Atp5e",3.83220046426553e-24,-0.41356138745773,0.902,0.927,6.40360697578771e-20
"56","Malat1",4.05384182931138e-24,-0.603231089621159,0.996,0.996,6.77396969677932e-20
"57","Ndufb9",1.46353102444139e-23,0.48793453327293,0.727,0.593,2.44556034184156e-19
"58","Clnk",2.56373509433268e-23,0.781327826465635,0.473,0.216,4.28400134262991e-19
"59","Eif3f",4.07259207158678e-23,0.380769229235848,0.962,0.947,6.8053013516215e-19
"60","Son",4.27495266949583e-23,-0.47212539907037,0.739,0.89,7.14344591072753e-19
"61","Myl6",8.11334144511637e-23,0.41598074962202,0.969,0.945,1.35573935547895e-18
"62","Dapl1",9.06582024938162e-23,-0.731000611124091,0.078,0.26,1.51489856367167e-18
"63","Hspa1a",1.03383523037189e-22,-0.608416935288358,0.057,0.233,1.72753866995143e-18
"64","AU020206",1.82711102087378e-22,0.562540420942693,0.847,0.674,3.05310251588009e-18
"65","Cdk8",2.09466216548162e-22,-0.552216505307027,0.993,0.996,3.50018047851978e-18
"66","Cemip2",6.30975034690142e-22,0.73964591602951,0.594,0.35,1.05435928296723e-17
"67","Itgb1",8.17107160169691e-22,0.481721569150737,0.85,0.667,1.36538606464355e-17
"68","Dennd4a",8.7314695757324e-22,0.495521423170017,0.811,0.586,1.45902856610488e-17
"69","Npm1",9.28872646538565e-22,0.411780633805925,0.966,0.938,1.55214619236594e-17
"70","Sh2d2a",1.02549722372869e-21,0.564669879051561,0.782,0.634,1.71360586085064e-17
"71","S1pr1",1.15184380834607e-21,-0.645425276182601,0.219,0.452,1.92473100374628e-17
"72","Bcl2l11",1.78227240276069e-21,0.662422938850966,0.627,0.423,2.97817718501312e-17
"73","Dusp2",3.4441905928535e-21,0.527074918584136,0.918,0.806,5.7552424806582e-17
"74","Dapk2",3.82920573284847e-21,0.54258355387053,0.603,0.368,6.39860277958979e-17
"75","Reep5",4.07262220039483e-21,0.500482562123401,0.764,0.634,6.80535169685976e-17
"76","Csn1s2a",1.33634265915098e-20,0.551485089373401,0.212,0.042,2.23302858344129e-16
"77","Mndal",2.52265102302654e-20,-0.399919693697535,0.179,0.401,4.21534985947734e-16
"78","St6galnac3",7.48932538135034e-20,0.794052316109965,0.692,0.485,1.25146627122364e-15
"79","Btf3",8.91651624574221e-20,0.396891744757616,0.952,0.899,1.48994986466352e-15
"80","Socs1",1.18728249284691e-19,0.633613291275233,0.741,0.597,1.98394904554719e-15
"81","Clic1",2.0490404524935e-19,0.378764129397199,0.928,0.905,3.42394659611665e-15
"82","Runx1",2.89334624108964e-19,-0.685929299144727,0.148,0.337,4.83478156886079e-15
"83","Npm3",3.46242476392436e-19,0.454857818156839,0.749,0.656,5.78571178051761e-15
"84","Hypk",8.02334324231474e-19,-0.309272176214581,0.218,0.445,1.34070065579079e-14
"85","Igfbp5",2.55646458002649e-18,0.388810092207209,0.196,0.04,4.27185231322427e-14
"86","Emp3",3.47087961027667e-18,-0.558554532627045,0.416,0.634,5.79983982877232e-14
"87","Itga4",4.86747307379104e-18,-0.546948109956764,0.175,0.385,8.13354750630483e-14
"88","Igflr1",7.17355674535096e-18,0.534523319639383,0.53,0.366,1.19870133214814e-13
"89","Il6ra",9.95619911865063e-18,-0.373285231343456,0.104,0.284,1.66368087272652e-13
"90","Flt3l",1.23122079383247e-17,0.500443864569608,0.639,0.518,2.05736994649406e-13
"91","Atp5g2",1.30985386085435e-17,0.358884392835723,0.952,0.919,2.18876580148763e-13
"92","Eif3k",1.31305963683554e-17,0.380793164528824,0.869,0.813,2.19412265315219e-13
"93","1700025G04Rik",1.33882044778658e-17,0.477317633445089,0.739,0.537,2.23716896825138e-13
"94","Cyba",1.56573856942154e-17,0.435044277204661,0.91,0.837,2.61634914950339e-13
"95","Il7r",1.92830939449735e-17,-0.65642908772292,0.368,0.595,3.22220499820507e-13
"96","Ctla2a",2.02205063626234e-17,0.514639579574531,0.752,0.54,3.37884661319437e-13
"97","Amd1",2.14797026929048e-17,-0.280652457677132,0.12,0.304,3.58925831998439e-13
"98","H3f3b",3.48996432099647e-17,0.356798501967371,0.984,0.96,5.83173038038509e-13
"99","Pet100",4.05110843651581e-17,-0.316696226250262,0.159,0.359,6.76940219741792e-13
"100","Pag1",5.2385518859926e-17,-0.544818410509922,0.41,0.634,8.75362020149364e-13
"101","Trat1",6.51317445909917e-17,-0.430147387556526,0.038,0.165,1.08835145211547e-12
"102","Gimap7",7.03653948476815e-17,0.461610542196529,0.788,0.667,1.17580574790476e-12
"103","Atp5md",7.52452488570921e-17,-0.417440494105369,0.526,0.72,1.25734810840201e-12
"104","Tubb5",9.56847585060397e-17,-0.51096962309843,0.782,0.883,1.59889231463592e-12
"105","Pacsin1",1.06066892253656e-16,0.555768313249878,0.597,0.487,1.77237776955859e-12
"106","Jaml",1.21288377167518e-16,0.510882686435972,0.667,0.493,2.02672878246922e-12
"107","Selplg",1.80166012591995e-16,0.342662022626286,0.966,0.941,3.01057407041224e-12
"108","Mmp16",1.81432695068785e-16,0.631473596172387,0.368,0.17,3.0317403345994e-12
"109","Rack1",2.1789328076315e-16,0.291678918692312,0.989,0.967,3.64099672155223e-12
"110","Sh3bgrl3",2.6873727434126e-16,0.359376604496797,0.928,0.896,4.49059985424245e-12
"111","Filip1l",3.37871932246977e-16,-0.438733971830706,0.659,0.835,5.64583998784699e-12
"112","Clta",5.10148657048687e-16,0.366074854595045,0.908,0.874,8.52458405928357e-12
"113","Il2rb",5.3099830463148e-16,0.37231338501444,0.87,0.718,8.87298167039203e-12
"114","Ikzf2",6.76209644890658e-16,-0.405843646303119,0.04,0.165,1.12994631661229e-11
"115","Cd3d",7.71206225292404e-16,0.319055543142934,0.965,0.938,1.28868560246361e-11
"116","Cst7",9.46951473977818e-16,0.441451949949761,0.714,0.597,1.58235591301693e-11
"117","Sec61g",1.12575317951517e-15,-0.39067588114846,0.615,0.773,1.88113356296984e-11
"118","Hscb",1.24332798748403e-15,0.325998910645648,0.384,0.3,2.07760106708581e-11
"119","Fth1",1.26329679400818e-15,0.381934045646576,0.982,0.947,2.11096894278766e-11
"120","N4bp1",1.92703419322729e-15,0.438963522282147,0.492,0.35,3.2200741368828e-11
"121","Ndufa5",1.97762192300818e-15,-0.34029775998298,0.325,0.542,3.30460623334667e-11
"122","Med10",2.0120742232665e-15,0.414247374377171,0.666,0.551,3.36217602707833e-11
"123","Tma7",2.57249443606654e-15,-0.36574678186943,0.714,0.841,4.29863820266719e-11
"124","Oaz1",2.90775023235644e-15,0.310992148459428,0.97,0.96,4.85885063826761e-11
"125","Crip1",3.14543094362566e-15,-0.419473003405489,0.884,0.899,5.25601510679848e-11
"126","Plaat3",3.39045771418573e-15,0.387511350520276,0.604,0.52,5.66545484040436e-11
"127","Tuba1a",3.63911245966072e-15,-0.412385997606553,0.264,0.463,6.08095692009307e-11
"128","Ccr9",4.23335613553256e-15,-0.385567645410497,0.018,0.108,7.07393810247492e-11
"129","Cd52",4.58943324867715e-15,-0.383831829595545,0.959,0.969,7.66894295853952e-11
"130","Prelid2",5.53838754945851e-15,0.448076283505966,0.638,0.524,9.25464559514517e-11
"131","Vps37b",6.48733992564097e-15,0.469110255056584,0.875,0.773,1.08403450157461e-10
"132","Ddx18",6.98464173591361e-15,-0.393417626707602,0.329,0.54,1.16713363407116e-10
"133","Gnas",7.12492804870341e-15,0.307567821609373,0.959,0.905,1.19057547693834e-10
"134","Gramd3",7.89763334158719e-15,0.333231804123799,0.923,0.804,1.31969453137922e-10
"135","Litaf",8.39207027104054e-15,0.536706528121836,0.454,0.304,1.40231494229087e-10
"136","Tagap",8.88106269621312e-15,-0.378144543779733,0.182,0.372,1.48402557653721e-10
"137","Hsph1",8.89150837912453e-15,-0.429223170149501,0.479,0.674,1.48577105015171e-10
"138","Gclm",9.4128391084768e-15,0.443562104953145,0.51,0.361,1.57288541502647e-10
"139","Klhl6",1.4660404725627e-14,0.471295240578735,0.849,0.784,2.44975362965226e-10
"140","Pfdn5",1.75549450504387e-14,0.351993153623323,0.944,0.89,2.9334313179283e-10
"141","Il1rapl1",1.98652940717794e-14,-0.279720705132997,0.179,0.363,3.31949063939434e-10
"142","Cdh1",2.23332618646485e-14,0.481530968639748,0.576,0.368,3.73188805758277e-10
"143","Inpp4b",3.29112482230729e-14,0.342811698693786,0.958,0.899,5.49946957807549e-10
"144","AY036118",3.66876186221812e-14,-0.445307720622373,0.926,0.963,6.13050107176648e-10
"145","Hspe1",3.67656964038363e-14,-0.392176778217853,0.762,0.872,6.14354786908104e-10
"146","1600014C10Rik",3.71922939684879e-14,0.519642408838115,0.542,0.405,6.21483232213433e-10
"147","Csnk2b",3.79650467923791e-14,0.337935566439085,0.741,0.685,6.34395931900654e-10
"148","Gpr155",4.27592680749123e-14,0.435397938937159,0.3,0.148,7.14507369531784e-10
