"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",9.37165968664467e-43,-1.38541193473497,0.498,0.928,1.56600433363833e-38
"2","Csn3",1.84361401802759e-29,1.6495783179746,0.514,0.052,3.08067902412411e-25
"3","Csn2",2.03399292066672e-21,1.46690102486211,0.477,0.085,3.39880217043408e-17
"4","Trf",1.22966279014445e-17,1.2394091134207,0.45,0.098,2.05476652233137e-13
"5","Gm47283",1.29634793416831e-16,-0.833135162694311,0.473,0.83,2.16619739799524e-12
"6","Lcn2",9.19346782511888e-16,1.01257635530047,0.357,0.046,1.53622847357737e-11
"7","Gm21887",1.10195400565924e-15,-0.557103073217474,0.152,0.497,1.8413651434566e-11
"8","Gm8909",2.3976860301316e-15,0.970794599110773,0.661,0.516,4.00653335634991e-11
"9","Ndufb1-ps",2.60837245777479e-15,-0.691483698327961,0.211,0.575,4.35859037694168e-11
"10","Spp1",6.49631971896089e-15,1.25575813273508,0.377,0.072,1.08553502503836e-10
"11","Atp5k",1.09780441618437e-14,-0.593739023485635,0.189,0.536,1.83443117944409e-10
"12","Gm19951",1.82648253939775e-14,-0.485111410154625,0.62,0.928,3.05205232333363e-10
"13","Wfdc18",1.41850514334352e-13,1.07540776067696,0.32,0.046,2.37032209452702e-09
"14","Uba52",2.63803722468994e-13,-0.780082753186679,0.536,0.804,4.40816020245689e-09
"15","Cox7c",4.82457446030717e-13,-0.652421574920504,0.52,0.837,8.06186392317328e-09
"16","Ndufa3",6.22040624301407e-13,-0.473809714622135,0.309,0.647,1.03942988320765e-08
"17","Atp5md",9.05790764852882e-13,-0.670588880477549,0.37,0.712,1.51357636806917e-08
"18","Hexb",1.42556369143916e-12,-0.852769784360024,0.861,0.941,2.38211692839484e-08
"19","Gatad2a",1.56013859191299e-12,-0.252126512423803,0.32,0.627,2.6069915870866e-08
"20","Cd52",2.03532081434369e-12,-0.645544767104056,0.893,0.941,3.40102108076831e-08
"21","Nufip2",2.08127184021642e-12,-0.363716871598696,0.264,0.569,3.47780524500164e-08
