"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",1.52060222573993e-22,-1.3110967115033,0.646,1,2.54092631921143e-18
"2","Gm19951",2.24777313344946e-12,-1.00265252172197,0.787,0.952,3.75602890599405e-08
"3","Uba52",1.95564227463749e-11,-1.07692309497009,0.725,0.935,3.26787824091925e-07
"4","Csn3",4.04076895412691e-11,1.23635437646555,0.427,0.016,6.75212492234607e-07
"5","Hexb",1.65150600473384e-10,-1.06911060987097,0.938,0.984,2.75966653391024e-06
"6","Atp5md",4.51569924171834e-10,-0.768753944506523,0.433,0.871,7.54573343291134e-06
"7","Csn2",5.95639195843321e-10,1.15389144403479,0.489,0.065,9.9531309625419e-06
"8","Pde1c",6.2081308470131e-10,-0.921750431998283,0.062,0.435,1.03737866453589e-05
"9","Tuba1b",1.94670643849324e-09,-0.75815611091753,0.27,0.726,3.25294645872221e-05
"10","Mndal",2.89332801067111e-09,-0.877876760816119,0.376,0.79,4.83475110583143e-05
"11","Bcl2",7.14911108805149e-09,0.954190683810123,0.938,0.79,0.00011946164628134
"12","Gm8909",1.47774047879694e-08,1.07654425493585,0.809,0.516,0.000246930434006969
"13","Gm48099",3.46393349998611e-08,-0.780016347114785,0.18,0.581,0.000578823287847679
"14","Tmsb10",7.20353401701765e-08,-0.552889938081542,0.994,1,0.00120371053424365
"15","Spp1",7.44656666422679e-08,0.922534202719066,0.421,0.081,0.0012443212895923
"16","Park7",7.93261651503634e-08,0.402830407472034,0.708,0.806,0.00132554021966257
"17","Atp5d",9.46797048446787e-08,0.618147505475712,0.921,0.887,0.00158209786795458
"18","Sec61g",1.00539970230517e-07,-0.670205249193877,0.652,0.871,0.00168002290255193
"19","Gm47283",1.7604828592222e-07,-0.894117868098565,0.511,0.806,0.00294176685776029
"20","Chchd2",2.59748138677659e-07,-0.530046350093732,0.702,0.968,0.00434039139730368
"21","Cox7c",2.75337791229724e-07,-0.677079267034971,0.64,0.919,0.00460089449144868
"22","Lef1",2.8532170266892e-07,-1.27835199173765,0.427,0.726,0.00476772565159766
"23","Cd52",4.13871785593442e-07,-0.5728585754539,0.961,1,0.00691579753726642
"24","U2af2",5.16923571685088e-07,-0.279850167125255,0.326,0.661,0.00863779288285782
"25","Cst7",9.19444494147855e-07,0.69501427054687,0.742,0.677,0.0153639174972106
"26","Gm21887",1.12916935966473e-06,-0.512859837835202,0.191,0.548,0.0188684199999977
"27","Arhgef1",1.25972885517622e-06,-0.57744909914477,0.848,0.984,0.0210500691699947
"28","Jarid2",1.67723946820291e-06,-0.761365230787314,0.343,0.71,0.0280266715136707
"29","Ltf",1.75976851962031e-06,0.645435458907947,0.27,0.016,0.0294057319628553
"30","Eif3f",1.77746520992368e-06,0.580428528913854,0.989,0.935,0.0297014436578247
"31","Tomm7",1.96590853326886e-06,-0.585636452555502,0.573,0.871,0.0328503315909226
"32","Csn1s2a",2.29456079546058e-06,0.747817437058779,0.315,0.048,0.0383421108921464
"33","Mitd1",2.72020457139804e-06,-0.311390298310211,0.393,0.742,0.0454546183880612
"34","Csn1s1",2.94200907322671e-06,0.684349982272927,0.303,0.032,0.0491609716136183
