"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Uba52",2.53373838993609e-100,-1.24204854563819,0.845,0.929,4.2338768495832e-96
"2","Gm11808",4.66266503819238e-99,-1.0656170573907,0.873,0.931,7.79131327881947e-95
"3","Csn2",1.28109137787969e-70,0.856015567467726,0.416,0.028,2.14070369243695e-66
"4","Hspa1b",2.2039160122936e-63,-1.49143836446335,0.016,0.425,3.68274365654261e-59
"5","Spp1",6.29004326589924e-60,0.768970088575881,0.349,0.017,1.05106622973176e-55
"6","Hspa1a",1.21608612227215e-48,-1.20907808706045,0.023,0.369,2.03207991031677e-44
"7","Trf",5.62385332120589e-47,0.613984721981002,0.302,0.021,9.39745889973505e-43
"8","Lcn2",1.49750783762287e-44,0.59957980885676,0.274,0.015,2.50233559666782e-40
"9","Gm19951",2.60030406139326e-39,-0.808798482289658,0.84,0.939,4.34510808658814e-35
"10","Csn3",2.63698518734972e-38,0.612227876710173,0.289,0.031,4.40640224806139e-34
"11","Csn1s1",4.23155288976948e-38,0.519548587893551,0.243,0.016,7.0709248788048e-34
"12","Prelid2",4.72720679336525e-36,0.792649792549828,0.669,0.352,7.89916255171334e-32
"13","Malat1",3.66047890289115e-34,-0.631946448836779,1,1,6.11666024673112e-30
"14","Wfdc18",1.22576962738165e-32,0.468627854853751,0.238,0.022,2.04826104735473e-28
"15","Coro2a",2.66987390195901e-30,0.707125064924022,0.411,0.129,4.4613592901735e-26
"16","Ly6e",3.18707852371788e-29,0.632721642202846,0.956,0.859,5.32560821313258e-25
"17","Slc15a2",7.38579641976257e-29,-0.794727183182897,0.517,0.756,1.23416658174233e-24
"18","Socs3",2.94872318786112e-28,0.866226748902881,0.444,0.191,4.92731644691592e-24
"19","Plac8",1.61660438589984e-27,0.806256368433249,0.351,0.098,2.70134592883863e-23
"20","Bcl2",6.73530189131985e-27,0.799852578216485,0.897,0.675,1.12546894603955e-22
"21","Csn1s2a",1.40438243006793e-25,0.387258896295307,0.181,0.015,2.3467230406435e-21
