"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Csn3",2.2895680527473e-14,1.52092994377236,0.454,0.028,3.82586821614074e-10
"2","Gm11808",1.54530817525527e-13,-0.852196312835453,0.662,0.958,2.58220996085155e-09
"3","Cd4",2.17253037184842e-13,-1.39839798585008,0.142,0.556,3.63029825135872e-09
"4","Cd8b1",3.76418100843146e-11,0.394106414586349,0.779,0.403,6.28994646508896e-07
"5","Trav13n-4",4.2956634134778e-10,-1.78971927070593,0.089,0.361,7.1780535639214e-06
"6","Eif3f",7.57091293635363e-10,0.567646228819878,0.932,0.931,1.26509955166469e-05
"7","Csn2",1.1855975986774e-09,1.62485617296647,0.488,0.139,1.98113358738994e-05
"8","Rack1",1.93027101646132e-09,0.450092175276331,0.949,1,3.22548286850686e-05
"9","Gm47283",3.86216954413949e-09,-0.811919091619122,0.611,0.861,6.45368530825709e-05
"10","Rnaset2b",8.20826989357532e-09,-0.597869554437438,0.444,0.806,0.000137160189921644
"11","Cxcr6",1.09618443958834e-08,-0.718314721254779,0.805,0.986,0.000183172419855212
"12","Trav4-3",1.72091208757952e-08,-1.62432377312408,0.013,0.125,0.000287564409834538
"13","Cd247",2.48877614997476e-08,-0.601341152987741,0.614,0.903,0.000415874494660782
"14","Csn1s1",2.91560483241365e-08,1.19529942435005,0.333,0.042,0.000487197567496322
"15","Gm7247",3.90648972494299e-08,-0.592059861859851,0.125,0.431,0.000652774433037974
"16","Chchd2",5.38574309742678e-08,-0.518622522827312,0.732,0.944,0.000899957671580015
"17","Ccl5",1.13042041251993e-07,-0.68801815802874,0.686,0.944,0.00188893250932081
"18","Trf",1.18747222783151e-07,1.09981808521851,0.478,0.194,0.00198426609270646
"19","Cox6c",1.35819753925368e-07,-0.567825019762714,0.794,0.944,0.0022695480880929
"20","Gm8909",2.25515374764989e-07,0.750779003986658,0.732,0.653,0.00376836191232296
"21","Hdac9",2.78305435993886e-07,0.963165705588811,0.416,0.111,0.00465048383545783
"22","Dnajb1",2.79864668773106e-07,-0.776910267215481,0.416,0.694,0.0046765386151986
"23","Sec61g",2.86464471780159e-07,-0.480477303154631,0.66,0.931,0.00478682132344646
"24","Slc15a2",3.19462386078553e-07,-0.689068813996757,0.357,0.667,0.00533821647137261
"25","Col6a3",5.44185093237923e-07,-0.25635759976071,0.021,0.194,0.00909333290800569
"26","S100a11",5.8102761458536e-07,-0.470587655464337,0.887,0.986,0.00970897143972137
"27","Hsph1",7.22085560707289e-07,-0.680774373222658,0.363,0.681,0.0120660497194188
"28","Cd8a",8.95459890485749e-07,0.471436945255823,0.896,0.778,0.0149631347700169
"29","Atp5mpl",9.88245931625566e-07,-0.580185605913137,0.533,0.806,0.0165135895174632
"30","Hspa8",1.04174383573015e-06,-0.472132756842086,0.96,1,0.0174075394950508
"31","Rsrp1",1.04308665344425e-06,-0.408794867331399,0.885,1,0.0174299779790534
"32","Ccl4",1.36553185421989e-06,-0.747643251370022,0.176,0.458,0.0228180372840143
"33","Vav3",1.40127626116806e-06,-0.616075615098759,0.367,0.681,0.0234153263241183
"34","H2-Q2",1.52980147841246e-06,0.709587615663465,0.739,0.528,0.0255629827042721
"35","Lcn2",2.16743601350261e-06,1.30925595109013,0.338,0.083,0.0362178557856287
"36","Zfp36l2",2.17958789305151e-06,-0.567710152902491,0.913,0.986,0.0364209136928907
"37","Atp5e",2.18125005437544e-06,-0.421757574557479,0.892,0.972,0.0364486884086137
"38","Ubl5",2.2574910638722e-06,-0.524185998515931,0.754,0.931,0.0377226756773044
