"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Tek",6.77704484783044e-20,-0.689197247159647,0.053,0.507,1.13244419407247e-15
"2","Atp5mpl",3.25642642129864e-18,-0.823916945066088,0.797,0.93,5.44148854999002e-14
"3","Gm11808",3.5768086523167e-16,-0.897050583378223,0.837,0.944,5.9768472580212e-12
"4","Ndufb1-ps",5.21675461783967e-15,-0.744024043969327,0.63,0.915,8.71719696641008e-11
"5","Snrpg",1.7702732514061e-14,-0.569989892731165,0.943,0.944,2.95812660309959e-10
"6","Cox7c",2.8919360376883e-14,-0.724995905837413,0.903,0.972,4.83242511897716e-10
"7","Csn2",3.2110497262712e-14,0.746846225336483,0.547,0.07,5.36566409259917e-10
"8","Sec61g",4.16062675757049e-14,-0.698954267558002,0.833,0.958,6.95240731190029e-10
"9","Tomm7",7.27392192736698e-14,-0.678803307560409,0.82,0.958,1.21547235406302e-09
"10","Pde1c",1.55119343241454e-13,-0.906357394599399,0.173,0.606,2.59204422556469e-09
"11","Fah",4.09581100362882e-13,-0.548065184401653,0.243,0.69,6.84410018706376e-09
"12","Polr2l",3.77310299141248e-12,-0.397566711273503,0.2,0.648,6.30485509865026e-08
"13","Uba52",3.91898609765592e-12,-0.779732573533944,0.873,0.958,6.54862576918304e-08
"14","Hist1h2ak",9.30747940405399e-12,-1.84719969640958,0.67,0.915,1.55527980841742e-07
"15","Gm11683",1.19096664584172e-11,-0.471772880509975,0.11,0.507,1.99010526520151e-07
"16","Atp5j2",1.43344401648578e-11,-0.604019043725625,0.947,0.986,2.39528495154774e-07
"17","Gm8909",1.64157442336531e-11,0.889247208149513,0.893,0.606,2.74307086144343e-07
"18","Prdx6",1.31353276791603e-10,0.642722391376864,0.963,0.944,2.19491325518769e-06
"19","Ctsw",4.46565435519278e-10,0.468652869873858,0.967,0.704,7.46210842752713e-06
"20","Cops9",6.04681874339526e-10,-0.480319060742536,0.683,0.859,1.01042341202135e-05
"21","Hist1h2ap",1.15563117549469e-09,-1.32600045642106,0.51,0.704,1.93105969425162e-05
"22","Ndufa3",1.89615528034055e-09,-0.533142856194194,0.68,0.901,3.16847547344906e-05
"23","Atp5md",2.2875085340887e-09,-0.520786368398158,0.783,0.93,3.82242676046221e-05
"24","Bcl2",2.32098899206095e-09,0.668086065525499,0.957,0.746,3.87837260573385e-05
"25","Sem1",2.49765419674078e-09,-0.489641666992533,0.917,0.915,4.17358016275384e-05
"26","Cox6c",4.05502082251218e-09,-0.510206746489381,0.94,0.958,6.77593979441786e-05
"27","Ostf1",1.1786590500441e-08,0.560648445519093,0.967,0.944,0.000196953927262369
"28","Mrps21",1.23146600795755e-08,-0.445932297395886,0.757,0.873,0.000205777969929707
"29","Hypk",3.03800600996414e-08,-0.462150323418807,0.43,0.775,0.000507650804265007
"30","Atp5k",4.22534487096104e-08,-0.490752177329614,0.557,0.831,0.000706055127937591
"31","Atp5e",4.58800401573401e-08,-0.493782852585563,0.95,0.986,0.000766655471029153
"32","Hist1h2ab",5.85606117590029e-08,-0.483222739771343,0.17,0.479,0.000978547822492939
"33","Romo1",1.31728369461274e-07,-0.480356115817618,0.587,0.831,0.00220118105369789
"34","Spp1",1.87228026463392e-07,0.632119204650617,0.6,0.239,0.00312858032220329
"35","Tmem258",1.95017968112905e-07,-0.429001863686867,0.837,0.915,0.00325875024716664
"36","Smad7",2.17928357321016e-07,0.618999238542358,0.813,0.676,0.00364158285083418
"37","Hspa1b",2.53702837732124e-07,-0.643797850160087,0.147,0.451,0.00423937441850379
"38","Ctla2a",3.49900425070568e-07,0.748711529518815,0.873,0.648,0.00584683610292918
"39","Cemip2",5.17022759610635e-07,0.76159437764603,0.78,0.577,0.00863945031309371
"40","Ndufa2",6.08512789461088e-07,-0.407094335963693,0.873,0.986,0.0101682487118948
"41","Klrg1",6.10669331946005e-07,-0.586044135153755,0.027,0.225,0.0102042845368177
"42","Smurf2",6.29868917139849e-07,0.583659844453105,0.86,0.62,0.0105251096054069
"43","Uqcr11",6.72821693415065e-07,-0.472266460611652,0.78,0.915,0.0112428504969657
"44","Foxp3",7.92512989591388e-07,-0.716339265782108,0.03,0.197,0.0132428920560721
"45","Klrd1",9.30608186039653e-07,0.489729893737148,0.83,0.521,0.0155504627887226
"46","Jaml",1.03311732689706e-06,0.5496629179006,0.797,0.479,0.0172633905324499
"47","Lmna",1.11092320617913e-06,-0.797930182729583,0.187,0.465,0.0185635267752532
"48","Itga2",1.16606411328517e-06,-0.322622921663867,0.04,0.254,0.0194849313329953
"49","Smyd3",1.44986021684982e-06,0.68651097126602,0.907,0.704,0.0242271642235604
"50","Hspa1a",1.46019438317954e-06,-0.384511175437922,0.153,0.451,0.0243998481429301
"51","Gm47283",1.65542594423701e-06,-0.620750883547217,0.863,0.93,0.0276621675282004
"52","Lilrb4a",1.84603585271552e-06,0.458194242537081,0.36,0.085,0.0308472590988763
"53","1810009A15Rik",2.21951947514318e-06,-0.252978512275407,0.167,0.465,0.0370881704296425
"54","Mrpl52",2.63484095437355e-06,-0.50989807234081,0.793,0.915,0.044028192347582
