"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",3.89828722401753e-37,-0.996772847967979,0.759,0.966,6.51403795133329e-33
"2","Csn3",5.88801669857921e-30,1.35195743483716,0.531,0.077,9.83887590332586e-26
"3","Trdc",3.01523636611604e-25,-0.976273235971945,0.248,0.721,5.0384599677799e-21
"4","Csn2",4.21517116222812e-25,1.69579464382959,0.521,0.101,7.04355101208318e-21
"5","Hexb",1.51014208449711e-21,-0.96343082497458,0.965,0.99,2.52344742319467e-17
"6","Gm47283",2.61205114724296e-21,-0.8639072859673,0.699,0.928,4.36473746704299e-17
"7","Lcn2",1.34082864115106e-20,0.936116539363323,0.357,0.038,2.24052465936343e-16
"8","Gm19951",3.92279879030251e-20,-0.81457053444537,0.787,0.942,6.5549967785955e-16
"9","Csn1s1",7.05572752454192e-18,1.11976795466054,0.374,0.067,1.17901206935095e-13
"10","Csn1s2a",3.41898951719311e-17,1.17392688353161,0.294,0.024,5.71313148322969e-13
"11","Rnaset2b",9.83314667627456e-17,-0.622359043566544,0.493,0.798,1.64311880960548e-12
"12","Wfdc18",1.30862609278411e-16,1.01445078693025,0.36,0.062,2.18671420104224e-12
"13","Gm43434",1.37396993226566e-16,-0.480642735066241,0.056,0.346,2.29590375681591e-12
"14","Tcrg-V4",3.29448560938094e-16,-0.894611156092987,0.22,0.582,5.50508545327556e-12
"15","Klf12",1.77938912742468e-15,-0.597924315906991,0.157,0.49,2.97335923192664e-11
"16","Cd8b1",4.24875411964829e-15,1.2566293571236,0.462,0.13,7.09966813393229e-11
"17","Cd8a",6.78353892872398e-15,1.15861360398185,0.64,0.303,1.13352935498978e-10
"18","Gm8909",7.36119016302146e-15,0.762350204214546,0.727,0.534,1.23005487624089e-10
"19","Tmsb10",3.25436610926372e-14,-0.462515138728301,0.993,0.99,5.43804576857968e-10
"20","Rnaset2a",1.09241978647672e-13,-0.604546925809551,0.584,0.841,1.82543346320260e-09
"21","Trav15-2-dv6-2",2.90473282267205e-13,-1.42996716731625,0.077,0.346,4.85380854668499e-09
"22","Fcer1g",6.73879644847758e-13,-0.752212044592165,0.703,0.909,1.1260528865406e-08
"23","Ltf",7.95622956767232e-13,0.678135758734345,0.297,0.062,1.32948596075804e-08
"24","Lalba",8.7523410096297e-13,0.323079363491589,0.157,0,1.46251618270912e-08
"25","Cox7c",9.31977698518238e-13,-0.493754411283882,0.783,0.947,1.55733473422398e-08
"26","Ikzf2",2.2921313893607e-12,-0.680745621478912,0.497,0.803,3.83015155162173e-08
"27","Rack1",2.35940739806174e-12,0.420834392201199,0.976,0.986,3.94256976216116e-08
"28","Gm30275",3.79667309910443e-12,-0.27728291691098,0.017,0.207,6.3442407486035e-08
"29","Eif3f",5.45504962578318e-12,0.416696048246115,0.965,0.981,9.1153879246837e-08
"30","Spp1",6.22344011280709e-12,0.800074003327186,0.514,0.212,1.03993684285006e-07
"31","Atp5e",7.02097105844711e-12,-0.432131174355289,0.951,0.981,1.17320426386651e-07
"32","Gm44174",7.95797451085508e-12,0.598363373127329,0.437,0.144,1.32977754076388e-07
"33","Cd52",9.73666546988458e-12,-0.509153342600802,0.976,0.99,1.62699680001771e-07
"34","Tomm7",1.16620389344093e-11,-0.502757100822332,0.682,0.894,1.9487267059398e-07
"35","H2-Q2",2.17425196687728e-11,0.555460177972011,0.738,0.611,3.63317503665194e-07
"36","Emb",2.22007686282141e-11,0.691299120344696,0.829,0.596,3.70974843777457e-07
"37","Igfbp5",4.60267615918505e-11,0.473442992801714,0.28,0.062,7.69107186199822e-07
"38","Gm20663",5.7039365658359e-11,-0.299727848722437,0.084,0.327,9.53127800151179e-07
"39","Malat1",8.12235683738321e-11,-0.418073106483648,1,0.995,1.35724582752673e-06
"40","Atp5mpl",1.21386387585802e-10,-0.436939726454728,0.657,0.88,2.02836653655875e-06
"41","AY036118",1.57081908817895e-10,-0.55823748101616,0.965,0.986,2.62483869634703e-06
"42","Fgfr2",1.79418958527199e-10,-0.491804738847581,0.462,0.731,2.9980907969895e-06
"43","Ubc",1.83735166192095e-10,-0.430771002257808,0.976,0.995,3.07021462706991e-06
"44","Atp5d",2.76874935848691e-10,0.330283169325527,0.937,0.947,4.62658017803163e-06
"45","Rsrp1",2.88140195453509e-10,-0.418366881124709,0.923,0.99,4.81482266602813e-06
"46","Gphn",3.26678814697965e-10,-0.47510265190882,0.878,0.981,5.458802993603e-06
"47","Hypk",3.69353210358156e-10,-0.349787048904279,0.311,0.606,6.17189214508478e-06
"48","Il31ra",3.9479898770655e-10,-0.547997168479384,0.846,0.947,6.59709108457644e-06
"49","Sec61g",4.26902339017849e-10,-0.412843499698066,0.703,0.909,7.13353808498826e-06
"50","Itgae",7.97388776930756e-10,-0.409360325491926,0.93,0.976,1.33243664625129e-05
"51","Filip1l",9.28661232135549e-10,-0.541780608434097,0.773,0.899,1.5517929188985e-05
"52","Ddx5",9.41931235789077e-10,-0.323361594204721,0.99,1,1.57396709500355e-05
"53","Cdk8",1.1734683638625e-09,-0.533775236978148,0.997,1,1.96086563601423e-05
"54","Gramd3",1.22709741453365e-09,0.807717178173112,0.671,0.423,2.05047977968573e-05
"55","Tma7",1.40054205755488e-09,-0.396666187323382,0.846,0.947,2.3403057781742e-05
"56","Dnajb1",1.66070180793594e-09,-0.590473878887245,0.528,0.774,2.77503272106095e-05
"57","Btf3",1.80715211023485e-09,0.361839435253378,0.958,0.962,3.01975117620243e-05
"58","Eif3i",1.85209488558963e-09,0.335044759588604,0.787,0.798,3.09485055382028e-05
"59","Pde1c",2.10093879560261e-09,-0.316047667331574,0.108,0.341,3.51066872745197e-05
"60","Hcst",2.15184050068956e-09,-0.471388638342903,0.888,0.962,3.59572547665225e-05
"61","Npm1",2.38251012815974e-09,0.417624967906924,0.969,0.971,3.98117442415493e-05
"62","Prelid2",2.44768081201695e-09,0.502001260066944,0.552,0.38,4.09007463688033e-05
"63","Cox6c",3.48154697697797e-09,-0.381961212623009,0.864,0.957,5.81766499853019e-05
"64","Afm",3.68044590684739e-09,-0.364486384073803,0.171,0.413,6.15002511034198e-05
"65","Lars2",3.69166070605433e-09,-0.394207999962763,0.955,0.995,6.16876503981679e-05
"66","Cmss1",4.37445436686669e-09,-0.454234454748414,1,1,7.30971324703424e-05
"67","Cd6",4.76550408875946e-09,0.697534865451258,0.51,0.269,7.96315733231705e-05
"68","Naca",4.93808277874862e-09,0.35788051512101,0.972,0.976,8.25153632328895e-05
"69","Akna",9.14043311751385e-09,-0.423254416897094,0.752,0.923,0.000152736637393656
"70","Rbm3",9.42751581709994e-09,0.382459713966514,0.951,0.966,0.00015753378930374
"71","Dpm3",9.86108074498314e-09,-0.413118777135421,0.465,0.712,0.000164778659248668
"72","Pag1",9.99227941554015e-09,-0.550693378971525,0.664,0.837,0.000166970989033676
"73","Ndufa5",1.07693798580026e-08,-0.303102231763986,0.472,0.74,0.000179956337427224
"74","Prex1",1.2715146336217e-08,-0.411743208835084,0.794,0.933,0.000212470095278187
"75","Npm3",1.30018347209656e-08,0.39093820989451,0.731,0.692,0.000217260658187336
"76","Cox4i1",1.40978750207777e-08,0.265197451822988,0.955,0.971,0.000235575491597195
"77","Aprt",1.74275891678744e-08,0.314473446244978,0.72,0.712,0.000291215014995182
"78","Casp1",1.85551119489724e-08,-0.296543674049849,0.119,0.341,0.000310055920667328
"79","Romo1",2.12743873775786e-08,-0.362091303779981,0.549,0.793,0.000355495013079339
"80","Traj58",2.20305466896586e-08,-0.295113435882371,0.028,0.183,0.000368130435184195
"81","Ifitm2",2.56085390151107e-08,1.23075178291833,0.238,0.058,0.0004279186869425
"82","Ndufa3",2.85520713599687e-08,-0.336368695643491,0.58,0.822,0.000477105112425077
"83","Trerf1",3.15624081654502e-08,-0.350741429530193,0.273,0.529,0.000527407840444673
"84","Ndufb10",3.17526881641946e-08,0.378454278473328,0.801,0.764,0.000530587419223692
"85","Gvin1",3.68936775361978e-08,-0.291957017158487,0.133,0.356,0.000616493351629865
"86","Pkm",3.80828254028987e-08,0.404530966880907,0.853,0.851,0.000636364012482437
"87","Cd244a",4.07332551577557e-08,-0.478524310351821,0.745,0.885,0.000680652693686098
"88","Evl",4.17520751388167e-08,-0.369302329400683,0.885,0.966,0.000697677175569628
"89","Pgam1",4.27651636223195e-08,0.294515602967465,0.675,0.683,0.00071460588412896
"90","Slc15a2",4.52429225591359e-08,-0.524806457945276,0.399,0.644,0.000756009235963161
"91","Gm21887",4.67995333070194e-08,-0.419545109221592,0.304,0.553,0.000782020201560294
"92","Tcrg-C1",6.5772511606208e-08,-0.33844552912068,0.374,0.635,0.00109905866893974
"93","Atp5c1",9.67080783969952e-08,0.318080762140201,0.902,0.909,0.00161599199001379
"94","Il2ra",1.04447620749063e-07,0.390965497957458,0.262,0.072,0.00174531974271684
"95","Ndufb9",1.20611232817767e-07,0.368102719025363,0.818,0.788,0.00201541370038489
