"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Csn2",7.94878482602644e-36,1.60770043504718,0.562,0.111,1.32824194442902e-31
"2","Malat1",5.61321670723718e-31,0.677899860793446,0.982,0.763,9.37968511779334e-27
"3","Csn3",1.02429723743795e-29,1.70408223322295,0.512,0.106,1.71160068375882e-25
"4","Lcn2",9.59451109000878e-25,1.59146032771707,0.435,0.092,1.60324280314047e-20
"5","Cox7c",2.47148886242904e-23,-0.754904931231653,0.71,0.865,4.12985788911892e-19
"6","Csn1s1",1.20097316339132e-22,1.66794036379485,0.404,0.077,2.00682615602689e-18
"7","Gm11808",1.24618186932404e-21,-0.827170312500614,0.568,0.783,2.08236990364048e-17
"8","Wfdc18",8.71817487675229e-20,1.43183363420317,0.397,0.087,1.45680702190531e-15
"9","Rgs1",1.96345201269313e-19,0.763809350909766,0.822,0.546,3.28092831321023e-15
"10","Sec61g",3.43063972883745e-19,-0.850702204890232,0.664,0.783,5.73259898688737e-15
"11","Ltf",5.59908546646838e-18,1.26900746918632,0.305,0.043,9.35607181446866e-14
"12","Chchd2",1.14510161456582e-17,-0.592425961988885,0.7,0.845,1.91346479793949e-13
"13","Tek",2.29815233593968e-17,-0.429900731515544,0.045,0.242,3.84021255335521e-13
"14","Csn1s2a",2.96441564523295e-16,0.651735187559945,0.295,0.048,4.95353854318425e-12
"15","Ndufb1-ps",3.16817328590506e-16,-0.628069186737997,0.496,0.686,5.29401756074736e-12
"16","Pde1c",4.27411276757071e-16,-0.548252449398861,0.081,0.285,7.14204243461065e-12
"17","H3f3b",6.97837229986139e-15,0.511993430556422,0.955,0.937,1.16608601130684e-10
"18","Cox6c",7.19645097064981e-15,-0.624875336960123,0.77,0.894,1.20252695719558e-10
"19","Spp1",1.27924018813474e-14,0.405815695444306,0.814,0.541,2.13761035437315e-10
"20","Atp5mpl",2.17037179965153e-14,-0.625410468994445,0.594,0.729,3.62669127721771e-10
"21","Tomm7",6.53228187507518e-14,-0.596755549480261,0.575,0.725,1.09154430132506e-09
"22","Fah",8.53638747410108e-14,-0.332737028562038,0.135,0.377,1.42643034692229e-09
"23","Hspa8",1.23105468930339e-13,-0.485115547772867,0.943,0.986,2.05709238582596e-09
"24","Atp5j2",1.27663187528458e-13,-0.516189930081389,0.738,0.836,2.13325186360054e-09
"25","Igfbp5",4.99440557634514e-13,1.195654375422,0.262,0.068,8.34565171807273e-09
"26","Uba52",7.15282269548357e-13,-0.564753081712808,0.593,0.705,1.1952366724153e-08
"27","Lst1",8.92354291860984e-13,-0.668868436924902,0.764,0.836,1.4911240216997e-08
"28","Atp5e",1.40644609771538e-12,-0.528555360967542,0.83,0.908,2.3501714292824e-08
"29","Gm26917",1.65845665101257e-12,0.63495558561356,0.831,0.604,2.771281063842e-08
"30","Crip1",1.91465079018703e-11,-1.08529726331445,0.676,0.763,3.19938147040253e-07
"31","Trf",2.00498446111493e-11,0.626649959041945,0.91,0.816,3.35032903452305e-07
"32","Rnaset2a",2.03499676140594e-11,-0.482171511727809,0.474,0.565,3.40047958830933e-07
"33","Tuba1b",2.20563939288818e-11,-0.7009326199546,0.587,0.739,3.68562342551614e-07
"34","H2-D1",4.78527337812932e-11,-0.471483252705133,0.994,0.976,7.9961918148541e-07
"35","Zfp36",5.94989606484314e-11,0.372196354881293,0.865,0.657,9.94227632435288e-07
"36","Slc8a1",1.41927351397016e-10,0.577626969453735,0.746,0.556,2.37160604184414e-06
"37","Fos",2.20909209596466e-10,0.50981988821681,0.836,0.618,3.69139289235694e-06
"38","Uqcr11",2.95899886274918e-10,-0.562084014425494,0.616,0.715,4.94448709965388e-06
"39","Tmem256",3.25928800555255e-10,-0.548647046380123,0.583,0.705,5.44627025727831e-06
"40","Uqcrq",4.52763736370488e-10,-0.515421808569088,0.675,0.773,7.56568203475085e-06
"41","Cd52",6.242651051331e-10,-0.417639218110615,0.887,0.947,1.04314699067741e-05
"42","Krt18",7.03209925110923e-10,0.748119304906248,0.174,0.024,1.17506378486035e-05
"43","Atp5k",5.37277155078032e-09,-0.408988734457298,0.329,0.498,8.97790126135391e-05
"44","Serf2",5.6174216192506e-09,-0.422445656824367,0.922,0.942,9.38671152576775e-05
"45","Lalba",6.61821212206945e-09,0.536478490178468,0.126,0.01,0.00011059032455978
"46","Cops9",6.75178755007466e-09,-0.515785040156091,0.55,0.691,0.000112822369961748
"47","Xist",6.84703302095251e-09,0.46339564262156,0.778,0.57,0.000114413921780117
"48","Snrpg",8.39432949489049e-09,-0.46018474407817,0.659,0.758,0.00014026924585962
"49","Fcrls",1.05716597810631e-08,-0.61749794413576,0.092,0.159,0.000176652434941564
"50","Atp5md",1.85052343251592e-08,-0.524545501309615,0.603,0.72,0.00030922246557341
"51","Arhgap24",2.54425931068519e-08,0.546846101726493,0.645,0.435,0.000425145730815495
"52","Ahnak",3.84037930710117e-08,-0.969591192662665,0.354,0.396,0.000641727382216606
"53","Atox1",4.63978164259474e-08,-0.488830904973493,0.806,0.884,0.000775307512477581
"54","Dst",4.73348290104765e-08,0.479491410313097,0.461,0.251,0.000790964992765062
"55","Plec",4.75335766247626e-08,-0.670937459875699,0.247,0.386,0.000794286065399783
"56","Bloc1s1",4.76644066521599e-08,-0.457336696778592,0.4,0.551,0.000796472235157592
"57","Arpp19",8.26957448327344e-08,-0.371053177193838,0.538,0.681,0.00138184589615499
"58","Ndufa3",8.79414016214409e-08,-0.433845866713714,0.522,0.633,0.00146950082109428
"59","Clec10a",9.45450902336345e-08,-0.579338446637933,0.211,0.29,0.00157984845780403
"60","Mrc1",1.44830349163636e-07,-0.754128201435493,0.231,0.266,0.00242011513452437
"61","Lair1",1.48055715455181e-07,0.430997363395291,0.653,0.459,0.00247401100525607
"62","Gbp2b",1.59133009612781e-07,-0.419316532332324,0.056,0.121,0.00265911259062958
"63","Ndufa2",1.70631379642443e-07,-0.46198212748139,0.643,0.744,0.00285125035382522
"64","Lrmda",2.13294084606529e-07,0.36296851133367,0.689,0.502,0.0035641441537751
"65","Gab2",2.13800107729468e-07,0.463138703092771,0.777,0.614,0.00357259980015941
"66","Mfge8",2.52005297837133e-07,0.92005893075111,0.323,0.217,0.0042110085268585
"67","Lag3",3.09744077105529e-07,-0.510106173307467,0.186,0.3,0.00517582352843339
"68","Bola2",3.12674564329449e-07,-0.444320901986747,0.428,0.546,0.00522479196994509
"69","Gcnt2",3.1592414237936e-07,0.4872801662906,0.464,0.28,0.00527909241915911
"70","Adgrl3",3.72779245277818e-07,0.318779191064217,0.17,0.053,0.00622914118859234
"71","Clec12a",5.13490422989829e-07,-0.35907695839857,0.104,0.237,0.00858042496816004
"72","Cfb",5.97473653379017e-07,-0.570198569112183,0.429,0.507,0.00998378474796337
"73","Krt8",6.11871283278332e-07,0.79357708156699,0.156,0.039,0.0102243691435809
"74","Wfdc17",6.48223869583072e-07,-0.708079495215701,0.641,0.758,0.0108318208607331
"75","Scd2",7.06486100735627e-07,0.370659804709645,0.276,0.14,0.0118053827432923
"76","Ldlrad4",9.08384034059675e-07,0.454675466267226,0.61,0.435,0.0151790972091372
"77","Mylip",9.25166811896763e-07,0.437438790829921,0.57,0.391,0.0154595374267949
"78","Ndufc1",1.0106369265708e-06,-0.496677106716523,0.486,0.609,0.0168877430429981
"79","Hypk",1.02772554588865e-06,-0.337996820981952,0.23,0.372,0.0171732938717994
"80","Sem1",1.04131249830585e-06,-0.382026873910625,0.798,0.86,0.0174003318466907
"81","Tma7",1.04533175695371e-06,-0.431647251933005,0.695,0.778,0.0174674936586965
"82","Pet100",1.05128623024124e-06,-0.378532305908054,0.265,0.425,0.0175669929073311
"83","Lsp1",1.48359992853831e-06,-0.264389110075308,0.627,0.507,0.0247909548058752
"84","Nkg7",1.52141292004068e-06,0.693562167530752,0.167,0.043,0.0254228098938798
"85","Pla2g7",1.60544504086634e-06,0.382285135537933,0.768,0.686,0.0268269866328765
"86","Tmcc3",1.62508520262974e-06,0.567931402585607,0.555,0.382,0.027155173735943
"87","Atxn1",1.86918102476047e-06,0.473006440650691,0.478,0.304,0.0312340149237475
"88","Zmynd15",2.25091683662802e-06,0.580710724342524,0.529,0.377,0.0376128203400542
"89","Ftl1-ps1",2.51778469687318e-06,0.311398253990385,0.482,0.314,0.0420721822847508
"90","Ubl5",2.67212891936889e-06,-0.394442318473781,0.756,0.797,0.0446512742426542
"91","Fau",2.88690917461802e-06,-0.281927175153722,0.994,0.995,0.0482402523078671
"92","Plxna4",2.92019084517727e-06,0.252533935566488,0.264,0.111,0.0487963890229122
