"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm11808",5.83678411577879e-46,-1.12288901996739,0.607,0.893,9.75326625746636e-42
"2","Igflr1",1.96840668558316e-38,1.36675909298693,0.663,0.155,3.28920757160946e-34
"3","Spp1",1.41352656211806e-32,1.87838563198061,0.581,0.118,2.36200288529927e-28
"4","Csn2",1.97878494397625e-32,1.34387219757259,0.503,0.064,3.30654964138432e-28
"5","Csn3",6.2492631243408e-31,1.17048229597436,0.483,0.064,1.04425186807735e-26
"6","Ifitm2",4.02407093478822e-30,1.96332362213996,0.486,0.064,6.72422253203112e-26
"7","Srgn",1.06898783275547e-28,0.756741400017374,0.974,0.941,1.78627866853439e-24
"8","Upp1",1.39842106121834e-28,1.34844571682667,0.594,0.166,2.33676159329585e-24
"9","Ahnak",3.79998446465695e-28,-0.966407520716252,0.892,0.979,6.34977404044176e-24
"10","Cst7",7.16748246929891e-28,1.06768896639925,0.823,0.583,1.19768632061985e-23
"11","Lgals3",1.2271400403017e-26,0.927693780378086,0.898,0.711,2.05055100734414e-22
"12","Ccl5",5.05488894370021e-26,-1.62741931495524,0.272,0.69,8.44671942492305e-22
"13","Adgre5",5.10570228164876e-26,-1.12169549264349,0.484,0.829,8.53162851263508e-22
"14","Trf",1.50124221703781e-25,1.05004945217824,0.629,0.246,2.50857574467017e-21
"15","Itga2",1.86701071373081e-24,-0.958427427620143,0.148,0.524,3.11977490264418e-20
"16","Cd7",7.86566792762237e-24,1.03355072920787,0.947,0.877,1.3143531107057e-19
"17","Uba52",2.90551651257118e-23,-0.889927274877862,0.621,0.872,4.85511809250645e-19
"18","Klf2",3.25736656969992e-23,-1.12886693825226,0.312,0.711,5.44305953796857e-19
"19","Gm8909",5.42437577685793e-23,0.936088421928893,0.768,0.449,9.06413192312961e-19
"20","Eomes",6.94290954513816e-22,-1.04924435386494,0.331,0.684,1.16016018499259e-17
"21","Ly6e",1.33881281345488e-21,0.753923315537729,0.951,0.861,2.23715621128311e-17
"22","Jaml",6.3945551499122e-21,0.84099207879126,0.719,0.348,1.06853016555033e-16
"23","Capg",6.57727368754738e-21,0.859637044815265,0.812,0.476,1.09906243318917e-16
"24","Wfdc18",7.0458478245805e-21,0.77153285401601,0.312,0.021,1.1773611714874e-16
"25","Ugcg",1.39458448013589e-20,-0.967661289171773,0.685,0.882,2.33035066630707e-16
"26","4930520O04Rik",1.52968603758026e-20,0.776720041964286,0.345,0.048,2.55610536879661e-16
"27","Pde2a",1.89477477444052e-20,-0.854349706327065,0.142,0.476,3.16616864809011e-16
"28","Adamts14",1.36958570393766e-19,-0.945895105880295,0.139,0.455,2.28857771127982e-15
"29","Klra4",1.67441889402866e-19,-1.53541362883772,0.232,0.545,2.79795397192189e-15
"30","Gm19951",2.25124370742825e-19,-0.708933707419338,0.702,0.893,3.7618282351126e-15
"31","Prdx6",4.08661991429569e-19,0.681479953505498,0.879,0.706,6.82874187678811e-15
"32","Itgb1",4.46684094128068e-19,-0.788070536347619,0.823,0.968,7.46409121288002e-15
"33","Tmem176a",5.77017306686566e-19,1.02901138620673,0.578,0.219,9.64195919473251e-15
"34","Tmem176b",9.87765087327829e-19,1.1040550207974,0.617,0.262,1.6505554609248e-14
"35","Gm2682",1.25069147010146e-18,-0.984821084762222,0.727,0.898,2.08990544653954e-14
"36","Fth1",1.79634078931818e-18,0.462376628959222,0.983,0.963,3.00168545895068e-14
"37","Gzma",2.44390622693718e-18,-1.31518099766899,0.177,0.508,4.08376730521203e-14
"38","Cish",3.10448156143649e-18,0.815906357313882,0.714,0.374,5.18758868916038e-14
