"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Gm20400",4.05244414538675e-56,-2.19220335075919,0.341,0.756,6.77163416694127e-52
"2","Gm19951",2.38284623018352e-45,-1.45929148920513,0.547,0.878,3.98173605063667e-41
"3","Csn3",3.3192357171178e-40,1.73607945822733,0.557,0.088,5.54644288330384e-36
"4","Gpc3",3.96921788156596e-37,2.12862591553409,0.593,0.137,6.63256308009672e-33
"5","Csn2",5.72400727479519e-34,1.52746632426045,0.51,0.083,9.56481615618277e-30
"6","Siglecf",2.12268638388622e-31,1.38884764997694,0.711,0.395,3.54700894747388e-27
"7","Hexb",4.0949920063479e-29,-1.14648344004426,0.919,0.966,6.84273164260733e-25
"8","Fgfr2",2.12562932968831e-27,-1.06860961744323,0.242,0.595,3.55192660990917e-23
"9","Mt1",1.32023237540093e-26,1.90599815087974,0.424,0.068,2.20610829929495e-22
"10","Cdk8",2.98479001815881e-25,-0.819081403820844,0.989,1,4.98758412034338e-21
"11","H2afy",5.07985864731961e-25,1.19533072094157,0.59,0.293,8.48844379967106e-21
"12","Rgs1",7.20386858766283e-25,2.4712695997347,0.496,0.161,1.20376644099846e-20
"13","1600014C10Rik",6.34834637987879e-24,0.945695082839738,0.892,0.678,1.06080868007775e-19
"14","Hebp1",7.1875778535282e-24,1.40623837487249,0.556,0.21,1.20104425932456e-19
"15","9030624G23Rik",6.10034490490637e-23,-0.7487954464557,0.029,0.249,1.01936763360985e-18
"16","Gsn",7.03332263475877e-23,0.920382076627666,0.882,0.698,1.17526821226819e-18
"17","Trf",9.41173050228128e-23,1.11913461676065,0.564,0.215,1.5727001669312e-18
"18","Ltc4s",2.38504145819354e-22,1.40569773827644,0.616,0.293,3.9854042766414e-18
"19","Cmss1",5.25912496527373e-22,-0.855279150950764,0.993,0.995,8.78799781697241e-18
"20","Ostf1",1.23286296721486e-21,0.662110910240778,0.929,0.849,2.06011401821604e-17
"21","Tnfaip2",1.4450126385056e-21,-1.16940686949901,0.564,0.78,2.41461611894286e-17
