"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Bank1",0,4.2052871250373,0.931,0.006,0
"2","Cd19",0,2.62351099662177,0.797,0.001,0
"3","Cd79a",0,5.05586322349375,0.944,0.004,0
"4","Cd79b",0,3.95104993482875,0.935,0.039,0
"5","Ebf1",0,4.43475235886769,0.983,0.004,0
"6","Fcer2a",0,2.7670542648537,0.72,0.001,0
"7","Fcmr",0,2.84714184274086,0.789,0.001,0
"8","Ighd",0,2.99478621188963,0.871,0.033,0
"9","Igkc",0,4.31280072713033,0.841,0.007,0
"10","Iglc2",0,3.17407368824944,0.875,0.001,0
"11","Iglc3",0,2.54767644998575,0.776,0.001,0
"12","Ly6d",0,4.22576099569449,0.888,0.011,0
"13","Mef2c",0,3.59361009331588,0.953,0.059,0
"14","Ms4a1",0,3.39694485389936,0.888,0.001,0
"15","Mzb1",0,2.34414710412871,0.707,0,0
"16","Pax5",0,2.70410858249212,0.81,0.001,0
"17","Siglecg",6.19866814474186e-317,2.01150938739652,0.737,0.002,1.03579744698637e-312
"18","Cr2",7.19287572576157e-311,2.39046596288387,0.711,0.003,1.20192953377476e-306
"19","Blnk",3.69465892122459e-308,2.68818336014483,0.871,0.039,6.17377505736629e-304
"20","Gm31243",2.76664614956495e-296,2.0537339673193,0.672,0.001,4.62306571592303e-292
"21","Gm30211",1.63857383902488e-295,3.32305696679596,0.707,0.003,2.73805688501058e-291
"22","Pou2af1",6.09036505362417e-293,2.31107479088602,0.763,0.016,1.0177000004606e-288
"23","Cd37",3.50328293323106e-266,1.93613805910898,0.944,0.721,5.8539857814291e-262
"24","Ralgps2",6.02873741234917e-266,2.44140790962426,0.901,0.276,1.00740202160355e-261
"25","Tnfrsf13c",1.72109859587372e-264,2.07547237856689,0.703,0.018,2.87595575370498e-260
"26","Fcrl1",3.81778039422267e-264,2.04609639349019,0.707,0.009,6.37951103874607e-260
"27","Ighm",7.28535747364777e-264,2.20601271465474,0.909,0.437,1.21738323384654e-259
"28","Hvcn1",1.70295990139291e-260,2.17248778621327,0.849,0.281,2.84564599522755e-256
"29","Bcar3",2.57727636334418e-258,2.13889040820432,0.681,0.013,4.30662880314812e-254
"30","Cd22",2.24777200793573e-256,1.911791572446,0.672,0.016,3.7560270252606e-252
"31","Blk",3.34410094059946e-237,1.76795220344322,0.591,0.002,5.58799267174169e-233
"32","Bcl11a",5.02231327906978e-234,1.98013815012214,0.625,0.007,8.3922854893256e-230
"33","Rasgrp3",2.84332942293584e-233,1.83049832957361,0.595,0.005,4.75120346572578e-229
"34","Spib",3.9245747230208e-233,1.59914341464767,0.534,0.001,6.55796436216776e-229
"35","H2-Ob",1.83773151131843e-230,1.90843235407949,0.651,0.02,3.0708493554131e-226
"36","Napsa",6.73256877516549e-230,2.37026555464177,0.862,0.164,1.12501224233015e-225
"37","Scd1",8.51071310848519e-214,1.94688500146083,0.711,0.027,1.42214016042788e-209
"38","H2-Oa",4.62004804033765e-211,1.86566338161167,0.677,0.083,7.72010027540422e-207
"39","Fchsd2",2.07172128887898e-209,2.19933496600391,0.823,0.358,3.46184627371677e-205
"40","Gga2",8.11157682291872e-209,1.73529609866189,0.685,0.069,1.35544448710972e-204
"41","Pkig",6.04852624976929e-205,1.90739909576773,0.75,0.083,1.01070873633645e-200
"42","Cd74",4.92569707249701e-204,2.91302325490883,0.978,0.223,8.2308398081425e-200
"43","H2-Aa",4.94707668493695e-203,3.0542025900611,0.957,0.122,8.26656514052965e-199
"44","Fcrla",3.02991817336499e-192,1.59799207904357,0.56,0.009,5.06299326769289e-188
"45","H2-DMb2",3.11596741896136e-191,2.11271354853622,0.802,0.065,5.20678155708443e-187
"46","Vpreb3",1.02433580193201e-187,1.45729009896458,0.44,0.001,1.71166512502838e-183
"47","Cd83",7.39073664717115e-187,2.59300639699373,0.754,0.064,1.2349920937423e-182
"48","Man1a",6.09964393796091e-186,2.04642948326667,0.892,0.496,1.01925050203327e-181
"49","H2-DMb1",2.1582218038129e-181,2.26361330104683,0.823,0.064,3.60638863417136e-177
"50","H2-Ab1",3.54462812983138e-176,2.08369956101681,0.944,0.132,5.92307360494824e-172
"51","Ifi30",9.18211023908505e-174,2.70439391037987,0.875,0.137,1.53433062095111e-169
"52","Ciita",5.23302019151224e-171,1.88091555422444,0.659,0.046,8.74437674001696e-167
"53","Lrrk2",1.83781142865327e-167,1.51906625762212,0.547,0.013,3.07098289727962e-163
"54","Ly86",1.58280840643946e-161,1.87713492605139,0.78,0.062,2.64487284716034e-157
"55","Serp1",4.65844924651299e-160,1.71809853322802,0.845,0.43,7.7842686909232e-156
"56","Swap70",5.29466826584004e-158,2.12653980146485,0.759,0.186,8.84739067221871e-154
"57","Pxk",7.40673241086014e-158,1.71532941770062,0.746,0.215,1.23766498585473e-153
"58","Snx2",2.06744765967554e-155,1.6086175690586,0.797,0.352,3.45470503931782e-151
"59","Fxyd5",4.23597417991317e-152,-2.18375545970845,0.461,0.94,7.07831285463491e-148
"60","Gm15987",2.04710671037881e-148,1.49497690568526,0.513,0.016,3.42071531304299e-144
"61","Pxdc1",4.42044219832406e-147,1.58563986944889,0.612,0.038,7.38655891339951e-143
"62","Fyb",1.94673524525193e-146,-2.21866499592615,0.116,0.866,3.25299459481597e-142
"63","Wdfy4",4.69231883073249e-145,1.77209447345687,0.707,0.063,7.84086476615399e-141
"64","Cd72",7.5283614567588e-144,1.75958362758311,0.694,0.052,1.2579891994244e-139
"65","Dennd5b",1.43186356329575e-143,1.17271693958096,0.448,0.011,2.39264401426719e-139
"66","Serinc3",1.73517824089618e-143,1.66459038515495,0.957,0.593,2.89948284053752e-139
"67","Cd40",1.84446340520565e-142,1.47280194997064,0.539,0.034,3.08209835009863e-138
"68","Chst3",1.18601412994553e-138,1.15082443672172,0.345,0.001,1.98182961113898e-134
"69","Lmo2",3.48128715998807e-137,1.50449432464451,0.552,0.045,5.81723084434007e-133
"70","Icosl",2.92046625948826e-136,1.48981300432534,0.582,0.072,4.88009911960489e-132
"71","Syk",1.81853078038814e-135,2.08509233173103,0.884,0.156,3.03876493402858e-131
"72","Iglv3",2.43889505861161e-133,1.10271886295071,0.31,0,4.07539364294e-129
"73","Gm43388",4.2219602479624e-130,0.814779019723142,0.306,0,7.05489557434517e-126
"74","Snn",7.37922458889631e-130,1.27994947456878,0.448,0.019,1.23306842880457e-125
"75","E330020D12Rik",9.3291562119319e-126,1.5457058018687,0.478,0.042,1.55890200301382e-121
"76","Stap1",1.8020870878903e-125,1.55445248786038,0.72,0.25,3.0112875238647e-121
"77","Trim7",4.51220203134815e-125,1.01482990395906,0.375,0.005,7.53988959438276e-121
"78","Cd180",1.1221390537312e-124,1.36672608555069,0.466,0.026,1.87509435878484e-120
"79","Rab30",9.17505366891852e-123,1.2629458285539,0.328,0.002,1.53315146807628e-118
"80","2010309G21Rik",4.33117511687677e-122,0.879084206199042,0.284,0,7.23739362030108e-118
"81","Ccr6",6.27419799051217e-122,1.25259925170777,0.513,0.025,1.04841848421458e-117
"82","Btk",8.98421482914589e-122,1.37198824687984,0.552,0.043,1.50126229795028e-117
"83","Il4i1",2.47731956910973e-119,1.34793762552098,0.384,0.008,4.13960099998236e-115
"84","Srpk3",4.82801586299965e-117,0.888609465906482,0.319,0.004,8.06761450707241e-113
"85","H2-Eb2",1.88560071994736e-116,1.05786609761596,0.371,0.01,3.15083880303204e-112
"86","March1",3.33557561490852e-112,1.76195553547417,0.625,0.078,5.57374685251214e-108
"87","Zfp318",1.4095492624266e-110,1.40442295755628,0.634,0.155,2.35535681751485e-106
"88","Cd3e",5.16233419564942e-110,-2.84112409399397,0.112,0.759,8.62626044093018e-106
"89","Ptpn14",8.25853403711457e-110,1.26847138350025,0.431,0.026,1.38000103760184e-105
"90","Serpinb1a",2.11724945271237e-109,1.29620521719505,0.448,0.018,3.53792383548236e-105
"91","Iglc1",2.64516734115653e-109,1.07280719259916,0.259,0,4.42007462707257e-105
"92","Cacna1e",2.68216755103086e-109,1.2246121361736,0.323,0.003,4.48190197777257e-105
"93","Selplg",4.34915641861766e-109,-1.94365960555605,0.315,0.876,7.26744037551011e-105
"94","Prkch",1.29013790025156e-108,-2.16356350856148,0.203,0.839,2.15582043132035e-104
"95","Cxcr5",2.80674069606904e-107,1.22019518150804,0.487,0.035,4.69006370313137e-103
"96","Myo1e",1.17152746688163e-105,1.74738627122446,0.746,0.177,1.9576223971592e-101
"97","Cd55",5.06580230694582e-105,1.66714258236232,0.664,0.205,8.46495565490647e-101
"98","Snx8",5.3871534990447e-104,1.27912299083983,0.504,0.051,9.00193349690369e-100
"99","Cd3g",5.91546795303834e-104,-2.74295013769396,0.091,0.748,9.88474694952706e-100
"100","Lyn",8.43005896805455e-104,1.7796770824204,0.901,0.254,1.40866285356192e-99
"101","Lck",2.13635826161824e-103,-2.04963552183205,0.203,0.799,3.56985465516409e-99
"102","Gm42836",1.59245348475706e-102,0.634608679424308,0.25,0.001,2.66098977302905e-98
"103","Btla",8.47318450021203e-102,1.46483085773503,0.595,0.102,1.41586912998543e-97
"104","Pou2f2",2.01592253158629e-101,1.58012225429985,0.664,0.156,3.3686065502807e-97
"105","Dok3",4.12991212252583e-101,1.53214078754598,0.707,0.109,6.90108315674067e-97
"106","H2-Eb1",6.93791012966108e-99,1.32867374600735,0.517,0.045,1.15932478266637e-94
"107","Skap1",1.09519964014557e-97,-2.28485127301013,0.263,0.82,1.83007859868325e-93
"108","Itk",1.16937726955957e-97,-2.22510423120479,0.112,0.76,1.95402941743405e-93
"109","Tnfrsf13b",1.77474649497495e-97,1.24015880853565,0.586,0.114,2.96560139310315e-93
"110","Slc9a7",2.50687863546735e-97,1.44852062384986,0.522,0.115,4.18899419986594e-93
"111","Cd3d",6.6087917959042e-96,-2.29994597731355,0.091,0.726,1.10432910909559e-91
"112","Plcg2",2.58101368306398e-94,1.48247162935269,0.711,0.159,4.3128738643999e-90
"113","Kynu",3.22096064636182e-94,1.25826163360121,0.345,0.02,5.3822252400706e-90
"114","H2-DMa",4.40475420655048e-94,1.54304124926861,0.72,0.16,7.36034427914585e-90
"115","Emb",7.02264376635613e-94,-1.85990156927757,0.086,0.733,1.17348377335811e-89
"116","H3f3a",3.04272825934626e-93,1.0658741064544,0.957,0.93,5.0843989213676e-89
"117","Bfsp2",8.23086872416781e-92,0.65665981858111,0.276,0.003,1.37537816380844e-87
"118","Unc93b1",3.91739347469722e-91,1.45026383064397,0.81,0.194,6.54596449621905e-87
"119","Cybb",8.33033877011146e-90,1.13696955745212,0.543,0.069,1.39199960848563e-85
"120","Saraf",1.48561573930853e-89,-1.61320472792974,0.138,0.76,2.48246390038455e-85
"121","Snx9",3.20744485043177e-85,1.32670039202388,0.69,0.202,5.35964034507148e-81
"122","Sdc4",2.0431108090665e-84,1.12074730526934,0.509,0.054,3.41403816195013e-80
"123","Ctsh",2.75868593315163e-84,1.26514551665967,0.591,0.083,4.60976419429638e-80
"124","Rubcnl",8.35249829983667e-84,0.838375949825039,0.358,0.021,1.39570246590271e-79
"125","Ms4a4c",1.08393193664277e-83,1.5442076573434,0.517,0.074,1.81125026613007e-79
"126","Lat",1.127092915094e-83,-1.8887885855968,0.095,0.7,1.88337226112207e-79
"127","Smap2",1.39517008642648e-83,1.19571065227992,0.81,0.542,2.33132921441865e-79
"128","Ell3",1.94872879296598e-82,0.57332767603611,0.211,0.001,3.25632581304616e-78
"129","Trbc2",2.35849226247459e-81,-1.88551680129127,0.073,0.674,3.94104057059504e-77
"130","Rasgef1b",2.66985666569804e-81,1.33566019858827,0.474,0.072,4.46133048838142e-77
"131","Haao",4.72648025252674e-80,0.996753225474722,0.366,0.062,7.89794850197218e-76
"132","Pml",5.18581995016781e-80,1.30573758148636,0.612,0.228,8.66550513673041e-76
"133","Prkcb",3.70670091687673e-79,1.32394824164694,0.888,0.575,6.19389723210102e-75
"134","Myo1c",4.07915874726679e-79,1.19824836901587,0.556,0.107,6.8162742666828e-75
"135","Prkce",8.78596175356041e-79,1.51733520859314,0.608,0.147,1.46813420901994e-74
"136","Rel",1.06944155772765e-78,1.40451622539615,0.664,0.322,1.7870368429629e-74
"137","Birc3",2.45856247294663e-78,1.38501828928382,0.81,0.428,4.10825789229381e-74
"138","Il9r",1.04993968651043e-77,0.924307089897655,0.259,0.007,1.75444921615893e-73
"139","Ikzf3",8.56001070907471e-76,1.36264738587204,0.845,0.492,1.43037778948638e-71
