"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Ctla4",0,3.34293561292042,0.909,0.124,0
"2","Tnfrsf4",0,3.60654852451074,0.92,0.052,0
"3","Tnfrsf18",1.85231784895288e-291,2.31383809950875,0.928,0.435,3.09522312560025e-287
"4","Arl5a",4.65934624961735e-277,2.45876997919911,0.837,0.294,7.7857675831106e-273
"5","Foxp3",2.60037785721955e-266,2.73608244521757,0.727,0.022,4.34523139941386e-262
"6","Icos",2.21505416902553e-250,2.47095404195282,0.86,0.207,3.70135551644166e-246
"7","Ikzf2",3.43564946958698e-226,3.08222372577376,0.89,0.172,5.74097026367985e-222
"8","Il2ra",2.92684275713884e-225,2.67443877153686,0.765,0.081,4.89075424717899e-221
"9","Sdf4",8.22601938880634e-188,1.7642265161955,0.92,0.671,1.37456783986954e-183
"10","Il1rl1",2.70724898406067e-151,1.56593419266759,0.39,0.004,4.52381305236538e-147
"11","Zfp36l1",5.98360428992005e-147,1.90821026031101,0.909,0.666,9.9986027684564e-143
"12","Rora",2.13931239864644e-133,2.08168293445126,0.746,0.163,3.5747910181382e-129
"13","Hif1a",2.08279021401836e-131,1.80928031777142,0.871,0.466,3.48034244762467e-127
"14","Nrip1",4.15712997530716e-131,1.83619444080436,0.739,0.387,6.94656418873826e-127
"15","Nrp1",6.95406898498762e-131,1.725778631296,0.652,0.09,1.16202492739143e-126
"16","Tnfrsf9",1.99196850824232e-128,2.56908992416681,0.803,0.184,3.32857937727292e-124
"17","Fam129a",3.30188175001124e-128,1.77685453908309,0.689,0.192,5.51744440426878e-124
"18","Capg",5.63359888230269e-127,1.78203526091605,0.871,0.355,9.41374373232779e-123
"19","Lamc1",6.39169103637439e-121,1.45532582850378,0.504,0.072,1.06805157217816e-116
"20","Klrg1",6.9652557827498e-117,1.8301037316753,0.364,0.011,1.16389424129749e-112
"21","Itgav",1.49259165922938e-116,2.1766757503822,0.765,0.288,2.49412066257229e-112
"22","Maf",9.31969238753174e-116,1.71043758797072,0.542,0.079,1.55732059795655e-111
"23","Sh3rf1",3.04446981835284e-112,1.66105710088356,0.549,0.103,5.08730906646759e-108
"24","Ttc39c",1.00360270061801e-110,1.44804890719515,0.504,0.085,1.67702011273269e-106
"25","Nt5e",2.50360286476787e-106,1.78398123668356,0.716,0.278,4.18352038702712e-102
"26","S100a10",3.07028610572019e-104,1.46874327467038,0.932,0.714,5.13044808265845e-100
"27","Neb",5.90936196624854e-104,1.39917452928057,0.409,0.036,9.87454384560132e-100
"28","Pdcd1",1.17070617587873e-103,2.01486932406372,0.708,0.124,1.95625001989335e-99
"29","Tigit",1.2685197704001e-101,1.93645003333806,0.739,0.228,2.11969653633857e-97
"30","Cd2",1.6628765169599e-101,1.27165511505249,0.894,0.619,2.77866665984e-97
"31","Ndfip1",3.39908316675052e-100,1.15712709897123,0.939,0.784,5.67986797164012e-96
"32","Izumo1r",1.23018283677702e-98,1.76811937428752,0.644,0.126,2.0556355202544e-94
"33","Nr3c1",1.05997341942727e-97,1.41081251323855,0.83,0.605,1.77121558386297e-93
"34","S100a4",3.60609869825844e-95,1.86069431173372,0.629,0.11,6.02579092478985e-91
"35","Dusp4",7.20739232997503e-95,1.00345454206562,0.375,0.024,1.20435525833883e-90
