"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","1700025G04Rik",0,-0.76876227844517,0.126,0.437,0
"2","2900026A02Rik",0,-0.526207590865715,0.001,0.209,0
"3","4930523C07Rik",0,0.706142927350729,0.684,0.484,0
"4","A630023P12Rik",0,0.620313659569115,0.269,0.057,0
"5","AU020206",0,-1.40583855715453,0.202,0.64,0
"6","AW112010",0,-2.53728370229747,0.316,0.739,0
"7","Abcb1a",0,-0.651006604890156,0.051,0.319,0
"8","Abi3",0,-1.11347835559743,0.129,0.549,0
"9","Abr",0,-0.886052479615805,0.153,0.465,0
"10","Acadl",0,-0.500133638507427,0.062,0.314,0
"11","Acot7",0,-0.743168407169241,0.034,0.348,0
"12","Adam19",0,-1.05845168803857,0.096,0.519,0
"13","Add3",0,0.804858331434363,0.727,0.499,0
"14","Adgrg5",0,-0.530318100838171,0.015,0.268,0
"15","Adk",0,1.20950816841224,0.518,0.184,0
"16","Aff3",0,1.31788877304658,0.764,0.36,0
"17","Ahnak",0,-1.32131127619778,0.169,0.576,0
"18","Ahr",0,-0.911190830855334,0.034,0.336,0
"19","Alox5ap",0,-1.70769510124106,0.005,0.21,0
"20","Anxa1",0,-1.07350387679991,0.02,0.241,0
"21","Anxa2",0,-1.7828058889225,0.037,0.556,0
"22","Arap3",0,-0.419661623811513,0.003,0.183,0
"23","Arhgap15",0,1.6213452904943,0.98,0.8,0
"24","Arhgap24",0,-1.05727503386368,0.004,0.184,0
"25","Arhgap45",0,0.686317431290896,0.94,0.849,0
"26","Arhgef1",0,0.864123339882418,0.913,0.769,0
"27","Arhgef18",0,0.966142286583505,0.694,0.413,0
"28","Arpc1b",0,-1.12109373044926,0.79,0.941,0
"29","Arpc3",0,-0.816974725364636,0.692,0.876,0
"30","Arrdc4",0,-0.757320742706687,0.029,0.281,0
"31","Arsb",0,-0.646371993739796,0.027,0.297,0
"32","Ass1",0,0.757132906176516,0.498,0.206,0
"33","Atf6",0,-0.526444726258706,0.02,0.236,0
"34","Atp1b1",0,0.897321169721267,0.483,0.17,0
"35","Atp1b3",0,1.11661198215027,0.907,0.692,0
"36","B630019A10Rik",0,0.578631318469753,0.227,0.032,0
"37","Bach2",0,1.65154617596376,0.888,0.482,0
"38","Bcl11b",0,1.2444229824483,0.77,0.398,0
"39","Bcl2a1b",0,-0.931235899230171,0.052,0.328,0
"40","Bhlhe40",0,-1.28582904889832,0.025,0.44,0
"41","Bsg",0,-0.75646426293976,0.402,0.688,0
"42","C5ar1",0,-1.07489263592574,0.001,0.168,0
"43","CAAA01147332.1",0,-0.953359604932793,0.183,0.54,0
"44","Camk2n1",0,-0.461091210486727,0.006,0.185,0
"45","Capg",0,-1.07997175464185,0.179,0.47,0
"46","Car2",0,-1.25351830909046,0.041,0.366,0
"47","Ccdc50",0,-0.43512007227801,0.07,0.324,0
"48","Ccl4",0,-1.65708413007993,0.002,0.171,0
"49","Ccl5",0,-3.16665609047729,0.021,0.307,0
"50","Ccm2",0,0.859796127351941,0.721,0.5,0
"51","Ccr1",0,-1.12125709152328,0,0.185,0
"52","Ccr7",0,1.43821262615841,0.827,0.291,0
"53","Ccrl2",0,-1.75834136834128,0.007,0.219,0
"54","Cd101",0,-0.733614993146494,0.03,0.289,0
"55","Cd14",0,-2.02094139457317,0.008,0.205,0
"56","Cd160",0,-0.938483675518482,0.018,0.291,0
"57","Cd244a",0,-1.12816129131516,0.037,0.368,0
"58","Cd247",0,1.29424009487914,0.875,0.508,0
"59","Cd28",0,1.25216761221222,0.716,0.303,0
"60","Cd300a",0,-0.808493946263511,0.001,0.176,0
"61","Cd300c2",0,-1.272456073278,0.001,0.206,0
"62","Cd300lf",0,-1.22025523685914,0.001,0.211,0
"63","Cd38",0,-0.568157513495904,0.007,0.281,0
"64","Cd3g",0,-0.287570427784813,0.881,0.656,0
"65","Cd4",0,1.45490459132296,0.676,0.098,0
"66","Cd40lg",0,1.36166489078059,0.493,0.052,0
"67","Cd5",0,1.139526613632,0.692,0.337,0
"68","Cd63",0,-1.63636686126117,0.011,0.203,0
"69","Cd7",0,-2.24305449867184,0.466,0.6,0
"70","Cd74",0,-5.18185882849155,0.089,0.317,0
"71","Cd8a",0,-2.10423304243681,0.073,0.483,0
"72","Cd8b1",0,-1.62063429890409,0.114,0.448,0
"73","Cdh1",0,-0.912721545205335,0.005,0.312,0
"74","Cdk6",0,-0.795263764385481,0.16,0.457,0
"75","Cebpb",0,-2.8444314187278,0.168,0.556,0
"76","Cebpd",0,-1.19145121587844,0.007,0.193,0
"77","Cemip2",0,-1.1468979171871,0.048,0.401,0
"78","Cerk",0,-0.520675839564331,0.039,0.302,0
"79","Chd3",0,0.900902914455417,0.722,0.476,0
"80","Chn2",0,-1.19686028527298,0.032,0.347,0
"81","Chst11",0,-0.798228391321816,0.016,0.318,0
"82","Chsy1",0,-0.941495654139072,0.022,0.406,0
"83","Cited4",0,-0.598851144228761,0.005,0.203,0
"84","Cks2",0,-0.814969389730362,0.033,0.251,0
"85","Clec4n",0,-1.32494900034121,0,0.174,0
"86","Clic1",0,-0.837296176713082,0.754,0.91,0
"87","Clnk",0,-1.18156682208453,0.002,0.253,0
"88","Cmtm7",0,-1.02221156218384,0.091,0.498,0
"89","Coro2a",0,-1.18752150879071,0.104,0.553,0
"90","Cox5a",0,-0.728504264993644,0.588,0.797,0
"91","Cox8a",0,-0.822430362424563,0.775,0.923,0
"92","Crlf3",0,1.1086071907555,0.8,0.593,0
"93","Csf1r",0,-1.12746612119435,0.004,0.172,0
"94","Csf2ra",0,-1.05529314702069,0.023,0.24,0
"95","Csf2rb",0,-1.42408002109446,0.001,0.203,0
"96","Csf3r",0,-1.95186160336143,0.002,0.184,0
"97","Cst3",0,-2.7882346189973,0.311,0.744,0
"98","Cst7",0,-1.38905277828526,0.098,0.507,0
"99","Ctla2a",0,-2.0895782247113,0.042,0.492,0
"100","Ctla2b",0,-0.683406352935395,0.008,0.288,0
"101","Ctsa",0,-1.2208290707737,0.306,0.619,0
"102","Ctsb",0,-1.89760561326431,0.343,0.661,0
