"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Cd8a",0,1.21855584691799,0.852,0.266,0
"2","Cd8b1",0,1.48469680161314,0.844,0.258,0
"3","Ctsw",0,1.1058114040317,0.931,0.426,0
"4","Cxcr3",0,0.820830763819901,0.568,0.141,0
"5","Ifitm10",0,0.876678060069727,0.562,0.14,0
"6","Il2rb",0,0.303569049195719,0.832,0.367,0
"7","Itgb1",0,1.30917741488941,0.804,0.415,0
"8","Nkg7",0,1.19391916209515,0.945,0.381,0
"9","Ly6c2",9.18962101264719e-322,1.96218349212444,0.511,0.119,1.53558567121334e-317
"10","Gramd3",9.8654269892246e-306,0.977438841243557,0.893,0.501,1.64851284989943e-301
"11","Ctla2a",4.40437956052613e-291,0.500565406391549,0.699,0.279,7.35971824563916e-287
"12","1700025G04Rik",7.68938915695776e-288,0.96015991398357,0.689,0.275,1.28489692812764e-283
"13","Klrd1",5.47651146107454e-285,0.654568560764242,0.757,0.32,9.15125065145556e-281
"14","Runx1",6.89491263648494e-281,-1.43701992000187,0.196,0.607,1.15213990155663e-276
"15","AW112010",1.03438938161175e-277,0.627749148534073,0.926,0.539,1.72846465667323e-273
"16","Cxcr6",2.70765658577425e-261,0.690084005390416,0.666,0.253,4.52449415482877e-257
"17","Malat1",7.47800296310996e-251,-0.97162677950636,0.996,0.993,1.24957429513567e-246
"18","Hopx",2.20109188586681e-248,0.785577924262459,0.704,0.296,3.67802454128344e-244
"19","Cdh1",1.81692283059874e-247,0.881476460961634,0.524,0.157,3.0360780499305e-243
"20","Samd3",1.33949209033842e-241,0.722251601522941,0.507,0.146,2.2382912829555e-237
"21","Tyrobp",2.55136971684144e-241,-3.03212302154841,0.034,0.327,4.26333879684205e-237
"22","Itgae",5.20820418193944e-237,0.779556920242227,0.595,0.216,8.7029091880208e-233
"23","Eomes",7.64324443600257e-236,0.670753171586879,0.442,0.108,1.27718614525603e-231
"24","Gm44174",9.09596345971744e-236,0.678279237907,0.491,0.138,1.51993549411878e-231
"25","Lef1",1.34999332423083e-233,-0.999573888891726,0.658,0.59,2.25583884478972e-229
"26","Rack1",3.6743326529752e-220,0.611140427734649,0.983,0.897,6.13980986312157e-216
"27","Fgf13",1.48253156546892e-219,0.761414472072132,0.723,0.338,2.47731024589856e-215
"28","Cd4",2.60789028358104e-219,-1.13476616083325,0.035,0.345,4.35778466386391e-215
"29","Klk8",5.68558713998329e-219,0.756797865174957,0.751,0.396,9.50061611091209e-215
"30","Cst7",1.35931916828564e-213,0.418430383597645,0.684,0.315,2.2714223302053e-209
"31","Dapk2",4.28377130446799e-209,0.591868808304115,0.544,0.195,7.15818184976601e-205
"32","AU020206",5.94768333241109e-208,0.766548597743221,0.804,0.437,9.93857884845892e-204
"33","Bcl2",8.32727091102967e-208,0.812072729391213,0.921,0.658,1.39148696923306e-203
"34","Cd3d",2.87652323170111e-205,0.607939632167172,0.959,0.685,4.80667032017255e-201
"35","Pde7a",4.30062302916761e-198,0.735959509350333,0.843,0.503,7.18634108173908e-194
"36","Npm3",4.19635646322503e-197,0.739789514735783,0.726,0.445,7.01211165004902e-193
"37","St3gal6",1.02103853487877e-190,0.662422169729916,0.543,0.21,1.70615539178242e-186
"38","Fcer1g",1.21978650881634e-188,-2.70847992643315,0.077,0.311,2.0382632562321e-184
