"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Cxcr6",1.50908586065179e-171,1.55428328290735,0.739,0.283,2.52168247314915e-167
"2","Adam19",4.73435730986904e-157,1.40350995069884,0.744,0.35,7.91111106479117e-153
"3","Cxcr3",2.49447180931536e-142,1.20848070915975,0.551,0.176,4.16826239336597e-138
"4","Fasl",7.36882642962027e-141,1.29709219924044,0.653,0.262,1.23133089638955e-136
"5","Sptssa",8.33873999971466e-129,0.923836273716322,0.572,0.435,1.39340345395232e-124
"6","Rora",1.54426037133689e-118,1.30579338948966,0.54,0.158,2.58045908050394e-114
"7","Ly6a",9.2802909685862e-117,1.59297871962378,0.621,0.267,1.55073662085075e-112
"8","Zbtb16",1.27642133261883e-116,1.01524134962898,0.272,0.034,2.13290004680607e-112
"9","Sell",7.69443217398288e-114,-1.34385421193563,0.051,0.477,1.28573961627254e-109
"10","Thy1",6.45199738364167e-110,1.17494872948557,0.788,0.467,1.07812876280652e-105
"11","Ctsw",2.15681237884222e-103,0.916408022830314,0.884,0.469,3.60403348504535e-99
"12","P2rx7",1.92389379875349e-96,0.887494352979418,0.339,0.089,3.21482653771708e-92
"13","Zfp36l2",3.02984142226359e-94,0.854450408284611,0.936,0.914,5.06286501660246e-90
"14","Cish",9.55283438060523e-93,1.0791687320479,0.626,0.287,1.59627862499913e-88
"15","St6galnac3",9.68243536032924e-92,1.36763983665041,0.68,0.345,1.61793494871102e-87
"16","Gimap3",9.6019778398778e-91,0.86862449028574,0.901,0.737,1.60449049704358e-86
"17","Pde7a",2.41848470010556e-89,1.00041300817368,0.806,0.532,4.04128793387639e-85
"18","Icos",4.1709059720525e-89,1.12313040970389,0.514,0.206,6.96958387929973e-85
"19","Socs1",8.63655519278767e-88,1.13861567071161,0.715,0.455,1.44316837271482e-83
"20","Il4",1.66156485875648e-84,0.583796397507398,0.147,0.006,2.77647487898207e-80
"21","Ighm",2.93400556219258e-82,-0.883897401246875,0.089,0.458,4.9027232944238e-78
"22","Ifngr1",3.64349746561921e-80,0.885588217876946,0.899,0.72,6.08828426504971e-76
"23","Il2rb",2.06761592648261e-79,0.651365537648282,0.796,0.406,3.45498621315244e-75
"24","Nr3c1",1.19904617406052e-77,0.838252025939912,0.744,0.604,2.00360615685514e-73
"25","Cd82",2.90494129975665e-77,0.841152675341169,0.73,0.541,4.85415691189336e-73
"26","Nkg7",2.23794093099187e-76,0.937150516122319,0.811,0.432,3.73959929568741e-72
"27","Krt83",7.51556240099411e-76,0.922481045177395,0.26,0.04,1.25585047720612e-71
"28","Il18r1",6.21521963355813e-74,0.98308824113141,0.53,0.264,1.03856320076756e-69
"29","Ctla2a",2.64669512624406e-73,1.07656099947716,0.68,0.313,4.42262755595382e-69
"30","Ptpn22",2.69266573933315e-73,0.847023660424297,0.781,0.56,4.49944445042569e-69
"31","Dusp2",3.17568130761551e-73,1.11140789515125,0.794,0.625,5.30656346502551e-69
"32","Fcer1g",4.75245670824891e-73,-2.96607272465239,0.019,0.294,7.94135515948392e-69
"33","Atp8a2",1.41031556071674e-72,0.814544992136584,0.216,0.039,2.35663730195768e-68
"34","Ahnak",2.97385457678485e-72,1.03924046307609,0.73,0.415,4.96931099780749e-68
"35","AW112010",8.35934661368963e-72,0.782545450867926,0.882,0.572,1.39684681914754e-67
"36","Tyrobp",2.51459294000341e-70,-2.82072742601262,0.032,0.304,4.2018848027457e-66
"37","AU020206",4.93290119395868e-70,0.909246508532675,0.757,0.469,8.24287789510496e-66
"38","H2-Q7",2.24226855909441e-69,0.78187059512553,0.781,0.634,3.74683076224675e-65
"39","Ramp1",4.07249775321954e-69,0.786308651687552,0.445,0.337,6.80514374562985e-65
"40","Il6ra",1.17296428666825e-68,-0.971380502274368,0.089,0.415,1.96002332302265e-64
"41","Lpxn",2.17617523495471e-68,0.753714467421945,0.583,0.363,3.63638881760933e-64
"42","H2-K1",3.02906141548947e-68,0.600565561956794,0.99,0.958,5.06156162528291e-64
"43","Mdfic",8.59292906656517e-66,0.836697483841615,0.477,0.219,1.43587844702304e-61
"44","Actn1",1.14872410667792e-65,-0.74810317085214,0.04,0.33,1.91951798225881e-61
"45","Lax1",1.18384635472193e-64,0.831003127995329,0.536,0.324,1.97820725874035e-60
"46","Ltb",1.50970456194635e-63,0.726906929586326,0.941,0.864,2.52271632301236e-59
"47","S100a10",2.47912700632835e-63,0.747325499393313,0.874,0.711,4.14262122757467e-59
"48","Zfp36",2.65686004565384e-63,-1.97671324326144,0.25,0.576,4.43961313628756e-59
"49","Pde3b",1.01372111940258e-61,0.814317826675336,0.742,0.595,1.6939279905217e-57
"50","Pmepa1",1.41985521623137e-61,0.837766806575653,0.739,0.443,2.37257806632262e-57
"51","Ttc39b",1.92647737747936e-60,0.765453902126452,0.641,0.437,3.219143697768e-56
"52","Atp1b1",1.2295819911112e-59,-0.71370302462314,0.032,0.294,2.05463150714681e-55
"53","Ly6e",2.12917758503132e-59,0.68601772758368,0.946,0.867,3.55785574458733e-55
"54","Psmb8",5.09636625101235e-59,0.577378559414852,0.912,0.854,8.51602800544163e-55
"55","Fam129a",4.9266924688494e-57,0.758793001489061,0.447,0.19,8.23250311544735e-53
"56","Lef1",5.75602995018453e-57,-1.41907346592223,0.454,0.603,9.61832604675835e-53
"57","Gng2",2.10589640014401e-56,0.728131923783646,0.57,0.379,3.51895288464064e-52
"58","Socs2",7.49822398377856e-56,0.723299892722243,0.28,0.102,1.2529532276894e-51
"59","Mapkapk3",2.64265462065996e-55,0.645657651751133,0.418,0.24,4.41587587112279e-51
"60","Cmah",4.93193925805454e-55,-0.84684221314012,0.078,0.359,8.24127050020913e-51
"61","Lyn",5.32254884439773e-55,-1.30790134992241,0.03,0.272,8.8939791189886e-51
"62","Nt5e",8.2330812807104e-55,0.857789831500793,0.508,0.277,1.37574788200671e-50
"63","Med10",1.28396671504644e-53,0.627435512244719,0.543,0.384,2.14550838084261e-49
"64","Klf2",3.88874001130655e-52,-0.879846171828042,0.383,0.689,6.49808455889324e-48
"65","H2-Q4",1.39212919941319e-51,0.596971911156444,0.902,0.825,2.32624789221943e-47
"66","Cers6",3.30481573621543e-51,-0.740052582157066,0.086,0.358,5.52234709521599e-47
"67","Bcl2",3.35680061918763e-51,0.792826057423176,0.868,0.681,5.60921383466253e-47
"68","Podnl1",3.74927545508971e-51,0.409775248958883,0.16,0.025,6.26503928545491e-47
"69","Fryl",6.11855576965395e-51,0.748104599841679,0.734,0.604,1.02241066910917e-46
"70","Il6st",6.38926387070134e-51,-0.710524915106355,0.083,0.354,1.06764599279419e-46
"71","Plaat3",8.05685749977069e-51,0.617895830540557,0.575,0.421,1.34630088821168e-46
"72","Rbl2",9.28772527402594e-51,0.638265381182654,0.56,0.428,1.55197889328974e-46
"73","Lmo4",1.073984296862e-50,0.767890932874872,0.229,0.146,1.79462776005641e-46
"74","Itgal",2.08724900117159e-50,0.649603013682218,0.653,0.499,3.48779308095773e-46
"75","S1pr1",2.9415018436147e-50,-0.899882839542323,0.135,0.421,4.91524958068016e-46
"76","Cd3e",4.63446624126471e-50,0.568809395617377,0.941,0.742,7.74419308915333e-46
"77","F2r",2.75187230968678e-49,0.63234997350538,0.381,0.219,4.5983786294866e-45
