"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","C1qtnf6",0,1.63907994065416,0.743,0.062,0
"2","Ccl5",0,3.18701511336425,0.98,0.177,0
"3","Cd200r2",0,1.82289837230824,0.665,0.017,0
"4","Cd200r4",0,1.59919897736039,0.775,0.034,0
"5","Cd3g",0,2.00895067149784,0.996,0.73,0
"6","Cd7",0,3.68691392800153,0.996,0.536,0
"7","Cst7",0,2.06485897069517,0.982,0.337,0
"8","Frmd5",0,2.1003067831648,0.677,0.015,0
"9","Glp1r",0,1.48472852542243,0.787,0.023,0
"10","Gzma",0,5.118119088315,0.691,0.045,0
"11","Gzmb",0,4.54170342372791,0.845,0.105,0
"12","Ikzf2",0,1.86786370488833,0.948,0.159,0
"13","Il2rb",0,2.5571459717516,1,0.402,0
"14","Itgav",0,2.22274613510789,0.986,0.274,0
"15","Itih5",0,1.68479459382331,0.851,0.072,0
"16","Lag3",0,2.46904000885912,0.948,0.096,0
"17","Pdcd1",0,3.0152476272854,0.942,0.107,0
"18","Serpinb6b",0,1.84091524872503,0.873,0.139,0
"19","Slc26a10",0,1.50582254403236,0.781,0.065,0
"20","Sult2b1",0,2.30304442329262,0.952,0.09,0
"21","Tigit",0,1.97666781258366,0.982,0.212,0
"22","Tnfrsf9",0,3.21189657905176,0.998,0.168,0
"23","Trgv2",0,2.21663780952481,0.878,0.106,0
"24","Itga1",1.48219693752374e-323,1.65420734662124,0.865,0.113,2.47675108260217e-319
"25","Chn2",4.94065645841247e-323,1.99847955381131,0.94,0.209,8.25583694200723e-319
"26","Gm156",1.3294494201675e-314,3.07173317804944,0.614,0.027,2.2215099810999e-310
"27","Cd8a",3.37810338119949e-309,2.25720459113641,0.958,0.313,5.64481074998435e-305
"28","Nkg7",1.23336214733937e-297,2.03003696513743,1,0.428,2.0609481482041e-293
"29","Dapk2",3.29899852080854e-295,1.58282894709279,0.938,0.212,5.51262652827107e-291
"30","4930520O04Rik",3.90468646448107e-293,1.14972347841581,0.681,0.047,6.52473108214787e-289
"31","Klra5",7.72327405765788e-291,2.31403914942602,0.663,0.045,1.29055909503463e-286
"32","Cd244a",1.80090225606504e-288,1.65780802779837,0.948,0.224,3.00930766988469e-284
"33","Car2",1.78200929995001e-286,1.73753719602503,0.948,0.224,2.97773754021646e-282
"34","Cd200r1",1.14255492961138e-281,1.58926313203624,0.843,0.137,1.90920928738061e-277
"35","Tcrg-C2",2.49898866508672e-275,1.46316717263562,0.741,0.077,4.17581005935991e-271
"36","2900026A02Rik",6.34587919043596e-275,1.37125539740138,0.791,0.111,1.06039641272185e-270
"37","Nr4a2",9.30294241065574e-275,1.83380021792179,0.821,0.127,1.55452167682057e-270
"38","Lgals3",9.66359028929359e-266,1.75807761833836,0.986,0.3,1.61478593734096e-261
"39","Fcrl6",1.60752831254638e-265,1.34912624980387,0.635,0.047,2.686179810265e-261
"40","Cd3e",2.78627191641244e-263,1.39214172098226,0.974,0.742,4.65586037232518e-259
"41","Fgl2",5.50838450424218e-263,1.80796401545625,0.92,0.221,9.20451050658869e-259
"42","B4galnt2",1.17218138194506e-257,0.977191845286181,0.538,0.024,1.95871508923019e-253
"43","Zdhhc18",3.68008295197978e-257,1.41748671218513,0.98,0.546,6.14941861275821e-253
"44","Tmem273",1.54781230938893e-255,1.29766863640702,0.819,0.128,2.5863943689889e-251
"45","Ier5l",2.52958054094051e-255,1.52497193121865,0.729,0.083,4.22692908391159e-251
"46","Cxcr6",1.08736836802812e-253,1.62568992710027,0.958,0.279,1.81699254297499e-249
"47","Acot7",8.33408502788832e-251,1.3773215681033,0.886,0.212,1.39262560816014e-246
"48","Spp1",5.91753405039115e-249,2.33709834359697,0.918,0.293,9.88819939820362e-245
"49","Osbpl3",8.72306043512781e-249,1.33999709078035,0.843,0.157,1.45762339870986e-244
"50","Nedd9",2.97622434789897e-247,1.46861889970248,1,0.646,4.97327088533918e-243
"51","Sh2d2a",1.70370236752495e-245,1.58535981952056,0.942,0.468,2.84688665613419e-241
"52","Galnt18",2.8795670588911e-244,1.17155004143868,0.44,0.01,4.81175655540703e-240
"53","Serpinb9",1.01888280716736e-243,1.55519919167717,0.809,0.151,1.70255317077666e-239
"54","AW112010",1.15283129680721e-242,1.76245849425529,0.992,0.571,1.92638109696485e-238
"55","Itgae",1.10427037435449e-239,1.96412377932959,0.884,0.239,1.84523579554636e-235
"56","Ostf1",8.15839742080727e-237,1.33303858712962,0.996,0.72,1.36326820901689e-232
"57","Klrd1",1.10948453778294e-236,1.73123786319697,0.95,0.351,1.85394866263529e-232
"58","Glis1",7.06820213606113e-234,1.58147992043034,0.414,0.009,1.18109657693581e-229
"59","Abcb1a",1.86744603315337e-226,1.39756427148058,0.849,0.2,3.12050232139929e-222
"60","Lzts1",7.14652922003612e-226,1.08963864069286,0.608,0.056,1.19418503266804e-221
"61","Rgs1",2.59205707790741e-224,1.81833589836585,0.986,0.481,4.33132737718328e-220
"62","Igflr1",2.26827176815137e-223,1.39313705175392,0.928,0.304,3.79028212458094e-219
"63","Sytl3",9.50140686034246e-223,1.15513823197078,0.765,0.127,1.58768508636323e-218
"64","Ybx3",1.17942728110451e-217,1.38068012809906,0.878,0.244,1.97082298672564e-213
"65","Gm2682",8.00051930906402e-216,-2.9802152967872,0.042,0.7,1.3368867765446e-211
"66","Cnih2",1.05705258737528e-212,0.737593406601915,0.394,0.01,1.76633487350409e-208
"67","Cited4",3.11608059404088e-212,0.90508396158379,0.715,0.111,5.20697067264231e-208
"68","Myo1e",6.35788534177978e-212,1.29857884253933,0.807,0.165,1.0624026406114e-207
"69","Abcb9",1.8204162504549e-210,1.36779534151677,0.739,0.157,3.04191555451014e-206
"70","Tsga10",2.72654310395427e-208,1.01480085769344,0.59,0.06,4.55605352670759e-204
"71","Srgap3",9.07239824848321e-205,1.15548741373805,0.723,0.122,1.51599774732154e-200
"72","Lat2",4.20537265360973e-204,1.03911289301822,0.767,0.143,7.02717770418186e-200
"73","Lrrk1",1.06331611390046e-201,1.18020492752056,0.827,0.198,1.77680122632766e-197
"74","Entpd1",1.32968797184187e-199,1.11585765643959,0.813,0.178,2.22190860094777e-195
"75","Ntf5",3.59699294132203e-199,0.630709371259571,0.396,0.013,6.01057520494911e-195
"76","Il12rb2",1.29956010361406e-198,1.09576742730176,0.789,0.162,2.17156493313909e-194
"77","Stk39",6.45274795675037e-198,1.23998792060136,0.884,0.271,1.07825418357299e-193
"78","Chst12",2.2807199414544e-197,1.18583602910134,0.859,0.248,3.8110830221703e-193
"79","Stat3",3.05570626082866e-197,1.31004874079485,0.986,0.667,5.1060851618447e-193
"80","Rabgap1l",1.20823977435286e-195,1.35219485318526,0.978,0.536,2.01896866294363e-191
"81","Vps37b",2.94351109738996e-192,1.34101157655729,0.99,0.666,4.91860704373863e-188
"82","Kit",4.07895357610009e-191,1.13154973571161,0.574,0.061,6.81593142566325e-187
"83","Irf8",8.61028424270568e-191,1.16759257592677,0.827,0.199,1.43877849695612e-186
"84","Klf2",9.45824673708715e-190,-2.77127686925887,0.082,0.697,1.58047302976726e-185
"85","Adgrg1",3.10033550259046e-189,0.713011114574821,0.448,0.026,5.18066062482865e-185
"86","Coro2a",3.9593325025841e-189,1.4042721188816,0.934,0.371,6.61604461181803e-185
"87","Emid1",6.68623888814106e-189,1.13395544282868,0.743,0.145,1.11727051820837e-184
"88","Epdr1",2.9052784616053e-188,0.595640218842253,0.367,0.011,4.85472030934246e-184
"89","Hopx",1.21836362835953e-187,1.25335216036556,0.92,0.324,2.03588562298877e-183
"90","Gzmc",1.29256533189794e-187,3.05573669911033,0.51,0.044,2.15987666960146e-183
"91","Ctla2a",2.88026724757973e-187,1.39378953006581,0.93,0.308,4.81292657070573e-183
"92","Hacd2",4.01638066198159e-187,1.34397106922253,0.829,0.265,6.71137208617123e-183
"93","Klrc1",8.21176056533292e-186,1.35809828893609,0.729,0.138,1.37218519046713e-181
"94","Dock5",1.69164245731936e-183,1.08027157224794,0.799,0.19,2.82673454618065e-179
"95","Jaml",2.86874911194037e-182,1.30887583691586,0.892,0.304,4.79367976605236e-178
"96","Eva1b",3.67140357890837e-182,1.06055995837706,0.773,0.183,6.13491538035589e-178
"97","Id2",5.69261817337117e-182,1.33617285219444,0.984,0.497,9.51236496770323e-178
