"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Ifit3",7.43080158084346e-181,2.12270407251737,0.704,0.044,1.24168694415894e-176
"2","Isg20",2.56292291881756e-180,2.22031799210859,0.842,0.266,4.28264419734414e-176
"3","Rnf213",1.51996384671847e-166,1.93596814995091,0.887,0.425,2.53985958786656e-162
"4","Usp18",1.14113489933899e-163,2.13900619599539,0.75,0.126,1.90683641679546e-159
"5","Isg15",6.64363163577766e-163,2.67317980117031,0.842,0.214,1.11015084633845e-158
"6","Zbp1",6.28983758028344e-146,1.82251365381912,0.812,0.256,1.05103185966536e-141
"7","Phf11b",1.30907069966694e-137,1.66139884112997,0.758,0.236,2.18745713914346e-133
"8","Bst2",1.59288499812626e-137,1.971257698355,0.896,0.415,2.66171083186899e-133
"9","Ifit1",6.90363191919238e-135,1.98829443203275,0.658,0.062,1.15359689369705e-130
"10","Rtp4",3.77737294216899e-122,1.65380377925073,0.817,0.198,6.31199018636439e-118
"11","Irf7",2.34394291731083e-120,1.66540891173243,0.871,0.291,3.91672861482639e-116
"12","Gbp6",1.06073165473976e-119,1.50527702992858,0.758,0.147,1.77248259507015e-115
"13","Stat1",1.71307153028655e-119,1.68341589676487,0.954,0.581,2.86254252710883e-115
"14","Gbp9",1.01013086381498e-117,1.56681354281933,0.863,0.369,1.68792867343483e-113
"15","Ifi209",3.48499945053252e-113,1.5609366010004,0.8,0.381,5.82343408183983e-109
"16","Xaf1",5.17748104310877e-113,1.43212096323232,0.75,0.203,8.65157082303476e-109
"17","Ifi208",3.64420601104692e-107,1.50817049136745,0.796,0.311,6.0894682444594e-103
"18","Herc6",1.28202108849699e-106,1.5836218920353,0.713,0.255,2.14225723887847e-102
"19","Igtp",5.63283055739205e-106,1.53266448728266,0.833,0.28,9.41245986140211e-102
"20","Trim30a",9.3269000093491e-98,1.4655840063125,0.775,0.356,1.55852499156223e-93
"21","Gbp7",2.97743641873804e-95,1.46495749222481,0.825,0.355,4.97529625571126e-91
"22","Ifi47",1.98138337046073e-92,1.31702291564435,0.925,0.529,3.31089161203988e-88
"23","Ifit3b",2.67579206476829e-90,1.062084875267,0.388,0.019,4.47124854022781e-86
"24","Oas3",3.84123600155357e-89,1.22718280983483,0.596,0.094,6.41870535859602e-85
"25","Ddx58",6.46332802989581e-88,1.30624737460303,0.758,0.345,1.08002211379559e-83
"26","Cmpk2",2.24896768093395e-85,1.29676476163298,0.438,0.034,3.75802499484063e-81
"27","Epsti1",6.7180090264729e-85,1.32864118179306,0.825,0.43,1.12257930832362e-80
"28","Ddx60",9.12111615884245e-85,1.43909846723396,0.642,0.163,1.52413851014257e-80
"29","Slfn8",2.32262620113876e-84,1.28380836931455,0.787,0.268,3.88110838210287e-80
"30","Psmb8",2.58621860529692e-84,1.02299864687569,0.983,0.854,4.32157128945115e-80
"31","Ly6a",3.89160098290044e-84,2.17621203925325,0.738,0.273,6.50286524242663e-80
"32","Ifih1",1.14406601269383e-82,1.27402753547911,0.608,0.125,1.91173430721139e-78
"33","Gbp4",2.84538672176732e-82,1.36165901650997,0.713,0.292,4.75464121207318e-78
"34","Lgals3bp",4.97726583437759e-82,1.3009143508956,0.808,0.351,8.31701120924495e-78
"35","Rsad2",2.06309292425926e-78,1.49890757307961,0.354,0.018,3.44742827643722e-74
"36","Jaml",8.66143145481688e-78,1.44710010497651,0.771,0.316,1.4473251960999e-73
"37","Ifi206",3.74956440872236e-76,1.18086709857272,0.579,0.117,6.26552212697507e-72
"38","Daxx",1.95139440410624e-75,1.27087536508489,0.671,0.249,3.26078004926152e-71
"39","Gbp10",5.68579367945565e-75,0.982244230727298,0.492,0.063,9.50096123837039e-71
"40","Eif2ak2",2.08296491325471e-69,1.12908515840713,0.504,0.12,3.48063437004862e-65
"41","Phf11c",5.72230955035996e-68,1.00611501500939,0.537,0.106,9.56197925865149e-64
"42","Ctsw",3.52591710913982e-67,1.07671471098827,0.967,0.477,5.89180748937264e-63
"43","Parp14",3.86282403225412e-67,1.26490119624247,0.696,0.312,6.45477895789664e-63
"44","Irgm1",1.43562619205163e-66,1.13521857734454,0.679,0.227,2.39893136691828e-62
"45","Pml",7.16409904775552e-66,1.11127858643172,0.667,0.227,1.19712095087995e-61
"46","Ifit2",4.8556760368238e-65,1.19038169652645,0.508,0.101,8.11383465753257e-61
"47","AW112010",1.89208221874405e-64,1.27409919374453,0.967,0.578,3.16166938752132e-60
"48","Psme1",1.13778532810695e-63,0.912113297756337,0.971,0.784,1.90123928326671e-59
"49","Nkg7",6.68537256415624e-63,1.11678946503633,0.938,0.439,1.11712575547051e-58
"50","Trafd1",8.24901905073132e-63,1.06764206189553,0.637,0.204,1.3784110833772e-58
"51","A330040F15Rik",4.72359970074424e-62,0.906518169374367,0.375,0.05,7.89313509994362e-58
"52","Ifi35",3.78299234584902e-60,1.03957003162349,0.762,0.383,6.32138020991371e-56
"53","Parp9",4.0579849489229e-60,1.11014042562833,0.667,0.267,6.78089284965016e-56
"54","H2-T22",1.74967482736956e-56,1.05270163037334,0.775,0.447,2.92370663653454e-52
"55","Ly6e",3.57076825682899e-56,0.968186964784533,1,0.868,5.96675375716125e-52
"56","Socs1",3.0582386708605e-55,1.2590749900965,0.863,0.458,5.11031681900789e-51
"57","Ppa1",4.16389135878703e-55,0.996926609232653,0.558,0.211,6.95786246053312e-51
"58","Sp110",2.69907764649781e-54,0.963653657903936,0.787,0.487,4.51015874729784e-50
"59","Gbp2",5.34637203185296e-54,1.16868869891535,0.608,0.201,8.93378766522629e-50
"60","Atp8b4",7.85034929679658e-54,1.16839792104697,0.738,0.374,1.31179336749471e-49
"61","Lgals9",4.13284340166176e-53,0.937205881512548,0.892,0.627,6.9059813241768e-49
"62","Tgtp2",4.15093637684198e-53,1.01087680664479,0.567,0.164,6.93621468570295e-49
"63","Sp100",6.05085537282906e-53,0.931018367334865,0.942,0.767,1.01109793279974e-48
"64","Psmb10",1.60196558852342e-52,0.945070150440851,0.858,0.542,2.67688449842263e-48
"65","Cd8b1",2.33060817511654e-51,1.24067973077704,0.792,0.319,3.89444626061973e-47
"66","Cd8a",1.11354292926355e-50,1.19229901071435,0.8,0.326,1.86073023479939e-46
"67","B2m",2.88914308624982e-50,0.685562637218887,0.996,0.949,4.82775809712345e-46
"68","Oasl2",4.06684905822971e-50,0.867996054366505,0.496,0.104,6.79570477630185e-46
"69","Slfn5",4.60797920927352e-48,1.38940927461069,0.512,0.174,7.69993325869605e-44
"70","Phf11a",2.91117556264912e-47,0.628440742044171,0.329,0.045,4.86457436518669e-43
"71","Shisa5",5.83088980719498e-45,0.724426383458786,0.992,0.93,9.74341686782281e-41
"72","Tor3a",1.73596581117313e-44,0.867888898820476,0.446,0.123,2.9007988704703e-40
"73","Cxcr6",9.50519509135188e-44,1.03230000078072,0.725,0.294,1.5883180997649e-39
"74","H2-K1",2.65271073073761e-43,0.711054140633569,1,0.959,4.43267963106255e-39
"75","Ms4a4b",3.1361195608395e-43,0.937669556840601,0.896,0.549,5.24045578616281e-39
"76","Gm4070",8.47447786245959e-42,0.766884201262837,0.525,0.165,1.416085250817e-37
"77","Dhx58",1.40695647410234e-41,0.693812465491818,0.358,0.072,2.351024268225e-37
"78","Parp12",3.93529176604406e-41,0.697192656584254,0.392,0.081,6.57587254105963e-37
"79","Samhd1",4.34892723693915e-41,1.03230798981368,0.854,0.591,7.26705741292531e-37
"80","Dtx3l",3.40003119864245e-40,0.845661779827152,0.6,0.244,5.68145213293153e-36
"81","A930037H05Rik",4.07954913101224e-40,0.649076533790612,0.338,0.063,6.81692659792146e-36
"82","Tap1",7.98758260220606e-40,0.82580107745058,0.812,0.48,1.33472505282863e-35
"83","Stat2",1.110736266573e-39,0.817528959294658,0.508,0.159,1.85604030144349e-35
"84","Oas1a",1.14357046025953e-39,0.922847666986922,0.458,0.142,1.91090623909368e-35
"85","Hsh2d",2.08911365091349e-39,0.735608938732013,0.45,0.119,3.49090891067645e-35
"86","Iigp1",3.63647014311167e-39,1.0473739242503,0.329,0.059,6.0765416091396e-35
"87","Helz2",5.9698212070617e-39,0.868682313374133,0.6,0.243,9.97557123700009e-35
"88","Psme2",9.87597227051324e-39,0.761607822220833,0.942,0.768,1.65027496640276e-34
"89","Mov10",1.20407922574441e-38,0.716218245166937,0.479,0.144,2.0120163862189e-34
"90","Psmb9",1.80015514325435e-38,0.801840365686837,0.917,0.682,3.00805924437802e-34
"91","Cxcl10",2.5754940983266e-38,1.46473352527818,0.2,0.016,4.30365063830376e-34
"92","Cnp",1.8226945148126e-36,0.773255307477129,0.796,0.493,3.04572253425186e-32
"93","Samd9l",2.61615780939458e-36,0.853418478884372,0.654,0.364,4.37159969949834e-32
"94","H2-T23",2.76373693246076e-36,0.830634236731104,0.833,0.596,4.61820441414193e-32
"95","Cxcr3",6.62077359725892e-36,0.760741951074116,0.554,0.184,1.10633126810197e-31
"96","Runx1",9.46782512044047e-36,-1.4217950289212,0.183,0.566,1.5820735776256e-31
"97","Ifi203",1.46292170033218e-35,0.829731383154141,0.667,0.332,2.44454216125508e-31
"98","Zup1",5.99959371205461e-35,0.803706594680774,0.621,0.313,1.00253210928433e-30
"99","Slfn1",6.88027890302193e-35,0.882579958595643,0.746,0.393,1.14969460469496e-30
"100","Ly6c2",7.5831045080212e-35,1.77927472349439,0.5,0.159,1.26713676329034e-30
"101","AU020206",5.3714978390257e-34,0.802590268789143,0.842,0.474,8.97577288901194e-30
"102","Plac8",9.40748303966334e-34,0.963437754068795,0.562,0.201,1.57199041592774e-29
"103","H2-T24",1.04678695571821e-33,0.68224603301407,0.362,0.093,1.74918100300513e-29
"104","Tyrobp",1.55171315197169e-33,-3.03592419115836,0.025,0.298,2.5929126769447e-29
"105","Fasl",2.83798906865097e-33,0.776282516220449,0.65,0.271,4.74227973371577e-29
"106","Cd3d",3.08169386877075e-33,0.605430773281505,0.979,0.713,5.14951045471592e-29
"107","Prelid2",3.39530576982378e-33,0.771207733082145,0.662,0.31,5.67355594137554e-29
"108","Cdh1",4.48309224931156e-33,0.865157269939251,0.542,0.194,7.49124714859962e-29
"109","Ctla2a",1.55265207445873e-32,0.404944071371087,0.679,0.322,2.59448161642054e-28
"110","Gbp5",3.0191749641758e-32,0.724180113636134,0.4,0.116,5.04504136513776e-28
"111","Itgae",3.08135571313546e-32,0.576962401243405,0.608,0.254,5.14894539664936e-28
"112","Ifi214",8.89260761570885e-32,0.685934684549941,0.446,0.143,1.48595473258495e-27
"113","Ifi27l2a",1.23291852709414e-31,1.13309167747029,0.783,0.534,2.0602068587743e-27
"114","Fcer1g",1.62929027380251e-31,-2.99568440294533,0.033,0.288,2.72254404752399e-27
"115","Trim30c",2.71498457708607e-31,0.505198154427245,0.179,0.015,4.53673922831083e-27
"116","Slamf7",3.31052015799709e-31,0.804619462423078,0.5,0.183,5.53187918401313e-27
"117","Cd69",3.98631284173711e-31,0.959462397511983,0.804,0.535,6.66112875854272e-27
"118","Cst7",5.16381865112916e-31,0.518564635768663,0.725,0.352,8.62874096603683e-27
"119","Pmepa1",1.12077008763303e-30,0.649518909249106,0.817,0.449,1.8728068164348e-26
"120","Irgm2",1.82069500363036e-30,0.686046302993026,0.408,0.12,3.04238135106633e-26
"121","H2-Q4",2.68085464300801e-30,0.699252646142263,0.954,0.826,4.47970810846638e-26
"122","Gm7030",3.63429916479851e-30,0.749611863227112,0.688,0.415,6.0729139043783e-26
"123","H2-Q7",2.81561606674793e-29,0.699519560049412,0.896,0.635,4.7048944475358e-25
"124","Naa20",4.07546180133889e-29,0.6976317178822,0.546,0.262,6.81009667003729e-25
"125","Uba7",1.88101974804209e-28,0.649896233885863,0.554,0.242,3.14318399897834e-24
"126","Cd3e",1.94674704799295e-28,0.448490330788649,0.992,0.745,3.25301431719622e-24
"127","Hopx",3.75275022397099e-28,0.704143331331512,0.688,0.337,6.27084562425553e-24
"128","Rnf114",7.64524640885292e-28,0.686844487113318,0.771,0.505,1.27752067491932e-23
"129","Ifi213",2.17360538620918e-27,0.527565474574027,0.279,0.061,3.63209460035555e-23
