"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Cd8a",0,0.823450231906323,0.906,0.281,0
"2","Cd8b1",0,1.82336130256355,0.95,0.269,0
"3","Ctsw",0,-0.436588767062345,0.786,0.457,0
"4","Nkg7",0,-0.414206763646181,0.83,0.412,0
"5","Ccr9",1.48557810818212e-296,0.944263592806828,0.363,0.029,2.48240101877233e-292
"6","Ccr7",2.92602671909503e-258,0.841476839198756,0.912,0.448,4.8893906476078e-254
"7","Litaf",8.16379949766462e-240,-1.61709880431999,0.02,0.41,1.36417089605976e-235
"8","Lef1",1.26978960003197e-235,0.477187415233757,0.969,0.564,2.12181842165342e-231
"9","Sell",8.29852600569733e-229,0.811765148004966,0.869,0.424,1.38668369555202e-224
"10","Cmah",1.34420516859004e-227,0.892710855326403,0.764,0.311,2.24616683671396e-223
"11","Lgals3",2.18733156397604e-208,-2.01096814373836,0.011,0.35,3.65503104340396e-204
"12","Dapl1",6.90687166075552e-196,1.12666006178181,0.507,0.14,1.15413825451225e-191
"13","Tyrobp",9.04626794093868e-194,-3.16567361512997,0.012,0.319,1.51163137293085e-189
"14","Fcer1g",2.31504589439858e-190,-3.1802868214019,0.006,0.309,3.86844168954002e-186
"15","Srgn",1.29959619301283e-187,-1.71470627391259,0.871,0.89,2.17162523852444e-183
"16","Gm10260",1.83378453955737e-187,0.701706537990779,0.964,0.883,3.06425396560037e-183
"17","Gm2682",1.78579627564353e-180,0.53749744176792,0.975,0.653,2.98406557660034e-176
"18","Fam241a",5.14463669713188e-177,0.881257698039185,0.611,0.237,8.59668792090737e-173
"19","Tcf7",9.4406032759759e-176,0.56224121763573,0.943,0.595,1.57752480741557e-171
"20","AW112010",1.70515819852155e-172,-1.20768317408487,0.695,0.574,2.84931934972952e-168
"21","Fgl2",8.15193071617782e-168,-1.19984817869406,0,0.266,1.36218762267331e-163
"22","Lyn",1.53301698911207e-166,-1.4734033682592,0.006,0.286,2.56167138880628e-162
"23","S1pr1",1.74123463748186e-166,0.47563685850879,0.761,0.379,2.90960307923219e-162
"24","Gm11808",1.29497587964521e-165,0.817241858615184,0.914,0.693,2.16390469488715e-161
"25","Grap2",4.10760155112302e-162,0.657181608580599,0.962,0.695,6.86380219192657e-158
"26","Rgcc",8.80794247689841e-161,0.709402676903112,0.469,0.136,1.47180718788972e-156
"27","Themis",1.76155564284372e-160,0.664824747420232,0.889,0.537,2.94355947919185e-156
"28","Klf2",7.93555027780151e-160,0.44936181910485,0.962,0.652,1.32603045142063e-155
"29","Dgka",6.3607623407399e-153,0.461022805052118,0.95,0.637,1.06288338713764e-148
