"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Lag3",0,2.10002240734472,0.831,0.097,0
"2","Pdcd1",0,2.88388180440606,0.934,0.105,0
"3","Tigit",0,1.99615796726236,0.91,0.212,0
"4","Trgv2",2.96439387504748e-322,2.22615312540965,0.82,0.106,4.95350216520434e-318
"5","Tnfrsf9",1.01282228918413e-287,1.98192467637415,0.873,0.17,1.69242604522668e-283
"6","Nkg7",4.22423542882983e-279,1.99266658840245,0.982,0.427,7.05869740157464e-275
"7","Gm156",1.00670664638407e-257,2.57165825122393,0.532,0.028,1.68220680610778e-253
"8","Il2rb",1.96389779612124e-249,1.84121164864975,0.965,0.402,3.28167321731859e-245
"9","Cd8a",6.03510606670285e-244,2.01423235906625,0.88,0.314,1.00846622374605e-239
"10","Ikzf2",1.73251037771117e-243,1.75019285569765,0.821,0.161,2.89502484115537e-239
"11","Tcrg-C2",6.81202632882746e-243,1.42496244963428,0.663,0.078,1.13828959954707e-238
"12","Cst7",2.30305876995081e-240,1.63783083910241,0.886,0.339,3.84841120458781e-236
"13","Itgav",2.70546120881274e-237,1.78982291781695,0.843,0.277,4.5208256799261e-233
"14","Ier5l",4.61411842113858e-232,1.66536862283839,0.648,0.084,7.71019188172257e-228
"15","Ctla2a",2.92721063613935e-226,1.7889329883351,0.912,0.306,4.89136897298885e-222
"16","Nr4a2",3.8555541954402e-226,1.68380721463941,0.713,0.129,6.44263106058058e-222
"17","Cdk6",1.28730513926833e-220,1.70110770825543,0.836,0.331,2.15108688771738e-216
"18","Cd3g",4.72049251246031e-220,1.41424813315796,0.983,0.73,7.88794298832118e-216
"19","Klrc1",1.65443689215902e-205,1.62506186180533,0.727,0.136,2.76456404679773e-201
"20","Tox",4.53167956898233e-205,1.64985716455141,0.904,0.481,7.57243655976947e-201
"21","Glp1r",5.78969773556844e-201,1.00124297353646,0.471,0.033,9.67458491613486e-197
"22","AW112010",1.95519813820598e-200,1.5282538397155,0.972,0.57,3.26713608894220e-196
"23","Chn2",2.36896168292574e-197,1.56637742665918,0.799,0.211,3.95853497216891e-193
"24","Gm2682",1.00240116616443e-194,-2.64494255028755,0.098,0.7,1.67501234866076e-190
"25","Cd3e",1.82948355623411e-183,1.15503627425159,0.967,0.741,3.0570670224672e-179
"26","Sult2b1",4.54045853439156e-183,1.49307440769264,0.604,0.1,7.58710621096830e-179
"27","Klf2",8.23601477895725e-183,-2.51981281848262,0.11,0.698,1.37623806956376e-178
"28","Cd7",1.02112967228186e-182,1.77483711619371,0.921,0.538,1.70630768238299e-178
"29","Rbpj",7.78847819331184e-182,1.41883296797662,0.785,0.281,1.30145470610241e-177
"30","Cxcr6",2.98479688099982e-181,1.52193022137129,0.829,0.282,4.9875955881507e-177
"31","Osbpl3",2.85775186788642e-176,1.21710879081494,0.7,0.16,4.7753033712382e-172
"32","Lgals3",3.44149482079445e-169,1.2751783117486,0.878,0.302,5.75073784554752e-165
"33","Itih5",1.56872586431226e-165,1.15804297599548,0.541,0.081,2.62134091926578e-161
"34","Igflr1",2.96862467764446e-165,1.25717562211368,0.814,0.306,4.96057183634389e-161
"35","Dapk2",3.62253266148941e-164,1.2092523141361,0.764,0.216,6.05325207734881e-160
"36","Ccl5",1.79321890181509e-159,1.7621944763764,0.72,0.184,2.99646878493302e-155
"37","Adgrg1",6.21615310120681e-158,0.766225211989378,0.379,0.027,1.03871918321166e-153
"38","Stk39",8.819343212656e-157,1.24720879333367,0.766,0.273,1.47371225083482e-152
"39","Rabgap1l",4.7772087036568e-154,1.26725676010429,0.906,0.538,7.98271574381052e-150
"40","Lef1",5.93532700671526e-153,-2.44662359948676,0.079,0.616,9.9179314282212e-149
"41","Bcl2",1.64432214875866e-149,1.29081012626342,0.976,0.678,2.74766231057572e-145
"42","Sh2d2a",2.74074477015453e-149,1.26356404729784,0.831,0.471,4.57978451092823e-145
"43","Vps37b",3.71388876439425e-148,1.26084204819989,0.952,0.666,6.20590812530278e-144
