"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Asf1b",0,1.48383765008897,0.841,0.042,0
"2","Aurkb",0,1.11030945078395,0.704,0.01,0
"3","Birc5",0,2.2991806455497,0.86,0.011,0
"4","Brip1",0,0.985176185580916,0.695,0.015,0
"5","Bub1",0,0.754753066790574,0.601,0.004,0
"6","Bub1b",0,0.917722247798312,0.658,0.01,0
"7","Ccna2",0,1.81980491298837,0.809,0.007,0
"8","Ccnb2",0,1.62446517376885,0.687,0.009,0
"9","Cdca3",0,1.04150067055173,0.677,0.011,0
"10","Cdca8",0,1.50132994808467,0.844,0.02,0
"11","Cdk1",0,1.55258978534932,0.817,0.018,0
"12","Cenpf",0,1.89135802262847,0.695,0.009,0
"13","Cenpm",0,0.902112436800669,0.733,0.011,0
"14","Cep55",0,1.11369672843756,0.704,0.016,0
"15","Cit",0,1.14088436417337,0.779,0.017,0
"16","Ckap2l",0,1.02297266178008,0.687,0.01,0
"17","Cks1b",0,1.7037431636242,0.887,0.05,0
"18","Clspn",0,1.41863157464091,0.765,0.016,0
"19","Diaph3",0,1.48762527345443,0.871,0.04,0
"20","Esco2",0,1.01326436525263,0.639,0.003,0
"21","Fbxo5",0,1.16646839774091,0.739,0.021,0
"22","H2afz",0,2.0802676735515,0.995,0.741,0
"23","Hist1h1b",0,2.52137613792098,0.706,0.026,0
"24","Hmgb2",0,2.6848170492657,0.995,0.627,0
"25","Kif11",0,1.44951980486745,0.776,0.014,0
"26","Kif15",0,1.30062480412382,0.749,0.014,0
"27","Kif4",0,0.975851407818215,0.65,0.005,0
"28","Knl1",0,1.53726631838901,0.792,0.011,0
"29","Mki67",0,3.08528441001843,0.962,0.033,0
"30","Ncapd2",0,1.24139913065376,0.838,0.045,0
"31","Ncapg",0,0.997104229308092,0.744,0.009,0
"32","Ncaph",0,0.860045335056138,0.685,0.014,0
"33","Neil3",0,1.07645630361537,0.644,0.005,0
"34","Nusap1",0,1.52017258509728,0.779,0.008,0
"35","Pclaf",0,2.84144607757065,0.933,0.016,0
"36","Plk1",0,1.05295765276691,0.606,0.006,0
"37","Prc1",0,1.4893474395743,0.782,0.022,0
"38","Ptma",0,1.65544422381893,1,0.938,0
"39","Rad51",0,1.01812324667193,0.76,0.021,0
"40","Ran",0,1.61278258582514,0.981,0.701,0
"41","Rrm2",0,2.38175157290563,0.852,0.016,0
"42","Shcbp1",0,0.790245200033441,0.644,0.006,0
"43","Ska1",0,0.809061932988715,0.677,0.009,0
"44","Smc2",0,1.88768507325366,0.941,0.136,0
"45","Spc24",0,1.59128907030582,0.881,0.018,0
"46","Stmn1",0,3.30983995750066,0.992,0.124,0
"47","Tacc3",0,1.18270210369218,0.782,0.032,0
"48","Tk1",0,1.63754394877217,0.841,0.028,0
"49","Top2a",0,3.0876334983622,0.941,0.067,0
"50","Tpx2",0,1.55984028531278,0.814,0.014,0
"51","Tuba1b",0,2.17028727291398,0.965,0.465,0
"52","Tubb5",0,2.19711018890839,0.987,0.741,0
"53","Tyms",0,1.64740160482196,0.857,0.065,0
"54","Uhrf1",0,1.46749654027107,0.836,0.034,0
"55","Cenpe",4.94065645841247e-324,1.39821092483341,0.72,0.021,8.25583694200723e-320
"56","Mxd3",4.05133829589822e-322,0.815238940352079,0.55,0.002,6.76978629244593e-318
"57","Kntc1",2.24701055728599e-320,0.814717162539275,0.639,0.009,3.75475464122489e-316
"58","Cdca5",1.91056123971537e-317,0.689025451823718,0.606,0.007,3.19254783156439e-313
"59","H2afx",6.33394282450755e-317,2.11429029728537,0.895,0.248,1.05840184597521e-312
"60","Nuf2",2.04904550825482e-315,0.664119012918232,0.553,0.003,3.42395504429381e-311
"61","Pbk",8.02747681337851e-314,0.727139076413854,0.574,0.005,1.34139137551555e-309
"62","Cenpp",8.48414730290938e-314,1.17573479225718,0.73,0.024,1.41770101431616e-309
"63","Tcf19",2.74579000740515e-311,1.49580052754077,0.755,0.042,4.58821510237401e-307
"64","Hmmr",3.34322174908277e-310,1.04225306984063,0.563,0.004,5.5865235427173e-306
"65","Rad51ap1",7.20126282344511e-308,0.801180897885929,0.65,0.013,1.20333101779768e-303
"66","Kif22",6.77888629700019e-307,1.0327925129549,0.668,0.016,1.13275190022873e-302
"67","Hist1h2ae",3.44644144442952e-305,2.50039329501604,0.73,0.083,5.75900365364172e-301
"68","H2afv",7.71014759874607e-299,1.74826901641803,0.96,0.515,1.28836566375047e-294
"69","Ncapg2",4.91431813638474e-295,1.08555170433601,0.73,0.03,8.2118256058989e-291
"70","Aspm",4.30630921401454e-294,1.00022871834218,0.547,0.005,7.1958426966183e-290
"71","Ube2c",7.19284910412694e-292,2.36052965946582,0.639,0.016,1.20192508529961e-287
"72","Hmgn2",1.86532308625887e-291,1.77548200917979,0.965,0.474,3.11695487713857e-287
"73","Sgo2a",6.03772683602886e-290,0.728115676323361,0.574,0.008,1.00890415430042e-285
"74","Dek",2.68316879070787e-280,1.57956920019774,0.965,0.49,4.48357504927286e-276
"75","Ube2s",1.86935287420523e-273,1.60598862174518,0.984,0.555,3.12368865279694e-269
"76","Dut",5.26522663068992e-271,1.68158866045957,0.916,0.285,8.79819369988285e-267
"77","Melk",1.60798719476571e-269,0.602722224418081,0.539,0.007,2.68694660245351e-265
"78","Brca1",1.79769265626787e-269,0.835652215043833,0.655,0.023,3.00394442862362e-265
"79","Kif18b",1.08311755050863e-267,0.610192620808462,0.482,0.003,1.80988942689992e-263
"80","Rrm1",2.65370269307038e-266,1.47420048056694,0.895,0.143,4.43433720012061e-262
"81","Ezh2",1.65988927998723e-264,1.59531576533028,0.908,0.153,2.77367498685866e-260
"82","Anln",2.06044991407537e-264,0.755263113711846,0.561,0.01,3.44301180641995e-260
"83","Stil",3.34348217964436e-264,0.517391875918416,0.512,0.006,5.58695872218572e-260
"84","Depdc1a",1.5006905730531e-263,0.599126004565636,0.477,0.003,2.50765394757173e-259
"85","Hist1h2ak",1.07307133602885e-262,2.30586000757546,0.717,0.072,1.79310220250422e-258
"86","Spag5",3.1677024474817e-261,0.627700554561346,0.515,0.006,5.29323078974192e-257
"87","Hmgb1",7.77931412552448e-261,1.37713810534751,0.989,0.82,1.29992339037514e-256
"88","Mis18bp1",8.30575089092962e-261,0.843325357537864,0.58,0.013,1.38789097387434e-256
"89","Incenp",3.64793954868532e-258,1.39073754170485,0.844,0.102,6.09570698585317e-254
"90","Mybl2",3.87563730461167e-254,0.594965635370355,0.523,0.008,6.4761899360061e-250
"91","Cenph",7.17248466701383e-253,0.647946795387841,0.58,0.015,1.19852218785801e-248
"92","Nek2",2.08754112772693e-252,0.588274543464724,0.464,0.003,3.4882812244317e-248
"93","Cdc6",9.94778990719028e-250,0.660257718733418,0.534,0.01,1.6622756934915e-245
"94","E2f7",1.76280697700696e-248,0.54708805406364,0.456,0.003,2.94565045857863e-244
"95","Tubb4b",2.57448619070772e-248,1.84324371691745,0.938,0.434,4.3019664246726e-244
"96","Cdca2",3.30218465223286e-248,0.87516566236773,0.628,0.024,5.51795055388111e-244
"97","Ttk",8.46284446139781e-248,0.552289694257413,0.466,0.004,1.41414130949957e-243
"98","Ect2",6.88695031939342e-247,0.857363712979956,0.612,0.022,1.15080939837064e-242
"99","Kif14",1.34541798262176e-246,0.604652956302004,0.439,0.002,2.24819344896095e-242
"100","Gmnn",2.3718097150992e-246,1.1611399466521,0.868,0.108,3.96329403393077e-242
"101","Ccnf",2.59546207269856e-246,0.818219881072211,0.615,0.023,4.3370171234793e-242
"102","Pole",2.64848312778245e-246,0.888831963608368,0.69,0.038,4.42561530652447e-242
"103","Cdc45",5.24029189533201e-246,0.665984994372912,0.59,0.018,8.75652775709979e-242
"104","E2f8",5.58317250779029e-246,0.635709791262682,0.501,0.007,9.32948126051758e-242
"105","Racgap1",1.63385600004636e-244,1.33128265130792,0.873,0.116,2.73017337607746e-240
"106","Spc25",3.52579881769372e-243,0.621185524405677,0.528,0.01,5.89160982436621e-239
"107","Mad2l1",7.51407298950801e-241,0.797426763940641,0.728,0.053,1.25560159654679e-236
"108","Rad51b",4.67241117929911e-239,1.13402058742417,0.69,0.041,7.80759908060881e-235
"109","Lig1",4.83140120480597e-239,1.42966441199028,0.838,0.112,8.07327141323078e-235
"110","Knstrn",9.62179127743664e-239,0.911464625669936,0.658,0.034,1.60780132245966e-234
"111","Cdc20",6.18036949042414e-238,1.24108095296393,0.633,0.029,1.03273974184987e-233
"112","Lockd",3.84443270928627e-237,0.837512847242681,0.62,0.027,6.42404705721736e-233
"113","Pkmyt1",1.83392317063828e-236,0.782637713851224,0.752,0.065,3.06448561813657e-232
"114","Kif2c",1.26092102817996e-234,0.521438513118133,0.445,0.004,2.10699903808872e-230
"115","Kif20b",3.11080742225325e-234,0.899284004209028,0.701,0.048,5.19815920258518e-230
"116","Ndc80",1.2511600724534e-230,0.73889056755767,0.642,0.038,2.09068848106964e-226
"117","Mcm5",1.54010651380183e-230,1.37920146957304,0.857,0.135,2.57351798456286e-226
"118","Mcm10",2.07311518119038e-230,0.464296612720746,0.474,0.007,3.46417546776912e-226
"119","Bard1",5.63443639677312e-230,0.631910497959711,0.582,0.024,9.41514321900788e-226
"120","Kif20a",6.02504752452407e-229,0.580776201064473,0.482,0.008,1.00678544134797e-224
"121","Cenpn",7.20192064547412e-229,0.471322102807663,0.482,0.009,1.20344093985873e-224
"122","Depdc1b",1.14953940185438e-228,0.721047118472718,0.488,0.008,1.92088034049866e-224
"123","Ccnb1",1.00973089204276e-227,0.802090060616273,0.469,0.007,1.68726032060345e-223
"124","Pola1",8.96173492056729e-226,1.32351053074447,0.833,0.11,1.49750590522679e-221
"125","Hist1h3c",2.62371623689089e-225,0.600502312729901,0.442,0.004,4.38422983184467e-221
"126","Pimreg",1.36098874646551e-224,0.609759226499668,0.41,0.002,2.27421219534387e-220
"127","Cenps",8.04994196556814e-224,0.562840676059461,0.588,0.025,1.34514530244644e-219
"128","Atad5",1.13605997411743e-221,0.87965171030843,0.722,0.061,1.89835621675023e-217
"129","Gm4316",6.8325375978649e-221,1.02511376047581,0.693,0.052,1.14171703260322e-216
"130","Alyref",1.37579503513358e-220,1.36191593573694,0.965,0.473,2.29895350370821e-216
"131","Tmpo",1.89821875439221e-220,1.45085070413129,0.935,0.383,3.17192353858938e-216
"132","Plk4",6.716557012366e-220,0.689215328196422,0.655,0.045,1.12233667676636e-215
"133","Gen1",1.24165895904242e-218,0.455776940252842,0.458,0.009,2.07481212055989e-214
"134","Mcm3",3.0611699853203e-218,1.46411056779356,0.854,0.163,5.11521504547022e-214
"135","Cenpw",4.32116474655334e-218,0.852584678744388,0.741,0.069,7.22066629149063e-214
"136","Foxm1",1.54066651958143e-216,0.596455532086962,0.493,0.012,2.57445375422058e-212
"137","Dtl",6.61316371734146e-216,0.93654344049732,0.677,0.049,1.10505965716776e-211
"138","Gtse1",9.12386118061503e-216,0.416518248540502,0.426,0.005,1.52459720328077e-211
"139","Zwilch",1.84538969739608e-214,0.559267573547121,0.563,0.026,3.08364618434884e-210
"140","Cenpk",1.0176627745009e-213,0.574302313064643,0.544,0.02,1.70051449619101e-209
"141","Tedc1",1.17115348357257e-213,0.514035696758103,0.534,0.02,1.95699747104977e-209
"142","Sgo1",6.7519149104634e-211,0.445862689104661,0.434,0.006,1.12824498153843e-206
"143","Arhgap11a",3.6058276046527e-210,0.616142050646413,0.577,0.029,6.02533792737466e-206
"144","Mastl",6.74677510233103e-210,0.517590485229474,0.472,0.011,1.12738611959952e-205
"145","Sapcd2",1.34964656698368e-209,0.445895649360751,0.372,0.002,2.25525941342974e-205
"146","Ccdc34",2.66242016313426e-207,0.78491695410431,0.722,0.073,4.44890409259735e-203
"147","Cks2",1.06308086793006e-206,1.35090550601916,0.881,0.154,1.77640813031113e-202
"148","Poc1a",8.52547064845545e-206,0.456301088497597,0.499,0.017,1.42460614535691e-201
"149","Hells",4.38601762069024e-204,1.18808846548795,0.771,0.098,7.32903544417338e-200
"150","Chaf1a",7.2606168043789e-204,0.669953141786144,0.636,0.045,1.21324906801171e-199
"151","Hist1h2ap",8.77227571679532e-204,1.1988377877757,0.547,0.024,1.4658472722765e-199
"152","Ska3",1.94743418886671e-203,0.385877852393221,0.407,0.005,3.25416252959627e-199
"153","Mcm6",5.81363429345255e-203,1.46669279578851,0.854,0.175,9.71458290435921e-199
"154","Anp32b",8.89915145295578e-203,1.26301283413951,0.981,0.663,1.48704820778891e-198
"155","Ticrr",8.97112158464696e-203,0.448619548926897,0.466,0.012,1.49907441679451e-198
"156","CAAA01147332.1",2.2388526067548e-202,1.50725032049125,0.965,0.396,3.74112270588727e-198
"157","Ankle1",3.75936512768736e-202,0.369237716749798,0.358,0.001,6.28189912836558e-198
"158","Mtfr2",1.54975730070119e-201,0.386932757529228,0.394,0.004,2.58964444947168e-197
"159","Gins2",4.26546617584189e-200,0.652710031923226,0.631,0.046,7.1275939798318e-196
"160","Lmnb1",1.4420313281958e-198,1.56033662137082,0.978,0.327,2.40963434941518e-194
"161","Pmf1",6.76804393395238e-198,0.783317607659525,0.768,0.099,1.13094014136344e-193
"162","Dlgap5",1.49374687839373e-197,0.738977819844026,0.571,0.031,2.49605103379593e-193
"163","Ckap2",5.48506256925714e-197,0.519860499243145,0.426,0.007,9.16553955322868e-193
"164","Cip2a",1.63802851453122e-196,0.582391848122808,0.466,0.013,2.73714564778166e-192
"165","Hnrnpa3",2.99464249001916e-196,1.16763599500036,0.995,0.836,5.00404760082202e-192
"166","4930579G24Rik",4.38959414176316e-196,0.428174807519543,0.52,0.026,7.33501181088625e-192
"167","Kifc1",1.44495775080508e-194,0.653743539798872,0.574,0.036,2.41452440159529e-190
"168","Hjurp",4.5624051539241e-193,0.635516468635168,0.563,0.037,7.62377901220717e-189
"169","Rad54l",3.29723426174909e-192,0.464558500246845,0.45,0.011,5.50967845138273e-188
"170","Nrm",3.90867070326757e-192,1.13344650656558,0.836,0.141,6.53138874516011e-188
"171","Rfc4",3.95571976335442e-192,0.782810395759507,0.736,0.088,6.61000772456524e-188
"172","Espl1",1.96728311040246e-190,0.544539844140311,0.469,0.014,3.28733007748251e-186
"173","Fen1",5.4861789778889e-190,1.04313248399336,0.784,0.117,9.16740507205235e-186
"174","Fancd2",1.50642528201871e-189,0.385286138052702,0.396,0.006,2.51723664625326e-185
"175","Selenoh",1.12869775139074e-187,1.28331715434881,0.908,0.299,1.88605394257393e-183
"176","Prim1",4.72484738155417e-187,0.800096112085835,0.69,0.073,7.89521997457702e-183
"177","Cdkn3",4.89765528380694e-187,0.580379292876038,0.415,0.008,8.18398197924139e-183
"178","Mcm7",6.40259293192239e-187,1.27577632007641,0.825,0.162,1.06987327892423e-182
"179","Fignl1",1.59814614923174e-185,0.42456114317749,0.477,0.018,2.67050221536624e-181
"180","Rfc5",2.98791338297284e-185,0.773974920623987,0.747,0.099,4.99280326294762e-181
"181","Lrr1",1.56523130553682e-183,0.325601335735925,0.337,0.002,2.61550151155203e-179
"182","Trip13",1.64375258178383e-183,0.361256463782496,0.426,0.012,2.74671056416077e-179
"183","Cenpi",4.28400462095573e-182,0.420839935407632,0.391,0.006,7.15857172161702e-178
"184","Kif23",7.55022679773513e-180,1.08945558733955,0.668,0.069,1.26164289790154e-175
"185","Slc43a3",4.26242692261787e-179,0.57111014083502,0.523,0.03,7.12251538769446e-175
"186","Polq",4.49565284692519e-178,0.374579894935584,0.418,0.013,7.51223590721199e-174
"187","Mcm2",6.06591715605189e-178,1.01347325466454,0.768,0.115,1.01361475677627e-173
"188","Ccne1",1.01882170933174e-177,0.605072880591626,0.52,0.028,1.70245107629334e-173
"189","E2f2",4.47585354967568e-177,0.612914272636623,0.604,0.058,7.47915128150806e-173
"190","Zfp367",1.2677514163912e-176,0.736579133457794,0.59,0.046,2.1184126167897e-172
"191","Dhfr",2.62806926130866e-176,0.666855133516821,0.574,0.042,4.39150373564677e-172
"192","Hnrnpab",7.14177045267809e-176,1.19902575184453,0.976,0.695,1.19338984264251e-171
"193","Pask",2.67636101005398e-175,0.35647584607487,0.38,0.006,4.47219924780021e-171
"194","Rmi2",2.73029368019673e-175,0.607026241166486,0.636,0.069,4.56232073960874e-171
"195","Nsd2",3.79515958273762e-175,1.19382812539558,0.846,0.177,6.34171166275456e-171
"196","Parpbp",7.67545095356819e-174,0.44507435486249,0.367,0.005,1.28256785434124e-169
"197","Pcna",1.10772496632969e-173,1.34108464922534,0.868,0.282,1.85100841873692e-169
"198","Tipin",1.44101554935084e-173,1.15203965682392,0.841,0.189,2.40793698296525e-169
"199","Rfc3",1.68045548537525e-173,0.666556925912132,0.65,0.071,2.80804111606205e-169
"200","Nap1l1",1.80062381932636e-173,1.27976668180672,0.941,0.485,3.00884240209435e-169
"201","Oip5",2.21315034426778e-173,0.280110035443728,0.372,0.008,3.69817422527147e-169
"202","Timeless",2.31978105042152e-172,0.663690273579789,0.693,0.099,3.87635413525436e-168
"203","Traip",4.83869503643793e-172,0.331354659643169,0.41,0.013,8.08545940588779e-168
"204","Dscc1",3.8430639038319e-171,0.388918379969662,0.434,0.015,6.42175978330311e-167
"205","Chtf18",5.29608793338391e-171,0.434038937574994,0.461,0.021,8.84976293668452e-167
"206","Chek1",2.42041811521419e-170,0.414642355317762,0.426,0.014,4.0445186705229e-166
"207","Hist1h1a",1.21601934441969e-168,0.73974933180842,0.482,0.024,2.03196832452531e-164
"208","Ppia",1.89876012394312e-168,1.0924109323361,0.997,0.948,3.17282816710895e-164
"209","Cbx5",1.78915702717094e-167,0.901810115867398,0.836,0.169,2.98968139240265e-163
"210","Mms22l",2.58473105530027e-167,0.723850125012547,0.66,0.078,4.31908559340674e-163
"211","Slbp",2.75432471599993e-167,1.33241223911179,0.892,0.37,4.60247660043588e-163
"212","Rad54b",2.81939036929346e-167,0.32497069905144,0.356,0.005,4.71120130708937e-163
"213","Wee1",1.16203946711395e-166,0.478191586846369,0.539,0.043,1.94176794954741e-162
"214","Fam83d",8.43826450330115e-166,0.423791035859499,0.372,0.008,1.41003399850162e-161
"215","Hmgb3",1.36383295478038e-165,0.586701536665193,0.58,0.054,2.27896486743802e-161
"216","Aunip",1.27819702718097e-163,0.291623488241081,0.307,0.002,2.1358672324194e-159
"217","E2f1",1.62388514039633e-163,0.770281859685284,0.569,0.048,2.71351206960227e-159
"218","Cdkn2c",3.79007218814366e-163,0.746707174894398,0.601,0.058,6.33321062638806e-159
"219","Dsn1",4.66410971079208e-163,0.421526757408041,0.485,0.032,7.79372732673357e-159
"220","Exo1",1.31304207981845e-162,0.350682100245974,0.372,0.008,2.19409331537663e-158
"221","Eme1",3.9369467649615e-161,0.308325882184295,0.364,0.009,6.57863804425066e-157
"222","Fanci",1.09542337827004e-160,0.396013765589887,0.439,0.025,1.83045246508924e-156
"223","Prim2",4.27616225966004e-160,0.744039454147951,0.722,0.116,7.14546713589192e-156
"224","Brca2",1.56705831349406e-158,0.575244632061787,0.523,0.039,2.61855444184858e-154
"225","Rbm3",2.84951246903483e-158,1.06109303903786,0.984,0.83,4.7615353357572e-154
"226","Rbbp8",6.11819391500653e-158,0.665543739394222,0.739,0.131,1.02235020319759e-153
"227","Pold1",7.26930201641778e-158,0.625365029272578,0.66,0.091,1.21470036694341e-153
"228","Atad2",2.95737235658465e-157,1.27524339244471,0.908,0.292,4.94176920785295e-153
"229","Cep128",1.26501984742685e-156,0.747319555091907,0.722,0.121,2.11384816505026e-152
"230","Hist1h1e",1.54685100177129e-156,1.63997692874579,0.884,0.316,2.58478802395983e-152
"231","Ulbp1",5.92696287456296e-156,0.572438411419043,0.501,0.036,9.9039549633947e-152
"232","Ppil1",2.87536529486567e-155,0.566996764108111,0.685,0.108,4.80473540772053e-151
"233","Wdhd1",2.29313180553477e-154,0.453065200053708,0.528,0.049,3.8318232470486e-150
"234","Tfdp1",8.78888454312331e-154,0.900484353198906,0.806,0.168,1.4686226071559e-149
"235","Aurka",1.98548407306168e-153,0.456225423972349,0.388,0.013,3.31774388608606e-149
"236","Ercc6l",8.58761018278994e-153,0.284065793584343,0.369,0.013,1.4349896615442e-148
"237","Ska2",1.26729458067057e-152,0.482756344827472,0.509,0.048,2.11764924430052e-148
"238","Chaf1b",9.52262497545437e-152,0.590310967097289,0.574,0.06,1.59123063339843e-147
"239","Dnmt1",1.16726727902992e-151,1.19063949651887,0.884,0.303,1.950503623259e-147
"240","Ube2t",3.23997182145608e-151,0.429148624602451,0.488,0.042,5.4139929136531e-147
"241","Haus4",1.16759248109465e-150,0.663416202704752,0.787,0.173,1.95104703590917e-146
"242","Kpna2",4.62415630573272e-150,1.06020220038896,0.623,0.08,7.72696518687937e-146
"243","Nucks1",2.40694665478629e-149,1.17347632696226,0.965,0.505,4.02200786014789e-145
"244","Blm",4.63718271284872e-149,0.655501853884706,0.66,0.098,7.7487323131702e-145
"245","Tmem107",3.1549079984127e-148,0.464306094935581,0.485,0.035,5.27185126534761e-144
"246","Fkbp2",2.36843096214931e-146,0.838188495656322,0.86,0.22,3.9576481377515e-142
"247","Hint1",6.28039909780732e-146,1.04817865039663,0.978,0.721,1.0494546892436e-141
"248","Usp1",1.90352817435765e-145,1.0298981256998,0.9,0.278,3.18079557935163e-141
"249","Kif18a",2.28753153264684e-145,0.591407896426212,0.496,0.04,3.82246519105286e-141
"250","Topbp1",7.91885602632387e-145,0.946430341455752,0.852,0.217,1.32324084199872e-140
"251","Dctpp1",1.00831254604127e-143,1.00273163635947,0.779,0.172,1.68489026443496e-139
"252","Suv39h1",1.01110080729337e-143,0.476343227574243,0.606,0.092,1.68954944898721e-139
"253","Rad18",1.12277473424575e-143,0.397526696772946,0.58,0.093,1.87615658092465e-139
"254","Rbbp7",4.62873517398465e-143,1.07608234378443,0.954,0.471,7.73461647572834e-139
"255","Rcc1",8.74785478538521e-143,0.545115268193056,0.569,0.066,1.46176653463787e-138
"256","Haspin",1.39754232680732e-141,0.44152820668561,0.45,0.033,2.33529322809503e-137
"257","Psat1",4.28799485953901e-141,0.658858058054816,0.679,0.115,7.16523941028968e-137
"258","Csrp1",4.64907673172748e-141,0.81195973207539,0.782,0.171,7.76860721871662e-137
"259","Acot7",5.00609329324248e-141,0.658989286312034,0.825,0.219,8.36518189300819e-137
"260","Fanca",5.2293521628811e-141,0.412888953071066,0.431,0.027,8.73824746417431e-137
"261","Orc6",5.6217477448476e-141,0.721538924101279,0.755,0.156,9.39394048164033e-137
"262","Cdc25c",9.95956764206096e-141,0.296814558163042,0.27,0.002,1.66424375298839e-136
"263","Wdr76",1.54725572644074e-140,0.570586627996548,0.604,0.087,2.58546431888248e-136
"264","Spdl1",2.54412543915045e-140,0.337831441410748,0.388,0.019,4.25123360882041e-136
"265","Hist1h1d",3.2768494201918e-140,1.19514815766373,0.663,0.103,5.4756153811405e-136
"266","Cdc7",9.84718477768606e-140,0.34370043915088,0.482,0.056,1.64546457635134e-135
"267","Cdk2",8.28117305202347e-139,0.428234087725211,0.542,0.069,1.38378401699312e-134
"268","Prr11",6.11427187915455e-138,0.391021635681031,0.286,0.004,1.02169483100673e-133
"269","Slc29a1",1.16429745606683e-137,0.704131454981315,0.706,0.131,1.94554104908768e-133
"270","Mis18a",3.6014975606045e-137,0.463111133245275,0.682,0.143,6.01810242377012e-133
"271","Hist1h2bj",1.34891467912133e-136,0.295699388046924,0.313,0.009,2.25403642881174e-132
"272","Ranbp1",1.78156236699247e-136,1.1664374036548,0.919,0.499,2.97699071524442e-132
"273","E2f3",4.57674173157179e-136,0.497207584156547,0.577,0.08,7.64773543345646e-132
"274","Hist1h2af",6.90875332254142e-136,0.372150418558508,0.264,0.002,1.15445268019667e-131
"275","Rnaseh2b",1.35495441738677e-135,0.575921375306482,0.663,0.115,2.26412883145329e-131
"276","Impa2",2.00250123920798e-135,0.471529122237342,0.682,0.14,3.34617957071653e-131
"277","Nelfe",3.90980897870546e-135,0.587837862652259,0.73,0.157,6.53329080341682e-131
"278","Dbf4",3.85267822097847e-134,0.613823451100769,0.698,0.141,6.43782530725502e-130
"279","Malat1",6.71982622530892e-134,-1.48976030465262,0.992,0.993,1.12288296224912e-129
"280","Haus1",1.1844925892955e-133,0.423773731159536,0.596,0.103,1.97928711671278e-129
"281","Cenpa",1.18498973027387e-133,1.56613875367332,0.639,0.161,1.98011783928764e-129
"282","Anapc15",1.54835312948735e-133,0.483782959579408,0.615,0.104,2.58729807937336e-129
