"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Xcl1",5.66203676724881e-316,2.28412312917667,0.935,0.185,9.46126343807276e-312
"2","Itgae",2.09263215590578e-309,2.13699089249097,0.949,0.237,3.49678833251856e-305
"3","Clnk",1.12766431079893e-286,1.83069808650985,0.877,0.138,1.88432706334501e-282
"4","Cd160",3.45540162760411e-277,1.70143382583602,0.877,0.169,5.77397611972647e-273
"5","Ctsw",2.04081142912618e-253,1.74764105218672,0.994,0.468,3.41019589806984e-249
"6","Cd7",3.03572596054277e-248,2.00226950223273,0.974,0.537,5.07269808006696e-244
"7","Trgv2",5.10745565113842e-247,1.80557480884493,0.777,0.109,8.5345583930523e-243
"8","Chn2",3.98881919632121e-242,1.68494977939353,0.891,0.21,6.66531687705273e-238
"9","Emid1",2.00999406146511e-235,1.3580044189461,0.8,0.143,3.35870007670821e-231
"10","AU020206",7.89908222370483e-226,1.51141380812836,0.984,0.463,1.31993663958108e-221
"11","Il12rb2",9.64869562470727e-217,1.38515364184589,0.812,0.161,1.61229703888858e-212
"12","Klrd1",7.09782719657291e-214,1.55393063257721,0.96,0.351,1.18604692454733e-209
"13","Mmp16",2.94033150331583e-209,1.56462704322923,0.66,0.085,4.91329394204075e-205
"14","Cdh1",2.53010766029867e-201,1.31325861730298,0.814,0.179,4.22780990035908e-197
"15","Tcrg-C2",4.10576525313381e-201,1.09052326945739,0.64,0.081,6.8607337379866e-197
"16","Tspan9",9.52472074824051e-200,0.869591539249801,0.441,0.022,1.59158083703099e-195
"17","Cd3g",5.1660785093462e-193,1.37417903533566,0.986,0.73,8.63251718911751e-189
"18","Itga1",5.17017305655159e-192,1.09485240628162,0.706,0.119,8.63935917749771e-188
"19","Sema6d",3.4673545575546e-191,1.23320345305523,0.656,0.094,5.79394946567373e-187
"20","Cited4",2.31021355087795e-186,1.05050416881305,0.686,0.112,3.86036684351705e-182
"21","Tcrg-V4",1.21890311995362e-183,1.02753470686598,0.372,0.013,2.0367871134425e-179
"22","Dapk2",5.40987846555627e-174,1.08069245047646,0.824,0.216,9.03990691594453e-170
"23","Nkg7",1.20727976477647e-170,1.24129994362968,0.984,0.429,2.01736448694148e-166
"24","AW112010",2.89017329897988e-170,1.39342372895459,0.98,0.571,4.82947958259539e-166
"25","Cd226",4.68254131422571e-165,1.36876110386749,0.887,0.33,7.82452653607116e-161
"26","Il2rb",5.34459023463785e-163,0.935311771483749,0.974,0.403,8.93081028207985e-159
"27","Klra5",2.30614460414322e-162,1.83291623933745,0.488,0.05,3.85356763352333e-158
"28","Ctla2a",2.15386861022054e-161,1.06407918203845,0.901,0.309,3.59911444767852e-157
"29","Trdc",6.13126351030894e-161,1.39226319023738,0.447,0.04,1.02453413257262e-156
"30","Tcrg-C4",1.89169521043196e-159,0.969699694059418,0.561,0.079,3.16102269663181e-155
