"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Abca9",0,0.619722672401227,0.351,0.001,0
"2","Abcc3",0,0.783164371627271,0.445,0.011,0
"3","Ablim1",0,-1.97816977805422,0.125,0.808,0
"4","Adam15",0,0.662482901192715,0.483,0.041,0
"5","Adap2",0,0.939007358026143,0.512,0.002,0
"6","Adgre1",0,1.31376605664084,0.559,0.005,0
"7","Aif1",0,2.30678318246896,0.744,0.018,0
"8","Akr1a1",0,1.27065587071041,0.842,0.579,0
"9","Aldh2",0,0.95014365936466,0.586,0.063,0
"10","Aldh3b1",0,0.484810577770935,0.39,0.015,0
"11","Alox5ap",0,1.44776537524196,0.709,0.087,0
"12","Alpk1",0,0.376208776880279,0.296,0.006,0
"13","Amz1",0,0.911454085383857,0.533,0.047,0
"14","Anxa3",0,1.33506842455556,0.607,0.024,0
"15","Anxa4",0,0.909384533346343,0.544,0.07,0
"16","Anxa5",0,1.6326722548787,0.797,0.328,0
"17","Apba1",0,0.517313718543848,0.269,0.002,0
"18","Apobec1",0,2.38792852172229,0.763,0.071,0
"19","Apoc2",0,1.26947787715964,0.517,0.005,0
"20","Apoe",0,6.71301188861776,0.951,0.083,0
"21","App",0,1.59159126520354,0.796,0.172,0
"22","Arhgap22",0,1.1105092994191,0.462,0.006,0
"23","Arhgap24",0,1.22577558399133,0.609,0.078,0
"24","Arhgef1",0,-1.43054459546153,0.578,0.842,0
"25","Arl11",0,0.583775243392979,0.449,0.035,0
"26","Asah1",0,1.23218134585178,0.678,0.108,0
"27","Atf3",0,1.99793953889303,0.653,0.052,0
"28","Atp6v0c",0,1.38668168653894,0.866,0.641,0
"29","Axl",0,1.79128203538844,0.622,0.016,0
"30","B3gnt8",0,0.669793624521993,0.434,0.022,0
"31","BC028528",0,0.810520542887771,0.505,0.007,0
"32","Basp1",0,1.33311231835061,0.677,0.128,0
"33","Batf3",0,0.482613579815408,0.277,0.002,0
"34","Bcl2a1b",0,1.65991706506415,0.642,0.193,0
"35","Blnk",0,0.97753098072519,0.474,0.016,0
"36","Blvrb",0,0.8967156706595,0.53,0.072,0
"37","Btk",0,0.382761080919227,0.35,0.026,0
"38","C130050O18Rik",0,0.269420188939592,0.393,0.054,0
"39","C1qa",0,5.47153271239562,0.741,0.015,0
"40","C1qb",0,5.0732743610703,0.733,0.012,0
"41","C1qc",0,4.91219359773993,0.737,0.011,0
"42","C3ar1",0,1.74044648145345,0.586,0.003,0
"43","C5ar1",0,1.31212388936916,0.646,0.063,0
"44","Cacna1d",0,0.603475867442612,0.348,0.015,0
"45","Cadm1",0,1.58875347314215,0.516,0.006,0
"46","Camk1",0,1.54608544920513,0.664,0.045,0
"47","Card9",0,0.488411749258953,0.417,0.033,0
"48","Ccl12",0,1.08494538864462,0.26,0,0
"49","Ccl6",0,2.01836337450531,0.613,0.017,0
"50","Ccl9",0,1.24196943085538,0.397,0.003,0
"51","Ccr1",0,0.795299434278617,0.59,0.078,0
"52","Ccr5",0,1.06625674135562,0.546,0.072,0
"53","Cd14",0,1.35467076102699,0.735,0.084,0
"54","Cd180",0,0.471140462820005,0.306,0.01,0
"55","Cd2",0,-1.50959662868053,0.09,0.667,0
"56","Cd247",0,-1.77136600687607,0.09,0.688,0
"57","Cd300a",0,0.945850542122393,0.628,0.069,0
"58","Cd300c2",0,1.69525461766305,0.764,0.079,0
"59","Cd300lf",0,0.332115666950525,0.594,0.096,0
"60","Cd302",0,0.591913814159631,0.458,0.033,0
"61","Cd3d",0,-2.05315089168682,0.143,0.764,0
"62","Cd3e",0,-2.35580979843526,0.179,0.796,0
"63","Cd3g",0,-2.12395646777752,0.175,0.785,0
"64","Cd63",0,2.87697582534734,0.689,0.087,0
"65","Cd68",0,2.28069184123424,0.774,0.054,0
"66","Cd72",0,1.55237060139442,0.513,0.025,0
"67","Cd74",0,6.06833638822602,0.946,0.175,0
"68","Cd81",0,1.96494873005495,0.637,0.125,0
"69","Cd83",0,1.32582266704744,0.514,0.037,0
"70","Cd86",0,1.79434117608585,0.684,0.06,0
"71","Cebpa",0,1.49983726480585,0.616,0.005,0
"72","Cfb",0,1.2467055407882,0.442,0.003,0
"73","Cfh",0,0.551111170632369,0.243,0,0
"74","Cfp",0,0.979220946616003,0.504,0.055,0
"75","Ciita",0,0.903327234713451,0.428,0.025,0
"76","Ckb",0,1.12827235785015,0.467,0.025,0
"77","Clec4a2",0,0.795987293608938,0.482,0.016,0
"78","Clec4a3",0,1.0030357691254,0.483,0.005,0
"79","Clec4n",0,0.921033649628274,0.585,0.071,0
"80","Clec5a",0,0.314029621639976,0.407,0.048,0
"81","Clic4",0,1.20944529825751,0.619,0.133,0
"82","Cmklr1",0,0.872741067490884,0.484,0.003,0
"83","Cmtm3",0,0.697583818390649,0.476,0.037,0
"84","Creb5",0,0.912417794850389,0.472,0.037,0
"85","Creg1",0,1.2898153316019,0.73,0.242,0
"86","Csf1r",0,2.87174840253237,0.846,0.05,0
"87","Csf2ra",0,1.78986625700145,0.78,0.109,0
"88","Csf2rb",0,0.721750863619307,0.674,0.084,0
"89","Csf2rb2",0,0.587192460034407,0.434,0.032,0
"90","Csf3r",0,-0.992588039455097,0.348,0.099,0
"91","Cst3",0,3.80653058151866,0.985,0.553,0
"92","Ctnnd1",0,0.580265770385519,0.36,0.01,0
"93","Ctsa",0,1.9435865796064,0.852,0.476,0
"94","Ctsb",0,3.3273082711283,0.941,0.512,0
"95","Ctsc",0,2.68394820072549,0.899,0.418,0
"96","Ctsh",0,2.40391819609147,0.792,0.033,0
"97","Ctss",0,3.82622449744502,0.976,0.463,0
"98","Ctsz",0,3.22521314045438,0.897,0.256,0
"99","Cttnbp2nl",0,1.12940169098689,0.546,0.004,0
"100","Cx3cr1",0,1.97401216620571,0.621,0.055,0
"101","Cxcl16",0,2.40274429814276,0.675,0.008,0
"102","Cyba",0,1.24260980330577,0.919,0.819,0
"103","Cybb",0,2.69071560848982,0.776,0.019,0
"104","Cyfip1",0,1.18153833619661,0.679,0.133,0
"105","Cyp27a1",0,0.422138877832632,0.291,0.001,0
"106","Cysltr1",0,0.375390347366597,0.351,0.027,0
"107","Dab2",0,1.80302971603307,0.616,0.004,0
"108","Dcstamp",0,1.79856336919477,0.45,0.001,0
"109","Dgka",0,-1.94980072354978,0.179,0.703,0
"110","Dock1",0,0.566956121023004,0.38,0.008,0
"111","Dock4",0,1.29392501758575,0.627,0.062,0
"112","Dock7",0,0.52878218465409,0.365,0.012,0
"113","Dok3",0,0.979518246019774,0.636,0.075,0
"114","Dusp3",0,0.599656775050323,0.398,0.012,0
"115","E230029C05Rik",0,0.805457136464742,0.469,0.023,0
"116","Eepd1",0,0.567693538719217,0.349,0.014,0
"117","Ehd4",0,1.15904631984837,0.709,0.209,0
"118","Erp29",0,1.18435453299739,0.797,0.464,0
"119","Ets1",0,-2.15037690083783,0.22,0.856,0
"120","F11r",0,0.977171862456057,0.493,0.014,0
"121","Fam189a2",0,0.748222400002375,0.326,0.001,0
"122","Fblim1",0,0.542225432761288,0.341,0.01,0
"123","Fcer1g",0,1.40974896817949,0.923,0.231,0
"124","Fcgr1",0,1.68960845281061,0.636,0.002,0
"125","Fcgr2b",0,2.43746251183473,0.748,0.065,0
"126","Fcgr3",0,1.61913303947921,0.752,0.117,0
"127","Fcgr4",0,0.611506064010185,0.39,0.014,0
"128","Fgd2",0,1.00977967642291,0.507,0.016,0
"129","Fgd4",0,0.521674331535337,0.355,0.01,0
"130","Fmn1",0,1.17656974774199,0.553,0.007,0
"131","Fmnl2",0,0.893628343032731,0.428,0.033,0
"132","Fn1",0,2.79626685959024,0.598,0.009,0
"133","Fth1",0,2.06065722758219,0.997,0.95,0
"134","Ftl1",0,2.41524290990053,0.993,0.919,0
"135","Gab2",0,1.65178177598157,0.749,0.135,0
"136","Gatm",0,3.26624427857408,0.834,0.027,0
"137","Gdi2",0,1.10211151771207,0.873,0.703,0
"138","Gimap1",0,-1.34311419850866,0.093,0.669,0
"139","Gimap3",0,-1.9149461690845,0.124,0.794,0
"140","Gimap4",0,-1.651639915852,0.116,0.722,0
"141","Gimap6",0,-1.82192861741415,0.093,0.733,0
"142","Gm2682",0,-2.54369761485139,0.123,0.725,0
"143","Gm2a",0,1.43252785326837,0.809,0.356,0
"144","Gm35154",0,0.387331422070576,0.256,0.001,0
"145","Gm5086",0,0.37614613177637,0.252,0,0
"146","Gm5150",0,0.337758297816429,0.369,0.043,0
"147","Gna12",0,1.34429830336998,0.636,0.187,0
"148","Gns",0,1.43734996288923,0.683,0.175,0
"149","Gpr141",0,1.26157114071042,0.572,0.013,0
"150","Gpr35",0,0.568614286536745,0.417,0.015,0
"151","Gpx1",0,1.90075473438178,0.925,0.691,0
"152","Grn",0,2.44570783073995,0.848,0.18,0
"153","Gusb",0,1.76203548595956,0.737,0.201,0
"154","H2-Aa",0,5.61279069477617,0.877,0.073,0
"155","H2-Ab1",0,5.73938462314819,0.874,0.084,0
"156","H2-DMa",0,2.08124704462887,0.737,0.121,0
"157","H2-DMb1",0,2.33501151186324,0.693,0.024,0
"158","H2-DMb2",0,1.55381086841112,0.632,0.03,0
"159","H2-Eb1",0,1.10303355306395,0.49,0.016,0
"160","Hacd4",0,0.587742286024933,0.406,0.03,0
"161","Havcr2",0,1.04445604545403,0.549,0.034,0
"162","Hck",0,1.51742267924085,0.738,0.077,0
"163","Hebp1",0,1.18445635286586,0.681,0.059,0
"164","Hexa",0,1.73673819552232,0.773,0.181,0
"165","Hfe",0,0.668361905335794,0.441,0.012,0
"166","Hmox1",0,1.13771417970425,0.504,0.05,0
"167","Hpgds",0,1.03334662552906,0.482,0.057,0
"168","Hsd3b7",0,0.436984099258809,0.345,0.019,0
"169","Htra3",0,0.959863799806904,0.457,0.023,0
"170","I830077J02Rik",0,0.61183982029519,0.409,0.025,0
"171","Ifi202b",0,0.922535203296774,0.425,0.007,0
"172","Ifi207",0,1.19599433129379,0.55,0.003,0
"173","Ifi30",0,2.74267626278947,0.84,0.091,0
"174","Ifitm2",0,0.559466241442796,0.738,0.188,0
"175","Igsf6",0,0.733986139388699,0.554,0.055,0
"176","Il13ra1",0,0.363812695165097,0.482,0.065,0
"177","Il2rg",0,-1.3227512293226,0.523,0.811,0
"178","Inpp4b",0,-2.29557433011007,0.332,0.834,0
"179","Irf5",0,1.44876775035117,0.719,0.083,0
"180","Irf8",0,1.34411043574981,0.722,0.177,0
"181","Itga9",0,1.1544210386455,0.458,0.004,0
"182","Itgam",0,0.898948981198576,0.598,0.087,0
"183","Itgax",0,1.1759150179084,0.616,0.079,0
"184","Itgb5",0,2.68945037278363,0.744,0.016,0
"185","Itk",0,-2.10930306369805,0.133,0.801,0
"186","Itm2b",0,1.29799847584426,0.948,0.93,0
"187","Jak1",0,-1.33694440510229,0.662,0.904,0
"188","Kcnk13",0,0.552199717002826,0.356,0.003,0
"189","Klra2",0,1.10937320205348,0.537,0.01,0
