"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AW112010",0,1.94996192315685,0.98,0.558,0
"2","Car2",0,1.81137606687562,0.849,0.208,0
"3","Cd3e",0,-2.20352376495401,0.146,0.788,0
"4","Cited4",0,1.44106069674403,0.663,0.096,0
"5","Clnk",0,2.11433440915836,0.876,0.115,0
"6","Ctla2a",0,1.8502591132327,0.879,0.292,0
"7","Ctsw",0,1.80684998564449,0.984,0.452,0
"8","Dscam",0,1.95497201080228,0.623,0.058,0
"9","Fcer1g",0,0.734745879873377,0.953,0.24,0
"10","Gas7",0,1.48155250947835,0.719,0.133,0
"11","Il2rb",0,1.75416118965182,0.986,0.384,0
"12","Klrb1a",0,2.23451138527393,0.81,0.068,0
"13","Klrb1b",0,2.52203731100364,0.843,0.059,0
"14","Klrb1c",0,0.886714123347539,0.447,0.022,0
"15","Klrb1f",0,1.40569567142991,0.629,0.022,0
"16","Klrc1",0,1.71394410383786,0.679,0.123,0
"17","Klrd1",0,1.56341202188543,0.929,0.334,0
"18","Klrk1",0,2.10750209065293,0.877,0.084,0
"19","Ncr1",0,3.4008893016327,0.938,0.018,0
"20","Tbx21",0,1.3658821440456,0.685,0.15,0
"21","Tiam2",0,0.944575946200443,0.502,0.042,0
"22","Tyrobp",0,1.08553836936135,0.921,0.253,0
"23","Xcl1",0,2.27282978651103,0.796,0.171,0
"24","Chsy1",1.03753785626662e-322,1.33161135416312,0.781,0.232,1.73372575782152e-318
"25","Nkg7",2.60372595358337e-321,1.38054848339429,0.976,0.412,4.35082606843781e-317
"26","Cd3d",2.72773643068952e-320,-1.86831351631313,0.165,0.753,4.55804757568219e-316
"27","Lgals3",2.49621726904831e-319,1.6298711941125,0.862,0.287,4.17117905657973e-315
"28","Styk1",3.2014251627731e-313,0.939161701862173,0.385,0.017,5.34958144699386e-309
"29","Sulf2",3.19318196109557e-312,1.23255119230667,0.629,0.111,5.33580705699069e-308
"30","Rbpms",1.19880217894668e-307,0.950883110349492,0.499,0.048,2.00319844101989e-303
"31","Cd7",1.52332909989945e-294,1.44016731179903,0.933,0.526,2.54548292593198e-290
"32","Ctla2b",2.18808073133359e-292,1.204506431883,0.654,0.155,3.65628290205843e-288
"33","Trdv4",2.52084176609671e-292,0.638839333062504,0.335,0.01,4.21232659114761e-288
"34","Samd3",2.29186693813824e-291,1.15742575219225,0.688,0.155,3.829709653629e-287
"35","Cxxc5",1.20468509786684e-284,0.983096205844768,0.603,0.112,2.0130287985355e-280
"36","Themis",5.12731676362429e-284,-1.86660548625602,0.047,0.6,8.5677463120162e-280
"37","Tnfsf12",3.69738584837865e-281,0.89352592054211,0.497,0.061,6.17833175264073e-277
"38","Il18rap",4.28820400231671e-280,1.23619060902003,0.628,0.121,7.16558888787122e-276
"39","Ahnak",1.21226545571608e-274,1.34897433080896,0.909,0.396,2.02569557650157e-270
"40","Scn1b",5.32284250807244e-266,1.04054447789487,0.46,0.059,8.89446983098904e-262
"41","Klre1",1.32713493974999e-264,1.30458535073332,0.432,0.048,2.21764248432224e-260
"42","Mgll",8.16333947288404e-264,1.32052923311445,0.632,0.137,1.36409402591892e-259
"43","Gpc1",1.25186264577885e-262,1.03883603721384,0.484,0.071,2.09186248109645e-258
"44","Il12rb2",1.65109626996223e-258,1.22988496596008,0.663,0.151,2.75898186710689e-254
"45","Kit",3.00549422421206e-255,1.08125258130368,0.462,0.053,5.02218084865834e-251
"46","Cd244a",1.02624270412055e-251,1.00827097105058,0.75,0.214,1.71485155858544e-247
"47","Padi2",1.16086919312305e-251,1.13733692873012,0.735,0.25,1.93981242170862e-247
"48","Sema6d",8.06075288038579e-251,1.13641556825757,0.534,0.084,1.34695180631247e-246
"49","Anxa2",3.57239589615778e-248,1.01041112236886,0.869,0.334,5.96947354247966e-244
"50","Cemip2",3.6097531339856e-248,1.32991932660465,0.748,0.241,6.03189748688993e-244
"51","Pglyrp1",1.86891876947127e-247,1.12304502747282,0.79,0.265,3.12296326378649e-243
"52","Tcrg-C4",2.40018780296418e-247,1.23118378959106,0.486,0.069,4.01071381875315e-243
"53","Upp1",1.7905313522275e-245,1.24358948591723,0.51,0.075,2.99197788957214e-241
"54","Dusp2",1.27015130922211e-239,1.2812601263496,0.952,0.611,2.12242283771015e-235
"55","Efhd2",6.88196515793595e-236,1.0797607491127,0.915,0.497,1.1499763778911e-231
"56","H2-Ab1",1.3017185702745e-235,-1.96854228891854,0.455,0.124,2.17517173092869e-231
"57","Emid1",2.30381235027799e-235,0.997503189728995,0.609,0.135,3.84967043731452e-231
"58","Cd160",1.2031463259554e-234,1.29901835431718,0.625,0.163,2.01045751067147e-230
"59","Klrc2",6.73769607511119e-234,0.860318662645386,0.449,0.058,1.12586901415108e-229
"60","Aoah",2.80530200421396e-231,0.990141346859752,0.333,0.025,4.68765964904153e-227
"61","Ern1",2.03380619134941e-230,1.17762020750861,0.578,0.141,3.39849014574486e-226
"62","Ifi27l2a",5.7683308603973e-229,-2.12387491572894,0.069,0.568,9.63888086772389e-225
"63","Id2",1.40548204320735e-227,1.16707110182386,0.908,0.487,2.34856049419949e-223
"64","Plscr1",1.6302833042035e-220,0.913703320474504,0.605,0.139,2.72420340132405e-216
"65","Tmem176b",4.75691530451603e-220,1.4609895414388,0.548,0.108,7.94880547384629e-216
"66","Chn2",6.0255038231974e-220,0.902192444269371,0.695,0.202,1.00686168885629e-215
"67","Lrmda",1.14116041475071e-217,0.907321199144439,0.583,0.131,1.90687905304844e-213
"68","Cd6",3.82968310337379e-217,-1.40720812733628,0.045,0.515,6.3994004657376e-213
"69","Cd5",1.4869254464309e-215,-1.58817854803385,0.037,0.495,2.48465242098604e-211
"70","Dapk2",4.01678472888728e-215,0.898487037242449,0.697,0.205,6.71204728197064e-211
"71","Large1",1.45751082539729e-213,1.27734650555144,0.48,0.092,2.43550058923887e-209
"72","Klra4",1.32462730195154e-212,1.6269230049208,0.293,0.029,2.21345222156102e-208
"73","Il18r1",1.9049790299004e-211,1.15127635268096,0.713,0.246,3.18321995896356e-207
"74","Ly6g5b",2.66127092626739e-211,1.0400265779655,0.469,0.088,4.44698371779281e-207
"75","Itgb3",4.78223073776858e-211,0.981767062200972,0.551,0.117,7.9911075628113e-207
"76","Lrrk1",8.02519461280435e-210,1.00197588412989,0.647,0.19,1.34101001979961e-205
"77","Slamf7",4.29483266263405e-209,0.971314973422982,0.615,0.16,7.1766653792615e-205
"78","Tmem176a",2.25520631406122e-208,1.17584008843562,0.508,0.094,3.76844975079629e-204
"79","Trac",6.1956684448076e-208,-1.40795687033357,0.115,0.583,1.03529619712735e-203
"80","Fam169b",8.58676550132698e-205,-1.42038989337268,0.041,0.486,1.43484851527174e-200
"81","S100a10",3.61580219575212e-204,1.0313118570943,0.95,0.702,6.0420054691018e-200
"82","Cd3g",5.38132777861966e-204,-1.53777804288203,0.329,0.765,8.99219871807345e-200
"83","Anxa1",1.33627254758033e-202,0.465269607059146,0.556,0.134,2.23291142700673e-198
"84","Serpinb9",5.85381524113575e-200,1.2915194423062,0.554,0.147,9.78172526793783e-196
"85","Sh2d1b1",7.9786603138418e-200,0.620999083352868,0.373,0.047,1.33323413844297e-195
"86","Lat",2.76482901917035e-198,-1.32992216870441,0.45,0.706,4.62002929103365e-194
"87","Ms4a6b",5.62003074336434e-196,-1.5077385263551,0.325,0.696,9.39107137216182e-192
"88","Tnfsf10",2.57055299027443e-194,1.00728293538775,0.592,0.175,4.29539404674858e-190
"89","Chst12",9.67728635248857e-191,0.92312126787983,0.681,0.241,1.61707454950084e-186
"90","Cst7",2.40711238434555e-190,1.11394012481897,0.776,0.33,4.02228479424141e-186
"91","Ahr",2.99981115034513e-189,1.17115461163527,0.621,0.2,5.01268443222671e-185
"92","Dennd4a",3.22531039891504e-188,0.980102745116197,0.913,0.481,5.38949367658703e-184
"93","Serpinb6b",3.65964293671533e-187,1.08518244137764,0.551,0.137,6.11526334725132e-183
"94","Il6ra",7.11906127309072e-187,-1.20633571129375,0.02,0.427,1.18959513873346e-182
"95","S1pr1",1.43081106497932e-186,-1.39377526262085,0.025,0.435,2.39088528958044e-182
"96","Lat2",1.94192920943738e-184,0.746076857671824,0.557,0.137,3.24496370896986e-180
"97","Grap2",9.99619851148401e-184,-1.60118076207628,0.444,0.735,1.67036477126898e-179
"98","Serinc3",1.84624406878357e-183,0.913781285363721,0.918,0.577,3.08507383893735e-179
"99","Acot7",2.48750426373488e-183,0.909348399636598,0.64,0.207,4.15661962470098e-179
"100","Olfm1",3.82824645162203e-183,0.669489855518267,0.406,0.065,6.39699982066042e-179
"101","1700025G04Rik",5.35141621569672e-183,0.952054580423583,0.751,0.295,8.94221649642922e-179
"102","Gdpd5",6.25363221380154e-182,0.701311118875727,0.424,0.075,1.04498194292624e-177
"103","Lef1",7.3881182032308e-181,-2.13343638939691,0.279,0.618,1.23455455175987e-176
"104","Gnas",4.16364671341176e-180,0.777673466786518,0.974,0.83,6.95745365811105e-176
"105","S100a1",6.12690174357368e-180,0.766846858485976,0.481,0.102,1.02380528135116e-175
"106","Prf1",1.77732560941966e-179,1.41955296630745,0.337,0.183,2.96991109334025e-175
"107","Klra1",1.86015355766404e-179,1.13559933977334,0.258,0.026,3.10831659485661e-175
"108","Bhlhe40",3.86689307420589e-178,0.863740354330576,0.719,0.26,6.46157832699804e-174
"109","Sytl3",8.97168173414444e-178,1.03409619454909,0.508,0.124,1.49916801777554e-173
"110","Ifngr1",1.70445631072948e-177,0.970711155176834,0.971,0.711,2.84814649522896e-173
"111","Capg",8.5339771693978e-177,1.12892974597871,0.747,0.339,1.42602758500637e-172
"112","Ccr7",8.56702697732773e-175,-1.73199214853072,0.107,0.511,1.43155020791146e-170
"113","Dok6",3.71817150783998e-174,0.634827942785873,0.25,0.015,6.21306458960061e-170
"114","Tnfrsf9",1.09583964742391e-173,0.628892374107473,0.58,0.169,1.83114805084536e-169
"115","Vegfc",1.82079117090301e-173,0.39879149545944,0.181,0.003,3.04254204657893e-169
"116","Itgb1",1.04151185496193e-172,1.12314177751999,0.851,0.434,1.74036630964139e-168
"117","2900026A02Rik",1.47091073053512e-172,0.760257160231305,0.491,0.11,2.45789183072419e-168
"118","Tigit",2.29871375693778e-172,0.777554524551887,0.645,0.21,3.84115068784304e-168
"119","Cd226",5.97290119769295e-172,1.1748089999314,0.676,0.327,9.98071790134492e-168
"120","Spry2",9.84317681694521e-172,0.528500868614772,0.296,0.027,1.64479484611154e-167
"121","Itm2c",1.40277567393595e-171,0.970264639121036,0.79,0.48,2.34403815114697e-167
"122","Bcl11b",1.06120538315993e-169,-1.45772156506239,0.139,0.56,1.77327419526024e-165
"123","Fgl2",3.50907510582917e-169,1.03369738390182,0.652,0.217,5.86366450184055e-165
"124","Slfn1",7.25644981581647e-168,-1.21443724737347,0.036,0.422,1.21255276422293e-163
"125","Fasl",1.36962211562222e-167,0.912307018853366,0.691,0.25,2.28863855520473e-163
"126","Gem",1.50656166965477e-167,0.909590216900161,0.593,0.183,2.51746454999313e-163
"127","Osbpl3",1.63919000393237e-166,0.729871242950097,0.56,0.154,2.73908649657099e-162
"128","Slc27a6",2.80469694049988e-165,0.496731410554071,0.268,0.021,4.6866485875753e-161
"129","Dgka",9.6932873049349e-165,-1.5388512120294,0.385,0.681,1.61974830865462e-160
"130","Rabgap1l",6.32930315837832e-163,0.957604525709107,0.874,0.529,1.05762655776502e-158
"131","Runx2",1.92912366539497e-162,0.829147797751417,0.666,0.238,3.223565644875e-158
"132","Klf12",2.0361448916077e-162,0.762190768925906,0.352,0.05,3.40239811387647e-158
"133","Irf8",4.67642296115009e-161,1.53100614246162,0.578,0.196,7.8143027680818e-157
"134","Mmp16",9.25949973491445e-159,0.952252053965239,0.423,0.083,1.5472624057042e-154
"135","S100a6",3.52198383424756e-157,1.13990317786718,0.723,0.297,5.88523498702768e-153
"136","Tab2",6.09954305665154e-155,0.86976150815648,0.776,0.423,1.01923364476647e-150
"137","Itga2",1.49750547862409e-153,0.779871760589704,0.222,0.016,2.50233165478085e-149
"138","Adamts14",8.61108303687263e-153,0.72270020696556,0.201,0.01,1.43891197546142e-148
"139","Npc2",9.6752261970496e-153,-1.06213218703856,0.726,0.807,1.61673029752699e-148
"140","Cerk",1.61501373527311e-152,0.793525419316025,0.563,0.182,2.69868795164136e-148
"141","Stat4",3.7228664363342e-152,0.922657010264369,0.827,0.457,6.22090981511446e-148
"142","Chad",6.25178611371586e-151,0.469980158467008,0.209,0.011,1.04467345960192e-146
"143","St6gal1",3.86970016401097e-150,-1.17713196331168,0.031,0.389,6.46626897406233e-146
"144","Ndfip1",1.00875717161835e-149,0.742508251323172,0.943,0.777,1.68563323377426e-145
"145","Itga1",2.47877922292058e-149,0.802298652882792,0.473,0.115,4.14204008150029e-145
"146","Myo1e",2.93008089620931e-147,0.692355845503535,0.545,0.162,4.89616517756576e-143
"147","Prr13",5.72574295513088e-147,0.793684114770054,0.836,0.456,9.5677164780237e-143
"148","Alad",6.24055577735625e-147,0.729622360509483,0.569,0.192,1.04279687039623e-142
"149","Rora",1.25149806149388e-146,1.05048033064935,0.517,0.15,2.09125326075628e-142
"150","Litaf",1.66680645649857e-146,0.509494498142984,0.771,0.352,2.78523358880911e-142
"151","Krt83",3.49109655412774e-146,0.809893068514983,0.286,0.032,5.83362234194746e-142
"152","S100a4",3.59131175460124e-146,0.894039567906259,0.436,0.098,6.00108194193866e-142
"153","Rnf217",4.48566471640549e-146,0.541559640756099,0.289,0.038,7.49554574111357e-142
"154","Camk2n1",1.2846397689937e-145,0.719756525769435,0.436,0.099,2.14663305398847e-141
"155","Cpne7",1.79748312276881e-145,0.378377300138215,0.174,0.005,3.00359429814668e-141
"156","Txk",2.14494559125709e-145,0.816697966940729,0.876,0.53,3.5842040829906e-141
"157","Nrgn",2.8379495896017e-145,0.538735244596175,0.19,0.008,4.74221376422444e-141
"158","Setbp1",5.25753660797039e-145,0.805087480567779,0.592,0.196,8.78534367191852e-141
"159","Gm36723",8.20587104732432e-145,0.668561526615689,0.257,0.024,1.37120105200789e-140
"160","Trbc1",1.38112528524573e-143,0.70411832800449,0.706,0.289,2.30786035164562e-139
"161","Napsa",1.4295115435109e-143,0.492045143089136,0.514,0.152,2.38871378920671e-139
"162","Cdh1",1.85007978565396e-143,0.869840355290529,0.558,0.176,3.09148332182777e-139
"163","Reep5",2.20434572755117e-142,0.777758840467418,0.901,0.581,3.683461710738e-138
"164","Rgl1",6.05566254170783e-140,0.462089601164175,0.241,0.022,1.01190121071938e-135
"165","Cd9",2.16330987738767e-139,0.40120333165357,0.689,0.284,3.6148908051148e-135
"166","Arsb",1.38077334922134e-138,0.886861075842967,0.531,0.177,2.30727226654886e-134
"167","Lgals1",1.29762310877086e-136,1.36549408432826,0.699,0.416,2.1683282147561e-132
"168","Fcrl6",2.7064636889233e-136,0.549725790341045,0.317,0.049,4.52250082419084e-132
"169","Ptms",3.41427652039172e-136,0.712572881853969,0.636,0.24,5.70525606557457e-132
"170","Cd8b1",1.34300415232645e-134,-1.88884206913518,0.026,0.345,2.2441599385375e-130
"171","Syngr2",1.09993663178036e-133,0.799340621968518,0.753,0.386,1.83799411170498e-129
"172","Rgs1",1.23861861610428e-133,0.566720482092919,0.864,0.473,2.06973170751025e-129
"173","Hivep3",2.87586329525925e-133,0.828538748533206,0.563,0.201,4.8055675663782e-129
"174","Zyx",2.11859634429103e-132,0.769274131661345,0.852,0.512,3.54017449131031e-128
"175","Gm43042",2.60623004452999e-132,0.545214926161608,0.281,0.039,4.35501040440961e-128
"176","Nedd4",6.87076528246789e-132,0.70057353356554,0.54,0.177,1.14810487870038e-127
"177","Tgfb1",2.50105817857728e-131,1.01773631434954,0.786,0.52,4.17926821640263e-127
"178","AU020206",1.83242390086941e-130,0.830909586450361,0.829,0.457,3.06198033835278e-126
"179","Coro2a",2.01908994177638e-130,0.72674421556542,0.763,0.364,3.37389929270833e-126
"180","Plcg1",5.00538800254189e-130,-0.828145164577334,0.052,0.398,8.36400335224749e-126
"181","Mgat5",1.7535155301509e-129,0.818600531845282,0.766,0.409,2.93012445088215e-125
"182","Cd247",3.6413773154345e-129,-1.20521847187549,0.324,0.663,6.08474149409105e-125
"183","Cish",5.64048528865131e-129,0.940312195615036,0.647,0.277,9.42525091733634e-125
"184","Serpina3f",9.0056330476744e-129,0.663801700242383,0.301,0.047,1.50484128226639e-124
"185","Hhex",3.00050064858558e-128,0.52820359592842,0.327,0.059,5.0138365837865e-124
"186","Hdlbp",1.34190518348464e-127,0.948693066852231,0.665,0.379,2.24232356160283e-123
"187","Ybx3",1.61630863671604e-126,0.751071472577191,0.619,0.242,2.7008517319525e-122
"188","C1qtnf6",2.23465965127366e-126,0.573048980084284,0.346,0.066,3.73411627727829e-122
"189","Wls",4.55747209277658e-126,0.628257807061644,0.523,0.17,7.61553586702966e-122
"190","Klri2",1.16188033329584e-125,0.777616246692326,0.222,0.022,1.94150203693735e-121
"191","Prex1",3.44704996367501e-125,0.827942610564186,0.847,0.546,5.76002048930094e-121
"192","Cd4",5.61342464455509e-125,-1.12333779630691,0.022,0.328,9.38003258105156e-121
"193","CAAA01147332.1",4.972254499512e-124,0.781836537880432,0.755,0.387,8.30863726868455e-120
"194","Arap3",1.12915551985943e-123,0.567034025416362,0.405,0.098,1.88681887368511e-119
"195","Pacsin1",2.14256738353152e-122,1.00741016929797,0.605,0.339,3.58023009788117e-118
"196","Bcl2l11",2.67492803292571e-122,0.866103332133218,0.742,0.385,4.46980474301886e-118
"197","Cd8a",3.32112174195392e-122,-1.90670614406962,0.043,0.352,5.549594430805e-118
"198","Ripply3",9.41823903716384e-122,0.620837170666564,0.243,0.032,1.57378774311008e-117
"199","Cntn1",6.05346808970196e-121,0.41828755253518,0.142,0.004,1.0115345177892e-116
"200","Myo1f",1.00859117593935e-120,0.623673957331586,0.774,0.389,1.68535585499465e-116
"201","Selplg",3.52298795116319e-120,0.635155995027182,0.975,0.861,5.88691286639369e-116
"202","Serpina3g",8.21915733877898e-120,0.648626409177415,0.308,0.055,1.37342119130997e-115
"203","Klra7",1.42901604752427e-119,0.898895252697342,0.138,0.005,2.38788581541305e-115
"204","Trdc",5.3002126429086e-119,0.512549924915466,0.26,0.04,8.85665532630028e-115
"205","Rab27b",4.7498513551734e-118,0.432659276331025,0.204,0.018,7.93700161449474e-114
"206","Arhgap26",5.05604661453211e-118,0.71978814957915,0.649,0.277,8.44865389288315e-114
"207","Gzmc",1.00754368059936e-117,2.19309088712286,0.279,0.044,1.68360549028153e-113
"208","Prr5",1.22068076722911e-117,0.408211438054579,0.264,0.037,2.03975756203984e-113
"209","Golim4",8.02444580956994e-117,0.6752425199799,0.524,0.188,1.34088489477914e-112
"210","Sept11",1.36537807900836e-116,0.663938782384657,0.531,0.196,2.28154677002298e-112
"211","Dusp5",1.67175590323232e-116,0.959285607215274,0.662,0.312,2.79350411430121e-112
"212","Ptpn3",1.76678325858572e-116,0.343325022847349,0.232,0.027,2.95229482509674e-112
"213","Pvrig",5.29955499750899e-116,0.563470549977483,0.385,0.097,8.85555640083752e-112
"214","Crtam",5.96118604831895e-116,0.936740276567675,0.447,0.147,9.96114188674096e-112
"215","Gramd3",7.09996349094341e-115,-1.30408206092895,0.239,0.566,1.18640389933664e-110
"216","Abhd2",1.15694433534576e-114,0.78135009956161,0.582,0.25,1.93325398436277e-110
"217","Qrfp",9.54922566338228e-114,0.587434672063402,0.298,0.057,1.59567560835118e-109
"218","Lgals3bp",2.86508188465167e-113,0.743744754697715,0.686,0.336,4.78755182925294e-109
"219","Eomes",8.86874541019597e-113,0.993149875328796,0.4,0.13,1.48196735804375e-108
"220","Sec11c",2.09234982615328e-112,0.700378517759089,0.778,0.446,3.49631655950214e-108
"221","Ass1",2.62576877589846e-112,-0.906686056564443,0.039,0.331,4.38765962452633e-108
"222","1810073O08Rik",3.36399573760983e-112,0.306515279720113,0.155,0.007,5.62123687754603e-108
"223","Ugcg",3.85250039063232e-112,0.972009620008138,0.724,0.433,6.4375281527466e-108
"224","Tnfsf11",4.57886138493802e-112,0.427260212984369,0.249,0.035,7.65127737423143e-108
"225","Ikzf2",5.09657785763471e-112,0.259034493516265,0.458,0.166,8.51638160010761e-108
"226","Cd28",1.09651440244896e-111,-1.19227630897945,0.151,0.473,1.83227556649221e-107
"227","Vim",2.41286403662829e-111,0.699289672931082,0.914,0.645,4.03189580520587e-107
"228","Myl6",7.50204554765482e-111,0.600291160714339,0.963,0.909,1.25359181101312e-106
"229","Sgms1",1.38290248260912e-110,-1.05232336508115,0.066,0.37,2.31083004843984e-106
"230","Magohb",1.51020242132156e-110,0.560194979267203,0.437,0.136,2.52354824602832e-106
"231","Gm19585",1.95048931651693e-110,0.720842520536982,0.53,0.208,3.25926764789979e-106
"232","Ifngr2",5.16105554752649e-110,-0.821673849542176,0.021,0.298,8.62412381991677e-106
"233","Ppp3cc",7.73874143261981e-110,0.694272490375865,0.78,0.436,1.29314369339077e-105
"234","Lax1",8.00088399142991e-110,0.74552126920915,0.655,0.311,1.33694771496794e-105
"235","Tcf7",1.77700189030975e-109,-0.841287631276999,0.654,0.622,2.96937015870759e-105
"236","Cobll1",8.16843226436352e-109,0.546792730750746,0.348,0.08,1.36494503137514e-104
"237","Qpct",7.76798336978788e-108,0.589413630224132,0.445,0.136,1.29803002109156e-103
"238","Cmah",2.25290051256448e-107,-1.00148216697228,0.06,0.367,3.76459675649525e-103
"239","Bicd1",2.38263335225586e-107,0.319751425495781,0.171,0.012,3.98138033161955e-103
"240","4930520O04Rik",2.63289269163323e-107,0.576230133736012,0.287,0.053,4.39956368771912e-103
"241","F2r",3.08228196128179e-107,0.674434471266619,0.532,0.206,5.15049315730187e-103
"242","Dock5",7.72980550269935e-107,0.596942250068472,0.523,0.19,1.29165049950106e-102
"243","Eef2k",1.70036925650006e-106,0.533416165664058,0.394,0.108,2.84131702761159e-102
"244","2010300C02Rik",3.07609847867771e-106,0.39758848365963,0.232,0.033,5.14016055787045e-102
"245","Il6st",7.57815061848909e-105,-0.902002889040746,0.065,0.361,1.26630896834953e-100
"246","Srgap3",1.35414918417074e-104,0.60075138783741,0.418,0.123,2.26278328674931e-100
"247","Rnf130",2.24985113046552e-103,0.502215907280881,0.679,0.324,3.75950123900788e-99
"248","Jaml",2.79225501187567e-103,0.763695020406874,0.646,0.302,4.66585812484424e-99
"249","Arhgap15",8.18968751401858e-103,-1.19097359705885,0.865,0.866,1.36849678359251e-98
"250","Hopx",1.78036237393308e-102,0.610004347865719,0.675,0.321,2.97498552684218e-98
"251","S1pr5",2.0598140731128e-102,0.595606408939126,0.113,0.003,3.44194931617149e-98
"252","Tcrg-C1",2.37451088657114e-102,0.91451968549917,0.285,0.061,3.96780769146038e-98
"253","Mdfic",3.84905294630585e-102,0.65451288814819,0.537,0.209,6.43176747327707e-98
"254","Grk5",2.92675248063256e-101,0.477954043092146,0.342,0.083,4.89060339513701e-97
"255","Klri1",9.49817406368279e-101,0.3926079493166,0.139,0.007,1.58714488604139e-96
"256","Nrarp",2.13005165060728e-100,0.582874688201251,0.312,0.075,3.55931630816477e-96
"257","Sit1",8.44983620650168e-100,-0.624189073634888,0.016,0.268,1.41196763010643e-95
"258","Gm31887",1.13353342076966e-99,0.370732563960021,0.159,0.012,1.8941343461061e-95
"259","Tagln2",2.98233268593189e-99,0.713498742064633,0.916,0.731,4.98347791819219e-95
"260","Rhoc",3.86067116678403e-99,0.443429314842165,0.352,0.09,6.45118151969612e-95
"261","Ikzf3",5.4509016797422e-99,0.605062969811614,0.816,0.476,9.10845670684922e-95
"262","Plod2",5.47503595392623e-99,0.393302118676446,0.249,0.041,9.14878507901073e-95
"263","Hip1r",1.51449366238418e-98,0.566294146909911,0.44,0.145,2.53071890984396e-94
"264","Gm16341",1.64249520361592e-98,0.341411861264767,0.198,0.022,2.7446094852422e-94
"265","Chst11",9.1254856122902e-98,0.519815126477815,0.504,0.189,1.52486864581369e-93
"266","Rnf43",1.41375970148192e-97,0.544333728576247,0.378,0.106,2.36239246117629e-93
"267","Rgs3",1.4175779206075e-97,0.557017958197667,0.658,0.314,2.36877270533514e-93
"268","S100a11",1.96024770849473e-97,0.543137718464129,0.912,0.671,3.27557392089469e-93
"269","Agpat5",6.47937991102439e-97,0.657861547035699,0.517,0.219,1.08270438313218e-92
