"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","1600014C10Rik",0,3.0572596618601,0.862,0.365,0
"2","3110082I17Rik",0,1.21185143423815,0.408,0.112,0
"3","Abi3",0,1.32055832948974,0.658,0.368,0
"4","Ablim1",0,-2.18796086254616,0.069,0.826,0
"5","Abr",0,1.46330904464733,0.643,0.321,0
"6","Acsl1",0,1.47023485486839,0.43,0.101,0
"7","Adipor1",0,2.40392889195541,0.91,0.51,0
"8","Adprh",0,1.17719307862694,0.516,0.309,0
"9","Adrb2",0,1.69900492530095,0.479,0.167,0
"10","Aff3",0,-1.9157844622785,0.028,0.557,0
"11","Agap1",0,1.70219566608031,0.528,0.06,0
"12","Aldoa",0,2.05535473669216,0.93,0.813,0
"13","Alox5",0,1.79244015113989,0.51,0.009,0
"14","Alox5ap",0,3.13722401742001,0.808,0.066,0
"15","Ambp",0,1.44035953652564,0.278,0.001,0
"16","Amer2",0,1.16607886462816,0.307,0.001,0
"17","Ankrd37",0,1.4759281377121,0.364,0.071,0
"18","Anxa2",0,1.89109873000884,0.774,0.325,0
"19","App",0,1.8002199327249,0.647,0.176,0
"20","Arg2",0,1.40132024833569,0.363,0.009,0
"21","Arhgap15",0,-1.84364426217734,0.417,0.912,0
"22","Arhgap24",0,2.20878681631006,0.607,0.069,0
"23","Arhgef1",0,-1.36884292643976,0.371,0.868,0
"24","Arl11",0,1.12837369147417,0.333,0.039,0
"25","Arpc1b",0,1.55836248642669,0.968,0.877,0
"26","Arpc3",0,1.22648044009077,0.924,0.797,0
"27","Arrb2",0,0.954838972286106,0.722,0.633,0
"28","Arrdc4",0,1.33403207389733,0.488,0.158,0
"29","Atf1",0,1.17006558207052,0.588,0.374,0
"30","Atg3",0,1.45333396782622,0.675,0.402,0
"31","Atox1",0,1.36277838932534,0.708,0.511,0
"32","Atp11b",0,1.36112184664652,0.782,0.651,0
"33","Atp1b3",0,-1.09019625801017,0.325,0.816,0
"34","Atp6ap1",0,1.13278286770323,0.629,0.397,0
"35","Atp6ap2",0,1.14561731326008,0.603,0.397,0
"36","Atp6v0a1",0,2.11648761260564,0.587,0.054,0
"37","Atp6v0b",0,1.25839664875588,0.743,0.505,0
"38","Atp6v0c",0,2.17119939344095,0.93,0.63,0
"39","Atp6v0e",0,0.985055725881424,0.78,0.685,0
"40","Atp6v1a",0,1.31258038283981,0.543,0.286,0
"41","Atp6v1g1",0,1.61984886713599,0.87,0.625,0
"42","Atrnl1",0,1.78969385971557,0.57,0.15,0
"43","B4galt3",0,1.08691185565474,0.388,0.111,0
"44","Bach2",0,-2.259627847392,0.053,0.689,0
"45","Basp1",0,2.54456776999349,0.632,0.122,0
"46","Bcl11b",0,-1.69266233640173,0.044,0.584,0
"47","Bcl2",0,-2.39731425084612,0.084,0.75,0
"48","Bcl2l1",0,1.65454418501767,0.511,0.145,0
"49","Bcl3",0,1.50082468865821,0.578,0.195,0
"50","Bhlhe40",0,1.50944718571394,0.605,0.256,0
"51","Bnip3",0,1.74827010215274,0.445,0.093,0
"52","Bri3",0,1.20185873208079,0.621,0.385,0
"53","Bsg",0,1.01666807492803,0.681,0.573,0
"54","Btg2",0,2.03625891747284,0.891,0.798,0
"55","C130050O18Rik",0,1.8077958331198,0.508,0.036,0
"56","C5ar1",0,2.34744785547523,0.607,0.056,0
"57","Calm2",0,1.17604374274705,0.839,0.695,0
"58","Calm3",0,1.0409443785323,0.698,0.553,0
"59","Camk4",0,-1.40706520563358,0.034,0.515,0
"60","Cap1",0,0.938764728797427,0.834,0.757,0
"61","Card19",0,1.48086510678546,0.606,0.291,0
"62","Cass4",0,2.34661661358137,0.562,0.021,0
"63","Cblb",0,-1.68379171450487,0.077,0.693,0
"64","Ccnd2",0,-1.30463320302308,0.187,0.709,0
"65","Ccpg1",0,1.08454128061447,0.51,0.3,0
"66","Ccr1",0,2.68823243995327,0.762,0.052,0
"67","Ccr7",0,-1.90643089463872,0.032,0.533,0
"68","Ccrl2",0,3.75922767352239,0.789,0.075,0
"69","Cd101",0,1.33807190895617,0.473,0.166,0
"70","Cd14",0,3.52553135642058,0.691,0.076,0
"71","Cd2",0,-1.64239841253498,0.052,0.682,0
"72","Cd247",0,-1.9789913276272,0.043,0.704,0
"73","Cd24a",0,2.58478321732222,0.686,0.035,0
"74","Cd27",0,-1.2465499060188,0.031,0.518,0
"75","Cd28",0,-1.5161693399632,0.031,0.497,0
"76","Cd300a",0,2.04393891700743,0.64,0.058,0
"77","Cd300c2",0,2.39799424760688,0.756,0.067,0
