"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","GO:0035456","response to interferon-beta","20/82","56/15620",1.40170943420961e-32,1.60635901160422e-29,1.32645976984678e-29,"Gbp2/Stat1/Gbp3/Irgm1/Xaf1/Iigp1/Igtp/Gbp6/Irgm2/Tgtp1/Ifitm3/Gm4951/Ifit1/Bst2/Oas1a/Tgtp2/Ifit3/Ifi47/Oas1g/Ifi202b",20
"GO:0009615","GO:0009615","response to virus","28/82","271/15620",3.6041373238436e-29,2.06517068656238e-26,1.70532602849231e-26,"Stat1/Irgm1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Igtp/Tgtp1/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Ifih1/Ddx60/Cxcl10/Eif2ak2/Lgals9",28
"GO:0035458","GO:0035458","cellular response to interferon-beta","17/82","48/15620",1.11328697523036e-27,4.25275624537999e-25,3.5117368095863e-25,"Gbp2/Stat1/Gbp3/Irgm1/Iigp1/Igtp/Gbp6/Irgm2/Tgtp1/Gm4951/Ifit1/Oas1a/Tgtp2/Ifit3/Ifi47/Oas1g/Ifi202b",17
"GO:0051607","GO:0051607","defense response to virus","24/82","219/15620",1.48105248021156e-25,3.39457228464489e-23,2.80308669412671e-23,"Stat1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Ifih1/Ddx60/Cxcl10/Eif2ak2",24
"GO:0140546","GO:0140546","defense response to symbiont","24/82","219/15620",1.48105248021156e-25,3.39457228464489e-23,2.80308669412671e-23,"Stat1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Ifih1/Ddx60/Cxcl10/Eif2ak2",24
"GO:0034341","GO:0034341","response to interferon-gamma","20/82","120/15620",4.12034523932045e-25,7.86985940710206e-23,6.49857959675278e-23,"Gbp2/Stat1/Gbp3/Irgm1/Gbp7/Igtp/Gbp6/Irgm2/Tgtp1/Gbp9/Ifitm3/Gbp10/Gbp4/Bst2/Ubd/Parp14/Gbp8/Parp9/Gbp5/H2-Q7",20
"GO:0071346","GO:0071346","cellular response to interferon-gamma","15/82","97/15620",1.8134547260339e-18,2.96888445147835e-16,2.45157262963079e-16,"Gbp2/Stat1/Gbp3/Irgm1/Gbp7/Igtp/Gbp6/Gbp9/Gbp10/Gbp4/Parp14/Gbp8/Parp9/Gbp5/H2-Q7",15
"GO:0042742","GO:0042742","defense response to bacterium","18/82","193/15620",5.92773768484558e-18,8.49148423354129e-16,7.01188970878444e-16,"Gbp2/Gbp3/Irgm1/Gbp7/Isg15/Iigp1/Igtp/Gbp6/Irgm2/Gbp9/Gbp10/Gbp4/Oas1a/Gbp8/Oas3/Oas1g/H2-K1/Lgals9",18
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","20/82","299/15620",4.93221114058282e-17,6.28034885234213e-15,5.18603253261282e-15,"Stat1/Irgm1/Zbp1/Isg15/Tap1/Irf7/Igtp/Stat2/Gbp4/Dtx3l/Oas1a/Parp14/Parp9/Oas3/Oas1g/Ddx60/Ifi35/Trafd1/Gbp5/Lgals9",20
"GO:0042832","GO:0042832","defense response to protozoan","10/82","29/15620",1.66522539055896e-16,1.90834829758057e-14,1.57582908011843e-14,"Gbp2/Gbp3/Gbp7/Iigp1/Gbp6/Irgm2/Gbp9/Gbp10/Gbp4/Gbp8",10
"GO:0001562","GO:0001562","response to protozoan","10/82","32/15620",5.29610744798205e-16,5.51758103217039e-14,4.556172818886e-14,"Gbp2/Gbp3/Gbp7/Iigp1/Gbp6/Irgm2/Gbp9/Gbp10/Gbp4/Gbp8",10
"GO:0045088","GO:0045088","regulation of innate immune response","16/82","191/15620",2.73257919069001e-15,2.60961312710896e-13,2.15490236178098e-13,"Irgm1/Zbp1/Isg15/Tap1/Irf7/Igtp/Stat2/Oas1a/Parp14/Parp9/Oas3/Oas1g/Ifi35/Trafd1/Gbp5/Lgals9",16
"GO:0045071","GO:0045071","negative regulation of viral genome replication","10/82","51/15620",9.68434165058862e-14,8.53711963967274e-12,7.04957339585358e-12,"Isg15/Oasl2/Ifitm3/Bst2/Oas1a/Rsad2/Oas3/Oas1g/Ifih1/Eif2ak2",10
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/82","24/15620",2.79275181342081e-13,2.1336623854535e-11,1.76188342474759e-11,"Tap1/H2-T22/H2-T23/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",8
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","8/82","24/15620",2.79275181342081e-13,2.1336623854535e-11,1.76188342474759e-11,"Tap1/H2-T22/H2-T23/H2-Q6/H2-K1/H2-Q7/H2-D1/H2-Q4",8
