"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002252","GO:0002252","immune effector process","100/1402","440/13303",4.04626963113109e-14,2.05671885350393e-10,1.71732201607585e-10,"P2rx7/Ddx58/Gm11127/Dhx58/Clu/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Eomes/Trp53/Crlf2/Il33/Serpinb9/Cd84/Crtam/Icam1/Ulbp1/Relb/Trex1/Gadd45g/H2-Q10/Nckap1l/Gata2/Cdh17/Fcgr1/Smad7/Trim6/Foxj1/Gm8909/Stx11/Il18r1/Inpp5d/Hmox1/Vamp2/Il6/Cebpb/Nr4a3/Ptafr/Slc15a4/Lat2/Ccl2/Ripk3/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Itgam/Trbc1/Dnase1l3/Ptprc/Serpinb9c/Ccr7/Clec4d/Cxcl1/Bcl3/Syk/Plcl2/Dock2/Slc11a1/Muc4/Dock11/Klrb1b/Cd300a/Rgcc/Was/H2-DMa/Ptx3/Irak3/Slamf1/Ccr2/Dysf/Ptger4/Fcgr3/Trdc/Il27/Nlrp3/Trbc2/C2/Il20rb/Myo1g/Lat/Pomc/Klrc1/Itgal/Dock10/Pglyrp4/Tnfsf4/Ceacam1/Klrb1c/Vav1/Pglyrp2/C9/Blk/Lag3/Il23r/Mfng",100
"GO:0002443","GO:0002443","leukocyte mediated immunity","73/1402","297/13303",2.35604331834187e-12,5.98788409356587e-09,4.99977192608128e-09,"P2rx7/Ddx58/Gm11127/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Crlf2/Serpinb9/Cd84/Crtam/Icam1/Ulbp1/Trex1/H2-Q10/Nckap1l/Gata2/Fcgr1/Smad7/Foxj1/Gm8909/Stx11/Il18r1/Inpp5d/Hmox1/Vamp2/Il6/Nr4a3/Ptafr/Slc15a4/Lat2/Ccl2/Ripk3/Mad2l2/H2-Q1/Cd40/Il1b/H2-Q2/Itgam/Trbc1/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Bcl3/Syk/Slc11a1/Muc4/Klrb1b/Cd300a/Was/H2-DMa/Slamf1/Ccr2/Fcgr3/Trdc/Nlrp3/Trbc2/C2/Il20rb/Myo1g/Lat/Pomc/Klrc1/Tnfsf4/Ceacam1/Klrb1c/Vav1/C9/Blk/Lag3/Il23r",73
"GO:0006954","GO:0006954","inflammatory response","103/1402","498/13303",8.35276796244609e-12,1.07268780469471e-08,8.95674379723761e-09,"P2rx7/Krt16/Fgfr1/Ccl5/Nfkbia/Pla2g7/Csf1r/Aim2/Nr1d1/Tnf/Havcr2/Serpine1/Crlf2/Il1rl1/Il33/Serpinb9/Icam1/Ccl4/Relb/Irf5/Trex1/Stab1/Syt11/Cebpa/Pde2a/Ptgs1/Il1a/Fcgr1/Cd68/Il18r1/Per1/Cxcl2/Hmox1/S100a7a/C3ar1/Il6/Cebpb/Ccl25/Ptafr/Cyp26b1/Ccl2/Prkcq/Ccrl2/Ccr4/Ccl20/Nfkbid/Cd40/Il1b/Bmpr1b/Itgam/Abi3bp/Nos2/Shpk/Dnase1l3/Ccr7/Cxcl1/Syk/Ephx2/Serpinb1a/Slc11a1/Gpr4/Pparg/Cd300a/Cxcr2/Adcy1/Gpx2/Slamf1/Ggt1/Il1rn/Bmp2/Ccr2/Zfp36/Ptger4/Cnr1/Fcgr3/Aoc3/Il27/Cysltr1/Ido1/Nlrp3/Osm/Hyal1/Il20rb/Lat/F8/Tnfaip6/Cd6/Ccl9/Ppbp/Adcy8/Tnfsf4/Il17c/Adora2a/Pf4/Tnfsf11/Casp4/Ak7/Pglyrp2/Prkd1/Themis2/Nlrp4e/Il23r/Slc7a2",103
"GO:0001819","GO:0001819","positive regulation of cytokine production","83/1402","367/13303",8.44137560255528e-12,1.07268780469471e-08,8.95674379723761e-09,"Hspb1/P2rx7/Ddx58/Dhx58/Cd274/Clu/Ddit3/Ccl5/Csf1r/Arid5a/Aim2/Tnf/Cadm1/Chuk/Havcr2/Serpine1/Crlf2/Il1rl1/Il33/Optn/Cd84/Crtam/Ccl4/Ulbp1/Oas2/Irf5/Oas1c/Il15/Cd34/Il1a/Clec5a/Trim6/Ccdc88b/Eif2ak3/Il18r1/C3ar1/Il6/Cebpb/Nr4a3/Ptafr/Wnt11/Nfatc4/Ccl2/Prkcq/Ccl20/Ifi205/Cyp1b1/Cd40/Il1b/Nos2/Ptprc/Ccr7/S100a13/Bcl3/Syk/Slc11a1/Tnfsf15/Rgcc/Scamp5/Irak3/Slamf1/Ereg/Ccr2/Hpse/Ptger4/Nod1/Flt4/Fcgr3/Il27/Ido1/Nlrp3/Osm/Il20rb/Mmp12/Trim15/Cd6/Tnfsf4/Il17c/Casp4/Csf2/Tnfrsf13c/C1qtnf4/Il23r",83
"GO:0002694","GO:0002694","regulation of leukocyte activation","92/1402","433/13303",2.46609258278209e-11,2.50702971965627e-08,2.09332321974261e-08,"Hspb1/Cd274/Ccl5/Adgrf5/Nr1d1/Havcr2/Crlf2/Il1rl1/Id2/Chrnb2/Il33/Cd84/Crtam/Il2rg/Ulbp1/Trex1/Il15/Nckap1l/Syt11/Cebpa/Gata2/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Zeb1/Socs1/Inpp5d/Hmox1/Cd5/Il6/Cebpb/Nr4a3/Lgals7/Ptafr/Cyp26b1/Slc15a4/Ccl2/Ripk3/Prkcq/Mad2l2/Prdm1/Nfkbid/Cdkn1a/Cd40/Il1b/Zc3h12d/Itgam/Shpk/Trbc1/Ptprc/Ccr7/Clec4d/Syk/Pparg/Runx3/Cd300a/H2-DMa/Slamf1/Cftr/Tnfsf13b/Ccr2/Efnb3/Cnr1/Ikzf1/Slfn1/Btn1a1/Trdc/Sox11/Il27/Skint2/Ido1/Nlrp3/Trbc2/Il20rb/Lat/Klrc1/Itgal/Gas6/Cd6/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Pglyrp2/Blk/Tnfrsf13c/Lag3/Themis2/Slc7a2",92
"GO:0009617","GO:0009617","response to bacterium","88/1402","411/13303",4.43748111648508e-11,3.75928608584894e-08,3.13893401081892e-08,"Cmpk2/P2rx7/Baiap2l1/Gbp2b/Dhx58/Trim30a/Cd274/Trim12c/Ccl5/Nfkbia/Arid5a/Nr1d1/Tnf/Chuk/Havcr2/Serpine1/Optn/Serpinb9/Slfn4/Cd84/Mrc1/Oas2/Irf5/Gch1/Stab1/Oas1c/Syt11/S100a14/Pde2a/Sp110/Amy1/Il1a/Fcgr1/Cd68/Trim6/Cxcl2/Il6/Cebpb/Ptafr/Gsdmc4/Smad6/Ccl2/Ssc5d/Prdm1/Ifi205/Il1b/AA467197/Nos2/Shpk/Trbc1/Adamts5/Serpinb9c/Ccr7/Clec4d/Trim12a/Cxcl1/Bcl3/Syk/Trim30d/Slc11a1/1300017J02Rik/Gpx2/Irak3/Ggt1/Ccdc80/Bmp2/Zfp36/Ptger4/Cnr1/Nod1/Trdc/Penk/Ido1/Nlrp3/Trbc2/Fcgr4/Cd6/Ppbp/Pglyrp4/Tnfsf4/Pf4/Pygl/Pglyrp2/Prkd1/Gzma/Ncf2/Vil1/Il23r",88
"GO:0050865","GO:0050865","regulation of cell activation","96/1402","467/13303",6.31529560978163e-11,4.58580679778857e-08,3.82906344340444e-08,"Hspb1/Cd274/Fgfr1/Ccl5/Adgrf5/Nr1d1/Havcr2/Crlf2/Il1rl1/Id2/Chrnb2/Il33/Cd84/Crtam/Il2rg/Ulbp1/Trex1/Il15/Nckap1l/Syt11/Cebpa/Gata2/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Zeb1/Socs1/Inpp5d/Hmox1/Cd5/Il6/Cebpb/Nr4a3/Lgals7/Ptafr/Cyp26b1/Slc15a4/Ccl2/Ripk3/Prkcq/Mad2l2/Prdm1/Pdpn/Nfkbid/Cdkn1a/Cd40/Il1b/Zc3h12d/Itgam/Shpk/Trbc1/Ptprc/Ccr7/Clec4d/Syk/Pparg/Runx3/Cd300a/H2-DMa/Slamf1/Cftr/Tnfsf13b/Ccr2/Efnb3/Cnr1/Ikzf1/Slfn1/Abat/Btn1a1/Trdc/Sox11/Il27/Acta2/Skint2/Ido1/Nlrp3/Trbc2/Il20rb/Lat/Klrc1/Itgal/Gas6/Cd6/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Pglyrp2/Blk/Tnfrsf13c/Lag3/Themis2/Slc7a2",96
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","54/1402","203/13303",7.45670876457228e-11,4.73780633129011e-08,3.95598022878361e-08,"P2rx7/Ddx58/Gm11127/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Serpinb9/Cd84/Crtam/Ulbp1/H2-Q10/Nckap1l/Gata2/Fcgr1/Smad7/Foxj1/Gm8909/Il18r1/Hmox1/Il6/Ptafr/Slc15a4/Ccl2/Ripk3/Mad2l2/H2-Q1/Cd40/Il1b/H2-Q2/Itgam/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Syk/Muc4/Klrb1b/Cd300a/Was/Slamf1/Ccr2/Fcgr3/Nlrp3/Il20rb/Pomc/Klrc1/Tnfsf4/Ceacam1/Klrb1c/Vav1/Blk/Lag3",54
"GO:0001818","GO:0001818","negative regulation of cytokine production","55/1402","219/13303",5.25325718303281e-10,2.96692291792842e-07,2.47732549263021e-07,"Dhx58/Trim30a/Cd274/Ddit3/Fgfr1/Tnf/Havcr2/Il1rl1/Klf4/Il33/Cdh3/Cd84/Relb/Gstp2/Oas1c/Nckap1l/Syt11/Cd34/Lgr4/Smad7/Foxj1/Inhbb/Inpp5d/Hmox1/Tnfrsf9/Il6/Lgals7/Wnt11/Ssc5d/Ptprc/Ccr7/Bcl3/Serpinb1a/Slc11a1/Pparg/Rgcc/Irak3/Slamf1/Zfp36/Ptger4/Btn1a1/Srgn/Ido1/Nlrp3/Il20rb/Pomc/Fgfr4/Clec4a1/Gas6/Pglyrp4/Tnfsf4/Ceacam1/Pglyrp2/Lag3/Il23r",55
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","28/1402","75/13303",7.6823068468092e-10,3.81391386417829e-07,3.1845471904008e-07,"P2rx7/Gm11127/H2-T24/Cadm1/Havcr2/Serpinb9/Crtam/Ulbp1/H2-Q10/Nckap1l/Gm8909/Ccl2/Ripk3/H2-Q1/H2-Q2/Itgam/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Muc4/Klrb1b/Pomc/Klrc1/Ceacam1/Klrb1c/Vav1/Lag3",28
"GO:0002449","GO:0002449","lymphocyte mediated immunity","55/1402","222/13303",9.03012418115468e-10,3.81391386417829e-07,3.1845471904008e-07,"P2rx7/Gm11127/H2-T24/Arid5a/Tnf/Cadm1/Havcr2/Crlf2/Serpinb9/Crtam/Icam1/Ulbp1/Trex1/H2-Q10/Nckap1l/Fcgr1/Smad7/Foxj1/Gm8909/Stx11/Il18r1/Inpp5d/Il6/Slc15a4/Ripk3/Mad2l2/H2-Q1/Cd40/Il1b/H2-Q2/Trbc1/Ptprc/Serpinb9c/Bcl3/Slc11a1/Muc4/Klrb1b/Was/H2-DMa/Slamf1/Ccr2/Fcgr3/Trdc/Nlrp3/Trbc2/C2/Il20rb/Myo1g/Klrc1/Tnfsf4/Ceacam1/Klrb1c/Vav1/C9/Lag3",55
