"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","GO:0035456","response to interferon-beta","22/220","52/14484",6.15766179150564e-27,1.37685317658066e-23,1.2218097344198e-23,"Gbp2/Stat1/Gbp3/Irgm1/Xaf1/Iigp1/Igtp/Gbp6/Irgm2/Tgtp1/Ifitm3/Gm4951/Ifit1/Bst2/Oas1a/Tgtp2/Ifit3/Ifi47/Oas1g/Irf1/Ifi203/Ifi202b",22
"GO:0035458","GO:0035458","cellular response to interferon-beta","19/220","44/14484",1.29227615425142e-23,1.44476474045308e-20,1.28207397408627e-20,"Gbp2/Stat1/Gbp3/Irgm1/Iigp1/Igtp/Gbp6/Irgm2/Tgtp1/Gm4951/Ifit1/Oas1a/Tgtp2/Ifit3/Ifi47/Oas1g/Irf1/Ifi203/Ifi202b",19
"GO:0034341","GO:0034341","response to interferon-gamma","25/220","115/14484",3.34314341227412e-22,2.49175622328164e-19,2.21116678320586e-19,"Gbp2/Stat1/Gbp3/Irgm1/Gbp7/Igtp/Gbp6/Irgm2/Tgtp1/Gbp9/Ifitm3/Gbp10/Gbp4/Bst2/Ubd/Parp14/Gbp8/Parp9/Nlrc5/Irf1/Gbp5/Cd74/H2-Q7/H2-Aa/H2-Ab1",25
"GO:0009617","GO:0009617","response to bacterium","43/220","480/14484",1.8838764538689e-21,1.05308693771272e-18,9.34501872511285e-19,"Gbp2/Stat1/Gbp3/Irgm1/Gbp7/Psmb9/Isg15/Cxcl9/Iigp1/Igtp/Gbp6/Irgm2/Romo1/Tgtp1/Ifi44/Fau/Gbp9/Gbp10/Gbp4/B2m/Ifit1/Oas1a/Gbp8/Tap2/Ifit3/Nlrc5/Oas3/Oas1g/Plaat3/Cxcl10/Mt2/Ly6a/Herc6/Slfn2/Gas5/Usp18/Gbp5/Eif2ak2/H2-K1/Lgals9/Ptgs2/Hmgb2/C3",43
"GO:0009615","GO:0009615","response to virus","32/220","257/14484",2.34037556925262e-20,1.04661595456977e-17,9.28759568008672e-18,"Stat1/Irgm1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Samhd1/Igtp/Tgtp1/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Irf1/Ifih1/Ddx60/Cxcl10/Ifi27l2a/Eif2ak2/Ifit2/Lgals9",32
"GO:0019882","GO:0019882","antigen processing and presentation","20/220","87/14484",1.73491441848825e-18,6.46544773289954e-16,5.7373924190357e-16,"Psmb9/Psme1/Tap1/Tapbp/Psme2/B2m/Psmb8/H2-T22/Tap2/Tapbpl/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-Aa/H2-D1/H2-Ab1/H2-Q4",20
"GO:0051607","GO:0051607","defense response to virus","27/220","209/14484",1.01243076094015e-17,2.82974397682773e-15,2.5110947162792e-15,"Stat1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Samhd1/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Irf1/Ifih1/Ddx60/Cxcl10/Eif2ak2/Ifit2",27
"GO:0140546","GO:0140546","defense response to symbiont","27/220","209/14484",1.01243076094015e-17,2.82974397682773e-15,2.5110947162792e-15,"Stat1/Zbp1/Isg15/Cxcl9/Irf7/Oasl2/Samhd1/Stat2/Rtp4/Ifitm3/Gbp4/Ifit1/Dtx3l/Bst2/Oas1a/Ifit3b/Parp9/Ifit3/Rsad2/Oas3/Oas1g/Irf1/Ifih1/Ddx60/Cxcl10/Eif2ak2/Ifit2",27
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","16/220","51/14484",2.08042932901213e-17,5.16104767427123e-15,4.57987706713175e-15,"Tap1/Tapbp/B2m/H2-T22/Tap2/Tapbpl/H2-T23/Gm7030/H2-Q6/H2-K1/Cd74/H2-Q7/H2-Aa/H2-D1/H2-Ab1/H2-Q4",16
"GO:0045088","GO:0045088","regulation of innate immune response","25/220","178/14484",2.30816085611414e-17,5.16104767427123e-15,4.57987706713175e-15,"Irgm1/Zbp1/Isg15/Tap1/Irf7/Samhd1/Igtp/Stat2/Oas1a/Parp14/Parp9/Tap2/Nlrc5/Oas3/Oas1g/Irf1/Serping1/Ifi203/Ifi35/Trafd1/Gbp5/Clec2d/Cd74/Lgals9/Hmgb2",25
