"","x"
"1","Xkr4"
"2","Mrpl15"
"3","Lypla1"
"4","Tcea1"
"5","Rgs20"
"6","Gm16041"
"7","Atp6v1h"
"8","Rb1cc1"
"9","4732440D04Rik"
"10","St18"
"11","Pcmtd1"
"12","Gm26901"
"13","Sntg1"
"14","Rrs1"
"15","Adhfe1"
"16","2610203C22Rik"
"17","Vxn"
"18","Mybl1"
"19","Vcpip1"
"20","1700034P13Rik"
"21","Sgk3"
"22","Mcmdc2"
"23","Snhg6"
"24","Tcf24"
"25","Ppp1r42"
"26","Cops5"
"27","Cspp1"
"28","Arfgef1"
"29","Prex2"
"30","Sulf1"
"31","Ncoa2"
"32","Tram1"
"33","Lactb2"
"34","Msc"
"35","Kcnb2"
"36","Terf1"
"37","Sbspon"
"38","Rdh10"
"39","Gm28095"
"40","Stau2"
"41","Gm7568"
"42","Ube2w"
"43","Eloc"
"44","Tmem70"
"45","Ly96"
"46","Gm28376"
"47","Jph1"
"48","Gdap1"
"49","Pi15"
"50","Gm28153"
"51","Tfap2b"
"52","Pkhd1"
"53","Mcm3"
"54","Paqr8"
"55","Efhc1"
"56","Tram2"
"57","Tmem14a"
"58","Kcnq5"
"59","Gm27028"
"60","Gm29107"
"61","Ogfrl1"
"62","B3gat2"
"63","Smap1"
"64","Sdhaf4"
"65","Fam135a"
"66","Col9a1"
"67","Col19a1"
"68","Lmbrd1"
"69","Phf3"
"70","Ptp4a1"
"71","Ptp4a1.1"
"72","4931428L18Rik"
"73","Prim2"
"74","Rab23"
"75","Bag2"
"76","Zfp451"
"77","Bend6"
"78","Dst"
"79","Gm26788"
"80","Gm37233"
"81","Ccdc115"
"82","Imp4"
"83","Ptpn18"
"84","Gm28417"
"85","Arhgef4"
"86","Gm38336"
"87","Fam168b"
"88","Plekhb2"
"89","Hs6st1"
"90","Uggt1"
"91","Neurl3"
"92","Arid5a"
"93","Kansl3"
"94","Fer1l5"
"95","Lman2l"
"96","Cnnm4"
"97","Cnnm3"
"98","Ankrd23"
"99","Ankrd39"
"100","Sema4c"
"101","D430040D24Rik"
"102","Fam178b"
"103","Cox5b"
"104","Actr1b"
"105","Zap70"
"106","Tmem131"
"107","Gm38115"
"108","Inpp4a"
"109","Coa5"
"110","Unc50"
"111","Mgat4a"
"112","2010300C02Rik"
"113","Tsga10"
"114","Lipt1"
"115","Mitd1"
"116","Mrpl30"
"117","Txndc9"
"118","Eif5b"
"119","Rev1"
"120","Aff3"
"121","Chst10"
"122","Pdcl3"
"123","Npas2"
"124","Tbc1d8"
"125","Cnot11"
"126","Gm15832"
"127","Rnf149"
"128","Rfx8"
"129","Map4k4"
"130","Il1r2"
"131","Il1r1"
"132","Il1rl2"
"133","Il18r1"
"134","Il18rap"
"135","Gm37915"
"136","Mfsd9"
"137","Mrps9"
"138","Tgfbrap1"
"139","AI597479"
"140","Fhl2"
"141","Nck2"
"142","Ecrg4"
"143","Gm29155"
"144","Gm29157"
"145","Uxs1"
"146","Tpp2"
"147","Mettl21c"
"148","Gm8251"
"149","Tex30"
"150","Poglut2"
"151","Bivm"
"152","Ercc5"
"153","Gulp1"
"154","Col3a1"
"155","Col5a2"
"156","Wdr75"
"157","Slc40a1"
"158","Dnah7b"
"159","Slc39a10"
"160","Gm28151"
"161","9330175M20Rik"
"162","Cavin2"
"163","Nabp1"
"164","Gm17767"
"165","Gm28055"
"166","Myo1b"
"167","Gm29453"
"168","Gm28323"
"169","Stat4"
"170","Gm31812"
"171","Stat1"
"172","Gls"
"173","Nab1"
"174","Gm553"
"175","Nemp2"
"176","Mfsd6"
"177","Inpp1"
"178","Hibch"
"179","1700019D03Rik"
"180","Pms1"
"181","Ormdl1"
"182","Osgepl1"
"183","Asnsd1"
"184","Stk17b"
"185","Hecw2"
"186","Ccdc150"
"187","Gtf3c3"
