"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Pde1c",4.93142112542577e-261,-1.52075040961775,0.342,0.967,8.07964037189758e-257
"2","Tek",8.37815992880734e-242,-1.20265625613811,0.203,0.947,1.37267772273579e-237
"3","Gbp2",2.76020905277193e-133,-1.69197451780537,0.635,0.908,4.52232651206153e-129
"4","Tomm7",3.3779848034893e-126,-0.765439222483554,0.926,0.974,5.53449030203686e-122
"5","Atp5e",7.81137187394392e-121,-0.801485082702089,0.989,0.991,1.27981516782697e-116
"6","Stat1",1.38335950266068e-113,-1.06391175204555,0.691,0.914,2.26649620915926e-109
"7","Ndufb1-ps",8.61028789001734e-112,-0.672596345575459,0.838,0.976,1.41070956790044e-107
"8","Gbp3",6.28230368450121e-111,-0.846405365065522,0.408,0.835,1.02929263566868e-106
"9","Atp5mpl",1.27326257370588e-103,-0.627288451550368,0.923,0.969,2.08611340075971e-99
"10","Snrpg",1.90512432001248e-103,-0.7462713147599,0.97,0.991,3.12135568590846e-99
"11","Atp5md",2.8265486819522e-102,-0.688042563950992,0.964,0.985,4.63101736051048e-98
"12","Col3a1",3.04113282422944e-101,-0.471296797261382,0.005,0.356,4.98259201921751e-97
"13","Csn2",6.82305249216529e-101,1.83614479019605,0.745,0.233,1.11788892031636e-96
"14","Sem1",1.14734207500364e-100,-0.664637576175219,0.995,0.998,1.87980525568597e-96
"15","Irgm1",1.14436285731029e-96,-0.937474216870968,0.63,0.875,1.87492410541717e-92
"16","Mrpl52",1.63575854567993e-95,-0.579888835832259,0.943,0.976,2.680026801242e-91
"17","Mucl2",2.12938965539344e-93,-0.650891678871083,0.005,0.33,3.48879201139662e-89
"18","Cox7c",2.42090228729363e-93,-0.678268146098946,0.982,0.993,3.96640630750188e-89
"19","Ndufa3",3.89970958249544e-92,-0.600683002483319,0.901,0.969,6.38928417996053e-88
"20","Zbp1",7.61912798577574e-91,-0.797944298961706,0.706,0.908,1.2483179291895e-86
"21","Tmsb10",1.05494530290623e-88,-0.924848973091269,0.996,1,1.72842238428157e-84
"22","Gbp7",9.81470588833019e-88,-0.674441886211087,0.487,0.8,1.60804141274402e-83
"23","Psmb9",8.40394427530505e-87,-0.827817260941037,0.771,0.914,1.37690223006598e-82
