"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","1700025G04Rik",0,-0.968027794868785,0.126,0.53,0
"2","2900026A02Rik",0,-0.60680256257204,0.001,0.229,0
"3","AU020206",0,-1.64146040788348,0.202,0.741,0
"4","AW112010",0,-2.92033450362659,0.316,0.899,0
"5","Abcb1a",0,-0.86310298654772,0.051,0.427,0
"6","Abi3",0,-0.843111506343783,0.129,0.512,0
"7","Acadl",0,-0.520180774559642,0.062,0.345,0
"8","Acot7",0,-0.937278530136475,0.034,0.444,0
"9","Adam19",0,-1.1996988028117,0.096,0.591,0
"10","Adgrg5",0,-0.541629878220981,0.015,0.284,0
"11","Adk",0,1.14359634387899,0.518,0.21,0
"12","Aff3",0,1.17573141642387,0.764,0.459,0
"13","Ahnak",0,-1.51204928723955,0.169,0.726,0
"14","Ahr",0,-0.955613463932408,0.034,0.37,0
"15","Alad",0,-0.525067066620651,0.075,0.353,0
"16","Anxa2",0,-1.34330512875721,0.037,0.529,0
"17","Arhgap15",0,1.42005083781646,0.98,0.893,0
"18","Arhgap45",0,0.52382414808089,0.94,0.93,0
"19","Arhgef1",0,0.643341881083678,0.913,0.88,0
"20","Arpc1b",0,-0.73138172156317,0.79,0.941,0
"21","Arsb",0,-0.659894602758156,0.027,0.308,0
"22","Atp1b3",0,0.9663266581706,0.907,0.778,0
"23","Atp2b4",0,-0.545566813757767,0.047,0.319,0
"24","Atp5d",0,-0.642780532762712,0.698,0.889,0
"25","Atxn1",0,-0.693894385595939,0.256,0.633,0
"26","Bach2",0,1.53654837681374,0.888,0.558,0
"27","Bcl11b",0,0.985767884054464,0.77,0.537,0
"28","Bhlhe40",0,-1.08940187365799,0.025,0.428,0
"29","CAAA01147332.1",0,-1.00389884467533,0.183,0.583,0
"30","Camk2n1",0,-0.507984049063164,0.006,0.2,0
"31","Capg",0,-1.1934271443345,0.179,0.527,0
"32","Car2",0,-1.53493254129009,0.041,0.484,0
"33","Ccdc50",0,-0.456033339550042,0.07,0.343,0
"34","Ccl5",0,-3.59472894712114,0.021,0.404,0
"35","Ccm2",0,0.819347609406952,0.721,0.542,0
"36","Ccr7",0,1.24096136449776,0.827,0.372,0
"37","Cd101",0,-0.558339962387914,0.03,0.281,0
"38","Cd160",0,-1.18290072979556,0.018,0.396,0
"39","Cd244a",0,-1.03589976263237,0.037,0.348,0
"40","Cd247",0,1.00115423782726,0.875,0.688,0
"41","Cd28",0,1.02121199186079,0.716,0.408,0
"42","Cd38",0,-0.616094813713373,0.007,0.311,0
"43","Cd4",0,1.34492443263962,0.676,0.116,0
"44","Cd40lg",0,1.30235327650109,0.493,0.067,0
"45","Cd7",0,-2.66900954564922,0.466,0.798,0
"46","Cd8a",0,-2.50241948802856,0.073,0.655,0
"47","Cd8b1",0,-2.00824352024733,0.114,0.608,0
"48","Cdh1",0,-1.11724114179474,0.005,0.409,0
"49","Cdk6",0,-0.978953698371406,0.16,0.529,0
"50","Cemip2",0,-1.39524777759651,0.048,0.504,0
"51","Cerk",0,-0.565907003435713,0.039,0.327,0
"52","Chn2",0,-1.46397906814534,0.032,0.457,0
"53","Chst11",0,-0.644774420531992,0.016,0.324,0
"54","Chsy1",0,-1.09195615846967,0.022,0.478,0
"55","Cish",0,-1.03551138910121,0.134,0.518,0
"56","Cited4",0,-0.753632836187709,0.005,0.27,0
"57","Clic1",0,-0.739176017450874,0.754,0.922,0
"58","Clnk",0,-1.44767073068917,0.002,0.341,0
"59","Cmtm7",0,-0.834415196063755,0.091,0.451,0
"60","Coro2a",0,-1.39742197815482,0.104,0.642,0
"61","Cox5a",0,-0.715257607301282,0.588,0.833,0
"62","Cox8a",0,-0.818465722061436,0.775,0.937,0
"63","Crlf3",0,1.00227654843257,0.8,0.655,0
"64","Cst3",0,-0.796249981993648,0.311,0.665,0
"65","Cst7",0,-1.71194856742807,0.098,0.687,0
"66","Ctla2a",0,-2.4688271871005,0.042,0.665,0
"67","Ctla2b",0,-0.851692633492359,0.008,0.369,0
"68","Ctsc",0,-0.839587638051431,0.234,0.594,0
"69","Ctsd",0,-0.8361492789369,0.537,0.838,0
