"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Tnfrsf4",0,3.57267330091511,0.92,0.059,0
"2","Ctla4",3.01302057370324e-304,3.25568619128293,0.909,0.148,4.68946522091172e-300
"3","Tnfrsf18",1.19098930417155e-274,2.18932974951395,0.928,0.504,1.8536557530126e-270
"4","Arl5a",2.58500914372189e-266,2.40657512271647,0.837,0.315,4.02330823128875e-262
"5","Foxp3",2.63761740947763e-250,2.71313822840347,0.727,0.026,4.10518773611098e-246
"6","Icos",4.34729652890287e-232,2.3675041083627,0.86,0.248,6.76613231758443e-228
"7","Il2ra",4.70850447137429e-213,2.64071347907216,0.765,0.091,7.32831635924694e-209
"8","Ikzf2",5.47742722180274e-208,2.95778669464981,0.89,0.195,8.52506772801379e-204
"9","Sdf4",9.01457222033602e-193,1.75659143243976,0.92,0.685,1.4030280203731e-188
"10","Hif1a",1.37645374626402e-164,1.93742458372569,0.871,0.447,2.14231261068533e-160
"11","Dusp1",1.07179877066452e-158,2.31295260853344,0.814,0.444,1.66814760666226e-154
"12","Fam129a",4.90766693368404e-158,1.89926745956001,0.689,0.158,7.63829281558584e-154
"13","Zfp36l1",6.44974357899997e-155,1.90427819901996,0.909,0.694,1.00383809063556e-150
"14","Il1rl1",2.3035052135047e-148,1.56590674324481,0.39,0.004,3.58517551429872e-144
"15","Samsn1",2.66889752182018e-142,1.71021820137782,0.712,0.233,4.15387210296093e-138
"16","Nrp1",7.63851629964044e-142,1.77602970368173,0.652,0.065,1.18885867687604e-137
"17","Capg",2.56860031069893e-130,1.7922121113759,0.871,0.36,3.99776952357182e-126
"18","Lamc1",9.66284175345161e-125,1.46889446648671,0.504,0.065,1.50392469050721e-120
"19","Sla",1.57119375378518e-120,1.45545576338914,0.773,0.439,2.44540595839125e-116
"20","Rora",1.91516006855913e-120,2.00122503134031,0.746,0.182,2.98075513070542e-116
"21","Nrip1",4.68454194797411e-120,1.75566563970526,0.739,0.418,7.2910210878269e-116
"22","Maf",8.13946515589906e-117,1.7320221138412,0.542,0.065,1.26682635686413e-112
"23","Tnfrsf9",2.8009904493046e-115,2.44023584701922,0.803,0.21,4.35946153529768e-111
"24","Cd81",3.62528389421049e-113,1.61713293900446,0.496,0.083,5.64239185294921e-109
"25","Klrg1",6.06797667212314e-109,1.8191467959129,0.364,0.014,9.44419889249246e-105
"26","S100a4",1.97665438875779e-108,1.99329988819166,0.629,0.104,3.07646489066263e-104
"27","Itgav",2.98643190685033e-108,2.14768440432597,0.765,0.28,4.64808261982185e-104
"28","Ccr6",3.72443565153484e-104,1.18014966167851,0.299,0.004,5.79671164804883e-100
"29","Sh3rf1",2.57899758750342e-103,1.63011915775284,0.549,0.111,4.01395184519032e-99
"30","Ttc39c",3.08748537119582e-102,1.42386006208566,0.504,0.093,4.80536223172918e-98
"31","Nfkbia",2.02454698431231e-100,1.68967099811153,0.886,0.674,3.15100492638368e-96
"32","Nt5e",7.50983865992306e-99,1.71097091086913,0.716,0.31,1.16883128903043e-94
"33","Tiam1",2.05876691537878e-98,1.32483525315827,0.473,0.053,3.20426482709553e-94
