"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Cd8a",0,0.992569091762549,0.852,0.319,0
"2","Cd8b1",0,1.27099258871734,0.844,0.311,0
"3","Itgb1",0,1.35564004941265,0.804,0.378,0
"4","Nkg7",0,0.935845644025682,0.945,0.455,0
"5","Ctsw",2.84468176906015e-319,0.86459264511804,0.931,0.515,4.42746270536521e-315
"6","Ly6c2",1.7499951701674e-302,1.91125557990245,0.511,0.119,2.72369248284854e-298
"7","Cd4",3.34477155935348e-294,-1.32502952663944,0.035,0.422,5.20580245497776e-290
"8","Ifitm10",2.31920198743488e-274,0.818312341425126,0.562,0.167,3.60960597324364e-270
"9","Cxcr3",2.30498557645366e-266,0.744808314721364,0.568,0.166,3.58747955119248e-262
"10","Runx1",6.23896452596867e-251,-1.36048765345506,0.196,0.59,9.71032438821764e-247
"11","1700025G04Rik",1.87555938702062e-246,0.897851424393043,0.689,0.293,2.91912062995889e-242
"12","Lef1",2.52407544326856e-246,-1.28197622426173,0.658,0.726,3.92847101990318e-242
"13","Malat1",2.0029788729047e-223,-0.894708318881809,0.996,0.998,3.11743631778888e-219
"14","Ctla2a",1.28065553837279e-221,0.283956040547665,0.699,0.335,1.99321227992341e-217
"15","AW112010",1.62322665974018e-209,0.412866636189163,0.926,0.591,2.52638997321962e-205
"16","Cdh1",1.20348245008827e-203,0.818338869391168,0.524,0.179,1.87310008531739e-199
"17","Klrd1",2.59061225148002e-200,0.458527791648572,0.757,0.387,4.0320289082035e-196
"18","Gramd3",6.06336432540249e-200,0.767954726809211,0.893,0.599,9.43702023605643e-196
"19","Hopx",3.17483404428711e-194,0.690450118226639,0.704,0.334,4.94131170652845e-190
"20","Cxcr6",2.18633475687024e-189,0.524682189619624,0.666,0.306,3.40281141559285e-185
"21","Itgae",2.51008662388493e-186,0.61789661650491,0.595,0.252,3.9066988214145e-182
"22","Eomes",1.58571585067872e-185,0.597746748245768,0.442,0.131,2.46800814999636e-181
"23","AU020206",4.74697049960047e-185,0.689362607498129,0.804,0.449,7.38818488557817e-181
"24","Samd3",1.82772932914362e-184,0.644342513243315,0.507,0.176,2.84467792787914e-180
"25","Tspan32",8.44270759070107e-184,-0.997004300552782,0.125,0.439,1.31402300941671e-179
"26","Gm44174",1.18292432745515e-179,0.594376010029742,0.491,0.168,1.84110342325119e-175
"27","Adam19",4.04973846404038e-177,0.6298720052694,0.674,0.319,6.30301294543245e-173
"28","St3gal6",9.69641360137253e-174,0.656873037737589,0.543,0.221,1.50914981291762e-169
"29","Mgll",9.89222582744356e-174,0.633856506575849,0.436,0.135,1.53962602778332e-169
"30","Il6ra",1.8959809569272e-166,-0.967722699205435,0.149,0.428,2.95090476136149e-162
"31","Pmepa1",4.10242322569043e-164,0.665507736845532,0.76,0.423,6.38501150846459e-160
"32","Cd40lg",3.87932326223376e-162,-0.953250582146516,0.036,0.295,6.03777872534062e-158
"33","Dgka",3.66352240021916e-156,-0.916053109396527,0.695,0.783,5.7019062637011e-152
"34","Dapk2",2.3611215011805e-155,0.482239881211423,0.544,0.234,3.67484950443732e-151
"35","Fgf13",5.54516341013992e-150,0.59141730439686,0.723,0.398,8.63049233154177e-146
"36","Dennd4a",3.81796189488064e-149,0.542417105897141,0.755,0.429,5.94227589319223e-145
"37","S1pr1",7.98390792545549e-148,-0.956373576222439,0.278,0.511,1.24261542951789e-143
"38","Ly6e",1.3281024013883e-146,0.546684412905314,0.968,0.853,2.06705857752076e-142
"39","Rgs10",9.04509775391397e-146,0.664344372058625,0.795,0.528,1.40777901441917e-141
"40","Trat1",2.68353675786577e-145,-0.765671148226905,0.07,0.335,4.17665660994229e-141
"41","Pecam1",1.56113411664659e-144,-0.917351962439438,0.183,0.456,2.42974913914875e-140
"42","Jaml",5.75442366528115e-144,0.49782518136309,0.624,0.307,8.95618499264358e-140
