"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Adam19",1.40371513995747e-153,1.39686779443282,0.744,0.351,2.18474224382981e-149
"2","Sell",3.0316340329864e-145,-1.47376226037414,0.051,0.547,4.71843520894003e-141
"3","Cxcr6",4.73872535381212e-142,1.40489689442254,0.739,0.338,7.37535214067319e-138
"4","Sptssa",1.16489665733207e-140,0.933868725930674,0.572,0.443,1.81304515747164e-136
"5","Cxcr3",1.0401238036996e-121,1.13071053408799,0.551,0.207,1.61884868807806e-117
"6","Fasl",2.01904621893772e-116,1.17643359130528,0.653,0.314,3.14244353515467e-112
"7","Zbtb16",1.01928877380364e-111,1.01377905513775,0.272,0.032,1.58642104754799e-107
"8","Ly6a",1.40633266597621e-109,1.55280997857935,0.621,0.278,2.18881616132537e-105
"9","P2rx7",4.66426609564468e-104,0.925332998356046,0.339,0.068,7.25946375126137e-100
"10","Zfp36l2",8.58821910359116e-103,0.870219016311942,0.936,0.931,1.33667042128293e-98
"11","Rora",2.86945145912012e-101,1.22351377120816,0.54,0.177,4.46601425097455e-97
"12","Ighm",4.87740767229789e-98,-0.909226782306492,0.089,0.501,7.59119730116443e-94
"13","Cd82",4.66516937237148e-92,0.895202431967379,0.73,0.537,7.26086961115897e-88
"14","Lef1",1.11504610652943e-88,-1.67394760709611,0.454,0.729,1.7354577602024e-84
"15","Thy1",5.49346547249332e-83,0.98208095447445,0.788,0.561,8.5500296613886e-79
"16","Pmepa1",8.97193914200873e-82,1.0093718018153,0.739,0.458,1.39639260806224e-77
"17","Il4",1.0277623077196e-79,0.582602418536645,0.147,0.006,1.59960925573478e-75
"18","Fam129a",1.25372453108838e-79,0.87758528218613,0.447,0.156,1.95129686018595e-75
"19","Atp1b1",1.3331522637423e-79,-0.843107577881231,0.032,0.356,2.07491818328852e-75
"20","Bach2",1.42743970273131e-77,-1.20819520964002,0.358,0.723,2.22166715333101e-73
"21","Cmah",3.08518475877057e-74,-0.974974135340633,0.078,0.419,4.80178155855051e-70
"22","Bcl2a1b",3.70335583122035e-74,0.887564998642129,0.447,0.171,5.76390301571135e-70
"23","S1pr1",4.37642758755839e-74,-1.07313199038982,0.135,0.495,6.81147189727588e-70
"24","Lyst",4.5813795727936e-74,0.894356729104039,0.411,0.318,7.13045916709596e-70
"25","Cish",4.92356053004046e-74,0.96327399882026,0.626,0.332,7.66302960895498e-70
"26","Ripor2",2.47550879640166e-73,-1.04256103909478,0.519,0.827,3.85288189071954e-69
"27","Ifngr1",3.32870900046166e-73,0.84575629039981,0.899,0.722,5.18080268831853e-69
"28","Ccr7",8.14048841529869e-73,-1.20145046139548,0.238,0.592,1.26698561695709e-68
"29","St6galnac3",1.54360107428083e-71,1.21459790101627,0.68,0.403,2.40246071201068e-67
"30","Icos",8.6887051653131e-71,1.01068109647205,0.514,0.249,1.35231007192933e-66
"31","Socs1",2.34235599403665e-70,0.993719260312099,0.715,0.521,3.64564286911864e-66
"32","Ly6e",4.52117492239632e-70,0.761614173993923,0.946,0.865,7.03675664921763e-66
"33","Krt83",4.77868816633489e-69,0.906705853697082,0.26,0.045,7.43755026208363e-65
"34","Ctsw",6.97671062532157e-69,0.689702025782141,0.884,0.559,1.08585524172505e-64
"35","Cyba",2.85379323083269e-68,0.658934327803542,0.874,0.806,4.44164378446799e-64
"36","Foxp1",7.20412705203496e-68,-1.05134044907966,0.659,0.903,1.12125033437872e-63
"37","Inpp5d",8.56294263447972e-68,0.728299353084207,0.744,0.633,1.33273639163042e-63
"38","Gimap3",1.05217163159729e-67,0.64372191682594,0.901,0.88,1.63759992741802e-63
"39","Il6st",3.25872350349411e-67,-0.839623029106038,0.083,0.407,5.07187726083823e-63
"40","Nr3c1",5.8064017280094e-67,0.756399822670909,0.744,0.638,9.03708364947383e-63
"41","Pde7a",3.40214102709936e-66,0.84178770011157,0.806,0.603,5.29509229457745e-62
"42","Actn1",1.25241618931783e-65,-0.687872123016678,0.04,0.33,1.94926055705427e-61
"43","Atp8a2",5.18516807217661e-65,0.797164272115243,0.216,0.045,8.07019558753568e-61
"44","Il6ra",7.71359971337207e-65,-0.958982454533901,0.089,0.403,1.20054465938923e-60
"45","Ahnak",3.24078012928919e-64,0.995683867095812,0.73,0.464,5.0439501932257e-60
"46","Aff3",6.76523671809103e-63,-1.05225065891184,0.265,0.612,1.05294144280369e-58
"47","Ramp1",1.38557797889136e-61,0.693809668926664,0.445,0.378,2.15651356634651e-57
"48","Lmo4",2.23690415782185e-60,0.821692571166913,0.229,0.127,3.48151763123393e-56
"49","Klf2",3.63448380185136e-60,-0.822213781807353,0.383,0.712,5.65671058920146e-56
"50","Cmtm7",6.43823352614985e-60,0.793470644815482,0.528,0.278,1.00204666600996e-55
"51","Il18r1",8.71811955236404e-60,0.873515961089879,0.53,0.312,1.35688812712994e-55
"52","AU020206",7.87541143688457e-59,0.828327407116,0.757,0.487,1.22572903603671e-54
"53","Satb1",1.1222280476056e-58,-0.796924348745488,0.523,0.82,1.74663573329335e-54
"54","Gng2",1.28655610581184e-58,0.74768065182941,0.57,0.372,2.00239592308555e-54
"55","Mdfic",2.4712939587858e-58,0.803915249193052,0.477,0.22,3.84632191745422e-54
"56","Dusp2",6.57508335330332e-58,0.935302660951664,0.794,0.714,1.02334597310813e-53
"57","Lpxn",1.56841206937167e-57,0.681285412242155,0.583,0.393,2.44107654477006e-53
"58","Mapkapk3",9.6660707026781e-57,0.656819193616106,0.418,0.234,1.50442724416482e-52
"59","Ptpn22",6.22794434803091e-55,0.692139407356159,0.781,0.642,9.69317258327531e-51
"60","Rbm38",3.63520729902282e-54,-0.607979922593192,0.211,0.532,5.65783664019912e-50
"61","Lax1",6.2359429246313e-54,0.726051455722496,0.536,0.382,9.70562156789616e-50
"62","Ttc39b",1.06596161395447e-53,0.70045633127514,0.641,0.472,1.65906265595874e-49
"63","H2-Q7",4.05656288394491e-53,0.632432120023072,0.781,0.711,6.31363447257185e-49
"64","Atp1b3",5.75238353932279e-53,-0.739099642252451,0.605,0.847,8.95300974060199e-49
"65","Tnfaip8",8.4296653268059e-53,0.704545403310073,0.587,0.451,1.31199311146407e-48
"66","Cd44",3.13862063526034e-52,0.740247982028219,0.578,0.367,4.8849491567192e-48
"67","Il2rb",3.31412095155683e-52,0.438504695905754,0.796,0.482,5.15809784900306e-48
"68","Gabarapl2",5.93651628121421e-52,0.498529967258864,0.671,0.629,9.2395939400818e-48
"69","Sptbn1",2.04246218734162e-51,-0.691022972078656,0.288,0.605,3.1788881483785e-47
"70","Socs2",5.95659816094441e-51,0.708762820930145,0.28,0.102,9.27084937769387e-47
"71","Ctla2a",9.22745110997818e-51,0.879470248205088,0.68,0.372,1.436160490757e-46
"72","Tcf7",1.42287636399423e-50,-0.929848183381897,0.511,0.759,2.21456477292062e-46
"73","Txk",1.59574970408822e-50,-0.628519820555158,0.363,0.674,2.48362483944291e-46
"74","AW112010",2.33868272754865e-50,0.58383197490587,0.882,0.626,3.63992579715672e-46
"75","Hnrnpll",1.32503784588967e-49,0.631828423198284,0.349,0.201,2.06228890334269e-45
"76","Nkg7",3.49741736455204e-49,0.695612507021524,0.811,0.51,5.4433803861888e-45
"77","Itgal",7.16743704529519e-49,0.606938525168909,0.653,0.532,1.11553990172974e-44
"78","Id2",8.0831064223713e-49,0.850497201120075,0.702,0.497,1.25805468357787e-44
"79","S100a10",1.77903431522774e-48,0.603290280823354,0.874,0.802,2.76888900822045e-44
"80","Psmb8",2.11230825051277e-48,0.496024332051312,0.912,0.887,3.28759656109807e-44
"81","Med10",8.43506132721285e-48,0.573613500898293,0.543,0.41,1.31283294496741e-43
"82","H2-K1",1.150325743773e-47,0.457072940592892,0.99,0.979,1.79036698760829e-43
"83","Pde3b",4.07993574141784e-47,0.674118469959116,0.742,0.652,6.35001198794272e-43
"84","Dgka",4.76668392211425e-47,-0.926106471587935,0.577,0.78,7.41886685637862e-43
"85","Abi3",1.41080287463326e-46,0.656313649738658,0.494,0.333,2.19577359407921e-42
"86","Ltb",4.15961016106603e-46,0.563734329602577,0.941,0.93,6.47401725468317e-42
"87","Hmgn1",4.53234193153392e-46,-0.516762961419426,0.283,0.583,7.0541369822394e-42
"88","Atp2b1",1.13711133227301e-45,0.579367817809604,0.641,0.552,1.76980007754971e-41
"89","Nt5e",1.46798069572668e-45,0.780368688444457,0.508,0.309,2.28476515482901e-41
"90","Podnl1",2.02824406629193e-45,0.400520060693205,0.16,0.029,3.15675906477675e-41
"91","Arhgap26",4.99258766155336e-45,0.713794771434832,0.47,0.284,7.77046343644165e-41
"92","Isg20",1.05471022977413e-44,0.771787255387198,0.482,0.287,1.64155100162046e-40
"93","Smap1",2.03666304563302e-44,0.548791662282113,0.691,0.608,3.16986236422323e-40
"94","Gm8909",6.35419981166937e-44,0.642971242571856,0.624,0.523,9.88967658688221e-40
"95","Il10ra",1.11840188438353e-43,0.667911783819995,0.327,0.19,1.74068069285452e-39
"96","Atxn1",3.3381810786635e-43,0.791504431196846,0.654,0.455,5.19554503083188e-39
"97","Dapl1",3.75213142633596e-43,-0.864021275836891,0.02,0.214,5.8398173519493e-39
"98","Cd55",6.14294314173794e-43,-0.540204520266998,0.039,0.253,9.56087670580093e-39
"99","Rbl2",6.34739919376395e-43,0.540752443233854,0.56,0.478,9.87909210517422e-39
"100","Plaat3",6.44569265438153e-43,0.545679067944049,0.575,0.457,1.00320760472794e-38
"101","Ccr2",1.95403842993653e-42,0.585370598461936,0.256,0.074,3.04126541235321e-38
"102","Dennd4c",3.48772050532081e-42,0.590106188754314,0.39,0.287,5.42828819448131e-38
"103","Dkkl1",7.18025828066038e-42,0.425427637913527,0.175,0.045,1.11753539880198e-37
"104","Klhdc2",7.55457988389484e-42,-0.55042534785354,0.115,0.369,1.17579481312939e-37
"105","Smurf2",1.01746975109705e-41,0.633587244141208,0.594,0.481,1.58358992060745e-37
"106","Ppp1r12a",1.13282661338547e-41,0.537807241831302,0.793,0.728,1.76313134107315e-37
"107","Maf",1.44511415686784e-41,0.630686516906846,0.241,0.067,2.24917567374911e-37
"108","Cd27",1.62898243984228e-41,-0.534416811887733,0.297,0.582,2.53534826937052e-37
"109","Itga6",5.00586244316121e-41,-0.663574264549023,0.212,0.489,7.7911243065361e-37
"110","F2r",8.70464741351634e-41,0.547609754792156,0.381,0.262,1.35479132343968e-36
"111","Rgs1",1.10385922779159e-40,0.718362722463361,0.723,0.472,1.71804650213483e-36
"112","Prr13",1.58017656702782e-40,0.613029315114243,0.632,0.443,2.4593868089221e-36
"113","Rnf166",2.15119567907169e-40,0.450399897010381,0.481,0.421,3.34812095490718e-36
"114","Pard3",5.76318755171426e-40,0.427421409613801,0.105,0.009,8.96982510548808e-36
"115","H2-Q4",3.75556343406533e-39,0.490514378184606,0.902,0.874,5.84515892877928e-35
"116","Ptpn13",5.3807668923263e-39,0.502258960134529,0.207,0.06,8.37462559121665e-35
"117","Rab3ip",6.04961230075395e-39,-0.617221592966867,0.155,0.412,9.41561658489344e-35
"118","Fth1",1.21199124194958e-38,0.447308213515945,0.953,0.944,1.88634316897032e-34
"119","Cers6",1.37775251910944e-38,-0.463047052742272,0.086,0.307,2.14433402074193e-34
"120","Rapgef4",1.51768161367592e-38,-0.670443520863722,0.052,0.261,2.36211966352521e-34
"121","Itga4",1.5424689613672e-38,0.502604297787695,0.403,0.467,2.40069869147191e-34
"122","Add3",2.01164954363736e-38,-0.514078414740309,0.401,0.672,3.13093134971719e-34
"123","Pgm2l1",2.20078852326118e-38,0.567045484878385,0.32,0.208,3.4253072576037e-34
"124","Pstpip1",2.88181615671183e-38,0.404328296329438,0.482,0.44,4.48525866630629e-34
"125","Runx2",4.04056627649483e-38,0.702708496793899,0.413,0.265,6.28873735273655e-34
"126","Fryl",1.03941765532459e-37,0.601756500425242,0.734,0.673,1.61774963874719e-33
"127","Hip1",1.81921676492578e-37,0.637401431889804,0.246,0.148,2.83142897293048e-33
"128","Rflnb",2.10833457229683e-37,-0.695872002448119,0.211,0.472,3.28141192832279e-33
"129","Gimap7",2.2621642591748e-37,0.488938701453218,0.627,0.614,3.52083245297966e-33
"130","Celf2",1.64553232371633e-36,0.523782337859963,0.777,0.772,2.5611065086321e-32
"131","Agap2",2.34341223958415e-36,0.424749810878128,0.44,0.399,3.64728680968876e-32
"132","Atp2b4",3.31214786123222e-36,0.552715113751209,0.337,0.19,5.15502693122182e-32
"133","Cd37",3.40244112115442e-36,0.35912952340889,0.761,0.776,5.29555936096474e-32
"134","Tuba1b",3.93047369037226e-36,-0.728511411873974,0.251,0.505,6.11738925169539e-32
"135","Suco",4.88958270865003e-36,0.546595388242235,0.604,0.505,7.61014652774291e-32
"136","Klf6",5.53036837076719e-36,0.577057045333096,0.69,0.63,8.60746533226206e-32
"137","S100a6",1.40276522552647e-35,0.697136992280381,0.551,0.298,2.1832637970094e-31
"138","Nsg2",1.42888288624159e-35,-0.516539565974141,0.105,0.331,2.22391332414642e-31
"139","Prrt1",1.56965688728847e-35,0.489279111528535,0.307,0.183,2.44301397937577e-31
"140","Il2ra",2.15829882792726e-35,0.5987935725134,0.282,0.096,3.35917629578599e-31
"141","H2-D1",5.88255137837994e-35,0.356182958918643,0.992,0.994,9.15560296531054e-31
"142","Dusp1",7.20235910997584e-35,0.780474708130668,0.491,0.45,1.12097517187664e-30
"143","Ptger4",1.28917948514783e-34,0.506735932217318,0.32,0.197,2.00647895068409e-30
"144","Nek7",1.43676779190679e-34,0.495206650482794,0.582,0.512,2.23618539132372e-30
"145","Fam169b",2.03801445422689e-34,-0.657792900251044,0.298,0.555,3.17196569655873e-30
"146","Prkcz",2.09451578106951e-34,0.489530365891661,0.364,0.238,3.25990436165659e-30
"147","Prelid2",2.91882343635168e-34,0.549405311814352,0.465,0.355,4.54285679633775e-30
"148","Cpne4",4.27208393264295e-34,-0.560765601422211,0.047,0.235,6.64907143276549e-30
"149","Tmem176b",5.6550711206728e-34,0.968900403995936,0.248,0.083,8.80155269221514e-30
"150","Itm2b",6.22609198584766e-34,0.416035546452361,0.949,0.932,9.69028956677331e-30
"151","Zfp36",7.18814644576063e-34,-0.712710924261758,0.25,0.502,1.11876311281818e-29
"152","Psmb9",1.04285207889149e-33,0.434313426300132,0.739,0.713,1.62309497558671e-29
"153","Pdcd1",1.23579316801202e-33,0.685859275881403,0.349,0.144,1.92338848669391e-29
"154","Cytip",1.79613506299448e-33,-0.523789766216708,0.678,0.866,2.79550461204462e-29
"155","Patj",2.36600938032899e-33,-0.494279415982987,0.105,0.32,3.68245699954405e-29
"156","Tmem176a",4.1089451278416e-33,0.807467452077407,0.223,0.07,6.39516219697266e-29
"157","Gm10260",4.49178610632445e-33,-0.426388055562765,0.912,0.934,6.99101589588337e-29
"158","Usp28",4.50091709020865e-33,-0.387820467683216,0.052,0.236,7.00522735920074e-29
"159","St8sia6",5.27229645894865e-33,-0.622413606118085,0.035,0.21,8.20580220870768e-29
"160","Psap",5.87783583645013e-33,0.329812700719218,0.717,0.753,9.14826369585099e-29
"161","Pecam1",6.66725959884199e-33,-0.691898696994387,0.191,0.428,1.03769228396377e-28
"162","Qpct",7.99906651333727e-33,0.488545670686663,0.29,0.144,1.24497471213581e-28
