"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Ccl5",0,2.9633393487592,0.98,0.202,0
"2","Cd200r2",0,1.81718944938828,0.665,0.019,0
"3","Cd200r4",0,1.58391515464162,0.775,0.039,0
"4","Cd244a",0,1.85089333084072,0.948,0.179,0
"5","Cd3g",0,1.76414568848918,0.996,0.873,0
"6","Cd7",0,3.46913199437823,0.996,0.635,0
"7","Cst7",0,1.9194712119246,0.982,0.4,0
"8","Frmd5",0,2.09085634385583,0.677,0.016,0
"9","Glp1r",0,1.47103659354739,0.787,0.028,0
"10","Gm2682",0,-3.23822317518545,0.042,0.842,0
"11","Gzma",0,4.98444576557041,0.691,0.048,0
"12","Gzmb",0,4.40602853472247,0.845,0.12,0
"13","Il2rb",0,2.35823120281399,1,0.476,0
"14","Itgav",0,2.20955113869243,0.986,0.262,0
"15","Itih5",0,1.65183314205135,0.851,0.084,0
"16","Lag3",0,2.435758554021,0.948,0.096,0
"17","Lgals3",0,2.15318928347072,0.986,0.232,0
"18","Ostf1",0,1.58394321381441,0.996,0.69,0
"19","Pdcd1",0,2.89093518462889,0.942,0.122,0
"20","Rgs1",0,2.3544753429967,0.986,0.463,0
"21","Slc26a10",0,1.49633890920982,0.781,0.071,0
"22","Spp1",0,2.86886754232039,0.918,0.236,0
"23","Sult2b1",0,2.26124894165787,0.952,0.102,0
"24","Tmem273",0,1.54554540071606,0.819,0.064,0
"25","Tnfrsf9",0,3.11122992672979,0.998,0.191,0
"26","Tigit",4.94065645841247e-324,1.85333336426174,0.982,0.252,7.68963771187316e-320
"27","Fgl2",4.72603434185903e-319,2.04822948780486,0.92,0.161,7.35559984966939e-315
"28","C1qtnf6",5.17999440652537e-316,1.61517839295024,0.743,0.068,8.06214329431609e-312
"29","Trgv2",2.56652819250321e-307,2.10880510614269,0.878,0.124,3.99454447881199e-303
"30","Serpinb6b",7.09696150496771e-302,1.77621005718986,0.873,0.165,1.10457108863317e-297
"31","Ikzf2",3.49845938827078e-300,1.73425568825393,0.948,0.18,5.44500219190464e-296
"32","Itga1",9.95952201120967e-295,1.59776137336883,0.865,0.131,1.55010000582467e-290
"33","Gm156",1.94986404946814e-293,3.00915061104539,0.614,0.03,3.03476840659221e-289
"34","Chn2",8.78670867069075e-293,1.89772467839718,0.94,0.239,1.36756333750631e-288
"35","2900026A02Rik",1.65763316841382e-277,1.37658698333928,0.791,0.1,2.57994026331926e-273
"36","Entpd1",2.00101531873751e-276,1.39900496609978,0.813,0.113,3.11438024208306e-272
