"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Isg15",1.12824122759181e-221,3.04125335578783,0.842,0.182,1.7559946466239e-217
"2","Isg20",1.67383970054346e-190,2.21450467099472,0.842,0.285,2.60516410992584e-186
"3","Ifit3",2.83208060323356e-189,2.1538730908948,0.704,0.041,4.40785025087271e-185
"4","Rnf213",2.49584422235544e-171,1.92292116978249,0.887,0.44,3.88453194767401e-167
"5","Usp18",4.38371613994459e-170,2.15571440621575,0.75,0.126,6.82281580020975e-166
"6","Bst2",4.88699726794449e-164,2.07604093245795,0.896,0.411,7.60612254782881e-160
"7","Zbp1",1.35990415456236e-149,1.82395904634931,0.812,0.259,2.11655482616085e-145
"8","Irf7",9.28725870167612e-144,1.75668165656229,0.871,0.29,1.44546894432887e-139
"9","Rtp4",1.46265065328046e-143,1.74492366589842,0.817,0.187,2.27646947676571e-139
"10","Phf11b",5.32825238836765e-141,1.64868564418288,0.758,0.245,8.2928920172554e-137
"11","Ifit1",3.9483405154735e-139,2.02678440540575,0.658,0.06,6.14519717828295e-135
"12","Xaf1",3.20650811057098e-118,1.44715489431956,0.75,0.199,4.99060922329268e-114
"13","Stat1",7.36598512715725e-117,1.65522159583425,0.954,0.598,1.14644192519076e-112
"14","Ifi209",1.77532135400802e-113,1.51479821523943,0.8,0.412,2.76311015537809e-109
"15","Trim30a",3.79232596609855e-113,1.52270847287678,0.775,0.348,5.90237613363579e-109
"16","Gbp9",7.94999657899428e-112,1.50633091751366,0.863,0.4,1.23733746755467e-107
"17","Herc6",6.34024878614413e-109,1.56571769330715,0.713,0.27,9.86796321075473e-105
"18","Gbp6",2.54975519103559e-108,1.44761202389585,0.758,0.171,3.96843897932779e-104
"19","Oas3",8.77572888774175e-105,1.2855233892423,0.596,0.085,1.36585444408813e-100
"20","Igtp",7.95294923356528e-103,1.50074095102686,0.833,0.3,1.2377970187121e-98
"21","Lgals3bp",2.32628886895724e-101,1.37025851738559,0.808,0.357,3.62063599564505e-97
"22","Rsad2",1.166977528819e-100,1.60464663378225,0.354,0.012,1.81628382585389e-96
"23","Epsti1",1.21938789293899e-97,1.3977786983871,0.825,0.418,1.89785531657025e-93
"24","Ifi208",3.17974771784661e-96,1.40325311824631,0.796,0.368,4.94895934805647e-92
"25","Oasl2",3.20165603930937e-96,1.23280255198213,0.496,0.045,4.98305745958111e-92
"26","Ifih1",4.35651842296337e-96,1.33665057613265,0.608,0.106,6.78048527350019e-92
"27","Cmpk2",9.95048246282623e-95,1.33767314389762,0.438,0.03,1.54869309051428e-90
"28","Gbp7",6.87927876146988e-94,1.43730830975504,0.825,0.374,1.07069094643517e-89
"29","Ifit3b",6.69793236432592e-92,1.07247292603928,0.388,0.018,1.04246619318369e-87
"30","Ddx58",6.39821671019259e-91,1.28349717284264,0.758,0.369,9.95818448774375e-87
"31","Trafd1",6.90103809574348e-89,1.1943860163704,0.637,0.169,1.07407756922152e-84
"32","Ddx60",9.10714701654998e-86,1.43961058081734,0.642,0.168,1.41743636165584e-81
"33","Ifi47",2.27155816389522e-83,1.20476654800479,0.925,0.6,3.53545312628653e-79
"34","Eif2ak2",1.55428037388146e-82,1.18581583419899,0.504,0.098,2.41908197390911e-78
"35","Slfn8",2.20446705716495e-80,1.25105411042966,0.787,0.284,3.43103252777154e-76
"36","Ly6a",5.26797317285258e-80,2.13128477440778,0.738,0.285,8.19907344622776e-76
"37","Psmb8",2.67134869910574e-76,0.943216732210128,0.983,0.886,4.15768711528817e-72
"38","Daxx",2.17673036918314e-74,1.25217150159049,0.671,0.259,3.38786314659663e-70
"39","Jaml",7.79767350656401e-74,1.39355991517848,0.771,0.344,1.21362990456162e-69
"40","Gbp4",8.23724603324246e-73,1.26994363117283,0.713,0.338,1.28204497261386e-68
"41","Parp14",1.90006404533251e-72,1.28272430125532,0.696,0.316,2.95725968015552e-68
"42","Ifit2",6.28903007716098e-72,1.22673606986326,0.508,0.105,9.78824641209335e-68
"43","Irgm1",1.96822397592089e-70,1.15145141015625,0.679,0.229,3.06334379612328e-66
"44","1600014C10Rik",2.59444858736454e-69,1.40860374809476,0.704,0.359,4.03799978137416e-65
"45","Ifi206",1.40800621781319e-67,1.13381135543269,0.579,0.138,2.19142087740444e-63
"46","Lgals9",1.9539989747342e-67,1.00530146836552,0.892,0.639,3.0412040042763e-63
"47","Gbp10",7.81179202258421e-67,0.952462164182973,0.492,0.074,1.21582731039501e-62
"48","Ifi35",1.25567959491057e-66,1.06040698576192,0.762,0.386,1.95433972151882e-62
"49","Tor3a",6.58836785904418e-66,0.96710846701638,0.446,0.091,1.02541357358164e-61
"50","Pml",1.19094466637609e-65,1.09463570858831,0.667,0.244,1.85358627874775e-61
"51","Gbp2",1.64836792452833e-65,1.26185846906647,0.608,0.194,2.56551983773588e-61
"52","Oas1a",4.45980598540823e-65,1.07743069308286,0.458,0.098,6.94124203568937e-61
"53","A330040F15Rik",3.12761905517e-64,0.913358542385848,0.375,0.049,4.86782629746659e-60
"54","Parp9",3.42439152241263e-64,1.133053103536,0.667,0.26,5.32972296548302e-60
"55","Ly6e",1.13098751481042e-62,1.03814633347811,1,0.866,1.76026896805094e-58
"56","Slfn5",5.75808085985582e-60,1.49507838658651,0.512,0.153,8.9618770502796e-56
"57","Phf11c",6.27607987773735e-59,0.96097658543751,0.537,0.126,9.76809072171041e-55
"58","Psme1",2.67892097552759e-57,0.845219615775167,0.971,0.82,4.16947260631114e-53
"59","Parp12",2.59567280421364e-55,0.761648688367128,0.392,0.055,4.03990515247811e-51
"60","Psmb10",6.70860834072011e-54,0.93780487682353,0.858,0.559,1.04412780214968e-49
"61","Ube2l6",1.69269623273591e-53,0.925318143194614,0.304,0.029,2.63451241663018e-49
"62","Ppa1",4.43452936761554e-52,0.96836296147213,0.558,0.223,6.90190150775682e-48
"63","AW112010",1.71869322377972e-51,1.08002832161769,0.967,0.632,2.67497413349076e-47
"64","Ctsw",3.928159077175e-50,0.854650615789621,0.967,0.566,6.11378678771517e-46
"65","Plac8",5.38297735693878e-48,1.38328707818345,0.562,0.17,8.37806595833952e-44
"66","Dhx58",7.84590166399984e-48,0.721848843028398,0.358,0.056,1.22113613498494e-43
"67","Cxcl10",1.70464736160562e-47,1.56103407913607,0.2,0.012,2.65311315360298e-43
"68","Nkg7",2.28366826194589e-47,0.880485644440019,0.938,0.516,3.55430128289258e-43
"69","Sp110",2.40569005070999e-47,0.872615607529532,0.787,0.534,3.74421599492503e-43
"70","Phf11a",3.8006200837471e-47,0.629248806469414,0.329,0.044,5.91528509834399e-43
"71","H2-T22",4.54967739136637e-47,0.935940539668631,0.775,0.508,7.08111789192261e-43
"72","Samhd1",5.74868578844953e-47,1.10126040554234,0.854,0.587,8.94725456114284e-43
"73","Sdc3",6.73773242153968e-47,0.588896089548329,0.321,0.037,1.04866067408844e-42
"74","B2m",2.29118762667884e-46,0.630574944762277,0.996,0.959,3.56600442216294e-42
"75","Atp8b4",2.73802572233132e-46,1.07297508406582,0.738,0.419,4.26146323423647e-42
"76","Tgtp2",1.42887860222608e-45,0.951203589443319,0.567,0.19,2.22390665650467e-41
"77","Clic4",2.82159624765206e-44,0.860046643964413,0.433,0.124,4.39153239984567e-40
"78","Socs1",4.00155634463304e-44,1.11425205819575,0.863,0.524,6.22802229478686e-40
"79","Stat2",3.68064097029481e-43,0.848342377241287,0.508,0.15,5.72854960616685e-39
"80","Sp100",7.41995470311034e-43,0.79159073894085,0.942,0.835,1.15484174999209e-38
"81","Dtx3l",1.25225421265967e-42,0.863607911271833,0.6,0.243,1.94900845658352e-38
"82","Hsh2d",7.00988815327081e-41,0.744868051901306,0.45,0.125,1.09101899217507e-36
"83","Pik3ap1",1.09063127774356e-40,0.84330934850319,0.467,0.138,1.69745852068008e-36
"84","A930037H05Rik",1.15499875820161e-39,0.648314889748394,0.338,0.063,1.79764006726499e-35
"85","Cd8b1",1.00201222794613e-38,1.03464740896666,0.792,0.379,1.55953183157535e-34
"86","Psme2",1.13643215167699e-38,0.749273979564232,0.942,0.789,1.76874300087007e-34
"87","Iigp1",1.2211724075612e-38,1.0460773176568,0.329,0.06,1.90063273512825e-34
"88","Trim30c",3.49408943503701e-38,0.523378872559951,0.179,0.01,5.4382007966916e-34
"89","Cd8a",3.81517692478845e-38,0.981007896014896,0.8,0.387,5.93794136574074e-34
"90","Ifitm3",7.3802745480328e-38,1.59634378227088,0.354,0.096,1.14866593065582e-33
"91","Gm4070",2.23329918892845e-37,0.733695246427505,0.525,0.176,3.47590685764823e-33
"92","Helz2",5.43543725421199e-37,0.84846142096522,0.6,0.259,8.45971454245555e-33
"93","Psmb9",1.79091291371111e-36,0.768123615357071,0.917,0.71,2.78737685889997e-32
"94","Slfn1",9.04638103490105e-36,0.908637153122403,0.746,0.419,1.407978744272e-31
"95","Cd4",1.51262366056725e-35,-1.17191655278406,0.033,0.373,2.35424746530687e-31
"96","Tap1",1.79955195059622e-35,0.773189490955366,0.812,0.511,2.80082265590796e-31
"97","Mov10",2.68697814095049e-35,0.692270465212394,0.479,0.157,4.18201277857534e-31
"98","H2-K1",5.19054818174981e-35,0.569805303083849,1,0.979,8.0785691900754e-31
"99","Lef1",1.2985082030667e-34,-1.47685990246155,0.504,0.72,2.02099816725301e-30
