"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Lag3",0,2.05877617315084,0.831,0.098,0
"2","Pdcd1",0,2.75850450575179,0.934,0.119,0
"3","Gm2682",2.51428413806903e-315,-2.90388059330407,0.098,0.843,3.91323183249063e-311
"4","Tigit",2.16419597237163e-294,1.87419499776402,0.91,0.252,3.36835461139921e-290
"5","Trgv2",6.23823416591429e-290,2.12010720627054,0.82,0.124,9.709187655829e-286
"6","Tnfrsf9",2.70907890435971e-259,1.85349792508159,0.873,0.194,4.21641040674545e-255
"7","Gm156",3.30495253637988e-241,2.49531483185408,0.532,0.032,5.14382812762165e-237
"8","Nkg7",4.53029392978513e-236,1.75633304076518,0.982,0.504,7.05094947231757e-232
"9","Lef1",2.32812486545903e-231,-2.70078530841302,0.079,0.744,3.62349354060043e-227
"10","Itgav",1.50615532354725e-227,1.76756050190976,0.843,0.266,2.34418014556894e-223
"11","Lgals3",9.70583466215671e-220,1.64992852231202,0.878,0.234,1.51061610681807e-215
"12","Nr4a2",9.06719701654962e-219,1.66974797476845,0.713,0.132,1.41121854365578e-214
"13","Ikzf2",1.1361353510237e-217,1.61573546818448,0.821,0.182,1.76828106033328e-213
"14","Tcrg-C2",8.43296487127474e-216,1.37205878268041,0.663,0.093,1.3125066525652e-211
"15","Ier5l",8.18211045090161e-215,1.62758091961334,0.648,0.092,1.27346367057833e-210
"16","Il2rb",1.57664106720772e-209,1.63547395504418,0.965,0.476,2.45388415700209e-205
"17","Cd8a",1.00386488888837e-207,1.80571453103433,0.88,0.373,1.56241531306587e-203
"18","Cst7",6.06164309405465e-206,1.48769851884161,0.886,0.403,9.43434131158666e-202
"19","Cdk6",1.95158188276695e-204,1.651325241605,0.836,0.343,3.03744204233848e-200
"20","Rbpj",1.10366226350156e-199,1.49112265431649,0.785,0.257,1.71773994691382e-195
"21","Klf2",1.04887888635223e-198,-2.46714138062281,0.11,0.723,1.63247509871861e-194
"22","Ctla2a",1.27971963146879e-189,1.59722041557476,0.912,0.363,1.99175563441803e-185
"23","Litaf",2.33107446378746e-188,1.36539198328195,0.84,0.259,3.6280842954388e-184
"24","Glp1r",3.4487910887271e-182,0.980698242231665,0.471,0.039,5.36769845049486e-178
"25","Cd3g",4.72731377181336e-180,1.16653361272425,0.983,0.873,7.35759115445031e-176
"26","Klrc1",9.73564411593206e-180,1.52098414265803,0.727,0.159,1.51525565020367e-175
"27","Chn2",2.33307828171807e-171,1.45986560219282,0.799,0.243,3.63120303766601e-167
"28","Tox",2.27331120583066e-170,1.45541288659022,0.904,0.579,3.53818156075483e-166
"29","AW112010",2.6101529245991e-166,1.33437238959752,0.972,0.623,4.06244201184604e-162
"30","Sult2b1",7.03501812669309e-163,1.43535535510078,0.604,0.115,1.09493022123851e-158
"31","Satb1",4.36889180731112e-157,-1.8503318248443,0.39,0.825,6.79974320889902e-153
"32","Dennd4a",2.43790734415068e-156,1.34890747484875,0.906,0.456,3.79435899043612e-152
"33","Osbpl3",8.66455445333102e-156,1.15767754384681,0.7,0.18,1.34855125511644e-151
"34","Cd3e",6.84245797235645e-151,0.899803860389741,0.967,0.886,1.06496015881756e-146
"35","Cxcr6",4.33367771509294e-149,1.37183651325821,0.829,0.336,6.74493599577066e-145
"36","Cd7",1.747792783376e-148,1.53768700273584,0.921,0.637,2.72026468804641e-144
"37","Adgrg1",6.16069900568937e-148,0.760705682964628,0.379,0.03,9.58851193245493e-144
"38","Itih5",1.00637123486344e-145,1.11727545063724,0.541,0.095,1.56631618994145e-141
"39","Ccr7",1.43031549519799e-144,-1.875714111917,0.076,0.598,2.22614303672615e-140
"40","Sell",9.6504244920431e-144,-1.5941868865627,0.041,0.546,1.50199206794159e-139
"41","Chst12",1.31035874785737e-137,1.03015044910895,0.738,0.252,2.03944235516521e-133
"42","Ccl5",7.42648360517702e-137,1.52645012755161,0.72,0.211,1.15585790830975e-132
"43","Dapk2",2.50522761324361e-136,1.10783627874031,0.764,0.256,3.89913625725236e-132
"44","Stat3",4.35136816554894e-136,1.10746775031272,0.901,0.65,6.77246941286037e-132
"45","Tmem273",1.84740702787403e-135,1.02227641651581,0.492,0.076,2.87530429818313e-131
"46","Igflr1",8.03119551151158e-135,1.12830873259488,0.814,0.366,1.24997526941166e-130
"47","Stk39",9.30143979237281e-135,1.16011290265986,0.766,0.32,1.4476760892849e-130
"48","S100a11",6.91564888912942e-134,1.1051983497307,0.901,0.647,1.0763515931041e-129
"49","Hacd2",1.02576541487607e-133,1.22987239497704,0.634,0.242,1.59650129171312e-129
"50","Id2",4.55275350596528e-133,1.25145740787152,0.901,0.489,7.08590555668436e-129
"51","Dgka",3.97586360973396e-131,-1.66526261005178,0.427,0.785,6.18803412218994e-127
"52","Ripor2",2.64290206725889e-130,-1.68660097281842,0.459,0.829,4.11341277748173e-126
"53","Fgl2",7.07341148040484e-130,1.03634785681429,0.654,0.17,1.10090576281021e-125
"54","Tcf7",1.43878601897273e-128,-1.62358329186553,0.302,0.767,2.23932655992916e-124
"55","Irf8",5.99821059487392e-128,0.92564797465761,0.645,0.166,9.33561496986177e-124
"56","Rabgap1l",6.46900475783466e-127,1.12081522033067,0.906,0.609,1.00683590050939e-122
"57","Swap70",2.33073257867808e-126,0.928710413139761,0.573,0.129,3.62755218545456e-122
"58","Plscr1",8.81309707890924e-126,0.937706396136412,0.556,0.117,1.37167042936143e-121
"59","4930520O04Rik",7.68361541809112e-125,0.801713347154233,0.44,0.062,1.1958779036717e-120
"60","Casp3",1.05481033908753e-123,0.990005641011788,0.595,0.168,1.64170681175583e-119
"61","Car2",2.02357384508615e-123,1.05353497925801,0.764,0.264,3.14949033249209e-119
"62","B4galnt2",6.90684275404394e-123,0.78302974682857,0.343,0.031,1.0749810062394e-118
"63","Ctsc",1.39821088684012e-121,1.05763186297097,0.812,0.416,2.17617542427796e-117
"64","Sh2d2a",2.91629505739417e-121,1.09079133467386,0.831,0.564,4.53892162732828e-117
"65","S1pr1",3.88554027079539e-121,-1.47414492400688,0.042,0.498,6.04745487746595e-117
"66","Srgap3",3.81074730444894e-120,1.0549413214398,0.564,0.141,5.93104710464433e-116
"67","Tmcc3",1.63554663867423e-118,0.897832852911777,0.457,0.078,2.54556478843257e-114
"68","Ybx3",4.46321148829763e-118,1.09929903272971,0.705,0.252,6.94654236038643e-114
"69","Tacc1",8.34494143363703e-118,1.06754415774274,0.825,0.535,1.29880668473127e-113
"70","Vps37b",1.52948030721779e-113,1.05748376896755,0.952,0.768,2.38048315015376e-109
"71","Lrrk1",2.74455687748952e-113,0.950716150196166,0.626,0.18,4.27162832412469e-109
"72","Entpd1",5.33952241925774e-113,0.921402212339894,0.538,0.123,8.31043269333275e-109
"73","Rgs1",7.53147634713179e-113,1.28433120612042,0.877,0.466,1.17219897866759e-108
"74","Pglyrp1",1.13391045963507e-112,1.01819186045798,0.727,0.264,1.76481823937603e-108
"75","Bcl2",9.74824437382525e-112,1.06130119636265,0.976,0.783,1.51721675434216e-107
"76","Ikzf1",3.37106338004014e-111,-1.30279342662142,0.589,0.869,5.24672304469448e-107
"77","Aff3",6.56918139341476e-111,-1.65583630379074,0.155,0.616,1.02242739207107e-106
"78","Arhgap15",1.19534962643269e-109,-1.61333929283415,0.788,0.938,1.86044215857984e-105
"79","Gprin3",3.52531560597386e-108,1.13145222891419,0.634,0.225,5.48680120913771e-104
"80","Cd244a",9.94993559286044e-108,0.981601321370908,0.635,0.19,1.5486079756728e-103
"81","Ikzf4",2.19628204939005e-107,0.857632971697897,0.448,0.084,3.41829338167068e-103
"82","Itga1",2.98130356169662e-107,0.929096965909259,0.564,0.142,4.64010086342462e-103
"83","2900026A02Rik",1.24795384509891e-106,0.91902229651062,0.499,0.11,1.94231536451194e-102
"84","Vipr2",3.00027563777685e-106,0.666307416381896,0.368,0.049,4.66962900263589e-102
"85","Fcrl6",8.53139515043024e-106,0.965177494839538,0.398,0.064,1.32782634121296e-101
"86","Coro2a",9.87715414922953e-106,1.11877428235209,0.814,0.383,1.53728027178608e-101
"87","Zdhhc18",1.22121734559403e-105,0.927252891287289,0.862,0.601,1.90070267668255e-101
"88","Srgn",5.05591327101137e-105,0.850297329988146,0.959,0.873,7.8690234150021e-101
"89","Klf3",2.41140530290284e-104,-1.23658302990319,0.048,0.461,3.75311121343798e-100
"90","Cd101",8.08344047238715e-104,0.837603446689423,0.556,0.151,1.25810667512234e-99
"91","Acot7",4.19135423630829e-103,0.906772143430412,0.674,0.242,6.52342373339022e-99
"92","Cmah",2.96404451761901e-102,-1.2277323952609,0.024,0.42,4.61323888722222e-98
"93","Ostf1",5.80584391144987e-102,0.899927897334558,0.913,0.693,9.03621546378057e-98
"94","Atp1b3",3.83628148527705e-101,-1.23916820290485,0.613,0.846,5.97078850368519e-97
"95","Klrd1",1.21472305030146e-100,1.16472751985712,0.814,0.423,1.8905949554892e-96
"96","St6gal1",3.39047828220496e-99,-1.26643392199756,0.033,0.427,5.2769403984238e-95
"97","Gramd3",4.20768503227426e-99,-1.44425737100662,0.236,0.659,6.54884098423166e-95
"98","Il6ra",5.80709613541955e-99,-1.17100230972437,0.022,0.405,9.03816442516698e-95
"99","Myo1e",3.36594500613624e-98,0.876078917925788,0.536,0.139,5.23875680755045e-94
"100","Cd200r1",4.71219445369071e-97,1.0255252321296,0.547,0.152,7.33405944772422e-93
"101","Lat2",5.93200019062013e-97,0.755894352442342,0.492,0.115,9.23256509668117e-93
"102","Bcl2a1b",6.40300836673145e-97,0.834314140980823,0.573,0.167,9.96564222198082e-93
"103","Rasgrp2",1.14502102314061e-96,-1.16037612354683,0.077,0.47,1.78211072041605e-92
"104","Cd28",1.26280928270218e-96,-1.37953659760028,0.144,0.564,1.96543636759767e-92
"105","Tnfrsf1b",1.94456253387326e-95,0.936271409740932,0.713,0.309,3.02651712772035e-91
"106","Mdfic",1.78889787751794e-94,0.835707125914258,0.635,0.214,2.78424065656893e-90
"107","Bhlhe40",1.26877119888689e-93,0.951537377445425,0.648,0.23,1.97471549394755e-89
"108","Jaml",8.39030441732257e-93,1.02819262630338,0.726,0.335,1.30586697951209e-88
"109","Dlg2",2.19850929993449e-92,0.650879719629358,0.219,0.013,3.42175987441804e-88
"110","H2-K1",1.24661036334226e-91,0.634310667992655,0.985,0.979,1.94022436950589e-87
"111","Foxp1",1.43140533001173e-91,-1.47865830512793,0.735,0.899,2.22783925563025e-87
"112","Smyd3",1.86597462433167e-91,1.00364593008416,0.919,0.674,2.90420290530981e-87
"113","Ctsw",3.65275468205334e-90,0.915488735730333,0.921,0.558,5.68514738714782e-86
"114","Gpd2",6.28368421711004e-90,0.913751456970757,0.617,0.237,9.77992611551006e-86
"115","Tafa3",2.01038363017558e-89,0.629996380527539,0.37,0.067,3.12896108200527e-85
"116","Bcl2l11",6.17012660912053e-89,1.00510693926865,0.77,0.4,9.6031850544352e-85
