"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Asf1b",0,1.48409431528813,0.841,0.042,0
"2","Aurkb",0,1.11962366123583,0.704,0.005,0
"3","Birc5",0,2.32922171254683,0.86,0.006,0
"4","Brip1",0,0.988146505973899,0.695,0.013,0
"5","Bub1",0,0.760059155565923,0.601,0.001,0
"6","Bub1b",0,0.928590850375569,0.658,0.007,0
"7","Ccna2",0,1.83636093986615,0.809,0.003,0
"8","Ccnb2",0,1.64310799346762,0.687,0.005,0
"9","Cdca3",0,1.05311727562682,0.677,0.007,0
"10","Cdca5",0,0.692839570443524,0.606,0.004,0
"11","Cdca8",0,1.52254067008727,0.844,0.014,0
"12","Cdk1",0,1.5706431154268,0.817,0.013,0
"13","Cenpe",0,1.40913086395425,0.72,0.017,0
"14","Cenpf",0,1.90627297639152,0.695,0.006,0
"15","Cenpm",0,0.9062888465887,0.733,0.01,0
"16","Cep55",0,1.11705501375636,0.704,0.014,0
"17","Cit",0,1.14730093437931,0.779,0.015,0
"18","Ckap2l",0,1.03865065165743,0.687,0.006,0
"19","Cks1b",0,1.72427483707883,0.887,0.043,0
"20","Clspn",0,1.42019832207483,0.765,0.016,0
"21","Diaph3",0,1.48808024938458,0.871,0.041,0
"22","Esco2",0,1.0173312276378,0.639,0.001,0
"23","H2afx",0,2.12651446489879,0.895,0.257,0
"24","H2afz",0,2.15381856573329,0.995,0.742,0
"25","Hist1h1b",0,2.57020801515815,0.706,0.016,0
"26","Hmgb2",0,2.77390380481553,0.995,0.624,0
"27","Hmgn2",0,1.83216010201743,0.965,0.473,0
"28","Kif11",0,1.45432196336965,0.776,0.013,0
"29","Kif15",0,1.3085007368961,0.749,0.012,0
"30","Kif4",0,0.982016528966741,0.65,0.003,0
"31","Knl1",0,1.54850727128831,0.792,0.007,0
"32","Lmnb1",0,2.15282027890883,0.978,0.258,0
"33","Mki67",0,3.12579537258925,0.962,0.027,0
"34","Ncapg",0,0.999742714248769,0.744,0.008,0
"35","Ncaph",0,0.867264339627085,0.685,0.01,0
"36","Neil3",0,1.08424981014941,0.644,0.003,0
"37","Nusap1",0,1.53502459377241,0.779,0.005,0
"38","Pbk",0,0.733060181644942,0.574,0.002,0
"39","Pclaf",0,2.8651777255571,0.933,0.012,0
"40","Plk1",0,1.06504117349619,0.606,0.003,0
"41","Prc1",0,1.50417003011488,0.782,0.02,0
"42","Ptma",0,1.60752645561205,1,0.955,0
"43","Rad51",0,1.01890245162094,0.76,0.022,0
"44","Ran",0,1.59034712155667,0.981,0.723,0
"45","Rrm2",0,2.38726296183996,0.852,0.015,0
"46","Shcbp1",0,0.796656505991945,0.644,0.004,0
"47","Ska1",0,0.810345065562689,0.677,0.008,0
"48","Smc2",0,1.87093647572116,0.941,0.144,0
"49","Spc24",0,1.5964872981867,0.881,0.016,0
"50","Stmn1",0,3.31785399970865,0.992,0.131,0
"51","Tacc3",0,1.19539789778509,0.782,0.029,0
"52","Tk1",0,1.64695165014175,0.841,0.025,0
"53","Top2a",0,3.11451901650972,0.941,0.068,0
"54","Tpx2",0,1.5755429652079,0.814,0.011,0
"55","Tuba1b",0,2.154000127326,0.965,0.479,0
"56","Tubb5",0,2.10139925774429,0.987,0.79,0
"57","Tyms",0,1.64664786686748,0.857,0.066,0
"58","Uhrf1",0,1.46418919560205,0.836,0.035,0
"59","Nuf2",4.94065645841247e-324,0.668576820851808,0.553,0.001,7.68963771187316e-320
"60","Hmmr",1.48219693752374e-323,1.05222864177408,0.563,0.002,2.30689131356195e-319
"61","Mxd3",4.64421707090772e-322,0.816760257292887,0.55,0.001,7.22825944916077e-318
"62","Kntc1",1.14129164189328e-321,0.818013392292708,0.639,0.008,1.7763063114427e-317
"63","Fbxo5",5.17780796841626e-321,1.16648911050188,0.739,0.022,8.05874032204307e-317
"64","Ncapd2",2.68722304773054e-320,1.24110917097827,0.838,0.047,4.18239395148781e-316
"65","Ube2c",6.24961421787843e-318,2.4109347227073,0.639,0.011,9.72689956870599e-314
"66","Cenpp",1.06013454145794e-316,1.18303802701431,0.73,0.021,1.64999340032514e-312
"67","Hist1h2ae",1.62194358825423e-314,2.52377430483136,0.73,0.082,2.52439300075888e-310
"68","Ncapg2",1.59782890659804e-312,1.09917267538875,0.73,0.023,2.48686091022919e-308
"69","Rad51ap1",3.09708887648712e-312,0.804398401949931,0.65,0.01,4.82030912736455e-308
"70","Kif22",1.13034998269871e-307,1.03784409554928,0.668,0.014,1.75927671307228e-303
"71","Tcf19",8.84466196771876e-305,1.49609658081231,0.755,0.041,1.37658318865575e-300
"72","Aspm",2.86234184496899e-303,1.00703226916917,0.547,0.002,4.45494884750974e-299
"73","Sgo2a",1.10659708703088e-299,0.735329001377236,0.574,0.005,1.72230770625486e-295
"74","H2afv",1.56642713905922e-299,1.70291090882267,0.96,0.545,2.43798719923177e-295
"75","E2f8",1.56857603760835e-295,0.646473773106807,0.501,0.001,2.44133174493363e-291
"76","Anln",1.27029518797827e-292,0.766846219316944,0.561,0.005,1.97708743056938e-288
"77","Ube2s",2.26467733156033e-291,1.60116407489937,0.984,0.572,3.5247437988405e-287
"78","Cks2",1.88203163141333e-289,1.69576972236275,0.881,0.121,2.92919403113171e-285
"79","Dek",3.33370988213915e-289,1.5611515594203,0.965,0.507,5.18858606056137e-285
"80","Kif18b",9.00365341138523e-278,0.616592721779235,0.482,0.001,1.401328616948e-273
"81","Mis18bp1",3.77552687947621e-275,0.852985508605603,0.58,0.009,5.87623003521677e-271
"82","Tubb4b",4.12554122440585e-272,1.86402300962767,0.938,0.444,6.42099236166526e-268
"83","Espl1",1.53223350889977e-271,0.562914197479784,0.469,0.001,2.3847682332516e-267
"84","Melk",7.80898101803107e-271,0.605557881749665,0.539,0.006,1.21538980564636e-266
"85","Depdc1a",2.81858140949008e-270,0.601714995765942,0.477,0.001,4.38684010573036e-266
"86","Stil",5.86255356616426e-269,0.521357702460062,0.512,0.004,9.12447837037806e-265
