"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Xcl1",5.82657506904583e-281,2.12577770051262,0.935,0.22,9.06848143746293e-277
"2","Itgae",2.87765851890285e-277,1.99550449255812,0.949,0.275,4.47878771882039e-273
"3","Clnk",5.15031959219049e-257,1.72751769118118,0.877,0.162,8.01595741328528e-253
"4","Fcer1g",6.1153640117172e-248,2.45348205203514,0.789,0.122,9.51795254783665e-244
"5","Cd160",9.74674496867996e-245,1.60670423754486,0.877,0.2,1.51698338692535e-240
"6","Trgv2",7.2943457283329e-221,1.69082549396412,0.777,0.129,1.13529196915773e-216
"7","Chn2",1.02658789526598e-214,1.57921395985552,0.891,0.241,1.59778140019197e-210
"8","Ctsw",3.88959655360089e-214,1.52577688458403,0.994,0.557,6.05376807602443e-210
"9","Cd7",9.69381023868512e-212,1.76667111206491,0.974,0.636,1.50874462554895e-207
"10","Emid1",1.4561764798273e-209,1.29813150644321,0.8,0.167,2.26639307320321e-205
"11","AU020206",1.79324171267984e-206,1.43698394908265,0.984,0.48,2.7910014016149e-202
"12","Litaf",1.40863978731601e-193,1.30715648503973,0.897,0.259,2.19240696497864e-189
"13","Cd244a",1.8530729686161e-189,1.33486797776379,0.804,0.185,2.88412276835409e-185
"14","Il12rb2",4.21775243866098e-189,1.29556749940553,0.812,0.189,6.56450989553194e-185
"15","Tspan9",7.57618954241758e-189,0.865462163939547,0.441,0.024,1.17915814038187e-184
"16","Mmp16",2.1963143838495e-186,1.50680293169971,0.66,0.101,3.41834370702336e-182
"17","Cdh1",2.6040482651107e-179,1.24445297132149,0.814,0.204,4.05294071981829e-175
"18","Tcrg-C2",6.42649931043121e-179,1.03196432220109,0.64,0.096,1.00022035267551e-174
"19","Klrd1",3.5360702775312e-177,1.3769412178918,0.96,0.419,5.50353977994957e-173
"20","Lef1",4.39688628871925e-174,-2.64831244427456,0.213,0.736,6.84331381976264e-170
"21","Itga1",3.93335391938052e-171,1.03029573913765,0.706,0.138,6.12187204012384e-167
"22","Sema6d",1.3446654394567e-170,1.17679145291469,0.656,0.109,2.09283728997041e-166
"23","Tcrg-V4",2.61613472347181e-169,1.01883247399976,0.372,0.015,4.07175208361153e-165
"24","Cited4",1.03665125746893e-166,1.00151108171065,0.686,0.129,1.61344401712464e-162
"25","Ptprj",3.29921112338234e-163,0.937527178020198,0.739,0.166,5.13489219243227e-159
"26","Lgals3",3.57041663236776e-163,1.24124032801853,0.834,0.238,5.55699644661718e-159
"27","Fgl2",6.47583197938782e-158,1.24626548312985,0.733,0.169,1.00789848927192e-153
"28","Klf2",2.77835327725986e-156,-2.33086845556312,0.182,0.718,4.32422904072725e-152
"29","Cd3g",4.12600004758539e-156,1.12696468859951,0.986,0.873,6.4217064740619e-152
"30","Dennd4a",7.67146012838536e-155,1.26136383241426,0.964,0.455,1.1939860543819e-150
"31","Klra5",8.08889468301827e-147,1.77017831304228,0.488,0.058,1.25895556846496e-142
"32","Dapk2",2.71419837185467e-146,0.977531916636178,0.824,0.256,4.22437834595461e-142
"33","Trdc",3.11181590239703e-145,1.3605403764233,0.447,0.047,4.84323027049074e-141
"34","Efhd2",2.79547494488548e-142,1.05719735539058,0.937,0.46,4.35087720421976e-138
"35","Tcrg-C4",2.22092271702747e-141,0.908870774103376,0.561,0.094,3.45664411678155e-137
"36","AW112010",3.58841474521203e-140,1.19876766143932,0.98,0.624,5.585008709448e-136
"37","Cemip2",7.43864628240794e-140,1.12743049847295,0.834,0.278,1.15775090739397e-135
"38","Dgka",1.82098578823771e-138,-1.76426870269503,0.488,0.782,2.83418228081318e-134
"39","Qpct",4.38604728368459e-136,0.796836051419367,0.63,0.132,6.8264439923267e-132
"40","Nkg7",8.93870375590009e-135,1.00207308541578,0.984,0.506,1.39121985256829e-130
"41","Ccr7",7.56898126100306e-134,-1.9295864149413,0.081,0.596,1.17803624346252e-129
"42","Cd226",2.588808138168e-133,1.21686097776627,0.887,0.395,4.02922098624467e-129
"43","Ctla2a",1.98730772999775e-131,0.867660737535019,0.901,0.365,3.0930457509685e-127
"44","Plac8",5.38143313421774e-129,1.26508917076927,0.656,0.158,8.37566253009649e-125
"45","Il2rb",1.32766188417617e-128,0.724705044935866,0.974,0.478,2.0663729565318e-124
"46","Ly6g5b",2.75766649278604e-128,0.809504191632689,0.581,0.114,4.29203212937219e-124
"47","Mfsd10",2.90505789304817e-128,0.963195069278227,0.66,0.184,4.52143210474018e-124
"48","Abi3",4.85924436257253e-128,1.01546615852998,0.824,0.321,7.56292792590789e-124
"49","Sell",2.83035646195383e-124,-1.59535179686183,0.055,0.543,4.40516679738494e-120
"50","Tcrg-C1",6.65522698310375e-123,0.990435754177075,0.484,0.073,1.03581952765027e-118
"51","Ccr8",1.50111485864331e-122,0.928687086183694,0.506,0.083,2.33633516599245e-118
"52","Osbpl3",3.48904599443774e-122,0.89438949673854,0.682,0.183,5.4303511857429e-118
"53","Tcrg-V1",4.13661694643768e-122,1.15919083204285,0.431,0.058,6.4382306154356e-118
"54","Igha",1.34214332406487e-118,0.646976241802543,0.425,0.053,2.08891186957456e-114
"55","Jaml",3.59696440495386e-116,0.836939209935562,0.844,0.332,5.59831539987019e-112
"56","Adgrg5",1.49485250392389e-115,0.772981220739003,0.609,0.145,2.32658843710714e-111
"57","Myo1e",2.31733245510473e-114,0.779501479079141,0.589,0.138,3.606696233125e-110
