"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AW112010",0,1.76191306888585,0.98,0.61,0
"2","Anxa1",0,1.13210430820119,0.556,0.047,0
"3","Anxa2",0,1.58796255532104,0.869,0.263,0
"4","Car2",0,1.70653423526645,0.849,0.24,0
"5","Cd3d",0,-2.11842146716421,0.165,0.907,0
"6","Cd3e",0,-2.47126517710453,0.146,0.95,0
"7","Cd3g",0,-1.79881513894031,0.329,0.922,0
"8","Cited4",0,1.41002237314465,0.663,0.11,0
"9","Clnk",0,2.03260120329611,0.876,0.134,0
"10","Ctsw",0,1.58326709272008,0.984,0.541,0
"11","Dscam",0,1.91509254497456,0.623,0.065,0
"12","Efhd2",0,1.35823920042174,0.915,0.443,0
"13","Fcer1g",0,2.74477979714339,0.953,0.083,0
"14","Gas7",0,1.46796689624922,0.719,0.129,0
"15","Il2rb",0,1.54707927307278,0.986,0.457,0
"16","Klrb1a",0,2.2085100631327,0.81,0.077,0
"17","Klrb1b",0,2.56213953626843,0.843,0.039,0
"18","Klrb1c",0,0.885215852592431,0.447,0.02,0
"19","Klrb1f",0,1.4039418192366,0.629,0.024,0
"20","Klrk1",0,2.07192003967617,0.877,0.089,0
"21","Lgals3",0,2.08887402452076,0.862,0.213,0
"22","Lrmda",0,1.35725082717848,0.583,0.049,0
"23","Ncr1",0,3.4149760108885,0.938,0.017,0
"24","Rbpms",0,1.00817400603235,0.499,0.032,0
"25","Sulf2",0,1.29442385377965,0.629,0.081,0
"26","Themis",0,-2.09674527771106,0.047,0.732,0
"27","Tiam2",0,0.963677153945164,0.502,0.037,0
"28","Tmem176a",0,1.59018326851691,0.508,0.042,0
"29","Tmem176b",0,1.96221685488224,0.548,0.054,0
"30","Tnfsf12",0,0.979874729032464,0.497,0.025,0
"31","Tyrobp",0,3.06918137085675,0.921,0.094,0
"32","Upp1",0,1.61746964900224,0.51,0.033,0
"33","Xcl1",0,2.12437430189383,0.796,0.203,0
"34","Pglyrp1",2.20847343691037e-321,1.44700873219472,0.79,0.243,3.4372680572073e-317
"35","Lat",9.66352878013811e-319,-1.5667307834655,0.45,0.856,1.5040316193407e-314
"36","Trac",1.39085408092061e-317,-1.61841046018336,0.115,0.709,2.16472529154484e-313
