"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell"
"215","Lef1",0,2.19573999760641,0.96,0.388,0,"CD4+ Naïve"
"179","Igfbp4",0,1.84136777037622,0.498,0.144,0,"CD4+ Naïve"
"37","Bach2",0,1.65154617596376,0.888,0.482,0,"CD4+ Naïve"
"116","Dgka",0,1.64992448519693,0.934,0.507,0,"CD4+ Naïve"
"23","Arhgap15",0,1.6213452904943,0.98,0.8,0,"CD4+ Naïve"
"333","Tcf7",0,1.47379755544335,0.901,0.464,0,"CD4+ Naïve"
"298","S1pr1",0,1.46297087937318,0.74,0.22,0,"CD4+ Naïve"
"65","Cd4",0,1.45490459132296,0.676,0.098,0,"CD4+ Naïve"
"52","Ccr7",0,1.43821262615841,0.827,0.291,0,"CD4+ Naïve"
"300","Satb1",0,1.4351875737121,0.916,0.555,0,"CD4+ Naïve"
"2","Tnfrsf4",0,3.60654852451074,0.92,0.052,0,"CD4+ Treg"
"1","Ctla4",0,3.34293561292042,0.909,0.124,0,"CD4+ Treg"
"7","Ikzf2",3.43564946958698e-226,3.08222372577376,0.89,0.172,5.74097026367985e-222,"CD4+ Treg"
"5","Foxp3",2.60037785721955e-266,2.73608244521757,0.727,0.022,4.34523139941386e-262,"CD4+ Treg"
"8","Il2ra",2.92684275713884e-225,2.67443877153686,0.765,0.081,4.89075424717899e-221,"CD4+ Treg"
"6","Icos",2.21505416902553e-250,2.47095404195282,0.86,0.207,3.70135551644166e-246,"CD4+ Treg"
"4","Arl5a",4.65934624961735e-277,2.45876997919911,0.837,0.294,7.7857675831106e-273,"CD4+ Treg"
"3","Tnfrsf18",1.85231784895288e-291,2.31383809950875,0.928,0.435,3.09522312560025e-287,"CD4+ Treg"
"9","Sdf4",8.22601938880634e-188,1.7642265161955,0.92,0.671,1.37456783986954e-183,"CD4+ Treg"
"10","Il1rl1",2.70724898406067e-151,1.56593419266759,0.39,0.004,4.52381305236538e-147,"CD4+ Treg"
"21","Cd8b1",0,1.82336130256355,0.95,0.269,0,"CD8+ Naïve"
"12","Dapl1",6.90687166075552e-196,1.12666006178181,0.507,0.14,1.15413825451225e-191,"CD8+ Naïve"
"51","Ccr9",1.48557810818212e-296,0.944263592806828,0.363,0.029,2.48240101877233e-292,"CD8+ Naïve"
"101","Cmah",1.34420516859004e-227,0.892710855326403,0.764,0.311,2.24616683671396e-223,"CD8+ Naïve"
"61","Ccr7",2.92602671909503e-258,0.841476839198756,0.912,0.448,4.8893906476078e-254,"CD8+ Naïve"
"11","Cd8a",0,0.823450231906323,0.906,0.281,0,"CD8+ Naïve"
"91","Sell",8.29852600569733e-229,0.811765148004966,0.869,0.424,1.38668369555202e-224,"CD8+ Naïve"
"16","Gm10260",1.83378453955737e-187,0.701706537990779,0.964,0.883,3.06425396560037e-183,"CD8+ Naïve"
"17","Gm2682",1.78579627564353e-180,0.53749744176792,0.975,0.653,2.98406557660034e-176,"CD8+ Naïve"
"81","Lef1",1.26978960003197e-235,0.477187415233757,0.969,0.564,2.12181842165342e-231,"CD8+ Naïve"
"92","Ly6c2",9.18962101264719e-322,1.96218349212444,0.511,0.119,1.53558567121334e-317,"CD8+ CM"
"22","Cd8b1",0,1.48469680161314,0.844,0.258,0,"CD8+ CM"
"71","Itgb1",0,1.30917741488941,0.804,0.415,0,"CD8+ CM"
"13","Cd8a",0,1.21855584691799,0.852,0.266,0,"CD8+ CM"
"82","Nkg7",0,1.19391916209515,0.945,0.381,0,"CD8+ CM"
"31","Ctsw",0,1.1058114040317,0.931,0.426,0,"CD8+ CM"
"102","Gramd3",9.8654269892246e-306,0.977438841243557,0.893,0.501,1.64851284989943e-301,"CD8+ CM"
"53","Ifitm10",0,0.876678060069727,0.562,0.14,0,"CD8+ CM"
"41","Cxcr3",0,0.820830763819901,0.568,0.141,0,"CD8+ CM"
"62","Il2rb",0,0.303569049195719,0.832,0.367,0,"CD8+ CM"
"14","Ifit3",7.43080158084346e-181,2.12270407251737,0.704,0.044,1.24168694415894e-176,"CD8+ ISG"
"24","Isg20",2.56292291881756e-180,2.22031799210859,0.842,0.266,4.28264419734414e-176,"CD8+ ISG"
"32","Rnf213",1.51996384671847e-166,1.93596814995091,0.887,0.425,2.53985958786656e-162,"CD8+ ISG"
"42","Usp18",1.14113489933899e-163,2.13900619599539,0.75,0.126,1.90683641679546e-159,"CD8+ ISG"
"54","Isg15",6.64363163577766e-163,2.67317980117031,0.842,0.214,1.11015084633845e-158,"CD8+ ISG"
"63","Zbp1",6.28983758028344e-146,1.82251365381912,0.812,0.256,1.05103185966536e-141,"CD8+ ISG"
"72","Phf11b",1.30907069966694e-137,1.66139884112997,0.758,0.236,2.18745713914346e-133,"CD8+ ISG"
"83","Bst2",1.59288499812626e-137,1.971257698355,0.896,0.415,2.66171083186899e-133,"CD8+ ISG"
"93","Ifit1",6.90363191919238e-135,1.98829443203275,0.658,0.062,1.15359689369705e-130,"CD8+ ISG"
"103","Rtp4",3.77737294216899e-122,1.65380377925073,0.817,0.198,6.31199018636439e-118,"CD8+ ISG"
"15","Cxcr6",1.50908586065179e-171,1.55428328290735,0.739,0.283,2.52168247314915e-167,"CD8+ Effector"
"25","Adam19",4.73435730986904e-157,1.40350995069884,0.744,0.35,7.91111106479117e-153,"CD8+ Effector"
"33","Cxcr3",2.49447180931536e-142,1.20848070915975,0.551,0.176,4.16826239336597e-138,"CD8+ Effector"
"43","Fasl",7.36882642962027e-141,1.29709219924044,0.653,0.262,1.23133089638955e-136,"CD8+ Effector"
"55","Sptssa",8.33873999971466e-129,0.923836273716322,0.572,0.435,1.39340345395232e-124,"CD8+ Effector"
"64","Rora",1.54426037133689e-118,1.30579338948966,0.54,0.158,2.58045908050394e-114,"CD8+ Effector"
"73","Ly6a",9.2802909685862e-117,1.59297871962378,0.621,0.267,1.55073662085075e-112,"CD8+ Effector"
"84","Zbtb16",1.27642133261883e-116,1.01524134962898,0.272,0.034,2.13290004680607e-112,"CD8+ Effector"
"104","Thy1",6.45199738364167e-110,1.17494872948557,0.788,0.467,1.07812876280652e-105,"CD8+ Effector"
"111","Ctsw",2.15681237884222e-103,0.916408022830314,0.884,0.469,3.60403348504535e-99,"CD8+ Effector"
"18","Xcl1",5.66203676724881e-316,2.28412312917667,0.935,0.185,9.46126343807276e-312,"CD8+ TRM"
"26","Itgae",2.09263215590578e-309,2.13699089249097,0.949,0.237,3.49678833251856e-305,"CD8+ TRM"
"34","Clnk",1.12766431079893e-286,1.83069808650985,0.877,0.138,1.88432706334501e-282,"CD8+ TRM"
"44","Cd160",3.45540162760411e-277,1.70143382583602,0.877,0.169,5.77397611972647e-273,"CD8+ TRM"
"56","Ctsw",2.04081142912618e-253,1.74764105218672,0.994,0.468,3.41019589806984e-249,"CD8+ TRM"
"66","Cd7",3.03572596054277e-248,2.00226950223273,0.974,0.537,5.07269808006696e-244,"CD8+ TRM"
"74","Trgv2",5.10745565113842e-247,1.80557480884493,0.777,0.109,8.5345583930523e-243,"CD8+ TRM"
"85","Chn2",3.98881919632121e-242,1.68494977939353,0.891,0.21,6.66531687705273e-238,"CD8+ TRM"
"94","Emid1",2.00999406146511e-235,1.3580044189461,0.8,0.143,3.35870007670821e-231,"CD8+ TRM"
"105","AU020206",7.89908222370483e-226,1.51141380812836,0.984,0.463,1.31993663958108e-221,"CD8+ TRM"
"27","Pdcd1",0,2.88388180440606,0.934,0.105,0,"CD8+ Progenitor Ex"
"75","Gm156",1.00670664638407e-257,2.57165825122393,0.532,0.028,1.68220680610778e-253,"CD8+ Progenitor Ex"
"45","Trgv2",2.96439387504748e-322,2.22615312540965,0.82,0.106,4.95350216520434e-318,"CD8+ Progenitor Ex"
"19","Lag3",0,2.10002240734472,0.831,0.097,0,"CD8+ Progenitor Ex"
"95","Cd8a",6.03510606670285e-244,2.01423235906625,0.88,0.314,1.00846622374605e-239,"CD8+ Progenitor Ex"
"35","Tigit",0,1.99615796726236,0.91,0.212,0,"CD8+ Progenitor Ex"
"67","Nkg7",4.22423542882983e-279,1.99266658840245,0.982,0.427,7.05869740157464e-275,"CD8+ Progenitor Ex"
"57","Tnfrsf9",1.01282228918413e-287,1.98192467637415,0.873,0.17,1.69242604522668e-283,"CD8+ Progenitor Ex"
"86","Il2rb",1.96389779612124e-249,1.84121164864975,0.965,0.402,3.28167321731859e-245,"CD8+ Progenitor Ex"
"106","Ikzf2",1.73251037771117e-243,1.75019285569765,0.821,0.161,2.89502484115537e-239,"CD8+ Progenitor Ex"
"107","Gzma",0,5.118119088315,0.691,0.045,0,"CD8+ Ex"
"112","Gzmb",0,4.54170342372791,0.845,0.105,0,"CD8+ Ex"
"68","Cd7",0,3.68691392800153,0.996,0.536,0,"CD8+ Ex"
"221","Tnfrsf9",0,3.21189657905176,0.998,0.168,0,"CD8+ Ex"
"28","Ccl5",0,3.18701511336425,0.98,0.177,0,"CD8+ Ex"
"171","Pdcd1",0,3.0152476272854,0.942,0.107,0,"CD8+ Ex"
"131","Il2rb",0,2.5571459717516,1,0.402,0,"CD8+ Ex"
"161","Lag3",0,2.46904000885912,0.948,0.096,0,"CD8+ Ex"
"20","Sult2b1",0,2.30304442329262,0.952,0.09,0,"CD8+ Ex"
"141","Itgav",0,2.22274613510789,0.986,0.274,0,"CD8+ Ex"
"46","Stmn1",0,3.30983995750066,0.992,0.124,0,"CD8+ Proliferating"
"49","Top2a",0,3.0876334983622,0.941,0.067,0,"CD8+ Proliferating"
"29","Mki67",0,3.08528441001843,0.962,0.033,0,"CD8+ Proliferating"
"351","Pclaf",0,2.84144607757065,0.933,0.016,0,"CD8+ Proliferating"
"241","Hmgb2",0,2.6848170492657,0.995,0.627,0,"CD8+ Proliferating"
"231","Hist1h1b",0,2.52137613792098,0.706,0.026,0,"CD8+ Proliferating"
"411","Rrm2",0,2.38175157290563,0.852,0.016,0,"CD8+ Proliferating"
"36","Birc5",0,2.2991806455497,0.86,0.011,0,"CD8+ Proliferating"
"521","Tubb5",0,2.19711018890839,0.987,0.741,0,"CD8+ Proliferating"
"511","Tuba1b",0,2.17028727291398,0.965,0.465,0,"CD8+ Proliferating"
"191","Ncr1",0,3.4008893016327,0.938,0.018,0,"NK"
"132","Klrb1b",0,2.52203731100364,0.843,0.059,0,"NK"
"232","Xcl1",0,2.27282978651103,0.796,0.171,0,"NK"
"121","Klrb1a",0,2.23451138527393,0.81,0.068,0,"NK"
"58","Clnk",0,2.11433440915836,0.876,0.115,0,"NK"
"181","Klrk1",0,2.10750209065293,0.877,0.084,0,"NK"
"87","Dscam",0,1.95497201080228,0.623,0.058,0,"NK"
"110","AW112010",0,1.94996192315685,0.98,0.558,0,"NK"
"69","Ctla2a",0,1.8502591132327,0.879,0.292,0,"NK"
"210","Car2",0,1.81137606687562,0.849,0.208,0,"NK"
