"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Pde1c",4.31238069207041e-45,-1.92295931758225,0.45,0.947,7.80713400492426e-41
"2","Tek",7.64195658316076e-40,-1.72152884393899,0.337,0.882,1.38349981981542e-35
"3","Gm11683",3.21253350952357e-22,-0.654420898377009,0.403,0.855,5.81597066564148e-18
"4","Gucy1a2",1.03464133388005e-21,-0.473924841995444,0.2,0.711,1.87311467085644e-17
"5","Col3a1",3.28925871898918e-20,-0.81102331544971,0.006,0.25,5.95487398485801e-16
"6","Lrp1b",1.64877133047637e-19,-0.462893704931282,0.195,0.645,2.98493561669443e-15
"7","Mucl2",2.13943907771501e-18,-0.339940137920662,0.005,0.224,3.87324050629525e-14
"8","Gm19951",3.42479795143399e-18,-1.53207946289396,0.897,0.934,6.2002542112761e-14
"9","Col1a2",1.78006080480485e-16,-0.573831171895388,0.006,0.211,3.2226220810187e-12
"10","Dlgap1",3.5466844410853e-16,-0.491261781799198,0.324,0.724,6.42091751214083e-12
"11","Fah",4.66165549035016e-14,-0.583562629130041,0.877,0.947,8.43946109972993e-10
"12","Fth1",5.02366481669649e-14,0.901022079850411,0.998,0.961,9.09484278414733e-10
"13","Cfb",5.2081002320458e-14,-0.760466885308058,0.439,0.645,9.42874466009571e-10
"14","Col1a1",3.60602347709106e-13,-0.758581594000231,0.024,0.25,6.52834490292565e-09
"15","Atp5e",2.66595961248046e-12,-0.443378686430604,0.962,0.895,4.82645328243462e-08
"16","Gm11808",3.19199666475589e-12,-0.495275456687321,0.735,0.855,5.77879076187407e-08
"17","Cdkn2a",1.99260071959995e-11,0.561561199974647,0.769,0.434,3.60740434276376e-07
"18","Ucp2",7.09558383418866e-11,0.569608340099474,0.984,0.974,1.28458449734152e-06
"19","Apoc1",1.18665372516995e-10,-0.448327006159142,0.176,0.513,2.14831790404768e-06
"20","Igfbp2",4.00694238395746e-10,1.12378660876264,0.681,0.355,7.25416849191658e-06
"21","Csn1s1",4.44460641224429e-10,0.523279847238389,0.999,0.987,8.04651544872706e-06
"22","Ubd",5.51938726156672e-10,-1.03492345818962,0.264,0.474,9.9922986983404e-06
"23","Lcn2",7.76149114721277e-10,0.501830705579882,0.998,0.987,1.4051403572914e-05
"24","Gm48099",9.34858958806468e-10,-0.628755663331056,0.489,0.816,1.69246865902323e-05
"25","Tmsb10",1.49396375143499e-09,-0.733365811269277,0.996,0.987,2.7046719755979e-05
"26","Itm2b",2.07831673542114e-09,0.588434974418046,0.994,0.961,3.76258461780643e-05
"27","Mrpl52",4.11661048642935e-09,-0.288570602826546,0.85,0.803,7.4527116246317e-05
"28","Gstt3",4.26635187359674e-09,0.514807834507774,0.849,0.737,7.72380343195953e-05
"29","Cldn3",1.02554438178393e-08,0.512986246482412,0.971,0.961,0.000185664554878162
"30","Snrpg",1.90924943892023e-08,-0.29711094284083,0.865,0.829,0.000345650518422118
"31","Pigr",2.23934748934367e-08,-0.607506198880477,0.922,0.974,0.000405411469470777
