"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Pde1c",9.22222024363499e-139,-1.55008740289701,0.344,0.995,1.66959075290768e-134
"2","Tek",4.74550972229213e-130,-1.31583295299896,0.217,0.986,8.59127080123767e-126
"3","Cdkn2a",4.56003061798431e-84,1.07629110991546,0.867,0.249,8.2554794307988e-80
"4","Tomm7",2.15743060145051e-82,-0.856753658977656,0.919,0.977,3.90581236086599e-78
"5","Snrpg",9.58620467221273e-79,-0.784900710765049,0.973,1,1.73548649385739e-74
"6","Tmsb10",3.41764356036223e-76,-1.10348678903262,0.997,1,6.18730190167978e-72
"7","Gbp2",1.84521417274934e-75,-1.94042324050882,0.677,0.92,3.3405757383454e-71
"8","Atp5e",2.92631673328163e-73,-0.90058682603485,0.991,1,5.29780381393307e-69
"9","Ndufb1-ps",1.06777800819607e-71,-0.736191345952391,0.853,0.986,1.93310530603816e-67
"10","Atp5md",6.04613190572891e-68,-0.789978748546257,0.969,0.991,1.09459172021316e-63
"11","Stat1",7.81722140691917e-67,-1.2066748208272,0.689,0.915,1.41522976350865e-62
"12","Cox7c",9.79680130902467e-65,-0.779219598480001,0.992,0.995,1.77361290898583e-60
"13","Irgm1",1.35213789707974e-64,-1.04753935123458,0.694,0.915,2.44791044887315e-60
"14","Sem1",2.59317635016308e-64,-0.776064849994121,0.998,1,4.69468646433524e-60
"15","Gbp3",7.89059431010306e-63,-1.0041860119828,0.419,0.878,1.42851319390106e-58
"16","Ifitm3",1.27828478145423e-62,-1.59126586983059,0.984,0.991,2.31420676834474e-58
"17","Mrpl52",3.63393234969893e-62,-0.66083101834068,0.948,0.991,6.57887112589495e-58
"18","Zbp1",4.44889034660742e-62,-1.00005193928843,0.741,0.944,8.05427108349808e-58
"19","Sec61g",4.32808547608785e-61,-0.861432041486319,0.966,0.995,7.83556594590945e-57
"20","Iigp1",2.14596266298445e-59,-1.80612880548793,0.631,0.897,3.88505080506704e-55
"21","Csn2",5.06055081964117e-56,3.68740341551308,0.853,0.31,9.16162120387837e-52
"22","Xaf1",5.295529034817e-56,-0.81027710706795,0.661,0.911,9.58702576463269e-52
"23","Atp5mpl",3.10960173919004e-55,-0.66871603358812,0.934,0.991,5.62962298862965e-51
"24","Ndufa3",4.94467891117329e-54,-0.687296859270753,0.902,0.986,8.95184670078812e-50
"25","Irf7",1.35274489138209e-53,-1.30991502458069,0.756,0.962,2.44900935135814e-49
"26","Arpp19",5.14901545316956e-53,-0.54231519135018,0.958,0.995,9.32177757641818e-49
"27","Cox6c",5.54966696975331e-53,-0.615620032057963,0.991,0.995,1.00471170820414e-48
"28","Isg15",8.21900198770711e-53,-1.88014569091146,0.759,0.939,1.4879681198545e-48
"29","Cox7a2",1.09378937765984e-52,-0.622711774454384,0.992,0.991,1.98019628931538e-48
"30","Tma7",1.66488290804591e-52,-0.540303771989567,0.963,0.991,3.01410401672632e-48
"31","Elob",6.0678388932179e-52,-0.665588611839348,0.995,1,1.09852155322817e-47
"32","Mucl2",6.25626168229576e-52,-0.764085120166935,0.005,0.399,1.13263361496282e-47
