"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Pde1c",4.45876295060833e-62,-1.6512212216051,0.415,0.925,8.07214444578132e-58
"2","Tek",4.35965543112467e-51,-1.21747176298508,0.241,0.907,7.8927201925081e-47
"3","Gbp2",1.95948678514195e-32,-1.66828850333982,0.532,0.916,3.54745487582099e-28
"4","Cxcl9",5.79720411888876e-30,-2.43322875116706,0.013,0.477,1.04952583368362e-25
"5","Alox12e",6.86939129328607e-28,-1.56902477213874,0.084,0.617,1.24363459973651e-23
"6","Csn2",1.31748300686919e-26,1.12169075572005,0.793,0.224,2.38517123563598e-22
"7","Stat1",1.51542865161947e-26,-1.07065278178406,0.732,0.935,2.7435320308919e-22
"8","Psme1",3.1367194198762e-26,-0.776693620352447,0.973,0.991,5.67871683774387e-22
"9","Gbp7",3.0261044181006e-25,-0.821142946247833,0.528,0.813,5.47845943852933e-21
"10","Mrpl52",6.00715273820628e-25,-0.603754494664183,0.95,0.963,1.08753493172486e-20
"11","Iigp1",1.46436074969343e-24,-1.64941741024761,0.669,0.869,2.65107870124499e-20
"12","Psmb10",2.13063961303141e-24,-0.792143217060776,0.702,0.916,3.85730995543206e-20
"13","Atp5e",2.32928058266626e-24,-0.733694736235475,0.99,0.981,4.216929566859e-20
"14","Psmb9",7.41187346420617e-24,-0.941474628038189,0.823,0.935,1.34184557195989e-19
"15","Zbp1",8.30726385348457e-24,-0.780735500988656,0.609,0.86,1.50394704803485e-19
"16","Slc15a2",1.14618542087734e-23,0.688828508344378,0.923,0.598,2.07505408595634e-19
"17","Tomm7",6.24120924002862e-23,-0.66407457957846,0.96,0.972,1.12990852081478e-18
"18","Csn1s1",5.22616603417849e-22,1.81790722165342,0.92,0.607,9.46145098827675e-18
"19","Alox15",5.4926945141869e-22,-0.484866948056711,0.06,0.477,9.94397414848396e-18
"20","Srgn",7.31951968073445e-21,0.807372507741442,0.498,0.047,1.32512584300016e-16
"21","Gm11683",8.92510714480828e-21,-0.385687572175699,0.311,0.794,1.61580139749609e-16
"22","Gbp3",1.25898784259777e-20,-0.734929767940954,0.405,0.785,2.279271590239e-16
"23","Tapbp",1.48084595759248e-20,-0.695527738204401,0.903,0.944,2.68092352162543e-16
"24","Irgm1",1.50448109819122e-20,-0.918086733644695,0.689,0.86,2.72371258016539e-16
"25","Snrpg",1.60404484214637e-20,-0.647012585126115,0.993,0.981,2.90396278222179e-16
"26","Ndufb1-ps",1.34940497225596e-19,-0.614656576176711,0.876,0.981,2.44296276177219e-15
"27","Prdx4",1.35441193970435e-19,0.668684457256379,0.957,0.897,2.45202737564075e-15
"28","Mucl2",1.56476978196988e-19,-0.326497940823641,0,0.271,2.83285921327828e-15
"29","Atp5md",3.72319420171271e-19,-0.649020839579658,0.967,0.991,6.74047078278069e-15
"30","Col3a1",6.28087440277442e-19,-0.645152029963234,0.003,0.299,1.13708950187828e-14
"31","Lsm7",3.74147718331307e-18,-0.517332425968986,0.946,0.953,6.77357029266999e-14
"32","Isg15",6.47224899227463e-18,-1.45531519452748,0.729,0.907,1.1717359575614e-13
"33","Dab2",9.44899704699001e-18,0.411696584408105,0.639,0.252,1.71064642538707e-13
"34","Snrpf",9.70695787247506e-18,-0.553676055216116,0.946,0.963,1.75734765323288e-13
