"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Pde1c",1.05143017874062e-68,-1.37839897854401,0.31,0.956,1.90350919559202e-64
"2","Tek",7.52974039740281e-66,-0.997039563116369,0.175,0.919,1.3631842015458e-61
"3","Tomm7",7.49575534380924e-38,-0.73924120689237,0.919,0.97,1.35703154744322e-33
"4","Atp5mpl",8.04922446197445e-38,-0.679822111027738,0.895,0.963,1.45723159659585e-33
"5","Snrpg",7.9965692247608e-35,-0.71998525721538,0.957,0.985,1.44769889245069e-30
"6","Gbp2",7.05935405993108e-32,-1.43816379906126,0.641,0.881,1.27802545900992e-27
"7","Csn2",1.25570360030456e-30,1.86753975507659,0.628,0.119,2.27332579799137e-26
"8","Ndufb1-ps",2.58055188503908e-30,-0.638804929359109,0.808,0.956,4.67183113267475e-26
"9","Cxcl9",1.38382864300973e-29,-2.19547727731011,0.02,0.356,2.50528337530482e-25
"10","Atp5e",4.9982429102902e-29,-0.673834336581748,0.986,0.985,9.04881896478938e-25
"11","Ndufa3",6.57065120647485e-29,-0.565069297962188,0.888,0.963,1.18955069442021e-24
"12","Cox7c",8.13553484860131e-28,-0.661778751895827,0.975,0.985,1.47285722899078e-23
"13","Gbp3",1.67720971930302e-27,-0.676330169780182,0.4,0.807,3.03642047582619e-23
"14","Sem1",3.70535733258214e-27,-0.58348813907448,0.992,1,6.70817891490671e-23
"15","Atp5k",1.08561380548941e-25,-0.573774628678377,0.697,0.956,1.96539523345803e-21
"16","Stat1",1.30934142285001e-25,-0.919754933385294,0.676,0.896,2.37043171192766e-21
"17","Mucl2",7.56884087562099e-25,-0.696394304281227,0.008,0.267,1.37026295212242e-20
"18","Atp5j2",1.05367661822871e-24,-0.566715730274395,0.98,1,1.90757614964126e-20
"19","Atp5md",1.47064493903672e-24,-0.596184795333589,0.959,0.97,2.66245559763208e-20
"20","Tma7",1.91247170924459e-24,-0.491427866184555,0.944,0.963,3.46233878241641e-20
"21","Gm48099",2.19397185797096e-23,-0.499495231282443,0.378,0.837,3.97196665167063e-19
"22","Cox6c",1.72558396153302e-22,-0.571839158386713,0.978,0.978,3.12399720395938e-18
"23","Mrpl52",1.98557998591276e-21,-0.490407541003985,0.934,0.963,3.59469400649647e-17
"24","Ndufa2",9.70356910624976e-21,-0.421167672785848,0.955,0.978,1.75673415099546e-16
"25","Ndufc1",1.78642041650875e-20,-0.466428886841254,0.87,0.956,3.23413552204744e-16
"26","Cox7a2",2.13869544171496e-20,-0.495211067452093,0.968,0.97,3.87189422768077e-16
"27","Snrpf",2.6290615845901e-20,-0.533315906355917,0.845,0.956,4.75965309274192e-16
"28","Cox7b",2.94196622351888e-20,-0.455138103124289,0.951,0.963,5.32613565105857e-16
"29","Uqcr11",4.38779524351374e-20,-0.498604610326917,0.962,0.978,7.94366450885727e-16
"30","Mrps21",4.75225467573359e-20,-0.467999867085595,0.924,0.993,8.60348186494809e-16
"31","Gbp7",1.55074705912551e-19,-0.60469201785532,0.469,0.726,2.80747247584082e-15
"32","Snrpe",2.28269409217899e-19,-0.411926696061606,0.964,0.963,4.13258938448085e-15
"33","Rbis",4.69069478982953e-19,-0.430374569279268,0.873,0.956,8.49203384750738e-15
"34","Samhd1",6.0044760536173e-19,-0.615326790564919,0.706,0.844,1.08705034474688e-14
"35","Tap1",6.92141422895446e-19,-0.520288708094884,0.68,0.948,1.25305283200991e-14
"36","Irgm1",7.75046507035545e-19,-0.810002255752174,0.548,0.822,1.40314419633715e-14
"37","Cops9",2.45464556056553e-18,-0.413883668264975,0.884,0.941,4.44389032284784e-14
"38","Gm11808",2.79019550429802e-18,-0.597700544887671,0.801,0.948,5.05136994098114e-14
"39","Elob",1.30950299684343e-17,-0.424866151799931,0.982,0.97,2.37072422548535e-13
"40","Ndufa5",1.64696546072307e-17,-0.400084774213982,0.759,0.941,2.98166627009305e-13
"41","Psme1",1.77445043901945e-17,-0.523167250005706,0.976,0.97,3.21246507480082e-13
"42","Xaf1",4.4130066516578e-17,-0.463745843807325,0.589,0.807,7.98930724216128e-13
"43","Gucy1a2",7.84065891766852e-17,-0.258834996430708,0.141,0.526,1.41947289045471e-12
"44","Ndufb2",1.70633087366646e-16,-0.395524876930421,0.913,0.948,3.08914141368575e-12
"45","Rnf213",2.17084718548616e-16,-0.688716552102438,0.78,0.919,3.93010174460415e-12
"46","Metap2",2.21776501416746e-16,-0.408983633647874,0.933,1,4.01504178164876e-12
"47","Irf7",2.73966675651833e-16,-0.715724712434153,0.61,0.807,4.95989269600078e-12
"48","Ubl5",3.66803926695041e-16,-0.411242627465119,0.975,0.97,6.64061828888703e-12
"49","Csn1s2a",4.12107539182904e-16,1.23122533567379,0.389,0.081,7.46079488936729e-12
"50","Gm11683",4.14653830513037e-16,-0.329143705961316,0.281,0.681,7.50689294760803e-12
"51","Sec61g",4.83913746210181e-16,-0.551953597568823,0.952,0.97,8.76077446138911e-12
"52","Apoc1",4.93820149157724e-16,-0.350523202991459,0.098,0.452,8.94011998035144e-12
"53","Psmb10",1.47549165124701e-15,-0.499447807252318,0.773,0.919,2.67123008541758e-11
"54","Parp12",1.63991295025351e-15,-0.316988898355575,0.466,0.704,2.96889840513896e-11
"55","Slirp",1.83922842848375e-15,-0.327648390349193,0.741,0.896,3.32973914692698e-11
"56","Oasl2",1.98692178571889e-15,-0.656042783826498,0.559,0.763,3.59712320086547e-11
"57","Slc15a2",2.25506292101898e-15,0.516333679888706,0.878,0.667,4.08256591221276e-11
"58","Zfas1",2.28373517154627e-15,-0.370052430952117,0.817,0.926,4.13447415456736e-11
"59","Tmsb10",2.66457068604463e-15,-0.709373481899542,0.994,1,4.8239387700152e-11
"60","Psmb9",3.83668789667678e-15,-0.609399548910739,0.717,0.867,6.94593976814364e-11
"61","Zbp1",5.19744826087981e-15,-0.559162410711033,0.716,0.889,9.40946033149681e-11
"62","Csn1s1",6.09700770625804e-15,1.39168048874931,0.688,0.385,1.10380227514096e-10
"63","Nsa2",8.15126239688482e-15,-0.360059170748541,0.95,0.978,1.47570454433203e-10
"64","Cox5b",1.20620754230276e-14,-0.388096197829296,0.983,0.978,2.18371813458492e-10
"65","Isg15",1.56545470649421e-14,-1.07461628449355,0.74,0.867,2.83409920063712e-10
"66","Fth1",2.69921315900708e-14,0.74293478929819,1,0.985,4.88665550306642e-10
"67","Tapbp",2.82507661194763e-14,-0.43774748940487,0.965,0.963,5.11451869827e-10
"68","Lsm7",3.92422273845453e-14,-0.357981814919455,0.863,0.956,7.10441284569807e-10
"69","Igtp",5.80786750178132e-14,-0.82698774805106,0.441,0.733,1.05145633252249e-09
"70","Cox17",6.39394896779969e-14,-0.370792979922797,0.869,0.97,1.15756052113046e-09
"71","Anapc13",8.34927443873099e-14,-0.310258108530175,0.681,0.904,1.51155264438786e-09
"72","Cox6b1",1.11742097744604e-13,-0.38892341227361,0.979,1,2.02297893756831e-09
"73","Atp6v0e",1.34408044311698e-13,0.38910363845659,0.982,0.97,2.43332323421899e-09
"74","Ndufa13",1.35307550957829e-13,-0.38689163457314,0.978,1,2.44960790254054e-09
"75","Romo1",1.9923044952711e-13,-0.3868155451143,0.908,0.978,3.60686805823881e-09
"76","2200002D01Rik",3.0514002526128e-13,-0.41804737838061,0.853,0.963,5.52425501733022e-09
"77","Dlgap1",3.38486549366443e-13,-0.250904945985855,0.263,0.615,6.12796048973008e-09
"78","Rtp4",4.57130448450406e-13,-0.489960414244988,0.733,0.844,8.27588963874614e-09
"79","Cda",5.28008258040622e-13,0.325297280730532,0.643,0.407,9.55906150356741e-09
"80","Tmem256",7.19371750886174e-13,-0.341216430669346,0.852,0.933,1.30235061780433e-08
"81","Tgtp1",1.16646019396456e-12,-0.372467973596458,0.155,0.422,2.11175953515345e-08
"82","S100a6",1.2451669072207e-12,-0.863671912427452,0.996,1,2.25425016883235e-08
"83","Mrpl33",1.26183245023254e-12,-0.361818802110287,0.898,0.97,2.28442146790099e-08
"84","Irgm2",1.97998579591167e-12,-0.350597988037984,0.28,0.57,3.58456628491849e-08
"85","Ubd",3.46846332570829e-12,-0.553452475343416,0.071,0.289,6.27930600486228e-08
"86","Tap2",4.16165727186383e-12,-0.383595831141589,0.856,0.978,7.53426432498228e-08
"87","Tfap2b",4.51975197475657e-12,-0.269209297919713,0.411,0.763,8.18255897509929e-08
"88","Uqcr10",5.19470936765982e-12,-0.352004630871239,0.941,0.978,9.40450183921134e-08
"89","Pdap1",5.62545874245156e-12,-0.372080839469415,0.903,0.97,1.01843305073343e-07
"90","Atp6v0c",6.38979921337544e-12,0.33902422193992,0.986,0.985,1.15680924958949e-07
"91","Uqcrb",7.085707928314e-12,-0.406617613359649,0.955,0.978,1.28279656334197e-07
"92","Cdkn2a",7.55395001745673e-12,0.584310019137926,0.93,0.822,1.36756711116037e-07
"93","Atp6ap1",7.80562292571592e-12,0.304100398532754,0.952,0.896,1.41312997447161e-07
"94","Eva1b",8.37835189663921e-12,0.540939776008101,0.916,0.859,1.51681682736756e-07
"95","Ctsd",8.72441141153583e-12,0.449678842607342,0.997,1,1.57946744194445e-07
"96","Eif3c",1.02509460421848e-11,-0.341187678589956,0.982,0.993,1.85583127147714e-07
"97","Samd9l",1.13605314591194e-11,-0.289365835611815,0.387,0.674,2.05671061535897e-07
"98","Cox20",1.36314833433962e-11,-0.277518981299931,0.579,0.822,2.46784374448845e-07
"99","Parp14",1.54456179091165e-11,-0.512017646271926,0.664,0.8,2.79627466626644e-07
"100","Gbp6",1.54601978736385e-11,-0.313960964559926,0.127,0.422,2.79891422304351e-07
"101","Rabac1",1.90290151180028e-11,0.355357134981519,0.982,0.948,3.44501289696322e-07
"102","Snrpd2",2.95872525612294e-11,-0.354539617492913,0.927,0.963,5.35647620368498e-07
"103","Arpp19",3.60062846891219e-11,-0.342422923406488,0.92,0.97,6.51857778011863e-07
"104","Srgn",4.93211729712308e-11,0.535132049039721,0.278,0.052,8.92910515471162e-07
"105","Psmb8",5.42329868784675e-11,-0.605804659903439,0.943,0.993,9.81833994447775e-07
"106","Gbp4",5.46118580424031e-11,-0.489536578463815,0.097,0.326,9.88693077999665e-07
"107","Eif2s2",8.36486375155534e-11,-0.338731762044707,0.933,0.963,1.51437493358158e-06
"108","Atpif1",9.47544303355589e-11,-0.309285494924375,0.978,0.985,1.71543420679496e-06
"109","Fau",9.62662905173286e-11,-0.462238684776611,1,1,1.74280492352572e-06
"110","Dtx3l",1.01693511000084e-10,-0.302238542297513,0.615,0.822,1.84105932314551e-06
"111","Crip1",1.09827359009189e-10,-0.972472762458968,0.87,0.956,1.98831450750236e-06
"112","Pet100",1.30810453937377e-10,-0.262642858551002,0.522,0.822,2.36819245808227e-06
"113","Cd9",1.34433114720423e-10,0.34963714020046,0.999,1,2.43377710889853e-06
"114","Ifi44",1.35582339725068e-10,-0.371776021483111,0.414,0.667,2.45458267838262e-06
"115","Psme2",1.55920685001348e-10,-0.427632903595189,0.983,0.978,2.8227880812644e-06
"116","Cxcl14",1.67316150695179e-10,0.803684526491654,0.478,0.222,3.02909159218553e-06
"117","Bola2",2.30823422971146e-10,-0.335026921889775,0.813,0.948,4.17882724946963e-06
"118","Eif2ak2",2.34307450255197e-10,-0.313813663169186,0.709,0.904,4.24190207942009e-06
"119","Ifit1",2.95777282769962e-10,-0.430990494432319,0.189,0.43,5.35475192726739e-06
"120","Rab2a",3.64061080559008e-10,0.266611609004763,0.994,0.985,6.59096180244028e-06
"121","Ube2l6",3.6795928221387e-10,-0.300444297065715,0.317,0.57,6.6615348451999e-06
"122","Art2b",4.18954935292159e-10,-0.271986936464324,0.048,0.252,7.58476014852925e-06
"123","Gm45589",4.67267006181816e-10,0.346235707555657,0.417,0.156,8.45940187991559e-06
"124","Sms",5.25469328661907e-10,-0.316130177252999,0.674,0.837,9.51309672609516e-06
"125","Atox1",5.6863938489795e-10,-0.37252676093063,0.986,0.985,1.02946474241925e-05
"126","Oas1a",5.92487413446441e-10,-0.316708818090002,0.608,0.793,1.07263921330344e-05
