"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Acaca",0,0.994762906936129,0.958,0.828,0
"2","Acsl1",0,0.911011236564289,0.902,0.599,0
"3","Atp2c2",0,0.79986917640047,0.771,0.35,0
"4","B4galt1",0,0.981856169418958,0.98,0.891,0
"5","Btn1a1",0,1.93435541818543,0.948,0.399,0
"6","Cd63",0,-1.46060666194735,0.661,0.862,0
"7","Col18a1",0,-1.8066198889875,0.274,0.706,0
"8","Creb3l1",0,0.664157079369478,0.87,0.486,0
"9","Csn1s1",0,2.18756195207958,0.999,0.835,0
"10","Csn1s2a",0,3.38935181383356,0.961,0.595,0
"11","Csn2",0,2.75397985416928,0.98,0.716,0
"12","Dsp",0,-0.933925433250571,0.141,0.612,0
"13","Elf5",0,0.976159723757946,0.989,0.855,0
"14","Fam20a",0,0.937054990139343,0.984,0.833,0
"15","Folr1",0,1.18607092086911,0.891,0.557,0
"16","Hivep3",0,0.960731186273313,0.984,0.791,0
"17","Lalba",0,2.45278191196196,0.982,0.623,0
"18","Lao1",0,1.45972724034133,0.687,0.124,0
"19","Ltf",0,1.57715590804678,0.992,0.816,0
"20","Npm1",0,-0.89151882204035,0.94,0.964,0
"21","Ogfrl1",0,1.28534129333457,0.996,0.91,0
"22","Olah",0,0.989746196765441,0.533,0.082,0
"23","Orai1",0,0.823733516451847,0.956,0.845,0
"24","Pcx",0,0.693279590269612,0.835,0.43,0
"25","Pigr",0,1.33530315093614,0.924,0.51,0
"26","Pla2g7",0,-1.50411452420228,0.193,0.729,0
"27","Plet1",0,0.927085731694702,0.985,0.878,0
"28","Rapgef5",0,1.25016943491372,0.945,0.591,0
"29","S100a10",0,-1.2803076440219,0.849,0.925,0
"30","S100a6",0,-2.45625168216485,0.88,0.966,0
"31","Serpine2",0,-2.3386344762712,0.482,0.84,0
"32","Sftpd",0,1.30306732144182,0.932,0.555,0
"33","Slc28a3",0,1.71000061220164,0.984,0.529,0
"34","Thrsp",0,1.31789641009113,0.802,0.348,0
"35","Trim14",0,0.872916327914369,0.959,0.623,0
"36","Txnip",0,1.12710604335235,0.978,0.769,0
"37","Wap",0,1.7828954506301,0.849,0.278,0
"38","Xdh",0,1.39573588784577,0.994,0.834,0
"39","Krt14",4.94065645841247e-323,-2.13179462974091,0.185,0.637,8.94456445230993e-319
"40","Tm4sf1",2.58962700461729e-313,-1.35153149009096,0.915,0.966,4.68826072915913e-309
"41","Nkd2",9.00836656187139e-312,-0.899288360408099,0.16,0.613,1.6308746823612e-307
"42","Acly",1.35939571861936e-310,0.823124355259244,0.932,0.796,2.4610500089885e-306
"43","Ehf",1.40621286635672e-309,0.832444925021435,0.991,0.83,2.5458077732522e-305
"44","Qsox1",1.57735418042792e-309,0.75852206510202,0.953,0.8,2.8556420082467e-305
"45","Fbln2",3.37487540078212e-308,-1.256216557838,0.387,0.751,6.10987442557596e-304
"46","Anxa2",1.06931423247044e-305,-1.25282920198265,0.91,0.961,1.93588648646449e-301
"47","Aebp1",8.77742040973473e-304,-1.01264091039442,0.502,0.79,1.58906419097838e-299
"48","Cdk4",2.80024593127547e-295,-0.637887687740329,0.813,0.883,5.06956523398112e-291
"49","Gja1",1.81078603373666e-293,-0.671867380033623,0.168,0.604,3.27824703547685e-289
"50","Igfbp7",2.56762658338363e-292,-1.74539753215074,0.605,0.809,4.64843116655773e-288
"51","Tspan15",4.41647017114006e-290,0.544782037091689,0.802,0.403,7.99557759783197e-286
"52","Mmp14",9.77647831904103e-283,-0.775173706101192,0.84,0.918,1.76993363487919e-278
"53","Tnfrsf11a",2.99220602297639e-280,0.636391454818943,0.897,0.591,5.41708978399645e-276
"54","Apol6",1.13682844822277e-276,0.761898812602751,0.751,0.305,2.05811422266251e-272
"55","Wfdc2",5.85844641719387e-276,-2.16616197272277,0.468,0.745,1.06061313936878e-271
"56","Pkp1",6.68078431703699e-271,-0.606938052027772,0.226,0.65,1.20948919275638e-266
"57","Pik3r1",8.2311397649791e-270,0.710732071860068,0.995,0.939,1.49016554305182e-265
"58","Camk2n1",4.00941526127617e-268,-0.611469930867287,0.349,0.725,7.25864538901439e-264
"59","Wfdc18",2.54864651913264e-265,1.0731001208265,0.998,0.938,4.61406965823774e-261
"60","Glycam1",2.1548219911656e-262,2.61181387314385,0.58,0.174,3.90108973280621e-258
"61","Atp1b1",2.41612603895807e-261,0.737042457175457,0.889,0.577,4.3741545809297e-257
"62","Plp2",1.26348635860472e-259,-0.660250282339661,0.763,0.87,2.28741570361798e-255
"63","Emp1",9.30766524966155e-259,-1.0499963666615,0.408,0.752,1.68505971679873e-254
"64","Btf3",2.57396351162865e-258,-0.671370077580587,0.914,0.955,4.6599035414525e-254
"65","Krt7",2.54919489271399e-257,-1.53224922660937,0.776,0.896,4.61506243376941e-253
"66","Ahnak",5.27079704537798e-256,-1.22692915419545,0.895,0.952,9.5422509709523e-252
"67","Ccnd1",6.3675400381082e-256,-1.45925656060251,0.545,0.806,1.15277944849911e-251
"68","Fam13a",3.73036200915514e-254,0.90273763318883,0.877,0.489,6.75344738137446e-250
"69","Wnt7b",1.63401735848651e-252,-0.548568903866421,0.146,0.553,2.95822502580398e-248
"70","Apol7a",3.10950645140602e-251,0.518905553964672,0.817,0.431,5.62945047962546e-247
"71","Tagln2",1.19303203406525e-250,-1.38093655019811,0.699,0.863,2.15986519447172e-246
"72","Ptma",1.45134529529089e-250,-0.719863677648088,0.994,0.994,2.62751552259463e-246
"73","Aldoc",1.89863967530446e-249,0.868645159043014,0.955,0.841,3.43729726817119e-245
"74","Rbm47",4.09711737243603e-248,0.732488233252596,0.991,0.932,7.4174212910582e-244
"75","Tbc1d8",2.15357164722704e-247,0.810045702184511,0.786,0.453,3.89882611013983e-243
"76","Gpc6",6.52644728799064e-245,-0.830280470669536,0.112,0.501,1.18154801701782e-240
"77","Fscn1",6.89014978320684e-244,-0.569557876203329,0.037,0.385,1.24739271675177e-239
"78","Man1c1",2.36801385166104e-242,0.535382062436683,0.868,0.537,4.28705227704714e-238
"79","Ptpn18",1.36369812830702e-241,0.578731580358619,0.93,0.686,2.46883909148704e-237
"80","Hnrnpa0",1.84726552648322e-240,-0.484776155617679,0.914,0.923,3.34428950914522e-236
"81","Tcn2",4.65679378879562e-239,0.589943382432497,0.962,0.88,8.43065947523559e-235
"82","Mfge8",2.3298878451119e-238,0.891241796309565,0.998,0.991,4.21802895479058e-234
"83","Naca",3.97164373453693e-237,-0.596892603224439,0.961,0.973,7.19026381700566e-233
"84","Aplp2",7.89081879332205e-236,-0.582150749060021,0.959,0.967,1.42855383434302e-231
"85","Hlf",4.98735773702014e-235,0.626592034360383,0.881,0.59,9.02911244710127e-231
"86","Oas2",2.23850349767747e-233,0.70638626824406,0.832,0.45,4.05258673219529e-229
"87","Nav2",4.18035708368338e-232,-0.732910670375171,0.277,0.675,7.56811846430039e-228
"88","Slc34a2",1.34170937868121e-229,0.391654209126601,0.478,0.103,2.42903065916447e-225
"89","Vim",2.40940583432935e-229,-1.96320339213304,0.344,0.658,4.36198832246985e-225
"90","Ecrg4",2.77140931478502e-229,-2.34973152887659,0.48,0.736,5.01735942348679e-225
"91","Fam3c",1.6428409022588e-228,0.646199797398288,0.986,0.936,2.97419916944933e-224
"92","Sdc1",4.45791642306229e-228,-1.04056279772941,0.559,0.79,8.07061189231197e-224
"93","Crip1",6.90987993714526e-227,-1.53491421852452,0.516,0.776,1.25096466382078e-222
"94","Tmc5",1.32814483002833e-226,0.393319607006394,0.536,0.152,2.40447340028328e-222
"95","Eef1b2",5.96574216381834e-226,-0.617719755107505,0.952,0.967,1.08003796133767e-221
"96","Ormdl3",1.83771975114817e-224,0.491750928341065,0.878,0.73,3.32700783747865e-220
"97","Ybx3",5.57924347278562e-222,-0.604589186088051,0.827,0.87,1.01006623831311e-217
"98","Adgrl3",1.80880451612258e-220,-0.925696530954083,0.501,0.796,3.27465969598831e-216
"99","Adamts4",7.80273785105465e-219,-0.500266425602449,0.105,0.472,1.41260766055493e-214
"100","Msn",5.69011189969109e-218,-0.768404749494573,0.857,0.92,1.03013785832007e-213
"101","Ube2i",9.94336884979856e-218,-0.432906056073735,0.904,0.915,1.80014749656753e-213
"102","Atp7b",1.17766561759827e-216,0.345124295492794,0.631,0.226,2.13204583409991e-212
"103","Myl12a",1.18794465873556e-216,-0.752068530775462,0.921,0.951,2.15065501017485e-212
"104","Ehd2",2.7447460029827e-215,-0.474781336829208,0.299,0.652,4.96908816379988e-211
"105","Tmtc2",4.28199380097896e-214,0.769661224903023,0.936,0.712,7.75212157729231e-210
"106","Cd44",5.43332207257291e-214,-0.878516137110449,0.802,0.904,9.83648628018599e-210
"107","Perp",6.65612097926657e-213,-0.925233094826064,0.499,0.746,1.20502414208642e-208
"108","Tc2n",5.58541529941261e-212,0.769011532390006,0.864,0.639,1.01118358580566e-207
"109","Cald1",8.65812317343973e-211,-0.74497734534841,0.936,0.967,1.56746661931953e-206
"110","Acss1",1.09795204138587e-210,0.508641037707604,0.748,0.367,1.98773237572497e-206
"111","Lrg1",4.3324506854918e-209,0.827197921821166,0.803,0.458,7.84346872101436e-205
"112","Slpi",8.42800016463596e-209,-2.42355000243063,0.707,0.833,1.52580514980569e-204
"113","Pmepa1",9.07280944394722e-209,-0.826888503888988,0.987,0.985,1.6425414217322e-204
"114","Hmgb1",6.03098426647629e-208,-0.599759298998703,0.942,0.949,1.09184939160287e-203
"115","Fkbp11",1.69664531244728e-207,0.659051412516379,0.913,0.751,3.07160667365455e-203
"116","Muc15",1.78242681951365e-207,0.593784393609532,0.963,0.673,3.22690551404752e-203
"117","Gnai2",3.3192957598438e-207,-0.495399666387084,0.952,0.959,6.00925304362121e-203
"118","Slc4a11",7.14485002458543e-207,-0.409692164359694,0.104,0.462,1.29350364845095e-202
"119","Snrpe",3.60231835947703e-206,-0.490151121469332,0.84,0.883,6.52163715799722e-202
"120","H2afz",1.35037266320432e-204,-1.08426070469773,0.843,0.911,2.4447146694651e-200
"121","Kcnk5",2.1693598067429e-204,0.582568022885537,0.802,0.447,3.92740899412734e-200
"122","Pgf",1.1381923297104e-202,-0.672787735073862,0.281,0.649,2.06058339370772e-198
"123","Atp13a4",1.72138748088163e-202,0.417747325719455,0.541,0.177,3.11639989538809e-198
"124","Tpm2",4.77185391150775e-202,-0.915118213460945,0.425,0.75,8.63896432139363e-198
"125","Ank",1.20132189446187e-201,-0.604028930988986,0.119,0.474,2.17487315773377e-197
"126","Chka",5.88840062676707e-201,0.892573843304984,0.974,0.896,1.06603604946991e-196
"127","Fermt1",1.65207107543081e-200,-0.531933707815329,0.157,0.516,2.99090947495994e-196
"128","Fam160a2",2.31719379226934e-199,0.516207661790283,0.885,0.657,4.19504764152441e-195
"129","H3f3a",4.05043806159164e-199,-0.542282652725339,0.954,0.968,7.3329130667055e-195
"130","G0s2",1.11360415472109e-198,1.0361691396649,0.865,0.651,2.01606896170706e-194
"131","Tgm1",1.16900580018477e-198,0.437762917044116,0.685,0.349,2.11636810065451e-194
"132","Lgals3",2.10027559985342e-198,-1.51243819867382,0.601,0.783,3.80233894597463e-194
"133","Anxa3",2.60508191635461e-198,-0.815555701044708,0.841,0.903,4.71624030136839e-194
"134","Anxa5",3.93409859398888e-198,-0.685531574815534,0.845,0.915,7.12229209455747e-194
"135","Gm4951",6.52179530493011e-197,0.67368881363947,0.748,0.362,1.18070582200455e-192
"136","Tubb5",2.31452070291205e-196,-0.821611258157061,0.847,0.901,4.19020828055198e-192
"137","Cd74",5.90269262428571e-195,1.93657487434939,0.718,0.419,1.06862347270068e-190
"138","Lamb1",3.14411114103384e-194,-0.505798275580433,0.333,0.666,5.69209880972766e-190
