"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Basp1",0,1.3674601197843,0.998,0.961,0
"2","Cldn4",0,1.95415617105003,0.996,0.704,0
"3","Slc25a48",0,0.835363741534031,0.822,0.22,0
"4","Tagln2",0,1.51061978650888,0.996,0.771,0
"5","Hspb1",7.26846792968464e-308,1.65210890984082,1,0.939,1.31588343399011e-303
"6","Sbsn",3.98283401610908e-307,1.17603795311183,0.809,0.221,7.21052270276387e-303
"7","Rhoc",3.81299777370407e-303,0.988650839137389,0.996,0.926,6.90305116951384e-299
"8","Anxa1",3.35562460889555e-297,1.47944299499448,1,0.96,6.0750227919445e-293
"9","Krt18",5.58870319880451e-296,1.40498141459038,1,0.989,1.01177882711157e-291
"10","Myl12a",1.57300959846858e-295,1.01940976739894,0.999,0.93,2.84777657706752e-291
"11","Glrx",9.02411579159278e-294,1.08849548158615,0.943,0.69,1.63372592290996e-289
"12","Tgif1",2.26620770870233e-285,0.86003477731715,0.974,0.713,4.10274243583469e-281
"13","Heg1",7.01515178297603e-276,1.01604088129019,0.962,0.717,1.27002307878998e-271
"14","Cystm1",1.30506454025517e-272,0.803947259497097,0.993,0.847,2.36268884367796e-268
"15","Anxa3",4.11304147260283e-269,1.06235319771185,0.994,0.861,7.44625028200016e-265
"16","Sdc4",4.117714902299e-267,0.939668328695023,0.999,0.943,7.45471105912211e-263
"17","F2rl1",2.11857121317492e-264,0.793366633410256,0.92,0.459,3.83546132433188e-260
"18","Aldh1a3",1.24200131816013e-263,1.96907383704784,0.896,0.479,2.2485191863971e-259
"19","Krt8",1.74152008810505e-262,1.34275016341338,1,0.983,3.15284796750537e-258
"20","Cldn3",2.17483112350019e-259,1.03936046361558,1,0.949,3.93731426598475e-255
"21","Rras",2.9552496534515e-251,0.743227509753217,0.984,0.772,5.35018397260859e-247
"22","Cryab",1.22490516802692e-250,1.04456204684689,0.977,0.738,2.21756831619594e-246
"23","Pdlim7",5.31592435083442e-247,0.812703073036977,0.973,0.765,9.62394944475063e-243
"24","Pls3",1.74097831716385e-244,0.766357135596491,0.973,0.736,3.15186714539344e-240
"25","Tacstd2",7.86333662718008e-244,0.961970250106922,0.973,0.68,1.42357846298468e-239
"26","Krt7",2.15023473322141e-241,1.34336121559094,0.993,0.829,3.89278496102403e-237
"27","Psmd8",5.94188360765097e-240,0.768031688642555,0.985,0.859,1.07571860832913e-235
"28","Rtn4",3.50956278474964e-235,0.810885791437847,0.995,0.913,6.35371246551075e-231
"29","Cstb",3.4002122048944e-234,0.814569016876208,0.995,0.895,6.15574417574082e-230
"30","Epcam",2.85932729738974e-232,0.818649792704445,1,0.992,5.17652613919439e-228
"31","Col9a1",1.39240199994093e-231,-1.26032882134065,0.689,0.874,2.52080458069307e-227
"32","Anxa5",9.86799135306305e-230,0.837382515097198,0.993,0.872,1.78650115455853e-225
"33","Lgals3",3.90858055207527e-228,1.26151450818229,0.979,0.672,7.07609423147707e-224
"34","Atp2b1",2.68709560247758e-225,0.882239543211538,1,0.954,4.86471787872542e-221
"35","Arf6",9.17249405523094e-224,0.681458372677908,0.988,0.837,1.66058832375901e-219
"36","Ly6a",4.0441654136291e-222,1.62918120066029,0.981,0.854,7.32155706483412e-218
"37","Tnfrsf12a",6.56339709627168e-222,0.888559599731989,0.992,0.836,1.18823741030902e-217
"38","Cldn7",6.58102830755026e-221,0.867747196191882,0.999,0.945,1.1914293647989e-216
"39","Cxcl14",4.3047371364945e-220,0.771684707481814,0.754,0.213,7.79329611190964e-216
"40","Cd9",5.07430178868851e-217,0.908283482387986,0.998,0.963,9.18651595824167e-213
"41","Ahnak",3.99674910065824e-215,1.1007421461361,0.996,0.92,7.23571457183168e-211
"42","Actn1",4.22904679916164e-215,0.937776141195179,0.994,0.894,7.65626632520223e-211
"43","Pappa",7.78815715432411e-215,0.507262654919142,0.485,0.048,1.40996797121884e-210
"44","Eif1",1.01197759361376e-214,0.755616577800248,1,0.986,1.83208423547836e-210
"45","Sestd1",1.26055929804588e-214,0.706790113546092,0.986,0.832,2.28211655318227e-210
"46","Chic2",4.3827915898521e-212,0.626575135234963,0.98,0.839,7.93460589426825e-208
"47","Emp1",1.80686623966235e-211,0.946725870943824,0.968,0.57,3.27115064028473e-207
"48","Tpm4",1.97282122006232e-209,0.740087532230082,0.999,0.904,3.57159553680082e-205
"49","Nectin4",2.58222805419219e-207,0.646393974954257,0.93,0.602,4.67486566930954e-203
"50","Zyx",1.17622634800937e-206,0.741931242836755,0.987,0.814,2.12944018043617e-202
"51","Cytip",1.05274398661424e-205,0.956403053678837,0.926,0.538,1.90588771336642e-201
"52","Adamts1",1.99986447876111e-203,1.24443833285402,0.83,0.318,3.62055465234912e-199
"53","Znrf2",1.41849214576475e-197,0.801998753455225,0.985,0.824,2.5680381806925e-193
"54","Clic1",5.98970883186225e-197,0.694013011401895,0.996,0.936,1.08437688692034e-192
"55","Igsf8",1.44218497591901e-195,0.707867555663748,0.978,0.807,2.61093168040378e-191
"56","Klf5",2.15595172085358e-192,0.732791265023331,0.961,0.752,3.90313499543333e-188
"57","Trim47",5.52846555212788e-190,0.637653946065831,0.906,0.533,1.00087340355723e-185
"58","Anxa2",2.11559168761268e-187,0.997342953202614,0.998,0.933,3.83006719125399e-183
"59","Ccdc68",5.94856412021648e-186,0.345931221602867,0.68,0.187,1.07692804832399e-181
"60","Bri3",7.058248911856e-186,0.630715936925346,0.996,0.895,1.27782538300241e-181
"61","Rala",4.82788871901756e-183,0.553841560862442,0.989,0.851,8.7404097369094e-179
"62","Pamr1",4.21071593009107e-181,0.668931508700693,0.654,0.187,7.62308011983687e-177
"63","Endod1",1.11627386272588e-179,0.701911029997946,0.909,0.525,2.02090220107894e-175
"64","Fam167a",3.09257465060201e-179,0.276906716692948,0.605,0.134,5.59879714744988e-175
"65","Dstn",2.48751052367967e-176,0.66255489643691,0.999,0.945,4.50338905206968e-172
"66","Tpm2",1.45855615723151e-175,0.863223806358004,0.954,0.578,2.64057006705193e-171
"67","Eif6",1.93252952939342e-174,0.597817656958895,0.977,0.811,3.49865146001385e-170
"68","Cd151",8.80468700187134e-172,0.600605783266987,0.982,0.848,1.59400053481879e-167
"69","Wnt7b",3.87251309486907e-171,0.480603502385932,0.835,0.333,7.01079770695096e-167
"70","Cxcl16",2.6335414148711e-170,0.574003208028309,0.924,0.585,4.76776337748264e-166
"71","Slc5a8",7.08081761830998e-170,0.769791695587929,0.946,0.591,1.28191122161884e-165
