"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Anln",0,1.36214696926152,0.946,0.105,0
"2","Aurkb",0,0.720500336761043,0.722,0.018,0
"3","Birc5",0,1.81256086797661,0.966,0.058,0
"4","Bub1",0,0.414223298724967,0.744,0.014,0
"5","Bub1b",0,0.669153746291292,0.783,0.026,0
"6","Ccna2",0,1.11319938540327,0.906,0.026,0
"7","Ccnb1",0,1.04394563749815,0.823,0.022,0
"8","Ccnb2",0,1.2434323655311,0.884,0.075,0
"9","Cdc20",0,1.38681404720671,0.906,0.07,0
"10","Cdca3",0,0.788877473378083,0.877,0.048,0
"11","Cdca8",0,1.27905387863689,0.963,0.138,0
"12","Cdk1",0,1.68869627112809,0.931,0.078,0
"13","Cenpa",0,1.68497451411686,0.929,0.137,0
"14","Cenpe",0,1.19314161096311,0.877,0.038,0
"15","Cenpf",0,1.66432258885648,0.926,0.044,0
"16","Cep55",0,0.581165726997058,0.788,0.028,0
"17","Cit",0,0.764724437535781,0.773,0.025,0
"18","Ckap2l",0,0.839584983706477,0.852,0.04,0
"19","Cks1b",0,1.17832618526562,0.966,0.686,0
"20","Cks2",0,1.55856929041224,0.946,0.46,0
"21","Dek",0,1.01783266965981,0.975,0.699,0
"22","Diaph3",0,1.10871064734524,0.904,0.122,0
"23","Dlgap5",0,0.607110265781322,0.771,0.022,0
"24","H2afx",0,1.3611039036292,0.931,0.514,0
"25","H2afz",0,2.31808150943591,0.998,0.878,0
"26","Hmgb1",0,1.28641542152864,0.998,0.943,0
"27","Hmgb2",0,2.2565408700853,0.998,0.549,0
"28","Hmgn2",0,1.59128785727381,0.98,0.587,0
"29","Hmmr",0,0.996557041512759,0.833,0.022,0
"30","Kif11",0,0.85435044727076,0.8,0.024,0
"31","Kif15",0,0.69808274656877,0.793,0.023,0
"32","Kif23",0,0.86642609025151,0.83,0.044,0
"33","Kif2c",0,0.545096290305972,0.697,0.01,0
"34","Kif4",0,0.652402347196502,0.793,0.02,0
"35","Knl1",0,0.895157131779486,0.857,0.026,0
"36","Mki67",0,1.99581907909124,0.983,0.07,0
"37","Nucks1",0,1.22096450512614,0.993,0.86,0
"38","Nusap1",0,0.946785959413902,0.756,0.017,0
"39","Pbk",0,0.943371238215853,0.869,0.036,0
"40","Pclaf",0,1.97871515247906,0.963,0.072,0
"41","Plk1",0,0.961717694927757,0.82,0.02,0
"42","Prc1",0,1.293087154523,0.85,0.053,0
"43","Pttg1",0,1.24172861202293,0.894,0.262,0
"44","Racgap1",0,0.93284527446779,0.901,0.049,0
"45","Rrm1",0,0.96076421499971,0.914,0.311,0
"46","Ska1",0,0.459177024417873,0.724,0.009,0
"47","Smc2",0,1.23176564055305,0.953,0.31,0
