"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Bmp1",0,1.06535324853961,0.958,0.733,0
"2","Cd63",0,1.8363360141328,0.988,0.756,0
"3","Col18a1",0,2.33074411701339,0.971,0.479,0
"4","Csn1s1",0,-3.61318469549881,0.64,0.937,0
"5","Ecm1",0,1.82653851372376,0.971,0.76,0
"6","Ehf",0,-1.58398417783283,0.571,0.942,0
"7","Fbln2",0,1.5929499306665,0.951,0.564,0
"8","Fscn1",0,1.08819768634125,0.819,0.164,0
"9","Igfbp7",0,2.03852424507244,0.966,0.696,0
"10","Krt14",0,2.71278533634087,0.924,0.398,0
"11","Lalba",0,-3.87684248702845,0.252,0.838,0
"12","Lgals1",0,1.67411495816642,0.967,0.824,0
"13","Ltf",0,-2.99338709149738,0.574,0.932,0
"14","Muc15",0,-1.93852112429966,0.195,0.876,0
"15","Nkd2",0,1.38596513526314,0.892,0.375,0
"16","Ogfrl1",0,-2.18802046329071,0.775,0.969,0
"17","Pla2g7",0,1.6753898908074,0.974,0.461,0
"18","Plet1",0,-1.58333500322067,0.767,0.942,0
"19","Sdc1",0,1.57276105311371,0.966,0.663,0
"20","Serpine2",0,2.2802514756478,0.971,0.667,0
"21","Slc28a3",0,-2.03935786370836,0.099,0.794,0
"22","Sparc",0,1.8629683570383,0.871,0.43,0
"23","Wfdc18",0,-3.5215735562504,0.814,0.984,0
"24","Perp",1.23516411460312e-322,1.42739655015864,0.918,0.612,2.23614111307748e-318
"25","Vim",4.03651632652298e-321,2.19865949701364,0.906,0.483,7.30770915753721e-317
"26","Csn3",3.60384797145761e-315,-1.61215892699988,0.968,0.998,6.52440636752685e-311
"27","Elf5",1.07414446944923e-310,-1.40005605510707,0.667,0.944,1.94463114749089e-306
"28","Gpc6",6.94555136960074e-304,1.23443110365774,0.86,0.276,1.25742261995252e-299
"29","S100a10",1.69602912985179e-298,1.27396728574121,0.991,0.881,3.07049113668368e-294
"30","Wfdc2",6.16209277108692e-298,2.19067985076382,0.948,0.594,1.11558527527758e-293
"31","Emb",7.580410629911e-295,1.32619708181431,0.902,0.507,1.37235754043909e-290
"32","Col7a1",5.98965262486785e-293,0.781257621747299,0.694,0.11,1.08436671120607e-288
"33","Kit",3.68852736986333e-290,-1.34659327289069,0.164,0.769,6.67770995040058e-286
"34","Slpi",1.46507582231645e-287,2.69584052509248,0.927,0.764,2.6523732687217e-283
"35","Eps8",9.20046009541604e-281,0.706533565441353,0.707,0.136,1.66565129567412e-276
"36","S100a6",1.867623418856e-272,1.69386761048938,0.996,0.924,3.3811454374969e-268
"37","Fbln5",2.36482608614169e-272,1.2532537403401,0.836,0.578,4.28128114635091e-268
"38","Gsto1",4.15060967102074e-271,0.942665076109732,0.953,0.711,7.51426374841594e-267
"39","Pigr",6.83029077741647e-271,-1.40182452088821,0.154,0.745,1.23655584234348e-266
"40","Csn2",7.00922414740937e-267,-4.86261780406911,0.547,0.856,1.26894993964699e-262
"41","Timp1",4.56541475511692e-265,1.6070492151536,0.756,0.219,8.26522687266368e-261
"42","Txnip",1.5177848733632e-264,-1.80200992365719,0.534,0.897,2.74779773473674e-260
"43","Ecrg4",3.60424883894087e-262,2.29845381790771,0.913,0.598,6.52513209801856e-258
"44","Dsp",5.65170446267145e-261,1.28388920890571,0.881,0.367,1.02318457592204e-256
"45","Ckb",1.07862588793e-259,1.31628041364101,0.698,0.206,1.95274430750848e-255
"46","Lrp1",2.68913557740205e-247,0.79394428451392,0.667,0.161,4.86841104932868e-243
"47","Ak1",8.81138573639465e-246,0.665468545947546,0.754,0.219,1.59521327371689e-241
"48","Slc6a6",8.81759864049056e-245,0.966494707129919,0.942,0.672,1.59633805787441e-240
"49","Dok1",7.33746558969688e-242,0.675317340951484,0.845,0.452,1.32837477035872e-237
"50","Inf2",1.2718381709481e-241,0.646002129286348,0.787,0.282,2.30253582468444e-237
"51","Col8a1",2.9851449360516e-241,1.34786722240212,0.672,0.129,5.40430639222782e-237
"52","Adgrl3",1.43837284715384e-240,1.14414601584013,0.961,0.643,2.60403020248731e-236
"53","Edil3",5.15465234216022e-240,0.910648007078336,0.715,0.196,9.33198260024687e-236
"54","Phlda3",8.5405635828889e-240,0.974536448846958,0.932,0.645,1.54618363104621e-235
"55","Ccnd1",1.42244880575386e-235,1.55140361093685,0.936,0.674,2.57520131793679e-231
"56","Btn1a1",1.13231796519309e-234,-1.68106181284745,0.132,0.676,2.04994844418558e-230
"57","Csn1s2a",2.27826338159174e-234,-4.63880515509256,0.34,0.792,4.12456802603369e-230
"58","Igfbp3",9.24429737805488e-233,1.55701623433928,0.612,0.111,1.67358759732306e-228
"59","Aebp1",5.80431964421024e-231,1.03547124243566,0.961,0.64,1.05081402838782e-226
"60","Loxl3",1.10080255497936e-227,0.803817925064903,0.639,0.135,1.99289294553463e-223
"61","Mia",2.30938606855475e-223,1.0147607603538,0.862,0.517,4.18091253851151e-219
"62","Sorbs2",4.33493518408969e-220,-1.33364875624307,0.898,0.977,7.84796665727598e-216
"63","Ddit4l",1.18561023782778e-219,0.685858796759386,0.74,0.275,2.14642877456342e-215
"64","Aldoc",1.25904843078754e-218,-1.42344702956264,0.719,0.91,2.27938127909777e-214
"65","Xdh",1.45147927054843e-218,-1.55766608948903,0.704,0.923,2.62775807140087e-214
"66","Igfbp5",2.1201526673133e-216,-1.0304079585518,0.831,0.986,3.838324388904e-212
"67","Fam3c",2.11976438727639e-215,-1.02708537044195,0.914,0.961,3.83762144672517e-211
"68","Fst",2.32144989565705e-215,1.19787258437217,0.522,0.066,4.20275289109752e-211
"69","Pkp1",1.83700380896481e-213,0.782429786833743,0.861,0.435,3.3257116957499e-209
"70","Mamdc2",4.38489479780293e-212,0.400234018515827,0.486,0.052,7.93841354194243e-208
"71","Atp1b1",1.36161035502224e-211,-0.974201228393557,0.26,0.763,2.46505938673226e-207
"72","Moxd1",4.52083739174015e-211,0.950935925796528,0.747,0.302,8.18452401400637e-207
"73","Morrbid",2.71633625026369e-210,0.932069194145452,0.942,0.712,4.91765514747738e-206
"74","Adamts4",7.43489570003515e-209,0.816814865734738,0.732,0.273,1.34601351753436e-204
"75","Folr1",1.3500522987104e-208,-1.3275416785329,0.282,0.745,2.44413468158531e-204
"76","Csmd1",2.44748393113117e-206,2.11747267696441,0.632,0.161,4.43092490891987e-202
"77","Rapgef5",1.69921979319753e-205,-1.11040216382221,0.316,0.787,3.0762675136048e-201
"78","Scn1b",2.17595466447451e-204,0.539036716733447,0.665,0.199,3.93934832456465e-200
"79","Mmp14",5.26745198363731e-202,0.804563199827267,0.987,0.874,9.53619507117698e-198
"80","Tspan15",9.28150517878299e-202,-0.547851692478774,0.104,0.622,1.68032369756687e-197
"81","Mfge8",1.87166425211274e-201,-1.28290347026049,0.988,0.994,3.38846096202491e-197
"82","Tnfrsf11a",3.3784791352861e-197,-0.764360456414116,0.302,0.769,6.11639862652196e-193
"83","Ceacam1",7.40859804294309e-197,-1.03112961971782,0.654,0.892,1.34125258969442e-192
"84","Atg9b",2.22789441228094e-196,0.461614448120404,0.472,0.057,4.03338004399341e-192
"85","Wap",1.45537255981997e-195,-1.40525655182205,0.059,0.556,2.63480648229807e-191
"86","Hhipl2",1.65024402284906e-195,-0.693854099864072,0.334,0.784,2.98760177896594e-191
"87","Pdpn",3.87380666707602e-193,0.606982032792608,0.431,0.044,7.01313959007442e-189
"88","Trim14",3.868479153644e-192,-1.01245562996574,0.368,0.808,7.0034946597571e-188
"89","Coro2a",8.08740008820249e-189,-1.47457330440722,0.546,0.9,1.46414291196818e-184
"90","Ece1",1.70617370068672e-186,0.652746972185669,0.88,0.664,3.08885686772323e-182
"91","Hivep3",4.0079618706585e-186,-1.15457967830045,0.616,0.902,7.25601417064014e-182
"92","Chn2",8.06943568162238e-186,-1.20290106232016,0.452,0.847,1.46089063580092e-181
"93","Slc4a11",3.38219850578109e-184,0.608671840715253,0.733,0.265,6.12313217486608e-180
"94","Kcnk5",2.21138221617286e-183,-0.705356553601567,0.149,0.647,4.00348636415934e-179
"95","Sftpd",2.01832452806798e-182,-1.37628105648355,0.328,0.753,3.65397472561427e-178
"96","Srgap1",5.47503279222596e-182,0.396658378125922,0.48,0.077,9.91199936704587e-178
"97","Stk39",5.72457744682954e-182,-0.767022146159985,0.939,0.976,1.03637750097402e-177
"98","Nav2",2.8885438203029e-180,0.970953274915693,0.859,0.475,5.22941973227638e-176
