"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Irf9",2246.89424485314,3.73211303227516,0.0724961128968906,51.4801812558316,0,0,"UP"
"Hspb1",1414.06038418379,4.37834651887019,0.101204691849557,43.2622879320528,0,0,"UP"
"Hist1h2bc",1954.91124587255,4.96012058279755,0.101695275689056,48.774346194445,0,0,"UP"
"Aebp1",1280.85281294566,5.57117778024005,0.139331275476132,39.9851200758902,0,0,"UP"
"Cmpk2",1567.13144157255,5.49442657878511,0.131549934264766,41.7668515723212,0,0,"UP"
"Pros1",2081.58945576005,3.56642595515195,0.0767300887273703,46.4801489781123,0,0,"UP"
"Ccrn4l",746313.173910596,4.36619323980894,0.058381347252203,74.7874697195205,0,0,"UP"
"Mx2",1975.52222276912,7.38933536839752,0.18769867723755,39.3680737507044,0,0,"UP"
"Cyp2c55",1878.02484001709,3.89959019395191,0.0805091028836489,48.4366370295737,0,0,"UP"
"Irf7",1756.57083984497,5.62677565109345,0.119256841520468,47.1819945871007,0,0,"UP"
"Stat1",4008.88193035594,3.00246184447314,0.0647804215791254,46.3482912164412,0,0,"UP"
"Selp",1391.41487875128,5.0826924932741,0.124348176550026,40.8746845694942,0,0,"UP"
"Atf3",8236.68654436533,4.85750351847042,0.0643327191197572,75.5059569210503,0,0,"UP"
"Sycp1",1956.39767017133,3.97072139721913,0.080983968917725,49.0309557593201,0,0,"UP"
"Gbp3",3195.5135895668,4.06269127774753,0.105132253584478,38.6436239995846,0,0,"UP"
"Wdr31",157116.176239789,4.40565762736339,0.0559164545179548,78.7900031456524,0,0,"UP"
"Kif24",13946.92119846,4.60764055080226,0.0713413385603205,64.5858438289101,0,0,"UP"
"Sgip1",5838.95207964578,3.8571196855784,0.0752122693200793,51.2831180397408,0,0,"UP"
"Stx18",9021.90930308233,3.98922386856555,0.083683307990474,47.6704848835524,0,0,"UP"
"P2rx7",1508.14632489316,5.19039727922054,0.126745604571017,40.9513000217084,0,0,"UP"
"Oasl2",5331.58399956233,4.1922401395444,0.079036910058893,53.0415490233693,0,0,"UP"
"Usp18",2263.99352703342,6.61925129939786,0.137266696244806,48.2218300613345,0,0,"UP"
"Gab1",2295.75616407444,3.69444922019282,0.0923708341287046,39.9958412743699,0,0,"UP"
"Csrnp1",3150.95552655813,2.92576372601494,0.0763751357204415,38.307803952378,0,0,"UP"
"Rtp4",2399.22732373532,4.45594106045072,0.0925770318638484,48.1322523604343,0,0,"UP"
"Pet2",1853.32909753318,6.95653974215952,0.165083781122806,42.1394500104438,0,0,"UP"
"Krt17",2221.88967351673,7.25063841151777,0.164691986135438,44.025447635048,0,0,"UP"
"Rab3gap1",507641.898494011,5.20866542230547,0.0575602810748126,90.4906182708808,0,0,"UP"
"Txnip",7320.32746661331,4.5520856320642,0.0933875916962562,48.744009234866,0,0,"UP"
"Parp12",4615.21514310502,1.95906226168946,0.049535555135238,39.548608193468,0,0,"UP"
"Baiap2l1",6025.92318360158,3.27423714551682,0.0598706442945168,54.6885236345567,0,0,"UP"
"Gbp7",2043.03561278096,3.74380311090745,0.0761680990667838,49.1518517171461,0,0,"UP"
"Gbp2b",2331.89655354016,3.7356160345109,0.087263034526618,42.8086881779411,0,0,"UP"
"Ddx58",9927.46153686296,2.87197740490278,0.0459619893077465,62.4859247425726,0,0,"UP"
"Xaf1",1252.82664928024,4.4450646682044,0.106051816876863,41.9140831256629,0,0,"UP"
"1110051M20Rik",2160.44099297099,8.04582459905235,0.213235150203738,37.7321684129697,0,0,"UP"
"Elovl6",5822.42045480533,-2.42560646481578,0.0601444516544938,-40.3296795978777,0,0,"DOWN"
"Id1",3645.20903865251,2.71828067517058,0.066132382323594,41.103625480626,0,0,"UP"
"Slc38a6",1287842.84957417,4.38341402097812,0.0639266592067771,68.5694211987449,0,0,"UP"
"Bst2",2432.30475138023,3.22660786703838,0.0702918032074151,45.9030458717554,0,0,"UP"
"Irgm1",4430.95407535819,3.2519925721839,0.0605931764086384,53.6692869548968,0,0,"UP"
"Tmem72",21954.3496004132,2.11004259445284,0.0513646067988912,41.0796991538225,0,0,"UP"
"Gm9864",344045.54387926,3.88557678254066,0.0623030319584366,62.3657735490753,0,0,"UP"
"Oas1a",1063.04320245094,4.43224288239536,0.113792401713711,38.9502534057274,0,0,"UP"
"Krt16",4500.51971728412,6.32520051349877,0.0984204939578197,64.2671079888054,0,0,"UP"
"Apol9a",4827.64045993469,3.99943344675674,0.0813419630005347,49.1681451888547,0,0,"UP"
"Gm10040",458733.316255153,4.23008290936839,0.0651365944939423,64.9417265706421,0,0,"UP"
"Gm17132",4338.34603510023,3.54809042872143,0.08784000077846,40.3926502422287,0,0,"UP"
"Gm14149",22977.9678247117,4.11703952237904,0.0631449224575227,65.1998507900386,0,0,"UP"
"Apol9b",4215.6205806001,3.06210030343888,0.0746874390931344,40.998865948804,0,0,"UP"
"Irgm2",1934.83317443275,4.72941628338014,0.0959947280276722,49.2674585422734,0,0,"UP"
"Gm10800",72998.0134873629,9.27130602038199,0.0887784045552396,104.431996348991,0,0,"UP"
"Igtp",1317.27863164799,4.88546227171356,0.118486400666855,41.2322616284874,0,0,"UP"
"Slco1a6",1588.47831491469,6.4695076311419,0.154087066987322,41.9860521563059,0,0,"UP"
"Gm11127",9507.0568845527,3.73374329612199,0.0869355929877148,42.9483847501865,0,0,"UP"
"Gm17131",8532.75045292469,3.29120744968215,0.0717815314998295,45.8503375577877,0,0,"UP"
"Cep112os2",17238.6655772563,5.87330688457903,0.0627912355433596,93.537049139976,0,0,"UP"
"Gm21738",6383.35628316028,9.1479380080855,0.193156253276092,47.360299513626,0,0,"UP"
"Gm26880",2589.01982947492,5.35774322413078,0.117780072457054,45.4893863822707,0,0,"UP"
"Gm26870",75326.1956582094,9.042058025984,0.0866305808777291,104.374897805961,0,0,"UP"
"Gm26905",14916.651134983,2.69073291914715,0.0657899075481262,40.8988706539653,0,0,"UP"
"Gm29084",549259.367762973,3.64668219649982,0.0631608376422346,57.7364444904281,0,0,"UP"
"Snhg14",61414.7328994228,3.02719666165775,0.0631215600183863,47.9582041504674,0,0,"UP"
"Gm38194",857838.730264299,3.98059809714695,0.057407579152181,69.3392432834493,0,0,"UP"
"Gm37758",17940.7211353223,4.32994622598281,0.0626935170515116,69.0652946208959,0,0,"UP"
"Gm37625",3350.15134898174,5.98590380457078,0.101882940964829,58.7527582918634,0,0,"UP"
"Gm37917",10836.7929552615,3.74759663461382,0.0774107841282374,48.4118159610115,0,0,"UP"
"Gm38246",3937.9979243002,6.67108789676497,0.110739804719022,60.241102227798,0,0,"UP"
"Gm38279",85576.7478750154,5.24555460498557,0.0699639505685566,74.9751059275238,0,0,"UP"
"RP24-448C16.5",20398.8881526342,5.1307609470065,0.0603916932464382,84.9580574942583,0,0,"UP"
"RP24-285I4.2",3448.76232516052,5.28715760378379,0.0841161480703877,62.8554412567672,0,0,"UP"
"RP23-113O9.3",99505.6287921247,3.97992892645243,0.0666265895636588,59.7348438891621,0,0,"UP"
"RP23-324P1.1",18824.7869148513,3.75933214604147,0.0711376202911305,52.8459081236682,0,0,"UP"
"RP24-378G4.3",50702.2374640847,2.35242554486979,0.0616952218898134,38.1297849786678,0,0,"UP"
"RP23-110C17.2",44132.2649872424,7.5871116673604,0.0722034208531148,105.079670432722,0,0,"UP"
"RP24-390N7.1",1810730.93460232,4.42375998454251,0.063354733261744,69.8252483562068,0,0,"UP"
"RP23-382I10.2",24382.8048904501,6.55383384057738,0.0652567237257611,100.431548910111,0,0,"UP"
"RP24-97D9.3",82590.4916840286,5.52716551812641,0.0549931954110046,100.50635313729,0,0,"UP"
"RP23-93A21.1",726392.249508983,4.0263735889714,0.0637867614040859,63.1224018956618,0,0,"UP"
"RP24-369J3.1",8519.09399656428,6.41903977435986,0.0919009471735406,69.8473734143186,0,0,"UP"
