"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Ccng1",26668.5831975475,2.09834471255198,0.0473558412397275,44.3101559938427,0,0,"UP"
"Ak1",2997.61916551428,3.40534210460552,0.0788823550044847,43.169883865814,0,0,"UP"
"Ifit1",3068.08354527265,3.33497684512757,0.0765249399569855,43.5802608535485,0,0,"UP"
"Slc38a6",159641.404044722,1.96864598563436,0.0490859777872176,40.1060766104778,0,0,"UP"
"Gm10800",2192.22087846976,7.25663567676958,0.183286883637336,39.5916801724234,0,0,"UP"
"Gm38279",4131.79186776286,4.02451289268543,0.0735839548494542,54.6928049860761,0,0,"UP"
"RP24-390N7.1",300794.116971311,1.80460097415699,0.0461202672173369,39.1281552132601,0,0,"UP"
"Xist",1687.47181361297,7.29391973190099,0.199271422464286,36.6029390551885,2.56817006983523e-293,5.81241091055459e-290,"UP"
"Cdkn1a",20336.1498000582,1.78228046814619,0.0493924977547108,36.0840319717625,4.03764457105911e-285,8.12284362262181e-282,"UP"
"Plk2",2122.53875543679,3.21322788108576,0.0904385193152929,35.5294171710573,1.72771622112231e-276,3.12820298996406e-273,"UP"
"Trp53inp1",11177.6070637169,2.4122751467794,0.0683320677212988,35.3022413520132,5.42528013281952e-273,8.93001109862093e-270,"UP"
"9030617O03Rik",1929.44964785846,2.90510011177991,0.0833263941582746,34.8641044788499,2.60302449227849e-266,3.92753012143286e-263,"UP"
"Btg2",2354.47254640476,2.76920770817509,0.0801953347501277,34.5307830786339,2.76970220283447e-261,3.85755600650161e-258,"UP"
"Rab3gap1",37607.5414604906,1.77080327501102,0.0523228387943763,33.8437920383125,4.47859991201405e-251,5.79210928620903e-248,"UP"
"Sepp1",1915.50904676026,3.23972849528448,0.101646149412218,31.8726141031277,6.39931132576219e-223,7.72439539095001e-220,"UP"
"Ccnd1",9415.10607996341,1.64495497955832,0.0527504665853317,31.1837048284181,1.77214138397832e-213,2.00539949364447e-210,"UP"
"Tnfrsf19",3050.73000028562,2.07682971388133,0.0668550726475695,31.0646542085065,7.23386577067251e-212,7.70449256728214e-209,"UP"
"Eda2r",3118.8157161026,2.37514400797081,0.0804204994063099,29.5340619059182,1.05218363923886e-191,1.05837983178104e-188,"UP"
"RP23-93A21.1",88252.4095372232,2.04145935160212,0.0695236680828908,29.3635161650009,1.606151623676e-189,1.53057796306724e-186,"UP"
"Gm29084",100388.066434463,1.76474775090398,0.0606331305600393,29.1053378673317,3.07280603966911e-186,2.78181130771244e-183,"UP"
"Gm10040",39282.9555245163,2.21966434879435,0.07632247012756,29.0827110952327,5.93977295869242e-186,5.12121567571833e-183,"UP"
"Rsad2",1992.47677954109,2.61491082352021,0.095866989139153,27.2764467414806,8.07301738413112e-164,6.64409330713991e-161,"UP"
"Ccrn4l",233455.213237547,1.46110344579681,0.0540362691315154,27.0393102499495,5.10185587044375e-161,4.0162696691415e-158,"UP"
"Mdm2",16745.7134158078,1.41256538370131,0.0523852016364604,26.96496986886,3.80803873619094e-160,2.87284788989472e-157,"UP"
"Fam212b",889.189480516453,3.05277400198535,0.116389998836414,26.2288343715514,1.24654253219137e-151,9.02795963514278e-149,"UP"
"Gm26870",4727.4667398402,7.01103797406388,0.268642675361562,26.0980053322795,3.84091145749908e-150,2.67475164805686e-147,"UP"
"Ptp4a3",8045.97599469227,1.76156196679961,0.0683642556908161,25.7672953358323,2.06322686624188e-146,1.38358465333983e-143,"UP"
"Cxcl10",615.920411838216,6.18902933640495,0.242577255725997,25.5136423152374,1.39119234080234e-143,8.99604590091687e-141,"UP"
"Dcxr",1738.1856919577,2.183722354534,0.0867539039198506,25.1714592181521,8.22895639366564e-140,5.13770636081759e-137,"UP"
"Gsta3",617.284691901488,3.38276031932238,0.138519733658725,24.420782728738,1.02884512964128e-131,6.20942330576167e-129,"UP"
"Pck2",4483.71367907526,-1.67832264392456,0.0694103893592271,-24.1797036354104,3.63800319458559e-129,2.12482857552151e-126,"DOWN"
"RP24-97D9.3",3790.80237118193,1.84359778284313,0.0787793569524786,23.4020415266302,4.0738566282001e-121,2.30503900344347e-118,"UP"
"Irgm1",2825.63714329074,1.61525640708154,0.0694052543044532,23.2728260024242,8.3568408818496e-120,4.58512003050815e-117,"UP"
"Gm9864",49740.0126910256,1.82407214063816,0.0793548534243608,22.9862706806815,6.39530270543575e-117,3.40568678778293e-114,"UP"
"Tex101",460.955006815168,3.7824180724052,0.167190372810983,22.6234202891658,2.54930643907083e-113,1.31879263959476e-110,"UP"
"Pdk1",2414.79402389799,-1.5393761398405,0.0689515492812609,-22.3254757273287,2.09051587956565e-110,1.05141334765044e-107,"DOWN"
"Adamts1",15892.0524582652,1.03919971843231,0.0467874265922664,22.2110894768484,2.68351461720384e-109,1.3131815042998e-106,"UP"
"Gpt2",4436.55075981214,-1.58382510637137,0.0721061247536717,-21.9651952144429,6.19902481388509e-107,2.9536721915843e-104,"DOWN"
"Gm11127",732.606470676059,7.72658705180752,0.353499214620499,21.8574376752221,6.60491498921956e-106,3.06637412294383e-103,"UP"
"Mthfd2",12365.7527043477,-1.23090148116137,0.0574777360618912,-21.4152742522069,9.62755542741366e-102,4.35791296421879e-99,"DOWN"
"Aen",4947.19868982269,1.29869818261538,0.0614213664904093,21.1440783040568,3.12841005290946e-99,1.38153640043851e-96,"UP"
"Ddx58",2079.45247641154,1.84273094778292,0.0874404280846209,21.0741299893867,1.37408083209405e-98,5.92359703473689e-96,"UP"
"Tex13",335.319918819836,4.54311813358274,0.216876868917428,20.9479146220635,1.96029316465305e-97,8.25420186958327e-95,"UP"
"Zmat3",7720.07671280362,1.15561448404088,0.0552734958481628,20.9072081710802,4.60396145078413e-97,1.89453013699767e-94,"UP"
"Gtse1",7717.91162599998,1.19831890689866,0.0583648348699298,20.5315222696885,1.12591859965748e-93,4.53019603675519e-91,"UP"
"Ifitm3",2677.72733455869,1.65110358024437,0.081360679254852,20.2936307239091,1.46375849565281e-91,5.76148072223692e-89,"UP"
"Aldh18a1",8840.54759182027,-1.17460215432257,0.0581544632359677,-20.1979708686589,1.02003289233621e-90,3.92951394651904e-88,"DOWN"
"Ecm1",1037.39385761566,2.45087589092082,0.12220123169396,20.0560653681362,1.78675388357332e-89,6.73978454499552e-87,"UP"
"Ifit3",802.891058868502,2.66692618269012,0.133505102521473,19.9762116377625,8.87052186225971e-89,3.27774834363417e-86,"UP"
"Slc7a5",17443.8177531769,-1.17983805681513,0.0602339054713456,-19.587606806874,1.97246626824658e-85,7.14269485057453e-83,"DOWN"
"Trib3",5337.51035365998,-1.88778697386631,0.0965236057024939,-19.5577751175693,3.54198534501258e-85,1.2574742481725e-82,"DOWN"
"Phlda3",8055.86347986953,1.27754148149287,0.0654011299491278,19.5339359195568,5.6511455337846e-85,1.96768540451354e-82,"UP"
"Isg15",505.119466944343,3.37662212307899,0.173182571539672,19.49747075043,1.15347072912539e-84,3.9405171738763e-82,"UP"
"Hist1h2bc",1268.88152111093,2.116949077016,0.109517163826962,19.3298383836966,3.01360424149014e-83,1.01045034067445e-80,"UP"
"Asns",13175.3460647996,-1.02955702317888,0.0533888372850175,-19.2841252129648,7.30146714107204e-83,2.40364298284092e-80,"DOWN"
"Tcn2",3583.71090068444,1.37166340980756,0.0712792338413159,19.2435206705672,1.59965108366202e-82,5.17201473585437e-80,"UP"
"Ass1",3597.37329407955,1.22095840942555,0.0638225676216589,19.1305122141655,1.40685094690703e-81,4.46884969205241e-79,"UP"
"Tenm4",2786.74374198844,-1.48354840907476,0.0776929889155815,-19.09501011329,2.77803678387782e-81,8.67226448429169e-79,"DOWN"
"RP24-448C16.5",7188.0158701411,1.57668952238691,0.0828187009365352,19.0378441651136,8.28690743699304e-81,2.54309739074908e-78,"UP"
"Ercc5",3007.83811093546,1.23067357199745,0.06516576495735,18.885277765141,1.50742929061951e-79,4.54891912265946e-77,"UP"
"Gm21738",352.938014879238,6.66749020229374,0.354747981676542,18.795005318376,8.29718496441583e-79,2.46276772074939e-76,"UP"
"Abhd4",4898.9976215865,1.14213809602451,0.0612780592562519,18.6386140469679,1.56236459963048e-77,4.56260861950153e-75,"UP"
"Pmm1",5401.66903284793,1.3116865971795,0.0703932546829197,18.6336972638626,1.71273705931052e-77,4.92235193585339e-75,"UP"
"Ano3",1555.23706814781,1.5663185345553,0.0847211424817482,18.4879297973672,2.58281265609143e-76,7.30693842987366e-74,"UP"
"Sparcl1",856.617062845284,2.18204047035398,0.118283654887896,18.4475232222239,5.45903411168981e-76,1.52063494809624e-73,"UP"
"Wdr31",22874.9502955598,3.12161384684189,0.172480333376306,18.0983755407718,3.28205464827932e-73,9.00376991844627e-71,"UP"
"Shmt2",23907.8569787404,-1.1400166363417,0.0630469295433617,-18.0820326159997,4.41502926322761e-73,1.1931122364179e-70,"DOWN"
"Srxn1",6016.98252987743,1.24161236546537,0.0690259962767886,17.9876051406286,2.43662997671789e-72,6.48788564094914e-70,"UP"
"Lpin1",1345.76295593753,1.52133685722439,0.084690493062042,17.9634903779566,3.76378593841682e-72,9.87639249289491e-70,"UP"
"Fmod",405.596120837914,3.02794245688118,0.169695690949944,17.8433667934111,3.2548057652512e-71,8.41878759794831e-69,"UP"
"Chac1",2058.27190601137,-1.80976541512951,0.103548620071546,-17.4774459947323,2.1282011738697e-68,5.42721274001195e-66,"DOWN"
"Kif21b",15738.8595902534,-0.929009465701055,0.0532215226152996,-17.4555221280722,3.12507121170537e-68,7.85868602210241e-66,"NONE"
"Bnip3",2920.85394723129,-1.42085894988266,0.081608929053609,-17.4105819836123,6.85831735314439e-68,1.70105060268537e-65,"DOWN"
"Slc19a2",1714.92634605142,1.44548582266988,0.0831487165878926,17.3843431623136,1.08422380039891e-67,2.65283190946253e-65,"UP"
"Akap12",5259.60757385958,1.2144265161894,0.070474711717339,17.2320891649794,1.52541005033541e-66,3.6825432495164e-64,"UP"
"Col10a1",543.848694779943,2.11632914104715,0.123296313328755,17.1645776253197,4.89027527847491e-66,1.1650437393693e-63,"UP"
"Slco1a6",243.352197512014,4.84252832808014,0.282184207886669,17.160876451403,5.21211146675123e-66,1.22559078203893e-63,"UP"
"Cep112os2",1902.23432822973,2.14183491029058,0.125403793196628,17.0795065738743,2.10894709587264e-65,4.89546104075257e-63,"UP"
"Ifi27",1402.82745504509,1.48295473528765,0.0872001390390269,17.0063345268743,7.37074316902059e-65,1.68929969390236e-62,"UP"
"Btbd19",1710.54690172249,1.41999235873727,0.0837601943355981,16.9530690562614,1.82664485169188e-64,4.13415396059165e-62,"UP"
"Gm14149",3956.1349184003,1.78014924208619,0.105847571755051,16.818045162205,1.80000739443412e-63,4.02357208439805e-61,"UP"
"Rab11fip5",770.841328033546,2.09876194186319,0.12537509453797,16.7398632846301,6.71422169696009e-63,1.48253290298975e-60,"UP"
"Rhox5",2305.81871017011,1.66189959870539,0.0999974143313398,16.619425710336,5.04132231489237e-62,1.09973713052339e-59,"UP"
"Xlr3c",258.489236418148,3.39013256276264,0.204934665836244,16.542504163115,1.8132536017822e-61,3.90842496593673e-59,"UP"
"Arap2",1784.43065374505,1.3856033517368,0.0837809625784643,16.5384033447829,1.94099037237155e-61,4.13453784495992e-59,"UP"
"Rad51ap1",4125.31752517913,-1.00798734897501,0.0610778963666041,-16.503308216852,3.47331300841897e-61,7.31253550353882e-59,"DOWN"
"RP23-382I10.2",4753.90447259324,3.1316071571621,0.190096208886634,16.473801216255,5.65994008121725e-61,1.17791810471861e-58,"UP"
"Sparc",52538.9945351703,0.778181187960567,0.0476239222506847,16.3401322525337,5.11418548672283e-60,1.05224366389322e-57,"NONE"
"Slc1a4",2912.63083038929,-1.03298826552761,0.063223426622856,-16.3386947007737,5.23619051369951e-60,1.06524118473082e-57,"DOWN"
"Rab38",21615.2656322197,-0.84914769846713,0.0522042171369372,-16.2658831994305,1.72363704760898e-59,3.46757470933425e-57,"NONE"
"Gja1",3683.46099240246,1.053545329357,0.0649524929787747,16.2202446902427,3.62746719536556e-59,7.2174638504713e-57,"UP"
"Hspa5",53960.6253945344,0.990929894711233,0.0613501236882112,16.1520439591493,1.09860194142666e-58,2.16209638602947e-56,"NONE"
"Pnma5",253.446696059285,6.68273854558959,0.415911201188569,16.0677051411263,4.29702032695922e-58,8.3657903268735e-56,"UP"
"Mthfd1l",9176.22589644149,-0.863312488401594,0.0538918904576487,-16.0193394789153,9.36396760238005e-58,1.80365954690099e-55,"NONE"
